,date,titre,texte,article
0,"Jun 18, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 2.20%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Foods & Drugs, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 added 2.20% to hit a new 1-month high, while the SBF 120 index climbed 2.17%.The best performers of the session on the CAC 40 were ArcelorMittal SA (AS:MT), which rose 6.32% or 0.908 points to trade at 15.282 at the close. Meanwhile,  Accor  SA (PA:ACCP) added 4.91% or 1.70 points to end at 36.32 and Engie SA (PA:ENGIE) was up 4.72% or 0.60 points to 13.43 in late trade.The worst performers of the session were  Renault  SA (PA:RENA), which fell 2.60% or 1.46 points to trade at 54.73 at the close. Sodexo SA (PA:EXHO) added 0.05% or 0.05 points to end at 104.95 and  Publicis Groupe  SA (PA:PUBP) was up 0.08% or 0.04 points to 50.22.The top performers on the SBF 120 were CGG SA (PA:GEPH) which rose 8.10% to 1.661, ArcelorMittal SA (AS:MT) which was up 6.32% to settle at 15.282 and Spie SA (PA:SPIE) which gained 5.77% to close at 16.490.The worst performers were Renault SA (PA:RENA) which was down 2.60% to 54.73 in late trade, Sopra Steria Group SA (PA:SOPR) which lost 1.77% to settle at 96.85 and Genfit (PA:GNFT) which was down 0.71% to 18.170 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 386 to 183 and 86 ended unchanged.Shares in Sodexo SA (PA:EXHO) rose to 52-week highs; gaining 0.05% or 0.05 to 104.95. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 1.55% to 13.76 a new 1-month low.Gold Futures for August delivery was up 0.67% or 8.95 to $1351.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in August rose 3.68% or 1.92 to hit $54.09 a barrel, while the August Brent oil contract rose 2.13% or 1.30 to trade at $62.24 a barrel.EUR/USD was down 0.14% to 1.1201, while EUR/GBP fell 0.30% to 0.8922.The US Dollar Index Futures was up 0.06% at 97.113."
1,"May 20, 2019 05:20AM ET",Goldman Sachs in talks to buy B&B Hotels from PAI Partners,nan,"PARIS (Reuters) - Goldman Sachs (NYSE:GS) is in talks to buy B&B Hotels from private equity firm PAI Partners, the companies said on Monday, in a deal which an earlier report from the Financial Times said could be worth 1.9 billion euros ($2.1 billion).Goldman Sachs Merchant Banking Division, the bank's investment fund arm, and PAI Partners did not disclose how much the transaction could be worth in their statement.B&B Hotels had 2018 sales volumes worth 580 million euros, and it runs a network of 476 hotels, competing with the likes of  Accor  (PA:ACCP).The global hotels industry has recently shown signs of solid growth, with Marriott issuing a relatively upbeat outlook earlier this month while Accor also expressed confidence over its 2019 outlook in April.  /6938/FP_EN_site/FP_EN_TextNote 
"
2,"May 10, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.27%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Gas & Water, General Financial and Foods & Drugs sectors led shares higher.At the close in Paris, the CAC 40 gained 0.27%, while the SBF 120 index added 0.25%.The best performers of the session on the CAC 40 were EssilorLuxottica SA (PA:ESLX), which rose 3.96% or 4.20 points to trade at 110.20 at the close. Meanwhile, Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP) added 2.37% or 2.55 points to end at 109.95 and Capgemini SE (PA:CAPP) was up 2.05% or 2.10 points to 104.40 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 2.68% or 0.448 points to trade at 16.240 at the close.  Accor  SA (PA:ACCP) declined 2.45% or 0.88 points to end at 35.08 and WFD Unibail Rodamco NV (AS:URW) was down 1.13% or 1.66 points to 144.94.The top performers on the SBF 120 were  Maisons du Monde SAS  (PA:MDM) which rose 12.20% to 18.300, Sopra Steria Group SA (PA:SOPR) which was up 4.42% to settle at 106.20 and EssilorLuxottica SA (PA:ESLX) which gained 3.96% to close at 110.20.The worst performers were Aeroports de Paris SA (PA:ADP) which was down 9.73% to 153.00 in late trade, DBV Technologies (PA:DBV) which lost 3.36% to settle at 16.100 and ArcelorMittal SA (AS:MT) which was down 2.68% to 16.240 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 307 to 250 and 105 ended unchanged.Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; falling 2.68% or 0.448 to 16.240. Shares in Accor SA (PA:ACCP) fell to 52-week lows; falling 2.45% or 0.88 to 35.08. Shares in Aeroports de Paris SA (PA:ADP) fell to 52-week lows; losing 9.73% or 16.50 to 153.00. Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; losing 2.68% or 0.448 to 16.240. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 9.45% to 17.04.Gold Futures for June delivery was up 0.28% or 3.65 to $1288.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 0.39% or 0.24 to hit $61.94 a barrel, while the July Brent oil contract rose 0.70% or 0.49 to trade at $70.88 a barrel.EUR/USD was up 0.14% to 1.1236, while EUR/GBP rose 0.09% to 0.8626.The US Dollar Index Futures was down 0.11% at 97.058."
3,"Apr 23, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.20%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Industrials, Technology and Oil & Gas sectors led shares higher.At the close in Paris, the CAC 40 gained 0.20% to hit a new 6-months high, while the SBF 120 index climbed 0.21%.The best performers of the session on the CAC 40 were TechnipFMC PLC (PA:FTI), which rose 4.32% or 0.94 points to trade at 22.69 at the close. Meanwhile,  Kering  SA (PA:PRTP) added 4.15% or 21.20 points to end at 531.60 and  Accor  SA (PA:ACCP) was up 2.46% or 0.93 points to 38.66 in late trade.The worst performers of the session were STMicroelectronics NV (PA:STM), which fell 3.52% or 0.585 points to trade at 16.020 at the close. ArcelorMittal SA (AS:MT) declined 2.83% or 0.595 points to end at 20.445 and  Societe Generale  SA (PA:SOGN) was down 2.55% or 0.74 points to 28.27.The top performers on the SBF 120 were Sartorius  Stedim  Biotech SA (PA:STDM) which rose 7.10% to 114.60, CGG SA (PA:GEPH) which was up 5.75% to settle at 1.766 and DBV Technologies (PA:DBV) which gained 5.13% to close at 16.380.The worst performers were SES (PA:SESFd) which was down 8.23% to 14.50 in late trade, Air France KLM SA (PA:AIRF) which lost 5.98% to settle at 10.455 and  Tarkett  (PA:TKTT) which was down 3.85% to 20.00 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 309 to 287 and 77 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 8.52% to 12.35.Gold Futures for June delivery was down 0.23% or 2.95 to $1274.65 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 1.05% or 0.69 to hit $66.24 a barrel, while the June Brent oil contract rose 0.39% or 0.29 to trade at $74.33 a barrel.EUR/USD was down 0.36% to 1.1215, while EUR/GBP fell 0.07% to 0.8662.The US Dollar Index Futures was up 0.37% at 97.312."
4,"Apr 12, 2019 04:35PM ET",France stocks higher at close of trade; CAC 40 up 0.31%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Consumer Goods, Consumer Services and Financials sectors led shares higher.At the close in Paris, the CAC 40 rose 0.31% to hit a new 6-months high, while the SBF 120 index climbed 0.38%.The best performers of the session on the CAC 40 were  Societe Generale  SA (PA:SOGN), which rose 3.97% or 1.07 points to trade at 28.00 at the close. Meanwhile,  BNP Paribas  SA (PA:BNPP) added 3.37% or 1.51 points to end at 46.31 and  Valeo  SA (PA:VLOF) was up 3.24% or 0.95 points to 30.24 in late trade.The worst performers of the session were Sanofi SA (PA:SASY), which fell 2.26% or 1.74 points to trade at 75.40 at the close.  Accor  SA (PA:ACCP) declined 1.49% or 0.56 points to end at 37.13 and Engie SA (PA:ENGIE) was down 1.31% or 0.17 points to 13.20.The top performers on the SBF 120 were Eutelsat Communications SA (PA:ETL) which rose 4.71% to 15.90,  Eramet  SA (PA:ERMT) which was up 4.69% to settle at 59.32 and Technicolor (PA:TCH) which gained 4.20% to close at 1.166.The worst performers were  Rubis  SCA (PA:RUBF) which was down 3.77% to 48.00 in late trade, Sanofi SA (PA:SASY) which lost 2.26% to settle at 75.40 and  Klepierre  SA (PA:LOIM) which was down 2.02% to 32.03 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 353 to 217 and 99 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.30% to 12.24 a new 6-months low.Gold Futures for June delivery was up 0.07% or 0.85 to $1294.15 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May rose 0.39% or 0.25 to hit $63.83 a barrel, while the June Brent oil contract rose 1.06% or 0.75 to trade at $71.58 a barrel.EUR/USD was up 0.43% to 1.1299, while EUR/GBP rose 0.32% to 0.8642.The US Dollar Index Futures was down 0.25% at 96.570."
5,"Mar 26, 2019 02:35PM ET",France stocks higher at close of trade; CAC 40 up 0.89%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Consumer Goods, Basic Materials and General Financial sectors led shares higher.At the close in Paris, the CAC 40 added 0.89%, while the SBF 120 index added 0.89%.The best performers of the session on the CAC 40 were Capgemini SE (PA:CAPP), which rose 3.30% or 3.35 points to trade at 105.00 at the close. Meanwhile, Dassault Systemes SE (PA:DAST) added 2.52% or 3.25 points to end at 132.45 and Atos SE (PA:ATOS) was up 2.35% or 1.98 points to 86.14 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 1.54% or 0.280 points to trade at 17.936 at the close.  Accor  SA (PA:ACCP) declined 0.68% or 0.25 points to end at 36.62 and Engie SA (PA:ENGIE) was down 0.53% or 0.07 points to 13.23.The top performers on the SBF 120 were Sopra Steria Group SA (PA:SOPR) which rose 3.65% to 102.10, Eurofins Scientific SE (PA:EUFI) which was up 3.49% to settle at 362.20 and DBV Technologies (PA:DBV) which gained 3.33% to close at 13.330.The worst performers were  Trigano  SA (PA:TRIA) which was down 9.52% to 67.50 in late trade, Technicolor (PA:TCH) which lost 2.07% to settle at 1.040 and ArcelorMittal SA (AS:MT) which was down 1.54% to 17.936 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 333 to 227 and 101 ended unchanged.Shares in Trigano SA (PA:TRIA) fell to 52-week lows; down 9.52% or 7.10 to 67.50. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 7.28% to 15.44.Gold Futures for June delivery was down 0.46% or 6.05 to $1322.95 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May rose 1.80% or 1.06 to hit $59.88 a barrel, while the June Brent oil contract rose 0.81% or 0.54 to trade at $67.35 a barrel.EUR/USD was down 0.28% to 1.1279, while EUR/GBP fell 0.40% to 0.8529.The US Dollar Index Futures was up 0.15% at 96.215."
6,"Mar 11, 2019 08:05AM ET",Big investors look past Khashoggi to opportunities in Saudi Arabia,nan,"By Sylvia Westall, Saeed Azhar and Stephen KalinDUBAI/RIYADH (Reuters) - Big investors in Saudi Arabia are pushing ahead with deals and pouring money back into its stock market as the kingdom tries to move on from the murder of Saudi journalist Jamal Khashoggi.His killing at the hands of Saudi agents in October strained ties with Western allies and Riyadh is keen to repair its image. It wants to attract foreign capital and knowhow as part of its Vision 2030 plan of reforms to diversify the economy of the world's top oil exporter and create jobs for Saudis.Some Western governments said Crown Prince Mohammed bin Salman was implicated in the murder. The Saudi government has denied any connection to the crown prince.Deterred by the case, some Western firms in the technology and entertainment sectors have distanced themselves from Saudi Arabia. But several U.S. multinationals told Reuters they are building on their plans in the largest Arab economy. Dow Chemical  (NYSE:DOW) said it was committed to construction of a $100 million polymer plant in Jubail and will complete a feasibility study by the end of 2019 for another complex to produce siloxanes and silicones.Technology and manufacturing group Honeywell International Inc (NYSE:HON) is going ahead with projects as part of a $3.6 billion agreement in 2017 to deliver projects localizing goods and services for state oil giant Saudi Aramco. General Electric  (NYSE:GE) Co, said it was building on $15 billion of Saudi deals it signed in 2017.""We continue to build upon our agreements to support local infrastructure and growth across the power, oil and gas, healthcare, aviation and digital sectors,"" a GE spokesman said.Riyadh wants to show it is business as usual. It sent a senior delegation to the World Economic Forum in Davos and packed executives' agendas with meetings.Last month it announced $54.4 billion in deals and offered fresh incentives under a 10-year industrial program that aims to attract $427 billion in investment.The crown prince, who is the driving force behind the reforms, agreed several deals last month during an Asian tour including $28 billion with China.It also wound down a 15-month anti-corruption campaign that netted scores of senior princes, ministers and top businessmen and unnerved investors.BUSINESS FORGETSForeign investors appear to have taken note. They poured 6.94 billion riyals ($1.85 billion) into the Saudi market in the first two months of 2019, according to Saudi stock exchange data. The index is up more than 8 percent, outperforming its Gulf peers, compared to a fall of about 9 percent within two weeks of Khashoggi's disappearance and killing.Several executives pulled out of a major investment forum in Riyadh last year but a Western diplomat said this year's event is expected to attract big names.""Business tends to forget more quickly than social conscience,"" the diplomat said.Investors are now looking ahead to the inclusion of Saudi stocks in the MSCI's emerging markets benchmark this year and focusing on the pace of economic reforms, bankers say.""There's too much opportunity for investment in Saudi Arabia,"" said Nick Wilson, chairman of the $100 million Gulf Investment Fund which plans to increase its exposure to the Saudi stocks it sees benefiting from reforms.""A nasty thing like that happens and shakes people up for a couple of weeks but at the end of the day business is business,""He pointed to projects to boost the economy such as the $500 billion business zone NEOM.Thomas Barrack, executive chairman at U.S. investment management firm Colony Capital told a conference in Abu Dhabi last month it was a mistake ""to dictate what we think is the moral code.""Colony Capital has agreed to buy a stake in the property business of France's  Accor  (PA:ACCP) alongside Saudi Arabia's Public Investment Fund (PIF), the financial vehicle behind Vision 2030.BAD PUBLICITYOther Western firms have distanced themselves from the PIF, which has more than $250 billion in assets under management.British billionaire Richard Branson in October said his Virgin Group suspended talks with the PIF over a planned $1 billion investment in the group's space ventures and suspended his directorship in two Saudi tourism projects. A Virgin Group spokesman said the statement still stands.Hollywood talent agency Endeavor and PIF ""parted ways"" after talks on the fund investing $400 million, a source familiar with the matter said.Hollywood companies had concerns about the reputational impact on their businesses after Khashoggi's killing, a second source said. Endeavor did not respond to a Reuters query for comment.The PIF had been eyeing up to a $700 million stake in U.S. movie studio Legendary Entertainment but is facing resistance from executives at Legendary, Reuters had reported earlier.A source familiar with the matter said the deal still faced the same issues. Legendary and PIF did not respond to queries for comment, while the sources declined to be identified due to the sensitivity of these deals.The bad publicity has deterred some potential entrants to the market fearing a backlash at home, another Western diplomat said, while firms new to Saudi need ""hand-holding"".""I think it's going to take one year or two before people really begin to say Saudi Arabia is the place we want to be,"" Mark Mobius, a prominent emerging market investor, told reporters in Dubai this week.(Graphic: Foreign fund flows in the Saudi stock market link: https://tmsnrt.rs/2F1n50T)."
7,"Feb 22, 2019 01:35PM ET",France stocks higher at close of trade; CAC 40 up 0.38%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Industrials, Consumer Goods and Consumer Services sectors led shares higher.At the close in Paris, the CAC 40 rose 0.38% to hit a new 3-months high, while the SBF 120 index added 0.39%.The best performers of the session on the CAC 40 were Atos SE (PA:ATOS), which rose 3.32% or 2.76 points to trade at 85.80 at the close. Meanwhile, Airbus Group SE (PA:AIR) added 2.10% or 2.34 points to end at 113.70 and  Safran  SA (PA:SAF) was up 1.48% or 1.75 points to 120.00 in late trade.The worst performers of the session were  Accor  SA (PA:ACCP), which fell 1.66% or 0.64 points to trade at 37.94 at the close. Compagnie de Saint Gobain SA (PA:SGOB) declined 1.64% or 0.54 points to end at 32.41 and WFD Unibail Rodamco NV (AS:URW) was down 0.95% or 1.36 points to 142.42.The top performers on the SBF 120 were Sopra Steria Group SA (PA:SOPR) which rose 17.80% to 106.90,  Edenred  (PA:EDEN) which was up 5.24% to settle at 39.80 and Television Francaise 1 SA (PA:TFFP) which gained 3.48% to close at 8.315.The worst performers were  Europcar Groupe SA  (PA:EUCAR) which was down 7.98% to 7.14 in late trade,  Eramet  SA (PA:ERMT) which lost 5.10% to settle at 49.16 and Eutelsat Communications SA (PA:ETL) which was down 4.73% to 18.22 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 286 to 285 and 99 ended unchanged.Shares in Airbus Group SE (PA:AIR) rose to all time highs; gaining 2.10% or 2.34 to 113.70. Shares in Edenred (PA:EDEN) rose to all time highs; up 5.24% or 1.98 to 39.80. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 1.29% to 14.16.Gold Futures for April delivery was up 0.36% or 4.75 to $1332.55 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in April rose 0.60% or 0.34 to hit $57.30 a barrel, while the April Brent oil contract rose 0.07% or 0.05 to trade at $67.12 a barrel.EUR/USD was up 0.12% to 1.1347, while EUR/GBP fell 0.01% to 0.8681.The US Dollar Index Futures was down 0.16% at 96.312."
8,"Feb 21, 2019 01:35PM ET",France stocks higher at close of trade; CAC 40 up 0.00%,nan,"Investing.com – France stocks were higher after the close on Thursday, as gains in the Basic Materials, Industrials and Consumer Services sectors led shares higher.At the close in Paris, the CAC 40 added 0.00% to hit a new 3-months high, while the SBF 120 index added 0.01%.The best performers of the session on the CAC 40 were  Bouygues  SA (PA:BOUY), which rose 3.61% or 1.14 points to trade at 32.71 at the close. Meanwhile, Veolia Environnement VE SA (PA:VIE) added 1.73% or 0.335 points to end at 19.755 and  Danone  SA (PA:DANO) was up 1.38% or 0.92 points to 67.80 in late trade.The worst performers of the session were TechnipFMC PLC (PA:FTI), which fell 6.85% or 1.48 points to trade at 20.14 at the close.  Accor  SA (PA:ACCP) declined 3.69% or 1.48 points to end at 38.58 and  BNP Paribas  SA (PA:BNPP) was down 2.28% or 0.97 points to 41.59.The top performers on the SBF 120 were  Vallourec  (PA:VLLP) which rose 24.18% to 2.152,  Groupe FNAC  (PA:FNAC) which was up 7.01% to settle at 70.250 and  Wendel  (PA:MWDP) which gained 6.54% to close at 110.80.The worst performers were  Eramet  SA (PA:ERMT) which was down 16.32% to 51.80 in late trade, TechnipFMC PLC (PA:FTI) which lost 6.85% to settle at 20.14 and  Iliad  (PA:ILD) which was down 5.78% to 87.70 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 296 to 285 and 81 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 0.75% to 14.34.Gold Futures for April delivery was down 1.42% or 19.15 to $1328.75 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in April fell 0.61% or 0.35 to hit $56.81 a barrel, while the April Brent oil contract fell 0.37% or 0.25 to trade at $66.83 a barrel.EUR/USD was down 0.04% to 1.1330, while EUR/GBP rose 0.06% to 0.8690.The US Dollar Index Futures was up 0.21% at 96.498."
9,"Feb 13, 2019 12:35PM ET",France stocks higher at close of trade; CAC 40 up 0.35%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Consumer Goods, Consumer Services and Basic Materials sectors led shares higher.At the close in Paris, the CAC 40 rose 0.35%, while the SBF 120 index climbed 0.47%.The best performers of the session on the CAC 40 were ArcelorMittal SA (AS:MT), which rose 3.69% or 0.710 points to trade at 19.932 at the close. Meanwhile,  Kering  SA (PA:PRTP) added 3.05% or 14.20 points to end at 480.00 and  Accor  SA (PA:ACCP) was up 2.98% or 1.14 points to 39.40 in late trade.The worst performers of the session were Sanofi SA (PA:SASY), which fell 2.18% or 1.65 points to trade at 73.88 at the close.  Legrand  SA (PA:LEGD) declined 2.06% or 1.10 points to end at 52.38 and WFD Unibail Rodamco NV (AS:URW) was down 1.49% or 2.30 points to 151.58.The top performers on the SBF 120 were  Ingenico  Group (PA:INGC) which rose 10.48% to 52.62,  Orpea  SA (PA:ORP) which was up 7.90% to settle at 98.06 and Eurofins Scientific (PA:EUFI) which gained 5.25% to close at 329.00.The worst performers were Rothschild & Co SCA (PA:ROTH) which was down 3.66% to 27.650 in late trade, BIC (PA:BICP) which lost 3.16% to settle at 87.40 and  Iliad  (PA:ILD) which was down 2.92% to 87.90 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 342 to 231 and 100 ended unchanged.Shares in Iliad (PA:ILD) fell to 5-year lows; losing 2.92% or 2.64 to 87.90. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 0.71% to 14.20.Gold Futures for April delivery was up 0.06% or 0.75 to $1314.75 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in March rose 2.09% or 1.11 to hit $54.21 a barrel, while the April Brent oil contract rose 2.00% or 1.25 to trade at $63.67 a barrel.EUR/USD was down 0.43% to 1.1275, while EUR/GBP fell 0.14% to 0.8770.The US Dollar Index Futures was up 0.40% at 96.887."
