,date,titre,texte,article
0,"Jun 21, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.13%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Foods & Drugs, Gas & Water and General Financial sectors led shares lower.At the close in Paris, the CAC 40 fell 0.13%, while the SBF 120 index declined 0.26%.The best performers of the session on the CAC 40 were  Renault  SA (PA:RENA), which rose 2.37% or 1.30 points to trade at 56.15 at the close. Meanwhile,  Societe Generale  SA (PA:SOGN) added 1.50% or 0.33 points to end at 22.05 and  Air Liquide  SA (PA:AIRP) was up 1.33% or 1.60 points to 122.35 in late trade.The worst performers of the session were  Publicis Groupe  SA (PA:PUBP), which fell 3.03% or 1.50 points to trade at 47.96 at the close. Dassault Systemes SE (PA:DAST) declined 2.46% or 3.50 points to end at 138.60 and  Vinci  SA (PA:SGEF) was down 1.77% or 1.64 points to 91.04.The top performers on the SBF 120 were  Elior  Group (PA:ELIOR) which rose 6.39% to 12.16,  Vallourec  (PA:VLLP) which was up 3.52% to settle at 2.528 and  Euronext  (PA:ENX) which gained 2.83% to close at 67.30.The worst performers were  Casino  Guichard Perrachon SA (PA:CASP) which was down 5.36% to 30.00 in late trade,  Neopost  SA (PA:NPOS) which lost 5.17% to settle at 18.71 and SES (PA:SESFd) which was down 4.86% to 13.22 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 349 to 220 and 90 ended unchanged.Shares in Air Liquide SA (PA:AIRP) rose to all time highs; gaining 1.33% or 1.60 to 122.35. Shares in Euronext (PA:ENX) rose to all time highs; up 2.83% or 1.85 to 67.30. Shares in SES (PA:SESFd) fell to 52-week lows; falling 4.86% or 0.68 to 13.22. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.26% to 13.24 a new 1-month low.Gold Futures for August delivery was up 0.08% or 1.05 to $1397.95 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in August rose 0.79% or 0.45 to hit $57.52 a barrel, while the August Brent oil contract rose 1.19% or 0.77 to trade at $65.22 a barrel.EUR/USD was up 0.44% to 1.1341, while EUR/GBP rose 0.43% to 0.8926.The US Dollar Index Futures was down 0.23% at 95.917."
1,"Jun 12, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.62%,nan,"Investing.com – France stocks were lower after the close on Wednesday, as losses in the Foods & Drugs, Gas & Water and General Financial sectors led shares lower.At the close in Paris, the CAC 40 fell 0.62%, while the SBF 120 index fell 0.60%.The best performers of the session on the CAC 40 were  Worldline SA  (PA:WLN), which rose 2.10% or 1.250 points to trade at 60.750 at the close. Meanwhile,  Vivendi  SA (PA:VIV) added 1.28% or 0.31 points to end at 24.51 and  Air Liquide  SA (PA:AIRP) was up 0.94% or 1.10 points to 118.30 in late trade.The worst performers of the session were TechnipFMC PLC (PA:FTI), which fell 3.58% or 0.73 points to trade at 19.64 at the close. ArcelorMittal SA (AS:MT) declined 2.81% or 0.422 points to end at 14.592 and  Total  SA (PA:TOTF) was down 2.73% or 1.32 points to 46.95.The top performers on the SBF 120 were Genfit (PA:GNFT) which rose 5.50% to 18.800,  Imerys  SA (PA:IMTP) which was up 4.42% to settle at 43.90 and Worldline SA (PA:WLN) which gained 2.10% to close at 60.750.The worst performers were DBV Technologies (PA:DBV) which was down 4.72% to 15.130 in late trade, TechnipFMC PLC (PA:FTI) which lost 3.58% to settle at 19.64 and  Maisons du Monde SAS  (PA:MDM) which was down 3.18% to 17.350 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 327 to 235 and 98 ended unchanged.Shares in Worldline SA (PA:WLN) rose to all time highs; rising 2.10% or 1.250 to 60.750. Shares in Worldline SA (PA:WLN) rose to all time highs; up 2.10% or 1.250 to 60.750. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 1.20% to 14.55.Gold Futures for August delivery was up 0.36% or 4.85 to $1336.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 2.48% or 1.32 to hit $51.95 a barrel, while the August Brent oil contract fell 2.04% or 1.27 to trade at $61.02 a barrel.EUR/USD was down 0.29% to 1.1297, while EUR/GBP rose 0.01% to 0.8903.The US Dollar Index Futures was up 0.27% at 96.907."
2,"May 20, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 1.46%,nan,"Investing.com – France stocks were lower after the close on Monday, as losses in the Basic Materials, Financials and Utilities sectors led shares lower.At the close in Paris, the CAC 40 fell 1.46%, while the SBF 120 index fell 1.50%.The best performers of the session on the CAC 40 were Orange SA (PA:ORAN), which rose 0.98% or 0.14 points to trade at 13.96 at the close. Meanwhile,  Total  SA (PA:TOTF) added 0.11% or 0.06 points to end at 49.23 and Engie SA (PA:ENGIE) was down 0.18% or 0.03 points to 13.55 in late trade.The worst performers of the session were STMicroelectronics NV (PA:STM), which fell 9.08% or 1.415 points to trade at 14.170 at the close.  Air Liquide  SA (PA:AIRP) declined 4.19% or 4.95 points to end at 113.15 and  Kering  SA (PA:PRTP) was down 3.60% or 18.80 points to 503.20.The top performers on the SBF 120 were  Ipsen  SA (PA:IPN) which rose 1.56% to 110.80, Orange SA (PA:ORAN) which was up 0.98% to settle at 13.96 and Dassault Aviation SA (PA:AVMD) which gained 0.56% to close at 1263.00.The worst performers were STMicroelectronics NV (PA:STM) which was down 9.08% to 14.170 in late trade,  Soitec  SA (PA:SOIT) which lost 7.56% to settle at 78.300 and  Imerys  SA (PA:IMTP) which was down 5.67% to 39.58 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 439 to 130 and 75 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 16.71% to 16.38.Gold Futures for June delivery was up 0.01% or 0.15 to $1275.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.30% or 0.19 to hit $63.11 a barrel, while the July Brent oil contract fell 0.12% or 0.09 to trade at $72.12 a barrel.EUR/USD was up 0.12% to 1.1169, while EUR/GBP rose 0.11% to 0.8779.The US Dollar Index Futures was down 0.06% at 97.762."
3,"May 16, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 1.37%,nan,"Investing.com – France stocks were higher after the close on Thursday, as gains in the Industrials, Utilities and Consumer Goods sectors led shares higher.At the close in Paris, the CAC 40 gained 1.37%, while the SBF 120 index gained 1.30%.The best performers of the session on the CAC 40 were Dassault Systemes SE (PA:DAST), which rose 3.35% or 4.50 points to trade at 138.65 at the close. Meanwhile,  Air Liquide  SA (PA:AIRP) added 2.78% or 3.20 points to end at 118.20 and Capgemini SE (PA:CAPP) was up 2.59% or 2.70 points to 107.05 in late trade.The worst performers of the session were  Valeo  SA (PA:VLOF), which fell 2.71% or 0.77 points to trade at 27.61 at the close.  Renault  SA (PA:RENA) declined 1.12% or 0.59 points to end at 52.00 and Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP) was down 0.93% or 1.05 points to 111.35.The top performers on the SBF 120 were Eutelsat Communications SA (PA:ETL) which rose 4.31% to 15.97,  Euronext  (PA:ENX) which was up 4.17% to settle at 63.70 and ALD SA (PA:ALDA) which gained 3.94% to close at 13.20.The worst performers were  Ubisoft  Entertainment (PA:UBIP) which was down 12.65% to 72.060 in late trade, Valeo SA (PA:VLOF) which lost 2.71% to settle at 27.61 and  Faurecia  (PA:EPED) which was down 2.32% to 37.95 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 339 to 213 and 86 ended unchanged.Shares in Renault SA (PA:RENA) fell to 3-years lows; falling 1.12% or 0.59 to 52.00. Shares in Euronext (PA:ENX) rose to all time highs; gaining 4.17% or 2.55 to 63.70. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 8.60% to 13.92.Gold Futures for June delivery was down 0.90% or 11.65 to $1286.15 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 1.60% or 0.99 to hit $63.01 a barrel, while the July Brent oil contract rose 1.63% or 1.17 to trade at $72.94 a barrel.EUR/USD was down 0.21% to 1.1176, while EUR/GBP rose 0.25% to 0.8736.The US Dollar Index Futures was up 0.26% at 97.632."
4,"Apr 25, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.33%,nan,"Investing.com – France stocks were lower after the close on Thursday, as losses in the Oil & Gas, Utilities and Basic Materials sectors led shares lower.At the close in Paris, the CAC 40 declined 0.33%, while the SBF 120 index declined 0.42%.The best performers of the session on the CAC 40 were  Carrefour  SA (PA:CARR), which rose 3.55% or 0.59 points to trade at 17.35 at the close. Meanwhile, Atos SE (PA:ATOS) added 1.22% or 1.14 points to end at 94.70 and  Air Liquide  SA (PA:AIRP) was up 1.02% or 1.20 points to 119.00 in late trade.The worst performers of the session were  Peugeot  SA (PA:PEUP), which fell 3.05% or 0.74 points to trade at 23.55 at the close. ArcelorMittal SA (AS:MT) declined 1.81% or 0.364 points to end at 19.796 and STMicroelectronics NV (PA:STM) was down 1.66% or 0.280 points to 16.560.The top performers on the SBF 120 were Carrefour SA (PA:CARR) which rose 3.55% to 17.35, DBV Technologies (PA:DBV) which was up 2.60% to settle at 17.340 and  Mercialys  SA (PA:MERY) which gained 2.41% to close at 12.74.The worst performers were BIC (PA:BICP) which was down 7.89% to 76.50 in late trade,  Ipsen  SA (PA:IPN) which lost 4.95% to settle at 115.10 and  Aperam  SA (AS:APAM) which was down 4.20% to 27.85 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 348 to 224 and 83 ended unchanged.Shares in Air Liquide SA (PA:AIRP) rose to 3-years highs; gaining 1.02% or 1.20 to 119.00. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 2.79% to 13.23.Gold Futures for June delivery was up 0.03% or 0.35 to $1279.75 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June fell 0.21% or 0.14 to hit $65.75 a barrel, while the June Brent oil contract rose 0.39% or 0.29 to trade at $74.86 a barrel.EUR/USD was down 0.14% to 1.1136, while EUR/GBP fell 0.11% to 0.8632.The US Dollar Index Futures was up 0.01% at 97.865."
5,"Mar 25, 2019 02:35PM ET",France stocks lower at close of trade; CAC 40 down 0.18%,nan,"Investing.com – France stocks were lower after the close on Monday, as losses in the Basic Materials, Industrials and Technology sectors led shares lower.At the close in Paris, the CAC 40 declined 0.18%, while the SBF 120 index lost 0.32%.The best performers of the session on the CAC 40 were LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH), which rose 1.36% or 4.25 points to trade at 317.70 at the close. Meanwhile,  Air Liquide  SA (PA:AIRP) added 1.31% or 1.45 points to end at 112.10 and  Kering  SA (PA:PRTP) was up 1.06% or 5.20 points to 497.40 in late trade.The worst performers of the session were STMicroelectronics NV (PA:STM), which fell 3.85% or 0.560 points to trade at 13.970 at the close.  Peugeot  SA (PA:PEUP) declined 2.90% or 0.63 points to end at 21.12 and  Carrefour  SA (PA:CARR) was down 2.63% or 0.45 points to 16.45.The top performers on the SBF 120 were LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH) which rose 1.36% to 317.70, Air Liquide SA (PA:AIRP) which was up 1.31% to settle at 112.10 and  Tarkett  (PA:TKTT) which gained 1.08% to close at 18.64.The worst performers were  Vallourec  (PA:VLLP) which was down 5.75% to 2.083 in late trade, DBV Technologies (PA:DBV) which lost 5.29% to settle at 12.900 and Rothschild & Co SCA (PA:ROTH) which was down 4.86% to 26.400 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 423 to 156 and 87 ended unchanged.Shares in Rothschild & Co SCA (PA:ROTH) fell to 52-week lows; losing 4.86% or 1.350 to 26.400. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 1.48% to 16.65.Gold Futures for June delivery was up 0.79% or 10.45 to $1329.15 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May fell 0.19% or 0.11 to hit $58.93 a barrel, while the June Brent oil contract rose 0.21% or 0.14 to trade at $66.89 a barrel.EUR/USD was up 0.06% to 1.1319, while EUR/GBP rose 0.23% to 0.8589.The US Dollar Index Futures was down 0.15% at 96.005."
6,"Mar 20, 2019 02:35PM ET",France stocks lower at close of trade; CAC 40 down 0.80%,nan,"Investing.com – France stocks were lower after the close on Wednesday, as losses in the Oil & Gas, Utilities and Gas & Water sectors led shares lower.At the close in Paris, the CAC 40 declined 0.80%, while the SBF 120 index fell 0.88%.The best performers of the session on the CAC 40 were  Hermes International  SCA (PA:HRMS), which rose 1.08% or 6.40 points to trade at 596.60 at the close. Meanwhile,  Air Liquide  SA (PA:AIRP) added 0.72% or 0.80 points to end at 112.65 and  Pernod Ricard  SA (PA:PERP) was up 0.54% or 0.85 points to 157.90 in late trade.The worst performers of the session were  Peugeot  SA (PA:PEUP), which fell 3.23% or 0.74 points to trade at 22.15 at the close.  Valeo  SA (PA:VLOF) declined 3.21% or 0.90 points to end at 27.10 and ArcelorMittal SA (AS:MT) was down 2.83% or 0.564 points to 19.350.The top performers on the SBF 120 were CGG SA (PA:GEPH) which rose 2.92% to 1.798,  Ubisoft  Entertainment (PA:UBIP) which was up 2.83% to settle at 78.400 and ALD SA (PA:ALDA) which gained 2.69% to close at 12.97.The worst performers were  Elior  Group (PA:ELIOR) which was down 6.46% to 12.60 in late trade,  Faurecia  (PA:EPED) which lost 6.37% to settle at 39.25 and Compagnie  Plastic Omnium  SA (PA:PLOF) which was down 4.08% to 24.47 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 342 to 212 and 116 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 9.69% to 14.29.Gold Futures for April delivery was up 0.77% or 10.00 to $1316.50 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May rose 1.40% or 0.83 to hit $60.12 a barrel, while the May Brent oil contract rose 1.20% or 0.81 to trade at $68.42 a barrel.EUR/USD was up 0.81% to 1.1441, while EUR/GBP rose 0.96% to 0.8635.The US Dollar Index Futures was down 0.63% at 95.232."
7,"Mar 06, 2019 02:35PM ET",France stocks lower at close of trade; CAC 40 down 0.16%,nan,"Investing.com – France stocks were lower after the close on Wednesday, as losses in the Financials, Consumer Services and Basic Materials sectors led shares lower.At the close in Paris, the CAC 40 declined 0.16%, while the SBF 120 index fell 0.22%.The best performers of the session on the CAC 40 were  Publicis Groupe  SA (PA:PUBP), which rose 1.00% or 0.50 points to trade at 50.36 at the close. Meanwhile,  Air Liquide  SA (PA:AIRP) added 0.86% or 0.95 points to end at 111.80 and  Danone  SA (PA:DANO) was up 0.64% or 0.43 points to 67.36 in late trade.The worst performers of the session were STMicroelectronics NV (PA:STM), which fell 3.68% or 0.545 points to trade at 14.245 at the close. Dassault Systemes SE (PA:DAST) declined 2.70% or 3.55 points to end at 128.00 and  Valeo  SA (PA:VLOF) was down 2.68% or 0.76 points to 27.56.The top performers on the SBF 120 were  Eramet  SA (PA:ERMT) which rose 4.63% to 54.25, Eurofins Scientific SE (PA:EUFI) which was up 4.13% to settle at 373.40 and Television Francaise 1 SA (PA:TFFP) which gained 2.82% to close at 8.385.The worst performers were DBV Technologies (PA:DBV) which was down 14.96% to 14.840 in late trade, ALD SA (PA:ALDA) which lost 4.62% to settle at 12.80 and STMicroelectronics NV (PA:STM) which was down 3.68% to 14.245 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 327 to 256 and 92 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 0.62% to 12.96.Gold Futures for April delivery was up 0.14% or 1.80 to $1286.50 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in April fell 0.64% or 0.36 to hit $56.20 a barrel, while the May Brent oil contract rose 0.12% or 0.08 to trade at $65.94 a barrel.EUR/USD was up 0.04% to 1.1311, while EUR/GBP rose 0.12% to 0.8587.The US Dollar Index Futures was down 0.00% at 96.792."
8,"Feb 26, 2019 01:35PM ET",France stocks higher at close of trade; CAC 40 up 0.13%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Financials, Basic Materials and Consumer Goods sectors led shares higher.At the close in Paris, the CAC 40 gained 0.13% to hit a new 3-months high, while the SBF 120 index gained 0.10%.The best performers of the session on the CAC 40 were  Air Liquide  SA (PA:AIRP), which rose 1.10% or 1.20 points to trade at 110.60 at the close. Meanwhile,  Vinci  SA (PA:SGEF) added 0.97% or 0.80 points to end at 82.96 and Dassault Systemes SE (PA:DAST) was up 0.70% or 0.90 points to 128.90 in late trade.The worst performers of the session were  Peugeot  SA (PA:PEUP), which fell 2.94% or 0.67 points to trade at 22.09 at the close. STMicroelectronics NV (PA:STM) declined 1.51% or 0.230 points to end at 15.020 and ArcelorMittal SA (AS:MT) was down 1.18% or 0.245 points to 20.605.The top performers on the SBF 120 were Air France KLM SA (PA:AIRF) which rose 5.38% to 12.730,  Eramet  SA (PA:ERMT) which was up 3.91% to settle at 54.50 and  Vallourec  (PA:VLLP) which gained 3.42% to close at 2.266.The worst performers were Technicolor (PA:TCH) which was down 4.55% to 1.029 in late trade,  Ipsos  (PA:ISOS) which lost 3.64% to settle at 21.68 and  Ubisoft  Entertainment (PA:UBIP) which was down 3.03% to 63.900 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 291 to 257 and 104 ended unchanged.Shares in Air France KLM SA (PA:AIRF) rose to 52-week highs; gaining 5.38% or 0.650 to 12.730. Shares in Ubisoft Entertainment (PA:UBIP) fell to 52-week lows; down 3.03% or 2.000 to 63.900. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 0.24% to 13.59.Gold Futures for April delivery was down 0.09% or 1.25 to $1328.25 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in April fell 0.11% or 0.06 to hit $55.42 a barrel, while the May Brent oil contract rose 0.52% or 0.34 to trade at $65.25 a barrel.EUR/USD was up 0.15% to 1.1376, while EUR/GBP fell 0.99% to 0.8585.The US Dollar Index Futures was down 0.23% at 96.045."
9,"Jan 09, 2019 12:36PM ET",France stocks higher at close of trade; CAC 40 up 0.84%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Industrials, Consumer Goods and Technology sectors led shares higher.At the close in Paris, the CAC 40 rose 0.84%, while the SBF 120 index added 0.88%.The best performers of the session on the CAC 40 were  Valeo  SA (PA:VLOF), which rose 5.79% or 1.52 points to trade at 27.77 at the close. Meanwhile, STMicroelectronics NV (PA:STM) added 5.63% or 0.640 points to end at 12.010 and Capgemini SE (PA:CAPP) was up 3.80% or 3.32 points to 90.80 in late trade.The worst performers of the session were  Air Liquide  SA (PA:AIRP), which fell 1.36% or 1.45 points to trade at 105.15 at the close. L’Oreal SA (PA:OREP) declined 0.81% or 1.60 points to end at 197.05 and  Bouygues  SA (PA:BOUY) was down 0.69% or 0.21 points to 30.09.The top performers on the SBF 120 were  Trigano  (PA:TRIA) which rose 14.28% to 84.85, CGG SA (PA:GEPH) which was up 13.02% to settle at 1.467 and  Plastic Omnium  (PA:PLOF) which gained 10.82% to close at 23.25.The worst performers were Aeroports de Paris SA (PA:ADP) which was down 4.57% to 162.90 in late trade,  Mercialys  SA (PA:MERY) which lost 3.52% to settle at 12.33 and  Iliad  (PA:ILD) which was down 3.36% to 114.95 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 408 to 170 and 86 ended unchanged.Shares in Bouygues SA (PA:BOUY) fell to 52-week lows; falling 0.69% or 0.21 to 30.09. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 0.98% to 18.77 a new 1-month low.Gold Futures for February delivery was up 0.26% or 3.35 to $1289.25 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in February rose 4.40% or 2.19 to hit $51.97 a barrel, while the March Brent oil contract rose 3.95% or 2.32 to trade at $61.04 a barrel.EUR/USD was up 0.78% to 1.1529, while EUR/GBP rose 0.42% to 0.9030.The US Dollar Index Futures was down 0.62% at 94.890."
