,date,titre,texte,article
0,"Jun 18, 2019 02:15PM ET",Netherlands stocks higher at close of trade; AEX up 1.44%,nan,"Investing.com – Netherlands stocks were higher after the close on Tuesday, as gains in the Healthcare, Financials and Consumer Services sectors led shares higher.At the close in Amsterdam, the AEX rose 1.44% to hit a new 1-month high.The best performers of the session on the AEX were ArcelorMittal SA (AS:MT), which rose 6.32% or 0.908 points to trade at 15.282 at the close. Meanwhile,  Galapagos  NV (AS:GLPG) added 3.66% or 3.950 points to end at 111.750 and  Randstad  NV (AS:RAND) was up 3.07% or 1.49 points to 49.96 in late trade.The worst performers of the session were  NN Group  NV (AS:NN), which fell 0.97% or 0.34 points to trade at 34.87 at the close.  ASR Nederland NV  (AS:ASRNL) declined 0.51% or 0.18 points to end at 35.10 and  Heineken  (AS:HEIN) was up 0.50% or 0.48 points to 97.24.Rising stocks outnumbered declining ones on the Amsterdam Stock Exchange by 81 to 40 and 15 ended unchanged.Shares in Galapagos NV (AS:GLPG) rose to all time highs; rising 3.66% or 3.950 to 111.750. The AEX Volatility, which measures the implied volatility of AEX options, was down 4.19% to 12.09 a new 1-month low.Crude oil for August delivery was up 3.89% or 2.03 to $54.20 a barrel. Elsewhere in commodities trading, Brent oil for delivery in August rose 2.23% or 1.36 to hit $62.30 a barrel, while the August Gold Futures contract rose 0.50% or 6.75 to trade at $1349.65 a troy ounce.EUR/USD was down 0.20% to 1.1195, while EUR/GBP fell 0.30% to 0.8922.The US Dollar Index Futures was up 0.11% at 97.162."
1,"Jun 18, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 2.20%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Foods & Drugs, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 added 2.20% to hit a new 1-month high, while the SBF 120 index climbed 2.17%.The best performers of the session on the CAC 40 were ArcelorMittal SA (AS:MT), which rose 6.32% or 0.908 points to trade at 15.282 at the close. Meanwhile,  Accor  SA (PA:ACCP) added 4.91% or 1.70 points to end at 36.32 and Engie SA (PA:ENGIE) was up 4.72% or 0.60 points to 13.43 in late trade.The worst performers of the session were  Renault  SA (PA:RENA), which fell 2.60% or 1.46 points to trade at 54.73 at the close. Sodexo SA (PA:EXHO) added 0.05% or 0.05 points to end at 104.95 and  Publicis Groupe  SA (PA:PUBP) was up 0.08% or 0.04 points to 50.22.The top performers on the SBF 120 were CGG SA (PA:GEPH) which rose 8.10% to 1.661, ArcelorMittal SA (AS:MT) which was up 6.32% to settle at 15.282 and Spie SA (PA:SPIE) which gained 5.77% to close at 16.490.The worst performers were Renault SA (PA:RENA) which was down 2.60% to 54.73 in late trade, Sopra Steria Group SA (PA:SOPR) which lost 1.77% to settle at 96.85 and Genfit (PA:GNFT) which was down 0.71% to 18.170 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 386 to 183 and 86 ended unchanged.Shares in Sodexo SA (PA:EXHO) rose to 52-week highs; gaining 0.05% or 0.05 to 104.95. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 1.55% to 13.76 a new 1-month low.Gold Futures for August delivery was up 0.67% or 8.95 to $1351.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in August rose 3.68% or 1.92 to hit $54.09 a barrel, while the August Brent oil contract rose 2.13% or 1.30 to trade at $62.24 a barrel.EUR/USD was down 0.14% to 1.1201, while EUR/GBP fell 0.30% to 0.8922.The US Dollar Index Futures was up 0.06% at 97.113."
2,"Jun 17, 2019 02:15PM ET",Netherlands stocks lower at close of trade; AEX down 0.17%,nan,"Investing.com – Netherlands stocks were lower after the close on Monday, as losses in the Healthcare, Financials and Consumer Services sectors led shares lower.At the close in Amsterdam, the AEX fell 0.17%.The best performers of the session on the AEX were  IMCD  NV (AS:IMCD), which rose 1.17% or 0.90 points to trade at 77.75 at the close. Meanwhile, Koninklijke Philips NV (AS:PHG) added 1.08% or 0.40 points to end at 37.06 and  Randstad  NV (AS:RAND) was up 0.54% or 0.26 points to 48.47 in late trade.The worst performers of the session were  Adyen  NV (AS:ADYEN), which fell 3.71% or 26.00 points to trade at 674.20 at the close.  Akzo Nobel  NV (AS:AKZO) declined 1.41% or 1.16 points to end at 80.93 and ArcelorMittal SA (AS:MT) was down 1.36% or 0.198 points to 14.374.Falling stocks outnumbered advancing ones on the Amsterdam Stock Exchange by 65 to 57 and 15 ended unchanged.Shares in IMCD NV (AS:IMCD) rose to all time highs; up 1.17% or 0.90 to 77.75. The AEX Volatility, which measures the implied volatility of AEX options, was up 0.27% to 12.62.Crude oil for July delivery was down 0.78% or 0.41 to $52.10 a barrel. Elsewhere in commodities trading, Brent oil for delivery in August fell 1.31% or 0.81 to hit $61.20 a barrel, while the August Gold Futures contract fell 0.19% or 2.55 to trade at $1341.95 a troy ounce.EUR/USD was up 0.07% to 1.1215, while EUR/GBP rose 0.55% to 0.8947.The US Dollar Index Futures was up 0.01% at 97.075."
3,"Jun 17, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.43%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Foods & Drugs, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 rose 0.43%, while the SBF 120 index gained 0.38%.The best performers of the session on the CAC 40 were Airbus Group SE (PA:AIR), which rose 2.11% or 2.58 points to trade at 125.00 at the close. Meanwhile, TechnipFMC PLC (PA:FTI) added 2.05% or 0.41 points to end at 20.45 and  Safran  SA (PA:SAF) was up 1.63% or 2.00 points to 124.90 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 1.36% or 0.198 points to trade at 14.374 at the close. Engie SA (PA:ENGIE) declined 1.00% or 0.13 points to end at 12.82 and WFD Unibail Rodamco NV (AS:URW) was down 0.92% or 1.25 points to 134.60.The top performers on the SBF 120 were  Maisons du Monde SAS  (PA:MDM) which rose 2.56% to 18.050,  Biomerieux  SA (PA:BIOX) which was up 2.47% to settle at 76.65 and  Thales  (PA:TCFP) which gained 2.42% to close at 108.00.The worst performers were  Rubis  SCA (PA:RUBF) which was down 4.86% to 46.62 in late trade, Air France KLM SA (PA:AIRF) which lost 4.27% to settle at 7.886 and Sopra Steria Group SA (PA:SOPR) which was down 3.33% to 98.60 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 291 to 280 and 91 ended unchanged.Shares in Airbus Group SE (PA:AIR) rose to all time highs; rising 2.11% or 2.58 to 125.00. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 4.14% to 13.97 a new 1-month low.Gold Futures for August delivery was down 0.08% or 1.05 to $1343.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 0.50% or 0.26 to hit $52.25 a barrel, while the August Brent oil contract fell 0.97% or 0.60 to trade at $61.41 a barrel.EUR/USD was up 0.18% to 1.1227, while EUR/GBP rose 0.48% to 0.8941.The US Dollar Index Futures was down 0.09% at 96.975."
4,"Jun 14, 2019 02:15PM ET",Netherlands stocks lower at close of trade; AEX down 0.47%,nan,"Investing.com – Netherlands stocks were lower after the close on Friday, as losses in the Consumer Goods, Financials and Oil & Gas sectors led shares lower.At the close in Amsterdam, the AEX declined 0.47%.The best performers of the session on the AEX were Koninklijke  Vopak  NV (AS:VOPA), which rose 1.84% or 0.71 points to trade at 39.09 at the close. Meanwhile, Relx PLC (AS:REL) added 1.47% or 0.310 points to end at 21.450 and Koninklijke Ahold Delhaize NV (AS:AD) was up 0.78% or 0.160 points to 20.575 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 2.38% or 0.356 points to trade at 14.572 at the close. ASML Holding NV (AS:ASML) declined 2.26% or 3.96 points to end at 171.04 and  Heineken  (AS:HEIN) was down 2.17% or 2.14 points to 96.42.Falling stocks outnumbered advancing ones on the Amsterdam Stock Exchange by 80 to 39 and 17 ended unchanged.Shares in Relx PLC (AS:REL) rose to 5-year highs; rising 1.47% or 0.310 to 21.450. The AEX Volatility, which measures the implied volatility of AEX options, was up 1.33% to 12.58.Crude oil for July delivery was up 1.05% or 0.55 to $52.83 a barrel. Elsewhere in commodities trading, Brent oil for delivery in August rose 1.65% or 1.01 to hit $62.32 a barrel, while the August Gold Futures contract fell 0.01% or 0.15 to trade at $1343.55 a troy ounce.EUR/USD was down 0.58% to 1.1210, while EUR/GBP rose 0.11% to 0.8904.The US Dollar Index Futures was up 0.55% at 97.537."
5,"Jun 14, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.15%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Utilities, Healthcare and Consumer Goods sectors led shares lower.At the close in Paris, the CAC 40 fell 0.15%, while the SBF 120 index declined 0.23%.The best performers of the session on the CAC 40 were EssilorLuxottica SA (PA:ESLX), which rose 1.67% or 1.75 points to trade at 106.40 at the close. Meanwhile, Engie SA (PA:ENGIE) added 1.13% or 0.14 points to end at 12.96 and  Total  SA (PA:TOTF) was up 0.57% or 0.27 points to 47.25 in late trade.The worst performers of the session were STMicroelectronics NV (PA:STM), which fell 3.22% or 0.470 points to trade at 14.140 at the close. Capgemini SE (PA:CAPP) declined 2.70% or 2.70 points to end at 97.16 and ArcelorMittal SA (AS:MT) was down 2.38% or 0.356 points to 14.572.The top performers on the SBF 120 were  Rubis  SCA (PA:RUBF) which rose 2.34% to 49.00,  Neopost  SA (PA:NPOS) which was up 2.01% to settle at 19.78 and  Elis Services SA  (PA:ELIS) which gained 1.86% to close at 15.33.The worst performers were  Groupe FNAC  (PA:FNAC) which was down 6.13% to 64.300 in late trade,  Iliad  (PA:ILD) which lost 3.97% to settle at 101.50 and Sopra Steria Group SA (PA:SOPR) which was down 3.68% to 102.00 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 330 to 229 and 97 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 2.73% to 14.58.Gold Futures for August delivery was up 0.52% or 7.05 to $1350.75 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.92% or 0.48 to hit $52.76 a barrel, while the August Brent oil contract rose 1.32% or 0.81 to trade at $62.12 a barrel.EUR/USD was down 0.59% to 1.1208, while EUR/GBP rose 0.05% to 0.8899.The US Dollar Index Futures was up 0.56% at 97.542."
6,"Jun 13, 2019 02:15PM ET",Netherlands stocks lower at close of trade; AEX down 0.05%,nan,"Investing.com – Netherlands stocks were lower after the close on Thursday, as losses in the Technology, Oil & Gas and Financials sectors led shares lower.At the close in Amsterdam, the AEX fell 0.05%.The best performers of the session on the AEX were ArcelorMittal SA (AS:MT), which rose 2.30% or 0.336 points to trade at 14.928 at the close. Meanwhile, Koninklijke Ahold Delhaize NV (AS:AD) added 1.34% or 0.270 points to end at 20.415 and Aalberts Industries NV (AS:AALB) was up 1.07% or 0.34 points to 32.18 in late trade.The worst performers of the session were Koninklijke KPN NV (AS:KPN), which fell 1.00% or 0.029 points to trade at 2.869 at the close.  ING Groep  NV (AS:INGA) declined 0.97% or 0.097 points to end at 9.927 and  Wolters Kluwer  (AS:WLSNc) was down 0.77% or 0.50 points to 64.20.Rising stocks outnumbered declining ones on the Amsterdam Stock Exchange by 70 to 59 and 15 ended unchanged.The AEX Volatility, which measures the implied volatility of AEX options, was down 5.93% to 12.42 a new 1-month low.Crude oil for July delivery was up 2.13% or 1.09 to $52.23 a barrel. Elsewhere in commodities trading, Brent oil for delivery in August rose 1.98% or 1.19 to hit $61.16 a barrel, while the August Gold Futures contract rose 0.69% or 9.25 to trade at $1346.05 a troy ounce.EUR/USD was down 0.07% to 1.1280, while EUR/GBP fell 0.01% to 0.8893.The US Dollar Index Futures was up 0.03% at 96.998."
7,"Jun 13, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.01%,nan,"Investing.com – France stocks were higher after the close on Thursday, as gains in the Healthcare, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 added 0.01%, while the SBF 120 index added 0.03%.The best performers of the session on the CAC 40 were Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP), which rose 2.70% or 2.90 points to trade at 110.25 at the close. Meanwhile, ArcelorMittal SA (AS:MT) added 2.30% or 0.336 points to end at 14.928 and TechnipFMC PLC (PA:FTI) was up 2.09% or 0.41 points to 20.05 in late trade.The worst performers of the session were  Societe Generale  SA (PA:SOGN), which fell 1.67% or 0.36 points to trade at 21.48 at the close. Engie SA (PA:ENGIE) declined 1.50% or 0.20 points to end at 12.81 and  Valeo  SA (PA:VLOF) was down 1.15% or 0.29 points to 24.89.The top performers on the SBF 120 were Television Francaise 1 SA (PA:TFFP) which rose 4.59% to 9.345,  Soitec  SA (PA:SOIT) which was up 4.41% to settle at 91.200 and Compagnie Generale des Etablissements Michelin SCA (PA:MICP) which gained 2.70% to close at 110.25.The worst performers were  Remy Cointreau  (PA:RCOP) which was down 2.24% to 113.60 in late trade, Compagnie  Plastic Omnium  SA (PA:PLOF) which lost 2.01% to settle at 21.41 and Getlink SE (PA:GETP) which was down 1.99% to 13.780 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 286 to 275 and 98 ended unchanged.Shares in Societe Generale SA (PA:SOGN) fell to 5-year lows; down 1.67% or 0.36 to 21.48. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 2.47% to 14.19.Gold Futures for August delivery was up 0.49% or 6.55 to $1343.35 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 2.13% or 1.09 to hit $52.23 a barrel, while the August Brent oil contract rose 1.92% or 1.15 to trade at $61.12 a barrel.EUR/USD was down 0.09% to 1.1277, while EUR/GBP fell 0.02% to 0.8892.The US Dollar Index Futures was up 0.06% at 97.032."
8,"Jun 12, 2019 02:15PM ET",Netherlands stocks lower at close of trade; AEX down 0.20%,nan,"Investing.com – Netherlands stocks were lower after the close on Wednesday, as losses in the Healthcare, Financials and Consumer Services sectors led shares lower.At the close in Amsterdam, the AEX declined 0.20%.The best performers of the session on the AEX were Koninklijke KPN NV (AS:KPN), which rose 1.93% or 0.055 points to trade at 2.898 at the close. Meanwhile,  Akzo Nobel  NV (AS:AKZO) added 1.54% or 1.24 points to end at 81.83 and Koninklijke DSM NV (AS:DSMN) was up 1.38% or 1.45 points to 106.40 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 2.81% or 0.422 points to trade at 14.592 at the close.  Aegon  NV (AS:AEGN) declined 1.88% or 0.081 points to end at 4.231 and  NN Group  NV (AS:NN) was down 1.78% or 0.65 points to 35.82.Falling stocks outnumbered advancing ones on the Amsterdam Stock Exchange by 69 to 57 and 14 ended unchanged.Shares in Koninklijke KPN NV (AS:KPN) rose to 52-week highs; gaining 1.93% or 0.055 to 2.898. Shares in Akzo Nobel NV (AS:AKZO) rose to all time highs; up 1.54% or 1.24 to 81.83. Shares in Koninklijke DSM NV (AS:DSMN) rose to all time highs; up 1.38% or 1.45 to 106.40. The AEX Volatility, which measures the implied volatility of AEX options, was up 0.37% to 13.20.Crude oil for July delivery was down 3.38% or 1.80 to $51.47 a barrel. Elsewhere in commodities trading, Brent oil for delivery in August fell 3.00% or 1.87 to hit $60.42 a barrel, while the August Gold Futures contract rose 0.41% or 5.45 to trade at $1336.65 a troy ounce.EUR/USD was down 0.30% to 1.1295, while EUR/GBP fell 0.03% to 0.8900.The US Dollar Index Futures was up 0.27% at 96.910."
9,"Jun 12, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.62%,nan,"Investing.com – France stocks were lower after the close on Wednesday, as losses in the Foods & Drugs, Gas & Water and General Financial sectors led shares lower.At the close in Paris, the CAC 40 fell 0.62%, while the SBF 120 index fell 0.60%.The best performers of the session on the CAC 40 were  Worldline SA  (PA:WLN), which rose 2.10% or 1.250 points to trade at 60.750 at the close. Meanwhile,  Vivendi  SA (PA:VIV) added 1.28% or 0.31 points to end at 24.51 and  Air Liquide  SA (PA:AIRP) was up 0.94% or 1.10 points to 118.30 in late trade.The worst performers of the session were TechnipFMC PLC (PA:FTI), which fell 3.58% or 0.73 points to trade at 19.64 at the close. ArcelorMittal SA (AS:MT) declined 2.81% or 0.422 points to end at 14.592 and  Total  SA (PA:TOTF) was down 2.73% or 1.32 points to 46.95.The top performers on the SBF 120 were Genfit (PA:GNFT) which rose 5.50% to 18.800,  Imerys  SA (PA:IMTP) which was up 4.42% to settle at 43.90 and Worldline SA (PA:WLN) which gained 2.10% to close at 60.750.The worst performers were DBV Technologies (PA:DBV) which was down 4.72% to 15.130 in late trade, TechnipFMC PLC (PA:FTI) which lost 3.58% to settle at 19.64 and  Maisons du Monde SAS  (PA:MDM) which was down 3.18% to 17.350 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 327 to 235 and 98 ended unchanged.Shares in Worldline SA (PA:WLN) rose to all time highs; rising 2.10% or 1.250 to 60.750. Shares in Worldline SA (PA:WLN) rose to all time highs; up 2.10% or 1.250 to 60.750. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 1.20% to 14.55.Gold Futures for August delivery was up 0.36% or 4.85 to $1336.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 2.48% or 1.32 to hit $51.95 a barrel, while the August Brent oil contract fell 2.04% or 1.27 to trade at $61.02 a barrel.EUR/USD was down 0.29% to 1.1297, while EUR/GBP rose 0.01% to 0.8903.The US Dollar Index Futures was up 0.27% at 96.907."
