,date,titre,texte,article
0,"May 22, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.12%,nan,"Investing.com – France stocks were lower after the close on Wednesday, as losses in the Utilities, Healthcare and Gas & Water sectors led shares lower.At the close in Paris, the CAC 40 fell 0.12%, while the SBF 120 index fell 0.12%.The best performers of the session on the CAC 40 were Atos SE (PA:ATOS), which rose 2.68% or 1.90 points to trade at 72.82 at the close. Meanwhile,  Worldline SA  (PA:WLN) added 2.05% or 1.050 points to end at 52.300 and Capgemini SE (PA:CAPP) was up 1.76% or 1.85 points to 106.70 in late trade.The worst performers of the session were TechnipFMC PLC (PA:FTI), which fell 2.70% or 0.57 points to trade at 20.57 at the close.  Credit Agricole  SA (PA:CAGR) declined 2.01% or 0.225 points to end at 10.980 and  Peugeot  SA (PA:PEUP) was down 1.97% or 0.42 points to 20.87.The top performers on the SBF 120 were  Neopost  SA (PA:NPOS) which rose 3.30% to 18.18,  Teleperformance  SE (PA:ROCH) which was up 3.20% to settle at 174.40 and Sopra Steria Group SA (PA:SOPR) which gained 3.11% to close at 109.40.The worst performers were  Vallourec  (PA:VLLP) which was down 5.94% to 2.312 in late trade, CGG SA (PA:GEPH) which lost 3.81% to settle at 1.567 and  Casino  Guichard Perrachon SA (PA:CASP) which was down 3.40% to 29.85 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 315 to 227 and 88 ended unchanged.Shares in Teleperformance SE (PA:ROCH) rose to all time highs; gaining 3.20% or 5.40 to 174.40. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.44% to 14.62.Gold Futures for June delivery was up 0.11% or 1.45 to $1274.65 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 3.10% or 1.96 to hit $61.17 a barrel, while the July Brent oil contract fell 2.13% or 1.54 to trade at $70.64 a barrel.EUR/USD was down 0.01% to 1.1157, while EUR/GBP rose 0.27% to 0.8803.The US Dollar Index Futures was up 0.01% at 97.903."
1,"May 14, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 1.50%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Utilities, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 rose 1.50%, while the SBF 120 index climbed 1.50%.The best performers of the session on the CAC 40 were STMicroelectronics NV (PA:STM), which rose 6.49% or 0.920 points to trade at 15.090 at the close. Meanwhile, Atos SE (PA:ATOS) added 3.66% or 2.48 points to end at 70.26 and  Kering  SA (PA:PRTP) was up 3.56% or 17.50 points to 508.50 in late trade.The worst performers of the session were Veolia Environnement VE SA (PA:VIE), which fell 4.03% or 0.840 points to trade at 19.980 at the close.  Renault  SA (PA:RENA) declined 2.32% or 1.26 points to end at 53.11 and EssilorLuxottica SA (PA:ESLX) was down 1.22% or 1.35 points to 109.00.The top performers on the SBF 120 were STMicroelectronics NV (PA:STM) which rose 6.49% to 15.090,  Imerys  SA (PA:IMTP) which was up 6.46% to settle at 41.20 and  Maisons du Monde SAS  (PA:MDM) which gained 6.00% to close at 18.550.The worst performers were Lagardere SCA (PA:LAGA) which was down 5.94% to 22.16 in late trade, Veolia Environnement VE SA (PA:VIE) which lost 4.03% to settle at 19.980 and  Trigano  SA (PA:TRIA) which was down 2.90% to 75.35 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 377 to 175 and 91 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 10.10% to 16.77.Gold Futures for June delivery was down 0.42% or 5.45 to $1296.35 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 1.43% or 0.87 to hit $61.91 a barrel, while the July Brent oil contract rose 1.77% or 1.24 to trade at $71.47 a barrel.EUR/USD was down 0.11% to 1.1211, while EUR/GBP rose 0.23% to 0.8680.The US Dollar Index Futures was up 0.20% at 97.315."
2,"May 08, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.40%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Utilities, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 added 0.40%, while the SBF 120 index climbed 0.36%.The best performers of the session on the CAC 40 were Atos SE (PA:ATOS), which rose 2.93% or 1.94 points to trade at 68.24 at the close. Meanwhile,  Kering  SA (PA:PRTP) added 1.68% or 8.50 points to end at 515.70 and TechnipFMC PLC (PA:FTI) was up 1.58% or 0.32 points to 20.58 in late trade.The worst performers of the session were Veolia Environnement VE SA (PA:VIE), which fell 2.45% or 0.530 points to trade at 21.070 at the close. Sodexo SA (PA:EXHO) declined 1.72% or 1.75 points to end at 100.25 and WFD Unibail Rodamco NV (AS:URW) was down 0.94% or 1.40 points to 148.15.The top performers on the SBF 120 were  Iliad  (PA:ILD) which rose 4.69% to 103.45, Atos SE (PA:ATOS) which was up 2.93% to settle at 68.24 and  Ubisoft  Entertainment (PA:UBIP) which gained 2.59% to close at 83.200.The worst performers were Air France KLM SA (PA:AIRF) which was down 2.77% to 8.974 in late trade, Veolia Environnement VE SA (PA:VIE) which lost 2.45% to settle at 21.070 and  Solvay  SA (BR:SOLB) which was down 2.34% to 94.46 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 302 to 250 and 96 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 6.76% to 16.74.Gold Futures for June delivery was down 0.35% or 4.55 to $1281.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 0.94% or 0.58 to hit $61.98 a barrel, while the July Brent oil contract rose 0.64% or 0.45 to trade at $70.33 a barrel.EUR/USD was down 0.02% to 1.1188, while EUR/GBP rose 0.54% to 0.8603.The US Dollar Index Futures was up 0.00% at 97.403."
3,"May 07, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 1.60%,nan,"Investing.com – France stocks were lower after the close on Tuesday, as losses in the Oil & Gas, Consumer Goods and Consumer Services sectors led shares lower.At the close in Paris, the CAC 40 lost 1.60% to hit a new 1-month low, while the SBF 120 index fell 1.49%.The best performers of the session on the CAC 40 were  Carrefour  SA (PA:CARR), which rose 2.72% or 0.47 points to trade at 17.58 at the close. Meanwhile, Veolia Environnement VE SA (PA:VIE) added 1.84% or 0.390 points to end at 21.600 and  Publicis Groupe  SA (PA:PUBP) was up 0.42% or 0.22 points to 52.76 in late trade.The worst performers of the session were  Worldline SA  (PA:WLN), which fell 4.93% or 2.700 points to trade at 52.050 at the close.  Societe Generale  SA (PA:SOGN) declined 3.89% or 1.09 points to end at 27.09 and Atos SE (PA:ATOS) was down 3.75% or 2.58 points to 66.30.The top performers on the SBF 120 were  Iliad  (PA:ILD) which rose 4.75% to 98.82, Carrefour SA (PA:CARR) which was up 2.72% to settle at 17.58 and  Nexity  (PA:NEXI) which gained 2.02% to close at 41.48.The worst performers were  Imerys  SA (PA:IMTP) which was down 14.48% to 40.40 in late trade,  Solvay  SA (BR:SOLB) which lost 6.69% to settle at 96.72 and Worldline SA (PA:WLN) which was down 4.93% to 52.050 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 343 to 217 and 93 ended unchanged.Shares in Veolia Environnement VE SA (PA:VIE) rose to 52-week highs; rising 1.84% or 0.390 to 21.600. Shares in Imerys SA (PA:IMTP) fell to 5-year lows; losing 14.48% or 6.84 to 40.40. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 18.14% to 17.96 a new 3-months high.Gold Futures for June delivery was up 0.12% or 1.55 to $1285.35 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June fell 1.12% or 0.70 to hit $61.55 a barrel, while the July Brent oil contract fell 1.26% or 0.90 to trade at $70.34 a barrel.EUR/USD was down 0.20% to 1.1175, while EUR/GBP rose 0.12% to 0.8558.The US Dollar Index Futures was up 0.19% at 97.453."
4,"May 06, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 1.18%,nan,"Investing.com – France stocks were lower after the close on Monday, as losses in the Technology, Industrials and Oil & Gas sectors led shares lower.At the close in Paris, the CAC 40 lost 1.18%, while the SBF 120 index declined 1.18%.The best performers of the session on the CAC 40 were Atos SE (PA:ATOS), which rose 1.35% or 0.92 points to trade at 68.88 at the close. Meanwhile, EssilorLuxottica SA (PA:ESLX) added 0.75% or 0.80 points to end at 107.30 and  Worldline SA  (PA:WLN) was up 0.64% or 0.350 points to 54.750 in late trade.The worst performers of the session were STMicroelectronics NV (PA:STM), which fell 4.93% or 0.810 points to trade at 15.615 at the close.  Valeo  SA (PA:VLOF) declined 4.00% or 1.29 points to end at 30.97 and LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH) was down 3.00% or 10.65 points to 344.40.The top performers on the SBF 120 were  Vallourec  (PA:VLLP) which rose 3.64% to 2.221, Atos SE (PA:ATOS) which was up 1.35% to settle at 68.88 and Genfit (PA:GNFT) which gained 0.84% to close at 21.620.The worst performers were  Faurecia  (PA:EPED) which was down 4.97% to 43.05 in late trade, STMicroelectronics NV (PA:STM) which lost 4.93% to settle at 15.615 and Compagnie  Plastic Omnium  SA (PA:PLOF) which was down 4.54% to 25.42 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 484 to 119 and 66 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 16.00% to 15.20 a new 1-month high.Gold Futures for June delivery was up 0.14% or 1.75 to $1283.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June fell 0.10% or 0.06 to hit $61.88 a barrel, while the July Brent oil contract fell 0.17% or 0.12 to trade at $70.73 a barrel.EUR/USD was up 0.04% to 1.1204, while EUR/GBP rose 0.10% to 0.8555.The US Dollar Index Futures was up 0.01% at 97.273."
5,"May 03, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.18%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Gas & Water, General Financial and Foods & Drugs sectors led shares higher.At the close in Paris, the CAC 40 gained 0.18%, while the SBF 120 index climbed 0.11%.The best performers of the session on the CAC 40 were AXA SA (PA:AXAF), which rose 1.94% or 0.44 points to trade at 23.07 at the close. Meanwhile, LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH) added 1.15% or 4.05 points to end at 355.05 and  Societe Generale  SA (PA:SOGN) was up 1.13% or 0.32 points to 28.70 in late trade.The worst performers of the session were Atos SE (PA:ATOS), which fell 27.05% or 25.20 points to trade at 67.96 at the close. WFD Unibail Rodamco NV (AS:URW) declined 1.89% or 2.90 points to end at 150.90 and Orange SA (PA:ORAN) was down 1.24% or 0.17 points to 13.93.The top performers on the SBF 120 were CGG SA (PA:GEPH) which rose 3.76% to 1.600, AXA SA (PA:AXAF) which was up 1.94% to settle at 23.07 and Spie SA (PA:SPIE) which gained 1.72% to close at 17.780.The worst performers were Atos SE (PA:ATOS) which was down 27.05% to 67.96 in late trade, Air France KLM SA (PA:AIRF) which lost 5.47% to settle at 9.670 and ALD SA (PA:ALDA) which was down 4.27% to 12.56 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 296 to 266 and 86 ended unchanged.Shares in LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH) rose to all time highs; rising 1.15% or 4.05 to 355.05. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 7.24% to 13.10.Gold Futures for June delivery was up 0.81% or 10.35 to $1282.35 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 0.68% or 0.42 to hit $62.23 a barrel, while the July Brent oil contract rose 0.69% or 0.49 to trade at $71.24 a barrel.EUR/USD was up 0.17% to 1.1196, while EUR/GBP fell 0.66% to 0.8516.The US Dollar Index Futures was down 0.31% at 97.285."
6,"May 02, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.85%,nan,"Investing.com – France stocks were lower after the close on Thursday, as losses in the Industrials, Financials and Technology sectors led shares lower.At the close in Paris, the CAC 40 fell 0.85%, while the SBF 120 index declined 0.79%.The best performers of the session on the CAC 40 were Atos SE (PA:ATOS), which rose 1.50% or 1.38 points to trade at 93.16 at the close. Meanwhile,  BNP Paribas  SA (PA:BNPP) added 1.16% or 0.55 points to end at 48.00 and Veolia Environnement VE SA (PA:VIE) was up 1.00% or 0.210 points to 21.270 in late trade.The worst performers of the session were TechnipFMC PLC (PA:FTI), which fell 5.34% or 1.18 points to trade at 20.93 at the close.  Legrand  SA (PA:LEGD) declined 5.13% or 3.36 points to end at 62.16 and AXA SA (PA:AXAF) was down 4.70% or 1.11 points to 22.63.The top performers on the SBF 120 were  Nexans  SA (PA:NEXS) which rose 3.52% to 32.33, Television Francaise 1 SA (PA:TFFP) which was up 3.49% to settle at 10.080 and Metropole Television SA (PA:MMTP) which gained 2.60% to close at 18.15.The worst performers were TechnipFMC PLC (PA:FTI) which was down 5.34% to 20.93 in late trade, Legrand SA (PA:LEGD) which lost 5.13% to settle at 62.16 and AXA SA (PA:AXAF) which was down 4.70% to 22.63 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 354 to 230 and 90 ended unchanged.Shares in Veolia Environnement VE SA (PA:VIE) rose to 52-week highs; gaining 1.00% or 0.210 to 21.270. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 4.55% to 14.12.Gold Futures for June delivery was down 0.99% or 12.75 to $1271.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June fell 3.52% or 2.24 to hit $61.36 a barrel, while the July Brent oil contract fell 2.80% or 2.02 to trade at $70.16 a barrel.EUR/USD was down 0.13% to 1.1179, while EUR/GBP rose 0.06% to 0.8583.The US Dollar Index Futures was up 0.15% at 97.553."
7,"Apr 25, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.33%,nan,"Investing.com – France stocks were lower after the close on Thursday, as losses in the Oil & Gas, Utilities and Basic Materials sectors led shares lower.At the close in Paris, the CAC 40 declined 0.33%, while the SBF 120 index declined 0.42%.The best performers of the session on the CAC 40 were  Carrefour  SA (PA:CARR), which rose 3.55% or 0.59 points to trade at 17.35 at the close. Meanwhile, Atos SE (PA:ATOS) added 1.22% or 1.14 points to end at 94.70 and  Air Liquide  SA (PA:AIRP) was up 1.02% or 1.20 points to 119.00 in late trade.The worst performers of the session were  Peugeot  SA (PA:PEUP), which fell 3.05% or 0.74 points to trade at 23.55 at the close. ArcelorMittal SA (AS:MT) declined 1.81% or 0.364 points to end at 19.796 and STMicroelectronics NV (PA:STM) was down 1.66% or 0.280 points to 16.560.The top performers on the SBF 120 were Carrefour SA (PA:CARR) which rose 3.55% to 17.35, DBV Technologies (PA:DBV) which was up 2.60% to settle at 17.340 and  Mercialys  SA (PA:MERY) which gained 2.41% to close at 12.74.The worst performers were BIC (PA:BICP) which was down 7.89% to 76.50 in late trade,  Ipsen  SA (PA:IPN) which lost 4.95% to settle at 115.10 and  Aperam  SA (AS:APAM) which was down 4.20% to 27.85 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 348 to 224 and 83 ended unchanged.Shares in Air Liquide SA (PA:AIRP) rose to 3-years highs; gaining 1.02% or 1.20 to 119.00. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 2.79% to 13.23.Gold Futures for June delivery was up 0.03% or 0.35 to $1279.75 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June fell 0.21% or 0.14 to hit $65.75 a barrel, while the June Brent oil contract rose 0.39% or 0.29 to trade at $74.86 a barrel.EUR/USD was down 0.14% to 1.1136, while EUR/GBP fell 0.11% to 0.8632.The US Dollar Index Futures was up 0.01% at 97.865."
8,"Apr 16, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.36%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Utilities, Financials and Basic Materials sectors led shares higher.At the close in Paris, the CAC 40 added 0.36% to hit a new 6-months high, while the SBF 120 index gained 0.38%.The best performers of the session on the CAC 40 were  Publicis Groupe  SA (PA:PUBP), which rose 3.71% or 1.77 points to trade at 49.52 at the close. Meanwhile, STMicroelectronics NV (PA:STM) added 2.14% or 0.340 points to end at 16.205 and EssilorLuxottica SA (PA:ESLX) was up 2.12% or 2.15 points to 103.75 in late trade.The worst performers of the session were  Vivendi  SA (PA:VIV), which fell 2.05% or 0.54 points to trade at 25.83 at the close.  Pernod Ricard  SA (PA:PERP) declined 1.79% or 2.85 points to end at 156.10 and Atos SE (PA:ATOS) was down 1.31% or 1.22 points to 91.74.The top performers on the SBF 120 were  Eramet  SA (PA:ERMT) which rose 19.68% to 71.02, Publicis Groupe SA (PA:PUBP) which was up 3.71% to settle at 49.52 and  Euronext  (PA:ENX) which gained 3.07% to close at 60.40.The worst performers were CGG SA (PA:GEPH) which was down 2.62% to 1.655 in late trade, Technicolor (PA:TCH) which lost 2.36% to settle at 1.156 and  Biomerieux  SA (PA:BIOX) which was down 2.20% to 75.70 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 340 to 223 and 100 ended unchanged.Shares in Euronext (PA:ENX) rose to 52-week highs; gaining 3.07% or 1.80 to 60.40. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 1.79% to 11.82.Gold Futures for June delivery was down 1.12% or 14.45 to $1276.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May rose 0.41% or 0.26 to hit $63.66 a barrel, while the June Brent oil contract rose 0.25% or 0.18 to trade at $71.36 a barrel.EUR/USD was down 0.21% to 1.1283, while EUR/GBP rose 0.17% to 0.8645.The US Dollar Index Futures was up 0.14% at 96.688."
9,"Apr 15, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.11%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Financials, Basic Materials and Technology sectors led shares higher.At the close in Paris, the CAC 40 rose 0.11% to hit a new 6-months high, while the SBF 120 index added 0.15%.The best performers of the session on the CAC 40 were Atos SE (PA:ATOS), which rose 2.99% or 2.70 points to trade at 92.96 at the close. Meanwhile,  Credit Agricole  SA (PA:CAGR) added 2.18% or 0.260 points to end at 12.200 and  Bouygues  SA (PA:BOUY) was up 1.44% or 0.49 points to 34.49 in late trade.The worst performers of the session were Sodexo SA (PA:EXHO), which fell 1.87% or 1.95 points to trade at 102.60 at the close. STMicroelectronics NV (PA:STM) declined 1.18% or 0.190 points to end at 15.865 and TechnipFMC PLC (PA:FTI) was down 1.18% or 0.26 points to 21.77.The top performers on the SBF 120 were Altran Technologies SA (PA:ALTT) which rose 3.41% to 10.770, Electricite de France SA (PA:EDF) which was up 3.01% to settle at 12.48 and Atos SE (PA:ATOS) which gained 2.99% to close at 92.96.The worst performers were CGG SA (PA:GEPH) which was down 2.58% to 1.700 in late trade,  Maisons du Monde SAS  (PA:MDM) which lost 2.19% to settle at 18.290 and SES (PA:SESFd) which was down 2.07% to 14.88 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 338 to 235 and 94 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 5.12% to 11.61 a new 6-months low.Gold Futures for June delivery was down 0.21% or 2.75 to $1292.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May fell 0.91% or 0.58 to hit $63.31 a barrel, while the June Brent oil contract fell 0.61% or 0.44 to trade at $71.11 a barrel.EUR/USD was up 0.06% to 1.1307, while EUR/GBP fell 0.21% to 0.8627.The US Dollar Index Futures was down 0.09% at 96.510."
