,date,titre,texte,article
0,"Jun 03, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.65%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Utilities, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 gained 0.65%, while the SBF 120 index climbed 0.53%.The best performers of the session on the CAC 40 were  Danone  SA (PA:DANO), which rose 2.18% or 1.56 points to trade at 72.96 at the close. Meanwhile, Sanofi SA (PA:SASY) added 2.09% or 1.51 points to end at 73.75 and Airbus Group SE (PA:AIR) was up 2.00% or 2.30 points to 117.16 in late trade.The worst performers of the session were Capgemini SE (PA:CAPP), which fell 1.34% or 1.34 points to trade at 98.76 at the close. AXA SA (PA:AXAF) declined 1.27% or 0.28 points to end at 21.80 and  Legrand  SA (PA:LEGD) was down 1.13% or 0.68 points to 59.46.The top performers on the SBF 120 were  Ipsen  SA (PA:IPN) which rose 3.84% to 111.00, Sartorius  Stedim  Biotech SA (PA:STDM) which was up 2.50% to settle at 127.20 and Lagardere SCA (PA:LAGA) which gained 2.20% to close at 22.28.The worst performers were Technicolor (PA:TCH) which was down 8.70% to 0.876 in late trade,  Maisons du Monde SAS  (PA:MDM) which lost 4.38% to settle at 17.260 and Eurofins Scientific SE (PA:EUFI) which was down 4.22% to 390.00 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 299 to 265 and 96 ended unchanged.Shares in Danone SA (PA:DANO) rose to all time highs; rising 2.18% or 1.56 to 72.96. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.38% to 16.38.Gold Futures for August delivery was up 1.10% or 14.45 to $1325.55 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.41% or 0.22 to hit $53.72 a barrel, while the August Brent oil contract fell 0.31% or 0.19 to trade at $61.80 a barrel.EUR/USD was up 0.43% to 1.1216, while EUR/GBP rose 0.36% to 0.8876.The US Dollar Index Futures was down 0.29% at 97.387."
1,"May 03, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.18%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Gas & Water, General Financial and Foods & Drugs sectors led shares higher.At the close in Paris, the CAC 40 gained 0.18%, while the SBF 120 index climbed 0.11%.The best performers of the session on the CAC 40 were AXA SA (PA:AXAF), which rose 1.94% or 0.44 points to trade at 23.07 at the close. Meanwhile, LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH) added 1.15% or 4.05 points to end at 355.05 and  Societe Generale  SA (PA:SOGN) was up 1.13% or 0.32 points to 28.70 in late trade.The worst performers of the session were Atos SE (PA:ATOS), which fell 27.05% or 25.20 points to trade at 67.96 at the close. WFD Unibail Rodamco NV (AS:URW) declined 1.89% or 2.90 points to end at 150.90 and Orange SA (PA:ORAN) was down 1.24% or 0.17 points to 13.93.The top performers on the SBF 120 were CGG SA (PA:GEPH) which rose 3.76% to 1.600, AXA SA (PA:AXAF) which was up 1.94% to settle at 23.07 and Spie SA (PA:SPIE) which gained 1.72% to close at 17.780.The worst performers were Atos SE (PA:ATOS) which was down 27.05% to 67.96 in late trade, Air France KLM SA (PA:AIRF) which lost 5.47% to settle at 9.670 and ALD SA (PA:ALDA) which was down 4.27% to 12.56 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 296 to 266 and 86 ended unchanged.Shares in LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH) rose to all time highs; rising 1.15% or 4.05 to 355.05. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 7.24% to 13.10.Gold Futures for June delivery was up 0.81% or 10.35 to $1282.35 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 0.68% or 0.42 to hit $62.23 a barrel, while the July Brent oil contract rose 0.69% or 0.49 to trade at $71.24 a barrel.EUR/USD was up 0.17% to 1.1196, while EUR/GBP fell 0.66% to 0.8516.The US Dollar Index Futures was down 0.31% at 97.285."
2,"May 02, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.85%,nan,"Investing.com – France stocks were lower after the close on Thursday, as losses in the Industrials, Financials and Technology sectors led shares lower.At the close in Paris, the CAC 40 fell 0.85%, while the SBF 120 index declined 0.79%.The best performers of the session on the CAC 40 were Atos SE (PA:ATOS), which rose 1.50% or 1.38 points to trade at 93.16 at the close. Meanwhile,  BNP Paribas  SA (PA:BNPP) added 1.16% or 0.55 points to end at 48.00 and Veolia Environnement VE SA (PA:VIE) was up 1.00% or 0.210 points to 21.270 in late trade.The worst performers of the session were TechnipFMC PLC (PA:FTI), which fell 5.34% or 1.18 points to trade at 20.93 at the close.  Legrand  SA (PA:LEGD) declined 5.13% or 3.36 points to end at 62.16 and AXA SA (PA:AXAF) was down 4.70% or 1.11 points to 22.63.The top performers on the SBF 120 were  Nexans  SA (PA:NEXS) which rose 3.52% to 32.33, Television Francaise 1 SA (PA:TFFP) which was up 3.49% to settle at 10.080 and Metropole Television SA (PA:MMTP) which gained 2.60% to close at 18.15.The worst performers were TechnipFMC PLC (PA:FTI) which was down 5.34% to 20.93 in late trade, Legrand SA (PA:LEGD) which lost 5.13% to settle at 62.16 and AXA SA (PA:AXAF) which was down 4.70% to 22.63 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 354 to 230 and 90 ended unchanged.Shares in Veolia Environnement VE SA (PA:VIE) rose to 52-week highs; gaining 1.00% or 0.210 to 21.270. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 4.55% to 14.12.Gold Futures for June delivery was down 0.99% or 12.75 to $1271.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June fell 3.52% or 2.24 to hit $61.36 a barrel, while the July Brent oil contract fell 2.80% or 2.02 to trade at $70.16 a barrel.EUR/USD was down 0.13% to 1.1179, while EUR/GBP rose 0.06% to 0.8583.The US Dollar Index Futures was up 0.15% at 97.553."
3,"Apr 17, 2019 03:32AM ET",StockBeat - Why Axa Isn't on the Hook (Too Much) for Notre Dame,nan,"By Geoffrey SmithInvesting.com -- Nothing makes a financial journalist feel worse about his or her career choices than a disaster.The shock of the event is routinely followed by the grim realization that our place in the scheme of things is to talk about the impact on insurance stocks.The catastrophic fire that ravaged Notre Dame cathedral in Paris is a case in point. The staggering scale of loss is immediately evident, so it would be natural to suspect that AXA (PA:AXAF), France's biggest insurer, may be seriously on the hook for the reconstruction.So you'd be surprised to hear that its stock hit a 13-month high on Tuesday, especially after it confirmed that it was the insurer to two contractors on restoration works whose activity may have been linked to the fire. It's up another 0.4% at the time of writing on Wednesday.That isn't just down to the fact that France's business elite has already promised 700 million euros to cover reconstruction costs, a figure that will probably be augmented by public donations.This key part of a statement released by  Axa  late on Tuesday explains why it's shielded from the worst:“The Notre Dame cathedral is classified as a historical monument since 1862, and like all properties belonging to the state, it is self-insured by the state (therefore AXA is not the insurer for the monument itself).""But the insurance giant isn't out of the woods yet, as the rest of the statement shows:""Among the many companies working on the on-going construction projects of the cathedral, AXA France provides civil-liability coverage to two companies: Europe Echafaudage and Le Bras Frères.""Additionally, AXA Art is involved in the insurance of certain artefacts and ceremonial objects in the Notre-Dame.The cause of the fire is still unknown and being investigated. AXA said all its teams are ""fully cooperating"" with the authorities.AXA's shares are still over 10% below where they started 2018, having spent most of last year trying to convince investors of the merits of its $15.3 billion acquisition of XL, a deal that made it the world's biggest property and casualty insurer.However, they have risen 26% since the start of the year, according to data compiled by Investing.com, and still offer what by local standards is an attractive yield of 5.69%.Elsewhere, it's another strong morning for Europe's bourses, with major indexes rising between 0.1% and 0.4% in response to stronger-than-expected Chinese growth data for the first quarter. The U.K. FTSE 100 is down 0.2%, however, as is the Euro STOXX 600."
4,"Jan 16, 2019 05:05AM ET","Brexit deal defeat boosts European banks, hurts FTSE 100 as endgame still unclear",nan,"By Helen ReidLONDON (Reuters) - British shares lagged Europe on Wednesday after Prime Minister Theresa May's resounding defeat in a parliamentary vote on her Brexit deal, but in the face of unrelenting political uncertainty investors shifted their focus to results and M&A news.A defeat had largely been priced in already, though the magnitude of the loss - a margin of 230 - came as a surprise.Analysts and investors interpreted the outcome as a positive for the market, making a ""softer, later"" Brexit more likely, but uncertainty ahead of a no confidence vote in May's government on Wednesday evening kept trading muted.""There's still quite a lot of uncertainty...a hard exit is a lower probability risk than it was but I don't think we can completely discount it,"" said Caroline Simmons, deputy head of the UK investment office for UBS Global Wealth Management.The FTSE 100 (FTSE) was down 0.6 percent by 0930 GMT while euro zone stocks (STOXXE) held flat and Germany's DAX (GDAXI) edged down 0.2 percent.The top British index was dragged down by multinational exporter stocks like  Unilever  (L:ULVR) and  Diageo  (L:DGE), which make the lion's share of their earnings in foreign currencies and are bruised by sterling rising.Bank shares (SX7P) were the biggest boost to European indexes, up 0.9 percent as investors bet that a disruptive no-deal Brexit was less likely after the parliamentary vote. BNP Paribas  (PA:BNPP), AXA (PA:AXAF) and  Intesa Sanpaolo  (MI:ISP) were the top three boosts to Europe's STOXX 600 (STOXX), but the gains remained unconvincing with the endgame to Brexit still clear as mud.""Unfortunately, everything remains possible: new elections, an extension of the deadline for Article 50, or even a second referendum,"" said Stefan Kreuzkamp, chief investment officer at DWS.Italian banks rallied, led by Unicredit (MI:CRDI), having slumped in the previous session on fears the European Central Bank may require full coverage of non-performing loans by 2026.They helped Italy's FTSE MIB (FTMIB) rise 0.5 percent, outperforming peers, after Unicredit said it considers its non-performing exposure (NPE) coverage ""fully adequate"".The Brexit vote defeat drove UK domestic stocks up as investors grew more optimistic about the prospects for sectors seen as highly vulnerable to a no-deal Brexit.UK housebuilders  Persimmon  (L:PSN),  Taylor Wimpey  (L:TW),  Barratt Developments  (L:BDEV), and Berkeley Group (L:BKGH) were among the top European gainers, up 2.1 to 3 percent.""If you look at domestic UK stocks, some of their valuations have been pushed back to blood-on-the-street type valuations,"" said Dominic Wallington, head of European equity at RBC Global Asset Management.""There's real insurance in some of these valuations, that I think is remarkable.""Overall Britain's FTSE 100 is trading at a much lower valuation than peers.Elsewhere in Europe results and dealmaking news drove moves with stocks shrugging off the night's political developments.Danish freight company DSV (CO:DSV) climbed 4 percent after it made a bid for Swiss logistics company Panalpina (S:PWTN) valuing the company at $4.1 billion.Panalpina shares soared 27.7 percent after the bid which, at 170 Swiss francs per share, represents a 24 percent premium to the stock's closing price on Tuesday.""We can see the strategic logic for DSV, as the deal would give them a large opportunity to scale their process and IT capabilities. But a deal of this magnitude will not be without risk,"" wrote Bernstein transport analyst Daniel Roeska. Pearson  (L:PSON) shares tumbled 5.3 percent, the biggest European fallers, after the British education publisher said it expects one-off restructuring costs to rise to around 330 million pounds, ahead of its original 300 million pound plan.Norwegian aluminium maker Norsk Hydro (OL:NHY) rose 4.9 percent after it said Brazil's northern state of Para lifted a production embargo on its Alunorte alumina refinery.(For a graphic on valuations, click: https://tmsnrt.rs/2AQVGMG)"
5,"Jan 10, 2019 04:25AM ET",AXA to move staff to Ireland from UK and France in light of Brexit,nan,"PARIS (Reuters) - French insurer AXA (PA:AXAF) will move staff over to Ireland from France and the United Kingdom, in light of Britain's plans to leave the European Union.Chief Executive Thomas Buberl told reporters on Thursday that AXA's recently-acquired XL division had already initiated the plans to move staff to Ireland, before its eventual takeover by AXA.""Since the former hub is in France, we will have to take some staff from France as Irish regulators will ask functions to be handled there,"" said Buberl, who did not specify how many staff would be moving over to Ireland.Dublin has been vying with Frankfurt and other major European Union cities to attract financial jobs away from London ahead of Britain's planned departure from the EU in March 2019.  /6938/FP_EN_site/FP_EN_TextNote 
"
6,"Dec 24, 2018 03:41AM ET",AXA's Swiss employees mistakenly get double December pay,nan,"ZURICH (Reuters) - French insurer AXA's (PA:AXAF) 4,300 Swiss employees mistakenly got double their normal December salaries in a Christmas surprise that quickly fell flat when they learned they would not be allowed to keep the extra cash.The mistake, reported in Swiss daily Tages-Anzeiger and confirmed by the insurer on Monday, resulted from an error that occurred between AXA and its house bank, the insurer said. Employees can either return the money or take it as an advance on their January paychecks.AXA did not immediately say how much money was incorrectly paid out, but based on the average Swiss salary of around 85,000 Swiss francs per year, the error could have amounted to more than 30 million Swiss francs ($30 million) in overpayments.""There are worse things,"" an AXA spokesman told Tages-Anzeiger. ""The main thing is, all employees got their December pay on time before Christmas.""  /6938/FP_EN_site/FP_EN_TextNote 
"
7,"Dec 12, 2018 12:35PM ET",France stocks higher at close of trade; CAC 40 up 2.15%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Technology, Industrials and Basic Materials sectors led shares higher.At the close in Paris, the CAC 40 gained 2.15%, while the SBF 120 index gained 2.13%.The best performers of the session on the CAC 40 were Atos SE (PA:ATOS), which rose 6.41% or 4.36 points to trade at 72.36 at the close. Meanwhile,  Pernod Ricard  SA (PA:PERP) added 5.91% or 8.30 points to end at 148.80 and  Peugeot  SA (PA:PEUP) was up 4.65% or 0.81 points to 18.23 in late trade.The worst performers of the session were  Valeo  SA (PA:VLOF), which rose 0.36% or 0.09 points to trade at 25.10 at the close.  Hermes International  SCA (PA:HRMS) added 0.48% or 2.30 points to end at 481.30 and AXA SA (PA:AXAF) was up 0.84% or 0.16 points to 19.35.The top performers on the SBF 120 were DBV Technologies (PA:DBV) which rose 11.31% to 27.960, Atos SE (PA:ATOS) which was up 6.41% to settle at 72.36 and Pernod Ricard SA (PA:PERP) which gained 5.91% to close at 148.80.The worst performers were  GTT  (PA:GTT) which was down 3.85% to 65.00 in late trade,  Eiffage  (PA:FOUG) which lost 0.93% to settle at 74.92 and  Plastic Omnium  (PA:PLOF) which was down 0.70% to 19.27 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 411 to 188 and 76 ended unchanged.Shares in Pernod Ricard SA (PA:PERP) rose to all time highs; rising 5.91% or 8.30 to 148.80. Shares in Pernod Ricard SA (PA:PERP) rose to all time highs; gaining 5.91% or 8.30 to 148.80. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 6.66% to 19.51.Gold Futures for February delivery was up 0.19% or 2.35 to $1249.55 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in January rose 0.93% or 0.48 to hit $52.13 a barrel, while the February Brent oil contract rose 1.08% or 0.65 to trade at $60.85 a barrel.EUR/USD was up 0.41% to 1.1363, while EUR/GBP fell 0.82% to 0.8989.The US Dollar Index Futures was down 0.33% at 97.037."
8,"Dec 11, 2018 12:37PM ET",France stocks higher at close of trade; CAC 40 up 1.35%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Gas & Water, General Financial and Foods & Drugs sectors led shares higher.At the close in Paris, the CAC 40 rose 1.35%, while the SBF 120 index added 1.34%.The best performers of the session on the CAC 40 were Dassault Systemes (PA:DAST), which rose 4.98% or 5.15 points to trade at 108.60 at the close. Meanwhile, ArcelorMittal SA (AS:MT) added 3.40% or 0.632 points to end at 19.202 and  Valeo  SA (PA:VLOF) was up 3.13% or 0.76 points to 25.01 in late trade.The worst performers of the session were AXA SA (PA:AXAF), which fell 0.87% or 0.17 points to trade at 19.19 at the close.  Danone  SA (PA:DANO) declined 0.25% or 0.16 points to end at 62.81 and  Credit Agricole  SA (PA:CAGR) was down 0.04% or 0.004 points to 9.886.The top performers on the SBF 120 were  Vallourec  (PA:VLLP) which rose 8.67% to 1.967,  Eramet  (PA:ERMT) which was up 6.86% to settle at 52.15 and  Trigano  (PA:TRIA) which gained 5.16% to close at 83.55.The worst performers were SEB SA (PA:SEBF) which was down 3.18% to 112.70 in late trade, Suez SA (PA:SEVI) which lost 2.84% to settle at 11.980 and  Europcar Groupe SA  (PA:EUCAR) which was down 2.04% to 7.69 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 382 to 200 and 84 ended unchanged.Shares in AXA SA (PA:AXAF) fell to 52-week lows; falling 0.87% or 0.17 to 19.19. Shares in Credit Agricole SA (PA:CAGR) fell to 52-week lows; losing 0.04% or 0.004 to 9.886. Shares in SEB SA (PA:SEBF) fell to 52-week lows; down 3.18% or 3.70 to 112.70. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 8.10% to 20.90.Gold Futures for February delivery was down 0.01% or 0.10 to $1249.30 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in January rose 1.02% or 0.52 to hit $51.52 a barrel, while the February Brent oil contract rose 0.37% or 0.22 to trade at $60.19 a barrel.EUR/USD was down 0.33% to 1.1317, while EUR/GBP fell 0.07% to 0.9035.The US Dollar Index Futures was up 0.24% at 97.417."
9,"Dec 07, 2018 12:36PM ET",France stocks higher at close of trade; CAC 40 up 0.68%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Gas & Water, General Financial and Foods & Drugs sectors led shares higher.At the close in Paris, the CAC 40 gained 0.68%, while the SBF 120 index added 0.73%.The best performers of the session on the CAC 40 were  Bouygues  SA (PA:BOUY), which rose 3.84% or 1.22 points to trade at 32.99 at the close. Meanwhile,  Vinci  SA (PA:SGEF) added 2.40% or 1.70 points to end at 72.68 and  Accor  SA (PA:ACCP) was up 1.78% or 0.66 points to 37.64 in late trade.The worst performers of the session were AXA SA (PA:AXAF), which fell 1.26% or 0.25 points to trade at 19.72 at the close. STMicroelectronics NV (PA:STM) declined 1.20% or 0.145 points to end at 11.965 and  Peugeot  SA (PA:PEUP) was down 1.08% or 0.20 points to 17.91.The top performers on the SBF 120 were ALD SA (PA:ALDA) which rose 4.68% to 11.19,  Iliad  (PA:ILD) which was up 4.03% to settle at 124.05 and Bouygues SA (PA:BOUY) which gained 3.84% to close at 32.99.The worst performers were  Maisons du Monde SAS  (PA:MDM) which was down 4.03% to 17.610 in late trade, Dassault Aviation SA (PA:AVMD) which lost 3.36% to settle at 1266.00 and  Elior  Group (PA:ELIOR) which was down 3.23% to 11.98 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 315 to 275 and 88 ended unchanged.Shares in AXA SA (PA:AXAF) fell to 52-week lows; down 1.26% or 0.25 to 19.72. Shares in STMicroelectronics NV (PA:STM) fell to 52-week lows; down 1.20% or 0.145 to 11.965. Shares in Maisons du Monde SAS (PA:MDM) fell to all time lows; losing 4.03% or 0.740 to 17.610. Shares in Dassault Aviation SA (PA:AVMD) fell to 52-week lows; losing 3.36% or 44.00 to 1266.00. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 13.32% to 20.98.Gold Futures for February delivery was up 0.60% or 7.40 to $1251.00 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in January rose 4.25% or 2.19 to hit $53.68 a barrel, while the February Brent oil contract rose 4.61% or 2.77 to trade at $62.83 a barrel.EUR/USD was up 0.06% to 1.1385, while EUR/GBP rose 0.62% to 0.8955.The US Dollar Index Futures was down 0.03% at 96.735."
