,date,titre,texte,article
0,"Jun 17, 2019 10:35AM ET","France's women smash TV viewing records, advertising costs spike",nan,"By Rachel JoynerPARIS (Reuters) - France is once again gripped by football fever -- a year after the men's national team triumphed on the world stage, the women's team is cruising through the group stages and smashing TV audience records in their own World Cup.Stadiums are selling out, and TV broadcasters are bumping up the price of advertising slots as millions tune in. Les Bleues' star players are fast becoming household names.TF1, France's main broadcaster for the tournament, had expected the team's opening match to draw up to 5 million viewers. Instead, numbers peaked at 10.9 million, while almost 1 million followed the game on Canal+, a pay-TV unit of  Vivendi  (PA:VIV). TF1, owned by family-controlled conglomerate  Bouygues  (PA:BOUY), described the numbers as a French record for a women's soccer match.But the records did not stop there -- in France's second group game against Norway, domestic viewer numbers spiked to 11 million on TF1 - on par with the number of people who watched the men's opening matches in 2018. The French women play Nigeria on Monday in their last group game before the knock-out stages. The surprising level of interest prompted TF1 to drive up the cost of advertising slots by 50-60 percent the day after France's first match, Le Parisien newspaper reported.Thirty-second slots during the half-time break of France's group stage matches, initially slated at 73,000 euros, now cost 116,000 euros, it said.The surge in viewer numbers extends beyond the French games. England's match against arch rival Argentina drew nearly 1.5 million viewers on TF1, while up to 1.1 million people have tuned in to watch the United States. Women's soccer is steadily growing in popularity in many parts of the world.Soccer's governing body FIFA has said it has received a record number of expressions of interest for hosting the next women's tournament, in 2023, including a joint bid by South Korea and North Korea football associations.  /6938/FP_EN_site/FP_EN_TextNote 
"
1,"May 29, 2019 01:03PM ET",France stocks lower at close of trade; CAC 40 down 1.70%,nan,"Investing.com – France stocks were lower after the close on Wednesday, as losses in the Healthcare, Technology and Basic Materials sectors led shares lower.At the close in Paris, the CAC 40 declined 1.70% to hit a new 3-months low, while the SBF 120 index lost 1.66%.The best performers of the session on the CAC 40 were  Renault  SA (PA:RENA), which rose 0.62% or 0.35 points to trade at 56.85 at the close. Meanwhile,  Bouygues  SA (PA:BOUY) added 0.16% or 0.05 points to end at 31.50 and  Vivendi  SA (PA:VIV) was up 0.08% or 0.02 points to 23.65 in late trade.The worst performers of the session were  BNP Paribas  SA (PA:BNPP), which fell 6.68% or 2.96 points to trade at 41.33 at the close.  Valeo  SA (PA:VLOF) declined 4.23% or 1.13 points to end at 25.56 and ArcelorMittal SA (AS:MT) was down 4.16% or 0.588 points to 13.536.The top performers on the SBF 120 were Electricite de France SA (PA:EDF) which rose 2.66% to 12.34,  Trigano  SA (PA:TRIA) which was up 0.85% to settle at 70.90 and Lagardere SCA (PA:LAGA) which gained 0.65% to close at 21.60.The worst performers were BNP Paribas SA (PA:BNPP) which was down 6.68% to 41.33 in late trade, Spie SA (PA:SPIE) which lost 5.26% to settle at 15.680 and  Ipsos  (PA:ISOS) which was down 4.99% to 23.80 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 389 to 159 and 87 ended unchanged.Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; falling 4.16% or 0.588 to 13.536. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 7.96% to 17.00.Gold Futures for June delivery was up 0.29% or 3.70 to $1280.80 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 1.54% or 0.91 to hit $58.23 a barrel, while the August Brent oil contract fell 1.72% or 1.18 to trade at $67.49 a barrel.EUR/USD was down 0.25% to 1.1133, while EUR/GBP rose 0.02% to 0.8821.The US Dollar Index Futures was up 0.20% at 98.042."
2,"May 15, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.62%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Technology, Industrials and Consumer Services sectors led shares higher.At the close in Paris, the CAC 40 gained 0.62%, while the SBF 120 index added 0.59%.The best performers of the session on the CAC 40 were STMicroelectronics NV (PA:STM), which rose 3.61% or 0.545 points to trade at 15.635 at the close. Meanwhile, Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP) added 2.88% or 3.15 points to end at 112.40 and  Bouygues  SA (PA:BOUY) was up 2.40% or 0.77 points to 32.92 in late trade.The worst performers of the session were  Credit Agricole  SA (PA:CAGR), which fell 2.60% or 0.295 points to trade at 11.070 at the close. Capgemini SE (PA:CAPP) declined 1.93% or 2.05 points to end at 104.35 and  Renault  SA (PA:RENA) was down 0.98% or 0.52 points to 52.59.The top performers on the SBF 120 were  Faurecia  (PA:EPED) which rose 4.52% to 38.85,  Eiffage  SA (PA:FOUG) which was up 4.33% to settle at 90.66 and  Ipsen  SA (PA:IPN) which gained 3.71% to close at 109.00.The worst performers were Eutelsat Communications SA (PA:ETL) which was down 6.33% to 15.31 in late trade, Metropole Television SA (PA:MMTP) which lost 4.09% to settle at 16.66 and  Trigano  SA (PA:TRIA) which was down 3.38% to 72.80 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 306 to 248 and 81 ended unchanged.Shares in Renault SA (PA:RENA) fell to 3-years lows; losing 0.98% or 0.52 to 52.59. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 9.18% to 15.23.Gold Futures for June delivery was up 0.20% or 2.55 to $1298.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 0.37% or 0.23 to hit $62.01 a barrel, while the July Brent oil contract rose 0.83% or 0.59 to trade at $71.83 a barrel.EUR/USD was up 0.02% to 1.1205, while EUR/GBP rose 0.32% to 0.8711.The US Dollar Index Futures was up 0.01% at 97.333."
3,"May 07, 2019 07:35AM ET",French tycoon Niel to sell mobile towers to Cellnex for $3 billion,nan,"By Mathieu Rosemain and Andrés GonzálezPARIS/MADRID (Reuters) - French tycoon Xavier Niel has agreed a 2.7 billion euro ($3.02 billion) deal to sell mobile towers in France, Italy and Switzerland to Cellnex as he seeks to bolster the finances of his telecoms group Iliad. Iliad burned through 1.44 billion euros in cash in 2018, twice as much as in 2017, and has lost half its market value over the last year.The deal by billionaire Niel, considered a maverick in France's telecoms sector, follows a similar one by French rival  Bouygues  (PA:BOUY) Telecom in 2017 under which it sold about 3,000 mobile sites to Cellnex for 900 million euros. For Spanish towers group Cellnex, the acquisitions of thousands of new sites in the three countries allow it to extend its reach in Europe, where it has grown considerably over the past few years and is now seen as a key player in a potential consolidation of the telecoms infrastructure market. Iliad shares were 5.6 percent up at 0926 GMT, while Cellnex's were 6.6 percent higher. ""This is quite a sensible move for them for two reasons: one is that it gives Iliad the financing to roll out in Italy, second ... Cellnex will end up having much better utilization of the infrastructure,"" said Karen Egan, an analyst at Enders.Iliad, which has shaken up the French mobile market since 2012 with low-cost services, is facing aggressive fixed and mobile discounts from rivals in its home country.Part of the proceeds from the towers sale will help to cut its debt and invest in networks in both France and Italy, it said. The deal was announced hours before Iliad's investor day in Paris on Tuesday.TRANSFORMATIONALAnalysts say the 2.7 billion euro investment is transformational for Cellnex, increasing by 75 percent earnings before interest, tax, depreciation and amortization (EBIDTA) and doubling its recurrent leveraged free cash flow. It would allow the Spanish group to take control of Iliad's 5,700 sites in France and the 2,200 in Italy. It would also take control of the mobile towers of Salt, the Swiss telecom operator privately-owned by Niel. Cellnex also intends to spend an additional 1.35 billion euros on the roll-out of 2,500 new sites in France, 1,000 sites in Italy and 500 in Switzerland between 2020 and 2027.  ""This is a big deal for Cellnex and materially increases the scale. We further believe there remains further opportunities for Cellnex to continue to do deals,"" said  Credit Suisse  (SIX:CSGN) in a note to clients. Cellnex Chief Executive Tobias Martinez said on a conference call Britain's CTIL would be an appealing target but reiterated it could not afford to invest in France's TDF, which Spanish newspaper Expansion said it was considering.Iliad, whose first-quarter sales grew by 7.7 percent to 1.29 billion euros, said it targeted a return to revenue growth in France in 2019 and an acceleration of its core operating profit growth in the second-half of the year.  /6938/FP_EN_site/FP_EN_TextNote 
"
4,"Apr 30, 2019 01:00PM ET",France stocks mixed at close of trade; CAC 40 up 0.10%,nan,"Investing.com – France stocks were mixed after the close on Tuesday, as gains in the Healthcare, Financials and Industrials sectors led shares higher while losses in the Oil & Gas, Consumer Services and Basic Materials sectors led shares lower.At the close in Paris, the CAC 40 gained 0.10%, while the SBF 120 index declined 0.01%.The best performers of the session on the CAC 40 were  Total  SA (PA:TOTF), which rose 1.95% or 0.95 points to trade at 49.55 at the close. Meanwhile, Dassault Systemes SE (PA:DAST) added 1.77% or 2.45 points to end at 141.05 and Engie SA (PA:ENGIE) was up 1.38% or 0.18 points to 13.21 in late trade.The worst performers of the session were  Bouygues  SA (PA:BOUY), which fell 4.50% or 1.58 points to trade at 33.54 at the close. Orange SA (PA:ORAN) declined 2.92% or 0.42 points to end at 13.96 and  Valeo  SA (PA:VLOF) was down 2.23% or 0.74 points to 32.37.The top performers on the SBF 120 were  Rexel  (PA:RXL) which rose 5.04% to 11.98, Television Francaise 1 SA (PA:TFFP) which was up 4.96% to settle at 9.740 and Spie SA (PA:SPIE) which gained 4.62% to close at 17.200.The worst performers were SCOR SE (PA:SCOR) which was down 6.05% to 36.36 in late trade,  Thales  (PA:TCFP) which lost 5.21% to settle at 106.45 and DBV Technologies (PA:DBV) which was down 4.60% to 17.410 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 307 to 260 and 97 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 3.39% to 13.51.Gold Futures for June delivery was up 0.30% or 3.85 to $1285.35 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 0.65% or 0.41 to hit $63.91 a barrel, while the July Brent oil contract rose 0.87% or 0.62 to trade at $72.16 a barrel.EUR/USD was up 0.28% to 1.1217, while EUR/GBP fell 0.52% to 0.8599.The US Dollar Index Futures was down 0.36% at 97.227."
5,"Apr 18, 2019 06:10AM ET",Samsung could become one of Orange's providers for French 5G license,nan,"PARIS (Reuters) - Samsung Electronics (KS:005930) could become one of Orange's providers for a possible 5G telecoms frequency in France, said Orange's head Stephane Richard on Thursday.France's 5G telecoms frequencies auction should start later this year.France's four main telecoms operators - leader Orange,  Bouygues  (PA:BOUY) Telecom, Altice Europe's SFR and Iliad - regularly compete in costly spectrum auctions, which allow wireless carriers to develop networks.  /6938/FP_EN_site/FP_EN_TextNote 
"
6,"Apr 15, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.11%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Financials, Basic Materials and Technology sectors led shares higher.At the close in Paris, the CAC 40 rose 0.11% to hit a new 6-months high, while the SBF 120 index added 0.15%.The best performers of the session on the CAC 40 were Atos SE (PA:ATOS), which rose 2.99% or 2.70 points to trade at 92.96 at the close. Meanwhile,  Credit Agricole  SA (PA:CAGR) added 2.18% or 0.260 points to end at 12.200 and  Bouygues  SA (PA:BOUY) was up 1.44% or 0.49 points to 34.49 in late trade.The worst performers of the session were Sodexo SA (PA:EXHO), which fell 1.87% or 1.95 points to trade at 102.60 at the close. STMicroelectronics NV (PA:STM) declined 1.18% or 0.190 points to end at 15.865 and TechnipFMC PLC (PA:FTI) was down 1.18% or 0.26 points to 21.77.The top performers on the SBF 120 were Altran Technologies SA (PA:ALTT) which rose 3.41% to 10.770, Electricite de France SA (PA:EDF) which was up 3.01% to settle at 12.48 and Atos SE (PA:ATOS) which gained 2.99% to close at 92.96.The worst performers were CGG SA (PA:GEPH) which was down 2.58% to 1.700 in late trade,  Maisons du Monde SAS  (PA:MDM) which lost 2.19% to settle at 18.290 and SES (PA:SESFd) which was down 2.07% to 14.88 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 338 to 235 and 94 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 5.12% to 11.61 a new 6-months low.Gold Futures for June delivery was down 0.21% or 2.75 to $1292.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May fell 0.91% or 0.58 to hit $63.31 a barrel, while the June Brent oil contract fell 0.61% or 0.44 to trade at $71.11 a barrel.EUR/USD was up 0.06% to 1.1307, while EUR/GBP fell 0.21% to 0.8627.The US Dollar Index Futures was down 0.09% at 96.510."
7,"Apr 10, 2019 04:35PM ET",France stocks higher at close of trade; CAC 40 up 0.25%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Gas & Water, General Financial and Foods & Drugs sectors led shares higher.At the close in Paris, the CAC 40 added 0.25%, while the SBF 120 index added 0.27%.The best performers of the session on the CAC 40 were WFD Unibail Rodamco NV (AS:URW), which rose 3.62% or 5.35 points to trade at 153.25 at the close. Meanwhile,  Bouygues  SA (PA:BOUY) added 1.84% or 0.61 points to end at 33.71 and  Vinci  SA (PA:SGEF) was up 1.64% or 1.44 points to 89.44 in late trade.The worst performers of the session were Airbus Group SE (PA:AIR), which fell 1.69% or 2.00 points to trade at 116.50 at the close.  Valeo  SA (PA:VLOF) declined 1.67% or 0.48 points to end at 28.34 and  Societe Generale  SA (PA:SOGN) was down 1.26% or 0.34 points to 26.26.The top performers on the SBF 120 were Television Francaise 1 SA (PA:TFFP) which rose 3.70% to 8.550, Electricite de France SA (PA:EDF) which was up 3.69% to settle at 12.36 and WFD Unibail Rodamco NV (AS:URW) which gained 3.62% to close at 153.25.The worst performers were Dassault Aviation SA (PA:AVMD) which was down 3.49% to 1300.00 in late trade,  Vicat  (PA:VCTP) which lost 3.16% to settle at 44.40 and Eutelsat Communications SA (PA:ETL) which was down 3.06% to 15.07 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 325 to 233 and 104 ended unchanged.Shares in Vinci SA (PA:SGEF) rose to all time highs; up 1.64% or 1.44 to 89.44. Shares in Eutelsat Communications SA (PA:ETL) fell to 5-year lows; falling 3.06% or 0.47 to 15.07. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 4.11% to 14.53.Gold Futures for June delivery was up 0.29% or 3.75 to $1312.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May rose 0.75% or 0.48 to hit $64.46 a barrel, while the June Brent oil contract rose 1.42% or 1.00 to trade at $71.61 a barrel.EUR/USD was up 0.09% to 1.1272, while EUR/GBP fell 0.12% to 0.8609.The US Dollar Index Futures was down 0.08% at 96.537."
8,"Mar 21, 2019 02:35PM ET",France stocks lower at close of trade; CAC 40 down 0.07%,nan,"Investing.com – France stocks were lower after the close on Thursday, as losses in the Oil & Gas, Financials and Consumer Services sectors led shares lower.At the close in Paris, the CAC 40 fell 0.07%, while the SBF 120 index lost 0.08%.The best performers of the session on the CAC 40 were STMicroelectronics NV (PA:STM), which rose 4.39% or 0.625 points to trade at 14.850 at the close. Meanwhile, WFD Unibail Rodamco NV (AS:URW) added 1.70% or 2.54 points to end at 151.92 and  Bouygues  SA (PA:BOUY) was up 1.50% or 0.48 points to 32.44 in late trade.The worst performers of the session were EssilorLuxottica SA (PA:ESLX), which fell 6.55% or 6.88 points to trade at 98.12 at the close. Sodexo SA (PA:EXHO) declined 2.61% or 2.62 points to end at 97.78 and  BNP Paribas  SA (PA:BNPP) was down 2.60% or 1.15 points to 43.04.The top performers on the SBF 120 were STMicroelectronics NV (PA:STM) which rose 4.39% to 14.850,  Ubisoft  Entertainment (PA:UBIP) which was up 3.16% to settle at 80.880 and  Soitec  SA (PA:SOIT) which gained 2.51% to close at 71.550.The worst performers were EssilorLuxottica SA (PA:ESLX) which was down 6.55% to 98.12 in late trade, SES (PA:SESFd) which lost 5.55% to settle at 14.05 and  Elior  Group (PA:ELIOR) which was down 4.37% to 12.05 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 303 to 254 and 108 ended unchanged.Shares in EssilorLuxottica SA (PA:ESLX) fell to 52-week lows; losing 6.55% or 6.88 to 98.12. Shares in EssilorLuxottica SA (PA:ESLX) fell to 52-week lows; losing 6.55% or 6.88 to 98.12. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 7.44% to 15.36 a new 1-month high.Gold Futures for April delivery was up 0.52% or 6.75 to $1308.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May fell 0.55% or 0.33 to hit $59.90 a barrel, while the May Brent oil contract fell 1.05% or 0.72 to trade at $67.78 a barrel.EUR/USD was down 0.45% to 1.1360, while EUR/GBP rose 0.45% to 0.8685.The US Dollar Index Futures was up 0.78% at 95.940."
9,"Mar 19, 2019 02:35PM ET",France stocks higher at close of trade; CAC 40 up 0.24%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Oil & Gas, Financials and Industrials sectors led shares higher.At the close in Paris, the CAC 40 rose 0.24% to hit a new 3-months high, while the SBF 120 index gained 0.30%.The best performers of the session on the CAC 40 were  Valeo  SA (PA:VLOF), which rose 3.02% or 0.82 points to trade at 28.00 at the close. Meanwhile,  Peugeot  SA (PA:PEUP) added 2.74% or 0.61 points to end at 22.89 and  Kering  SA (PA:PRTP) was up 2.70% or 13.40 points to 509.40 in late trade.The worst performers of the session were  Total  SA (PA:TOTF), which fell 1.40% or 0.73 points to trade at 51.54 at the close.  Bouygues  SA (PA:BOUY) declined 1.37% or 0.45 points to end at 32.33 and  Vinci  SA (PA:SGEF) was down 1.01% or 0.88 points to 85.88.The top performers on the SBF 120 were  Faurecia  (PA:EPED) which rose 5.01% to 41.92, Compagnie  Plastic Omnium  SA (PA:PLOF) which was up 3.57% to settle at 25.51 and JC Decaux SA (PA:JCDX) which gained 3.07% to close at 27.50.The worst performers were Technicolor (PA:TCH) which was down 3.02% to 1.187 in late trade, ICADE (PA:ICAD) which lost 2.79% to settle at 74.90 and Korian Medica SA (PA:KORI) which was down 1.86% to 35.840 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 318 to 240 and 104 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 1.94% to 13.03.Gold Futures for April delivery was up 0.40% or 5.15 to $1306.65 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May fell 0.03% or 0.02 to hit $59.36 a barrel, while the May Brent oil contract rose 0.28% or 0.19 to trade at $67.73 a barrel.EUR/USD was up 0.15% to 1.1354, while EUR/GBP rose 0.05% to 0.8553.The US Dollar Index Futures was down 0.16% at 95.828."
