,date,titre,texte,article
0,"Jun 20, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.31%,nan,"Investing.com – France stocks were higher after the close on Thursday, as gains in the Foods & Drugs, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 added 0.31% to hit a new 1-month high, while the SBF 120 index gained 0.21%.The best performers of the session on the CAC 40 were TechnipFMC PLC (PA:FTI), which rose 3.35% or 0.71 points to trade at 21.89 at the close. Meanwhile, STMicroelectronics NV (PA:STM) added 2.40% or 0.355 points to end at 15.170 and Capgemini SE (PA:CAPP) was up 1.48% or 1.50 points to 103.00 in late trade.The worst performers of the session were  Credit Agricole  SA (PA:CAGR), which fell 2.93% or 0.315 points to trade at 10.435 at the close.  Publicis Groupe  SA (PA:PUBP) declined 2.48% or 1.26 points to end at 49.46 and  Carrefour  SA (PA:CARR) was down 2.41% or 0.41 points to 16.79.The top performers on the SBF 120 were  Vallourec  (PA:VLLP) which rose 6.82% to 2.442, CGG SA (PA:GEPH) which was up 4.25% to settle at 1.694 and TechnipFMC PLC (PA:FTI) which gained 3.35% to close at 21.89.The worst performers were  Natixis  (PA:CNAT) which was down 11.76% to 3.480 in late trade, Air France KLM SA (PA:AIRF) which lost 4.38% to settle at 7.550 and  Casino  Guichard Perrachon SA (PA:CASP) which was down 3.65% to 31.70 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 299 to 266 and 92 ended unchanged.Shares in Natixis (PA:CNAT) fell to 52-week lows; falling 11.76% or 0.464 to 3.480. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 0.22% to 13.68.Gold Futures for August delivery was up 3.21% or 43.30 to $1392.10 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in August rose 5.37% or 2.90 to hit $56.87 a barrel, while the August Brent oil contract rose 3.88% or 2.40 to trade at $64.22 a barrel.EUR/USD was up 0.60% to 1.1292, while EUR/GBP rose 0.11% to 0.8888.The US Dollar Index Futures was down 0.43% at 96.167."
1,"Jun 14, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.15%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Utilities, Healthcare and Consumer Goods sectors led shares lower.At the close in Paris, the CAC 40 fell 0.15%, while the SBF 120 index declined 0.23%.The best performers of the session on the CAC 40 were EssilorLuxottica SA (PA:ESLX), which rose 1.67% or 1.75 points to trade at 106.40 at the close. Meanwhile, Engie SA (PA:ENGIE) added 1.13% or 0.14 points to end at 12.96 and  Total  SA (PA:TOTF) was up 0.57% or 0.27 points to 47.25 in late trade.The worst performers of the session were STMicroelectronics NV (PA:STM), which fell 3.22% or 0.470 points to trade at 14.140 at the close. Capgemini SE (PA:CAPP) declined 2.70% or 2.70 points to end at 97.16 and ArcelorMittal SA (AS:MT) was down 2.38% or 0.356 points to 14.572.The top performers on the SBF 120 were  Rubis  SCA (PA:RUBF) which rose 2.34% to 49.00,  Neopost  SA (PA:NPOS) which was up 2.01% to settle at 19.78 and  Elis Services SA  (PA:ELIS) which gained 1.86% to close at 15.33.The worst performers were  Groupe FNAC  (PA:FNAC) which was down 6.13% to 64.300 in late trade,  Iliad  (PA:ILD) which lost 3.97% to settle at 101.50 and Sopra Steria Group SA (PA:SOPR) which was down 3.68% to 102.00 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 330 to 229 and 97 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 2.73% to 14.58.Gold Futures for August delivery was up 0.52% or 7.05 to $1350.75 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.92% or 0.48 to hit $52.76 a barrel, while the August Brent oil contract rose 1.32% or 0.81 to trade at $62.12 a barrel.EUR/USD was down 0.59% to 1.1208, while EUR/GBP rose 0.05% to 0.8899.The US Dollar Index Futures was up 0.56% at 97.542."
2,"Jun 03, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.65%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Utilities, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 gained 0.65%, while the SBF 120 index climbed 0.53%.The best performers of the session on the CAC 40 were  Danone  SA (PA:DANO), which rose 2.18% or 1.56 points to trade at 72.96 at the close. Meanwhile, Sanofi SA (PA:SASY) added 2.09% or 1.51 points to end at 73.75 and Airbus Group SE (PA:AIR) was up 2.00% or 2.30 points to 117.16 in late trade.The worst performers of the session were Capgemini SE (PA:CAPP), which fell 1.34% or 1.34 points to trade at 98.76 at the close. AXA SA (PA:AXAF) declined 1.27% or 0.28 points to end at 21.80 and  Legrand  SA (PA:LEGD) was down 1.13% or 0.68 points to 59.46.The top performers on the SBF 120 were  Ipsen  SA (PA:IPN) which rose 3.84% to 111.00, Sartorius  Stedim  Biotech SA (PA:STDM) which was up 2.50% to settle at 127.20 and Lagardere SCA (PA:LAGA) which gained 2.20% to close at 22.28.The worst performers were Technicolor (PA:TCH) which was down 8.70% to 0.876 in late trade,  Maisons du Monde SAS  (PA:MDM) which lost 4.38% to settle at 17.260 and Eurofins Scientific SE (PA:EUFI) which was down 4.22% to 390.00 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 299 to 265 and 96 ended unchanged.Shares in Danone SA (PA:DANO) rose to all time highs; rising 2.18% or 1.56 to 72.96. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.38% to 16.38.Gold Futures for August delivery was up 1.10% or 14.45 to $1325.55 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.41% or 0.22 to hit $53.72 a barrel, while the August Brent oil contract fell 0.31% or 0.19 to trade at $61.80 a barrel.EUR/USD was up 0.43% to 1.1216, while EUR/GBP rose 0.36% to 0.8876.The US Dollar Index Futures was down 0.29% at 97.387."
3,"May 22, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.12%,nan,"Investing.com – France stocks were lower after the close on Wednesday, as losses in the Utilities, Healthcare and Gas & Water sectors led shares lower.At the close in Paris, the CAC 40 fell 0.12%, while the SBF 120 index fell 0.12%.The best performers of the session on the CAC 40 were Atos SE (PA:ATOS), which rose 2.68% or 1.90 points to trade at 72.82 at the close. Meanwhile,  Worldline SA  (PA:WLN) added 2.05% or 1.050 points to end at 52.300 and Capgemini SE (PA:CAPP) was up 1.76% or 1.85 points to 106.70 in late trade.The worst performers of the session were TechnipFMC PLC (PA:FTI), which fell 2.70% or 0.57 points to trade at 20.57 at the close.  Credit Agricole  SA (PA:CAGR) declined 2.01% or 0.225 points to end at 10.980 and  Peugeot  SA (PA:PEUP) was down 1.97% or 0.42 points to 20.87.The top performers on the SBF 120 were  Neopost  SA (PA:NPOS) which rose 3.30% to 18.18,  Teleperformance  SE (PA:ROCH) which was up 3.20% to settle at 174.40 and Sopra Steria Group SA (PA:SOPR) which gained 3.11% to close at 109.40.The worst performers were  Vallourec  (PA:VLLP) which was down 5.94% to 2.312 in late trade, CGG SA (PA:GEPH) which lost 3.81% to settle at 1.567 and  Casino  Guichard Perrachon SA (PA:CASP) which was down 3.40% to 29.85 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 315 to 227 and 88 ended unchanged.Shares in Teleperformance SE (PA:ROCH) rose to all time highs; gaining 3.20% or 5.40 to 174.40. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.44% to 14.62.Gold Futures for June delivery was up 0.11% or 1.45 to $1274.65 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 3.10% or 1.96 to hit $61.17 a barrel, while the July Brent oil contract fell 2.13% or 1.54 to trade at $70.64 a barrel.EUR/USD was down 0.01% to 1.1157, while EUR/GBP rose 0.27% to 0.8803.The US Dollar Index Futures was up 0.01% at 97.903."
4,"May 16, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 1.37%,nan,"Investing.com – France stocks were higher after the close on Thursday, as gains in the Industrials, Utilities and Consumer Goods sectors led shares higher.At the close in Paris, the CAC 40 gained 1.37%, while the SBF 120 index gained 1.30%.The best performers of the session on the CAC 40 were Dassault Systemes SE (PA:DAST), which rose 3.35% or 4.50 points to trade at 138.65 at the close. Meanwhile,  Air Liquide  SA (PA:AIRP) added 2.78% or 3.20 points to end at 118.20 and Capgemini SE (PA:CAPP) was up 2.59% or 2.70 points to 107.05 in late trade.The worst performers of the session were  Valeo  SA (PA:VLOF), which fell 2.71% or 0.77 points to trade at 27.61 at the close.  Renault  SA (PA:RENA) declined 1.12% or 0.59 points to end at 52.00 and Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP) was down 0.93% or 1.05 points to 111.35.The top performers on the SBF 120 were Eutelsat Communications SA (PA:ETL) which rose 4.31% to 15.97,  Euronext  (PA:ENX) which was up 4.17% to settle at 63.70 and ALD SA (PA:ALDA) which gained 3.94% to close at 13.20.The worst performers were  Ubisoft  Entertainment (PA:UBIP) which was down 12.65% to 72.060 in late trade, Valeo SA (PA:VLOF) which lost 2.71% to settle at 27.61 and  Faurecia  (PA:EPED) which was down 2.32% to 37.95 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 339 to 213 and 86 ended unchanged.Shares in Renault SA (PA:RENA) fell to 3-years lows; falling 1.12% or 0.59 to 52.00. Shares in Euronext (PA:ENX) rose to all time highs; gaining 4.17% or 2.55 to 63.70. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 8.60% to 13.92.Gold Futures for June delivery was down 0.90% or 11.65 to $1286.15 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 1.60% or 0.99 to hit $63.01 a barrel, while the July Brent oil contract rose 1.63% or 1.17 to trade at $72.94 a barrel.EUR/USD was down 0.21% to 1.1176, while EUR/GBP rose 0.25% to 0.8736.The US Dollar Index Futures was up 0.26% at 97.632."
5,"May 15, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.62%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Technology, Industrials and Consumer Services sectors led shares higher.At the close in Paris, the CAC 40 gained 0.62%, while the SBF 120 index added 0.59%.The best performers of the session on the CAC 40 were STMicroelectronics NV (PA:STM), which rose 3.61% or 0.545 points to trade at 15.635 at the close. Meanwhile, Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP) added 2.88% or 3.15 points to end at 112.40 and  Bouygues  SA (PA:BOUY) was up 2.40% or 0.77 points to 32.92 in late trade.The worst performers of the session were  Credit Agricole  SA (PA:CAGR), which fell 2.60% or 0.295 points to trade at 11.070 at the close. Capgemini SE (PA:CAPP) declined 1.93% or 2.05 points to end at 104.35 and  Renault  SA (PA:RENA) was down 0.98% or 0.52 points to 52.59.The top performers on the SBF 120 were  Faurecia  (PA:EPED) which rose 4.52% to 38.85,  Eiffage  SA (PA:FOUG) which was up 4.33% to settle at 90.66 and  Ipsen  SA (PA:IPN) which gained 3.71% to close at 109.00.The worst performers were Eutelsat Communications SA (PA:ETL) which was down 6.33% to 15.31 in late trade, Metropole Television SA (PA:MMTP) which lost 4.09% to settle at 16.66 and  Trigano  SA (PA:TRIA) which was down 3.38% to 72.80 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 306 to 248 and 81 ended unchanged.Shares in Renault SA (PA:RENA) fell to 3-years lows; losing 0.98% or 0.52 to 52.59. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 9.18% to 15.23.Gold Futures for June delivery was up 0.20% or 2.55 to $1298.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 0.37% or 0.23 to hit $62.01 a barrel, while the July Brent oil contract rose 0.83% or 0.59 to trade at $71.83 a barrel.EUR/USD was up 0.02% to 1.1205, while EUR/GBP rose 0.32% to 0.8711.The US Dollar Index Futures was up 0.01% at 97.333."
6,"May 10, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.27%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Gas & Water, General Financial and Foods & Drugs sectors led shares higher.At the close in Paris, the CAC 40 gained 0.27%, while the SBF 120 index added 0.25%.The best performers of the session on the CAC 40 were EssilorLuxottica SA (PA:ESLX), which rose 3.96% or 4.20 points to trade at 110.20 at the close. Meanwhile, Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP) added 2.37% or 2.55 points to end at 109.95 and Capgemini SE (PA:CAPP) was up 2.05% or 2.10 points to 104.40 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 2.68% or 0.448 points to trade at 16.240 at the close.  Accor  SA (PA:ACCP) declined 2.45% or 0.88 points to end at 35.08 and WFD Unibail Rodamco NV (AS:URW) was down 1.13% or 1.66 points to 144.94.The top performers on the SBF 120 were  Maisons du Monde SAS  (PA:MDM) which rose 12.20% to 18.300, Sopra Steria Group SA (PA:SOPR) which was up 4.42% to settle at 106.20 and EssilorLuxottica SA (PA:ESLX) which gained 3.96% to close at 110.20.The worst performers were Aeroports de Paris SA (PA:ADP) which was down 9.73% to 153.00 in late trade, DBV Technologies (PA:DBV) which lost 3.36% to settle at 16.100 and ArcelorMittal SA (AS:MT) which was down 2.68% to 16.240 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 307 to 250 and 105 ended unchanged.Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; falling 2.68% or 0.448 to 16.240. Shares in Accor SA (PA:ACCP) fell to 52-week lows; falling 2.45% or 0.88 to 35.08. Shares in Aeroports de Paris SA (PA:ADP) fell to 52-week lows; losing 9.73% or 16.50 to 153.00. Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; losing 2.68% or 0.448 to 16.240. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 9.45% to 17.04.Gold Futures for June delivery was up 0.28% or 3.65 to $1288.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 0.39% or 0.24 to hit $61.94 a barrel, while the July Brent oil contract rose 0.70% or 0.49 to trade at $70.88 a barrel.EUR/USD was up 0.14% to 1.1236, while EUR/GBP rose 0.09% to 0.8626.The US Dollar Index Futures was down 0.11% at 97.058."
7,"Apr 26, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.21%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Gas & Water, General Financial and Foods & Drugs sectors led shares higher.At the close in Paris, the CAC 40 gained 0.21%, while the SBF 120 index climbed 0.30%.The best performers of the session on the CAC 40 were  Valeo  SA (PA:VLOF), which rose 6.65% or 2.05 points to trade at 32.88 at the close. Meanwhile,  Publicis Groupe  SA (PA:PUBP) added 3.70% or 1.90 points to end at 53.24 and Sanofi SA (PA:SASY) was up 3.50% or 2.58 points to 76.20 in late trade.The worst performers of the session were Capgemini SE (PA:CAPP), which fell 5.04% or 5.75 points to trade at 108.25 at the close. STMicroelectronics NV (PA:STM) declined 2.08% or 0.345 points to end at 16.215 and ArcelorMittal SA (AS:MT) was down 2.00% or 0.396 points to 19.400.The top performers on the SBF 120 were  Ipsos  (PA:ISOS) which rose 14.10% to 26.30, Sopra Steria Group SA (PA:SOPR) which was up 7.59% to settle at 117.70 and SES (PA:SESFd) which gained 7.46% to close at 15.12.The worst performers were Technicolor (PA:TCH) which was down 8.92% to 1.072 in late trade,  Ipsen  SA (PA:IPN) which lost 8.51% to settle at 105.30 and  Casino  Guichard Perrachon SA (PA:CASP) which was down 5.68% to 35.53 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 328 to 253 and 84 ended unchanged.Shares in Ipsen SA (PA:IPN) fell to 52-week lows; down 8.51% or 9.80 to 105.30. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.64% to 12.75.Gold Futures for June delivery was up 0.82% or 10.55 to $1290.25 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June fell 3.97% or 2.59 to hit $62.62 a barrel, while the June Brent oil contract fell 4.06% or 3.02 to trade at $71.33 a barrel.EUR/USD was up 0.29% to 1.1162, while EUR/GBP rose 0.05% to 0.8631.The US Dollar Index Futures was down 0.28% at 97.643."
8,"Apr 04, 2019 12:35PM ET",France stocks lower at close of trade; CAC 40 down 0.09%,nan,"Investing.com – France stocks were lower after the close on Thursday, as losses in the Gas & Water, General Financial and Foods & Drugs sectors led shares lower.At the close in Paris, the CAC 40 fell 0.09%, while the SBF 120 index declined 0.15%.The best performers of the session on the CAC 40 were  Valeo  SA (PA:VLOF), which rose 1.59% or 0.46 points to trade at 29.39 at the close. Meanwhile, STMicroelectronics NV (PA:STM) added 1.54% or 0.230 points to end at 15.135 and WFD Unibail Rodamco NV (AS:URW) was up 1.11% or 1.67 points to 151.82 in late trade.The worst performers of the session were Sodexo SA (PA:EXHO), which fell 2.05% or 2.09 points to trade at 99.86 at the close. Dassault Systemes SE (PA:DAST) declined 1.48% or 2.00 points to end at 133.30 and Capgemini SE (PA:CAPP) was down 1.27% or 1.40 points to 108.50.The top performers on the SBF 120 were DBV Technologies (PA:DBV) which rose 11.31% to 15.350,  Vicat  (PA:VCTP) which was up 3.80% to settle at 45.05 and  GTT  (PA:GTT) which gained 2.04% to close at 90.00.The worst performers were Sartorius  Stedim  Biotech SA (PA:STDM) which was down 4.07% to 113.00 in late trade,  Casino  Guichard Perrachon SA (PA:CASP) which lost 3.46% to settle at 37.91 and Eurofins Scientific SE (PA:EUFI) which was down 3.41% to 368.40 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 312 to 254 and 104 ended unchanged.Shares in GTT (PA:GTT) rose to all time highs; up 2.04% or 1.80 to 90.00. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 1.66% to 13.47.Gold Futures for June delivery was down 0.25% or 3.25 to $1292.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May rose 0.18% or 0.11 to hit $62.57 a barrel, while the June Brent oil contract rose 0.69% or 0.48 to trade at $69.79 a barrel.EUR/USD was down 0.16% to 1.1217, while EUR/GBP rose 0.45% to 0.8572.The US Dollar Index Futures was up 0.25% at 96.907."
9,"Apr 02, 2019 12:35PM ET",France stocks higher at close of trade; CAC 40 up 0.33%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Basic Materials, Financials and Technology sectors led shares higher.At the close in Paris, the CAC 40 added 0.33%, while the SBF 120 index gained 0.39%.The best performers of the session on the CAC 40 were  Valeo  SA (PA:VLOF), which rose 2.80% or 0.77 points to trade at 28.24 at the close. Meanwhile, STMicroelectronics NV (PA:STM) added 2.73% or 0.375 points to end at 14.105 and  Publicis Groupe  SA (PA:PUBP) was up 1.85% or 0.85 points to 46.86 in late trade.The worst performers of the session were Atos SE (PA:ATOS), which fell 1.95% or 1.72 points to trade at 86.30 at the close. Capgemini SE (PA:CAPP) declined 1.14% or 1.25 points to end at 108.60 and  Carrefour  SA (PA:CARR) was down 0.78% or 0.13 points to 16.64.The top performers on the SBF 120 were ALD SA (PA:ALDA) which rose 3.44% to 13.22,  Faurecia  (PA:EPED) which was up 3.37% to settle at 41.43 and Compagnie  Plastic Omnium  SA (PA:PLOF) which gained 2.87% to close at 25.47.The worst performers were Atos SE (PA:ATOS) which was down 1.95% to 86.30 in late trade, CGG SA (PA:GEPH) which lost 1.79% to settle at 1.809 and  Neopost  SA (PA:NPOS) which was down 1.67% to 21.22 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 342 to 231 and 87 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 1.08% to 14.46.Gold Futures for June delivery was down 0.03% or 0.35 to $1293.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May rose 1.22% or 0.75 to hit $62.34 a barrel, while the June Brent oil contract rose 0.35% or 0.24 to trade at $69.25 a barrel.EUR/USD was down 0.22% to 1.1187, while EUR/GBP rose 0.27% to 0.8580.The US Dollar Index Futures was up 0.27% at 97.062."
