,date,titre,texte,article
0,"Jun 20, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.31%,nan,"Investing.com – France stocks were higher after the close on Thursday, as gains in the Foods & Drugs, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 added 0.31% to hit a new 1-month high, while the SBF 120 index gained 0.21%.The best performers of the session on the CAC 40 were TechnipFMC PLC (PA:FTI), which rose 3.35% or 0.71 points to trade at 21.89 at the close. Meanwhile, STMicroelectronics NV (PA:STM) added 2.40% or 0.355 points to end at 15.170 and Capgemini SE (PA:CAPP) was up 1.48% or 1.50 points to 103.00 in late trade.The worst performers of the session were  Credit Agricole  SA (PA:CAGR), which fell 2.93% or 0.315 points to trade at 10.435 at the close.  Publicis Groupe  SA (PA:PUBP) declined 2.48% or 1.26 points to end at 49.46 and  Carrefour  SA (PA:CARR) was down 2.41% or 0.41 points to 16.79.The top performers on the SBF 120 were  Vallourec  (PA:VLLP) which rose 6.82% to 2.442, CGG SA (PA:GEPH) which was up 4.25% to settle at 1.694 and TechnipFMC PLC (PA:FTI) which gained 3.35% to close at 21.89.The worst performers were  Natixis  (PA:CNAT) which was down 11.76% to 3.480 in late trade, Air France KLM SA (PA:AIRF) which lost 4.38% to settle at 7.550 and  Casino  Guichard Perrachon SA (PA:CASP) which was down 3.65% to 31.70 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 299 to 266 and 92 ended unchanged.Shares in Natixis (PA:CNAT) fell to 52-week lows; falling 11.76% or 0.464 to 3.480. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 0.22% to 13.68.Gold Futures for August delivery was up 3.21% or 43.30 to $1392.10 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in August rose 5.37% or 2.90 to hit $56.87 a barrel, while the August Brent oil contract rose 3.88% or 2.40 to trade at $64.22 a barrel.EUR/USD was up 0.60% to 1.1292, while EUR/GBP rose 0.11% to 0.8888.The US Dollar Index Futures was down 0.43% at 96.167."
1,"Jun 19, 2019 12:50PM ET",Brazil retailer GPA launches e-commerce for wholesale deliveries,nan,"By Gabriela MelloSAO PAULO (Reuters) - Brazilian food retailer GPA is launching a new business-to-business e-commerce platform, an executive told Reuters, aiming to double its customer base in the segment by the end of 2019.The digital platform for wholesale deliveries to bars, restaurants and other small and mid-sized businesses, is part of GPA's push into the wholesale market, where competition is stiff as Brazil recovers tepidly from a deep recession.GPA, the local subsidiary of France's Casino Guichard Perrachon SA, began wholesale deliveries in the city of Sao Paulo and surrounding areas four years ago under an initiative known as Aliados Minimercado.Its fast-growing Assai unit, which sells discounted goods in a warehouse setting, continues to operate solely as a brick-and-mortar chain.""It is complementary, but also an independent format with its own commercial and distribution model,"" Marcelo Rivero, manager for Aliados Minimercado, said in an interview on Tuesday.The new digital platform is expected to contribute 10% of total deliveries by year-end, he added, and to help double the number of Aliados Minimercado's active customers by December, from around 500 currently.""We basically doubled the growth rate in deliveries to 25% from 15% earlier this year and we hope to keep this fast pace to become a major competitor in wholesale deliveries,"" Rivero said, adding online orders are delivered in Sao Paulo within 72 hours free of charge.GPA does not break out sales for Aliados Minimercardo, and the executive declined to say how much GPA had invested in the e-commerce platform. The plan is to expand wholesale deliveries to other regions in Brazil in coming years, according to Rivero.GPA shares have risen almost 8% so far in 2019, well behind rival  Carrefour  (PA:CARR) SA, which has gained more than 24%."
2,"Jun 14, 2019 10:15AM ET","Carrefour sees more retail sector consolidation, including in France",nan,"By Dominique VidalonPARIS (Reuters) - The boss of  Carrefour  (PA:CARR) said on Friday the retail sector was bound to consolidate in the coming years, notably in France, as competition intensifies, and that his mission was to make sure the French retailer came out a winner.When asked if Carrefour could exit underperforming countries such as Italy or China, Alexandre Bompard told an annual shareholders meeting he was confident his overhaul plan ""could improve the operational situation in each of our countries"".Carrefour, which is Europe's largest retailer, is in the midst of a five-year plan it launched in January 2018 to cut costs and jobs, boost e-commerce investment and seek a partnership in China with Tencent.Carrefour's plan, which also entails a greater focus on areas such as fresh local products, organic food and sustainability, is aimed at helping the retailer boost profits and revenues, and tackle competition from Amazon (NASDAQ:AMZN).""There are a lot of competitors in markets like Italy or in France and weak sector margins and we are only at the beginning of the arrival of large platforms like Amazon. There will be difficulties and consolidations in coming years,"" Bompard said.""My mission is to be in the winners' camp and the transformation we are conducting will put us among winners,""Last year, Carrefour and French rival Casino were locked in a dispute after Casino said it had rejected a tie-up approach from Carrefour that Carrefour denied making.Since then, Casino's parent Rallye has filed for protection from creditors.Meanwhile, French rival Auchan has sold most of its loss-making business in Italy, while it also faces tough market conditions in France.Last month, people familiar with the matter told Reuters that Carrefour was exploring the sale of a minority stake in its loss-making business in China and had started sounding out potential buyers.The group has, however, said a sale of the business in China was not on the agenda.In line with Carrefour's ambition to become a leader in the global transition towards healthier and more sustainable food, its shareholders on Friday approved a new mission statement to include its commitment to the transition in its bylaws.  /6938/FP_EN_site/FP_EN_TextNote 
"
3,"Jun 06, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.26%,nan,"Investing.com – France stocks were lower after the close on Thursday, as losses in the Oil & Gas, Basic Materials and Financials sectors led shares lower.At the close in Paris, the CAC 40 lost 0.26%, while the SBF 120 index declined 0.34%.The best performers of the session on the CAC 40 were TechnipFMC PLC (PA:FTI), which rose 2.52% or 0.47 points to trade at 19.30 at the close. Meanwhile, Sanofi SA (PA:SASY) added 1.78% or 1.31 points to end at 75.02 and  Total  SA (PA:TOTF) was up 0.78% or 0.36 points to 47.24 in late trade.The worst performers of the session were  Renault  SA (PA:RENA), which fell 6.41% or 3.60 points to trade at 52.60 at the close. WFD Unibail Rodamco NV (AS:URW) declined 2.39% or 3.30 points to end at 135.00 and  Carrefour  SA (PA:CARR) was down 2.28% or 0.39 points to 16.52.The top performers on the SBF 120 were TechnipFMC PLC (PA:FTI) which rose 2.52% to 19.30,  Elior  Group (PA:ELIOR) which was up 2.52% to settle at 10.98 and Sanofi SA (PA:SASY) which gained 1.78% to close at 75.02.The worst performers were Renault SA (PA:RENA) which was down 6.41% to 52.60 in late trade,  Klepierre  SA (PA:LOIM) which lost 5.41% to settle at 29.19 and Eurofins Scientific SE (PA:EUFI) which was down 3.71% to 368.80 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 298 to 238 and 114 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 2.96% to 15.29.Gold Futures for August delivery was up 0.74% or 9.85 to $1343.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 0.17% or 0.09 to hit $51.59 a barrel, while the August Brent oil contract fell 0.07% or 0.04 to trade at $60.59 a barrel.EUR/USD was up 0.67% to 1.1294, while EUR/GBP rose 0.49% to 0.8885.The US Dollar Index Futures was down 0.45% at 96.817."
4,"Jun 05, 2019 04:40PM ET",New Tech Unicorn Aims for Next-Day Delivery Anywhere in Brazil,nan,"(Bloomberg) -- Latin America’s newest tech unicorn has an ambitious goal: next-day delivery to nearly anyone in Brazil. That’s no easy feat in the world’s fifth-biggest country -- where infrastructure networks lag far behind those of most developed nations.Loggi is now valued at $1 billion, after raising $100 million this month in a funding round led by SoftBank Group Corp.’s Vision Fund, the company said Wednesday. SoftBank’s Latin America Fund is considering joining the round with an additional $50 million investment, according to the company. The cash infusion comes on the heels of a $100 million investment the Vision Fund made in the company last year.The startup, which launched in 2014 delivering documents on the chaotic streets of Sao Paulo, is using the investment to build a team of more than 1,000 engineers as it constructs a Brazil-wide logistics service. The company currently covers about 35% of the population, and makes about 100,000 deliveries a day for clients including French retailer  Carrefour  (PA:CARR) SA, e-commerce giant MercadoLibre Inc. and fast-food restaurants McDonald’s (NYSE:MCD) Corp. and Burger King. Chief Executive Officer Fabien Mendez said the company aims to increase its coverage to 95% of the country by the end of next year and boost its delivery frequency to about 5 million a day within five years.“Our philosophy is that we deliver anything for anyone,” Mendez said in an interview. “By the end of 2020, we want to connect all Brazilian cities. The idea is to offer next-day delivery to all Brazilians.”Loggi will have to overcome obstacles that have made Brazil a notoriously difficult country for shippers, including poor infrastructure, crime, thick bureaucracy and sheer size. Brazil is bigger than the continental U.S. but its transportation infrastructure ranks near that of Rwanda, according to the World Economic Forum.“When you operate in logistics in Brazil, it’s a death by a thousand cuts,” Mendez said. “The only way to leapfrog the structural barriers is through the use of technology.”The company is opening a network of distribution centers across the country, including small warehouses in neighborhoods. It says it relies heavily on robotics, artificial intelligence and algorithms to find the most efficient route to air ship packages to those centers. The system alerts a nearby freelance courier -- around 25,000 of them deliver packages for Loggi -- to make the final drop off. The goal is to have minimal labor involved in the process, with only one set of human hands touching the package during each step of the delivery process, Mendez said.The company is betting the country of 209 million people will rapidly adopt e-commerce. Sales in the sector are expected to rise 15% this year to about $15.5 billion, after rising 12% last year, according to Ebit|Nielsen, a research firm.That growth has attracted other startups, including the  Goldman Sachs Group  Inc (NYSE:GS).-backed CargoX. Last-mile delivery companies, including Colombia’s Rappi and homegrown iFood, are also expanding in the country.But instead of competing with other existing players, Mendez said Loggi is working with them, providing delivery services for both Rappi and iFood, as well as retailers including Amazon.com Inc (NASDAQ:AMZN). “Loggi is emerging as a key enabler for Brazil’s burgeoning gig-economy and e-commerce sector,” said Akshay Naheta, a managing partner at SoftBank.GGV Capital,  Microsoft Corp  (NASDAQ:MSFT)., Fifth Wall Ventures and Velt Partners joined the Vision Fund in the latest Loggi round. SoftBank’s Latin America Fund launched a $5 billion tech fund for the region this year. Already this year, SoftBank agreed to invest $1 billion in Rappi, and is said to be in talks with Brazilian lender Creditas.Venture capital funding in Latin America has roughly doubled for each of the past two years and is on track to surpass the 2018 record of $2 billion. More than half of that funding last year went to Brazilian companies, according to the Association for Private Capital Investment in Latin America.As Brazil’s growing population of smartphone users place more orders online, automating logistics for food and package deliveries will be essential for the economy’s growth, Hans Tung, managing partner at GGV, wrote in an email. “We are seeing this as a global trend from the U.S. and China to Latin America, Southeast Asia and India,” Tung wrote.If it’s able to establish its service across Brazil, Loggi will look to expand into other Latin American markets, Mendez said.The 33-year-old, who was raised in a small village in the south of France and moved to Brazil in 2010, said he plans to grow the company’s employee headcount to 1,500 people, from the current payroll of 600. The company charges sellers a delivery fee based on the weight and destination of the package, plus an insurance charge. As a private company, it doesn’t release sales figures, but Mendez said Loggi expects to turn a profit next year, and was profitable in 2017.Mendez said the startup had no immediate plans to have an initial public offering or to be acquired. But “the plan is to get the company to be IPO-able,” he said. “We want to show exponential growth, but also the Ebitda to make ourselves attractive to the market.”(Updates with details of $50 million in additional funding in second paragraph, and total investment in first deck headline)"
5,"Jun 03, 2019 03:43PM ET",French Retail Chain Carrefour Registers Sales Boost Following Blockchain Integration,nan,"French retail giant  Carrefour  (PA:CARR) has seen an increase in sales after the implementation of a blockchain-based tracking system, Reuters reported on June 3.Carrefour’s blockchain tracking system enables customers to track the supply chain of 20 items, including meat, milk, and fruit from farms to stores, thus avoiding products with genetically modified organisms, antibiotics, and pesticides. This year, the company reportedly plans to add 100 more products, including non-food lines, to the system.Continue Reading on Coin Telegraph"
6,"Jun 03, 2019 01:10PM ET",Carrefour says blockchain tracking boosting sales of some products,nan,"By Emma ThomassonBERLIN (Reuters) - French retailer  Carrefour  (PA:CARR) SA has seen sales boosted by the use of blockchain ledger technology to track meat, milk and fruit from farms to stores and will extend it to more products to increase shopper trust, an executive said on Monday.Blockchain's digital tracking technology allows customers to see detailed information on products like when it was harvested or packed - reassuring them on the quality of items they buy and allowing them to avoid products with genetically modified organisms, antibiotics or pesticides if they want. Carrefour has launched blockchain information for 20 items including chicken, eggs, raw milk, oranges, pork and cheese, and will add 100 more this year with a focus on areas where consumers want reassurance, like baby and organic products.""You are building a halo effect - 'If I can trust Carrefour with this chicken, I can also trust Carrefour for their apples or cheese,'"" Emmanuel Delerm, Carrefour's blockchain project manager, told Reuters at a conference.Carrefour is among several leading companies tapping into the growing use of blockchain to track where products come from, as consumers increasingly look to ensure that products meet standards on ethics and general safety.Carrefour has worked on the blockchain system together with  IBM  (NYSE:IBM), which is collaborating with a number of retailers, logistics firms and growers on systems to track and secure their global supply chains.Blockchain, best known as the technology underlying cryptocurrency bitcoin, is a shared record of data kept by a network of individual computers rather than a single party.Customers can scan a QR barcode on a pomelo grapefruit with their phone and find out the date of harvest, location of cultivation, the owner of the plot, when it was packed, how long it took to transport to Europe and tips on how to prepare it.""The pomelo sold faster than the year before due to blockchain,"" Delerm said. ""We had a positive impact on the chicken versus the non-blockchain chicken.""The initiative has proved most popular so far in China - where it is already common for shoppers to scan QR codes, followed by Italy and France, with some people spending as long as 90 seconds reading the provenance information.They are interested in information about the origin of products and how animals are cared for, with one video of a farmer with his chickens proving popular, he said.""Millennials are buying less but buying better products for their health, for the planet,"" Delerm said.There are still challenges to overcome, such tracking fruit and vegetables sold loose that come from different farms, and resistance from farmers to sharing too much information, he added.Carrefour wants to add non-food lines in future like clothing, as well as more information, such as how much the farmer gets out of the shelf price. It is also experimenting with ways to identify products that do not rely on a QR code.While Carrefour is focusing the project on its own brands, it has also worked with Nestle on giving consumers access to blockchain data for its Mousline potato puree, allowing them to see it is only made from French potatoes.  /6938/FP_EN_site/FP_EN_TextNote 
"
7,"May 24, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.67%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Gas & Water, General Financial and Foods & Drugs sectors led shares higher.At the close in Paris, the CAC 40 added 0.67%, while the SBF 120 index gained 0.66%.The best performers of the session on the CAC 40 were  Worldline SA  (PA:WLN), which rose 2.79% or 1.400 points to trade at 51.500 at the close. Meanwhile, Schneider Electric SE (PA:SCHN) added 2.78% or 2.00 points to end at 73.90 and  Safran  SA (PA:SAF) was up 2.14% or 2.55 points to 121.90 in late trade.The worst performers of the session were  Credit Agricole  SA (PA:CAGR), which fell 4.59% or 0.490 points to trade at 10.185 at the close.  Kering  SA (PA:PRTP) declined 1.73% or 8.50 points to end at 482.70 and  Carrefour  SA (PA:CARR) was down 1.07% or 0.18 points to 16.68.The top performers on the SBF 120 were  Casino  Guichard Perrachon SA (PA:CASP) which rose 7.48% to 30.03,  Eramet  SA (PA:ERMT) which was up 3.97% to settle at 51.88 and Genfit (PA:GNFT) which gained 3.43% to close at 21.720.The worst performers were Credit Agricole SA (PA:CAGR) which was down 4.59% to 10.185 in late trade,  Amundi SA  (PA:AMUN) which lost 3.85% to settle at 57.45 and  Rexel  (PA:RXL) which was down 3.84% to 10.01 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 353 to 205 and 79 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 6.76% to 16.20.Gold Futures for June delivery was down 0.11% or 1.45 to $1283.95 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.62% or 0.36 to hit $58.27 a barrel, while the July Brent oil contract rose 0.72% or 0.49 to trade at $68.25 a barrel.EUR/USD was up 0.22% to 1.1205, while EUR/GBP fell 0.22% to 0.8813.The US Dollar Index Futures was down 0.26% at 97.472."
8,"May 14, 2019 12:15PM ET",Carrefour and TerraCycle launch 'Loop' test in Paris to tackle waste,nan,"By Dominique VidalonPARIS (Reuters) - French retailer  Carrefour  (PA:CARR) and U.S. waste recycling company TerraCycle launched on Tuesday the test for their 'Loop' initiative which they hope will tackle the problems of plastic waste threatening to destroy the environment.The 'Loop' online platform will allow shoppers in the Paris area to buy orange juice, powder detergent or shampoo in reusable containers that do not result in waste.The initiative was first announced at the World Economic Forum in Davos in January, with over 25 big-name consumer goods and retail partners on board.Users put down a refundable deposit via the Loop website when ordering products, which are delivered in reusable glass and metal bottles, and shipped in a tote bag to shoppers' doors. Loop then retrieves the empty products for cleaning and reuse.Plastic production has surged over the last 50 years, leading to the widespread use of disposable bottles, cups and containers, but this has also resulted in millions of tonnes of plastic waste ending up in landfills and oceans.Government bans on products such as single-use plastic water bottles, shopping bags and polystyrene cups have sent retailers and consumer goods companies looking for alternatives.Carrefour, which is Europe's largest retailer, aims to reach a 100% rate for recyclable, reusable or compostable packaging for its own brands by 2025.Carrefour is Loop's founding retail partner for France.It will be offering around 200 products - including around 30 of its own private label and organic products such as honey, oil or spices - during the initial trial in the Paris area.These products will come alongside those of international brands that have already joined Loop such as Danone's Evian mineral water, Pepsico's Tropicana juice, Quaker Cruesli cereal or Unilever's 'Signal' toothpaste.NEW YORK TO FOLLOWCarrefour General Secretary Laurent Vallee said Loop would tie in with a broader strategy overhaul at Carrefour to focus more on areas such as fresh local produce and organic food, under a global five-year plan to boost sales and profits.""We hope other international manufacturers and retailers will join us to adopt new standards and scale up this concept in order to fight waste,"" said Vallee.The Loop trial launches first in Paris and then New York on May 21. A London launch via supermarket group  Tesco  (LON:TSCO) is slated for later in 2019, with Toronto, Tokyo and California to follow next year.The products available on www.maboutiqueloop.fr http://www.maboutiqueloop.fr will cost roughly the same as those in single-use containers but shoppers will have to pay a deposit, which for instance amounts to 25 euro cents for a 4.50 euros 75 cl bottle of Carrefour organic sunflower oil.From October onwards Carrefour will also integrate Loop in its own e-commerce website www.Carrefour.fr/clvc, in a bid to boost traffic on its site and build up customer loyalty.Partners in the Loop trial, many of which are re-designing their traditional packages, will test how the system works in general, and above all whether consumers are prepared to put up a deposit and then re-order products this way. Customers can opt to have the product automatically replaced.Eventually, Carrefour could roll out the service in its stores.""We want to reach 5,000 users in the trial. The percentage of clients loyal to Loop will be key. We aim for over 50% of re-order,"" Bertrand Swiderski, Carrefour's sustainability director, told Reuters.  /6938/FP_EN_site/FP_EN_TextNote 
"
9,"May 10, 2019 01:35PM ET","Walmart Brasil to ditch e-commerce, focus on brick and mortar",nan,"By Gabriela MelloSAO PAULO (Reuters) - Walmart (NYSE:WMT) Brasil will close down its e-commerce operation in Latin America's biggest retail market to focus on brick and mortar locations, converting underperforming hypermarkets into wholesale stores. Wholesale has become increasingly popular in Brazil as the country slowly exits from a harsh recession. ""The company is working in a new omnichannel strategy which will be later announced"", Walmart Brasil said in a statement on Friday, without giving details. News of the decision was first reported by newspaper Valor Economico. The move is likely to open room to local and international retailers currently focused on exploring still incipient e-commerce in Brazil. Walmart's decision caps years of efforts that never really took off. It precedes the long-awaited launch of Amazon's fulfillment center, which will enable it to sell directly to consumers in Brazil. Part of Walmart's struggles, had to do with tough competition from local players in the e-commerce segment, including B2W, Via Varejo and Magazine Luiza SA.Walmart launched an e-commerce division in Brazil in 2011, selling directly to consumers. But by 2017, the retailer discontinued direct sales, focusing only on running as a marketplace for third-party sellers, which it had launched in 2015. Walmart never disclosed how much online sales contributed to its top line in Brazil. In mid-2018, buyout firm Advent International acquired an 80% stake in the Brazilian operation, unfolding a broad revamp. By then, the e-commerce division was already in decline. As part of the decision to exit e-commerce, the company laid off 70 of its 90 employees working for the marketplace platform, with the remaining 20 fully dedicated to manage ongoing orders.Walmart's decision could be a boom for its competitors. ""Walmart's (e-commerce) operation has been shrinking for a while now, but we are prepared to direct their consumer traffic to Carrefour"", Chief Executive Officer of  Carrefour  (PA:CARR) eBusiness Brasil, Paula Cardoso, told journalists on Friday in a call to discuss quarterly results.In a separate statement, Walmart Brasil said it plans to convert 10 underperforming hypermarkets into wholesale stores Maxxi Atacado by the end of 2020. The first one was opened on May 9 in the city of Diadema, near Sao Paulo. Another 10 hypermarkets will be converted into Sam's Club stores, the company said.  /6938/FP_EN_site/FP_EN_TextNote 
"
