,date,titre,texte,article
0,"Jun 20, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.31%,nan,"Investing.com – France stocks were higher after the close on Thursday, as gains in the Foods & Drugs, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 added 0.31% to hit a new 1-month high, while the SBF 120 index gained 0.21%.The best performers of the session on the CAC 40 were TechnipFMC PLC (PA:FTI), which rose 3.35% or 0.71 points to trade at 21.89 at the close. Meanwhile, STMicroelectronics NV (PA:STM) added 2.40% or 0.355 points to end at 15.170 and Capgemini SE (PA:CAPP) was up 1.48% or 1.50 points to 103.00 in late trade.The worst performers of the session were  Credit Agricole  SA (PA:CAGR), which fell 2.93% or 0.315 points to trade at 10.435 at the close.  Publicis Groupe  SA (PA:PUBP) declined 2.48% or 1.26 points to end at 49.46 and  Carrefour  SA (PA:CARR) was down 2.41% or 0.41 points to 16.79.The top performers on the SBF 120 were  Vallourec  (PA:VLLP) which rose 6.82% to 2.442, CGG SA (PA:GEPH) which was up 4.25% to settle at 1.694 and TechnipFMC PLC (PA:FTI) which gained 3.35% to close at 21.89.The worst performers were  Natixis  (PA:CNAT) which was down 11.76% to 3.480 in late trade, Air France KLM SA (PA:AIRF) which lost 4.38% to settle at 7.550 and  Casino  Guichard Perrachon SA (PA:CASP) which was down 3.65% to 31.70 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 299 to 266 and 92 ended unchanged.Shares in Natixis (PA:CNAT) fell to 52-week lows; falling 11.76% or 0.464 to 3.480. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 0.22% to 13.68.Gold Futures for August delivery was up 3.21% or 43.30 to $1392.10 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in August rose 5.37% or 2.90 to hit $56.87 a barrel, while the August Brent oil contract rose 3.88% or 2.40 to trade at $64.22 a barrel.EUR/USD was up 0.60% to 1.1292, while EUR/GBP rose 0.11% to 0.8888.The US Dollar Index Futures was down 0.43% at 96.167."
1,"Jun 20, 2019 09:51AM ET",Exclusive: HSBC gets top adviser role in Qatar for first time since Gulf row - sources,nan,"By Davide Barbuscia and Eric KnechtDUBAI/DOHA (Reuters) - HSBC has been hired by a state-controlled port operator in Qatar, QTerminals, to coordinate a $500 million loan, sources familiar with the matter said, securing its first mandate as top adviser for a deal in Qatar since a regional rift between Doha and its neighbors erupted.The London-listed bank -- along with other lenders -- was caught up in Qatar's dispute with its neighbors Saudi Arabia, United Arab Emirates, Bahrain and Egypt, which in 2017 cut diplomatic and transport ties with Qatar accusing it of financing terrorism, a charge Doha denies.Along with other banks, it side-stepped high-profile Qatar deals in the aftermath of the diplomatic crisis and prioritized business in Saudi Arabia, where it has a strong presence, as the kingdom promised a slate of deals as part of its efforts to open and transform the economy in an era of lower oil prices.As a result of that, HSBC has not arranged any bond deals out of Qatar since the crisis began in 2017, according to Refinitiv data, after having been at the top of bond league tables.Though it has participated in Qatari loan transactions over the past two years, it never won lead roles, and its ranking in the local bank debt market has fallen.But after missing out on profitable mandates, like Doha's $12 billion sovereign bond issuance, the lender has been seeking to regain its foothold in Qatar, sources familiar with the matter said.QTerminals did not immediately respond to a request for comment.HSBC, which declined to comment, has been appointed as sole coordinator for a $500 million five-year bank facility for the company, in charge of developing and operating Qatar's Hamad Port, and it has recently approached other lenders for the transaction, said the sources.LEAD ROLEThe bank has led almost every sovereign bond issue in the Gulf over the past few years, as governments in the region increased their dependence on debt to refill budget deficits caused by a drop in energy prices.In its latest bond this year, a jumbo $12 billion debt sale, Qatar hired almost the same group of banks that arranged its bond issue last year, in what a source at the time said was a demonstration of the country's commitment to its existing partners.Those banks included  Standard Chartered  (LON:STAN),  Credit Agricole  (PA:CAGR), and four banks with Qatari investment:  Barclays  (LON:BARC),  Credit Suisse  (SIX:CSGN),  Deutsche Bank  (DE:DBKGn) and Qatar National Bank. None of these banks has arranged Saudi Arabia's recent bond issues.Over the past few years HSBC has consolidated its presence in Saudi Arabia, as the kingdom opened up to foreign investors as part of economic reforms pushed forward by its new crown prince, Mohammed bin Salman.It was one of the banks appointed to lead state-owned giant Aramco's debut international bond this year, and had been previously mandated as an adviser for the company's initial public offering, which is now expected to take place between 2020 and early 2021.  /6938/FP_EN_site/FP_EN_TextNote 
"
2,"Jun 19, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.16%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Foods & Drugs, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 added 0.16% to hit a new 1-month high, while the SBF 120 index climbed 0.17%.The best performers of the session on the CAC 40 were  Valeo  SA (PA:VLOF), which rose 3.37% or 0.85 points to trade at 26.09 at the close. Meanwhile,  Credit Agricole  SA (PA:CAGR) added 2.28% or 0.240 points to end at 10.750 and  Societe Generale  SA (PA:SOGN) was up 2.23% or 0.48 points to 22.05 in late trade.The worst performers of the session were Airbus Group SE (PA:AIR), which fell 1.96% or 2.46 points to trade at 123.00 at the close.  Kering  SA (PA:PRTP) declined 1.17% or 6.00 points to end at 508.20 and  Vivendi  SA (PA:VIV) was down 0.89% or 0.22 points to 24.55.The top performers on the SBF 120 were  Tarkett  (PA:TKTT) which rose 4.75% to 21.60, Compagnie  Plastic Omnium  SA (PA:PLOF) which was up 3.92% to settle at 22.29 and  Faurecia  (PA:EPED) which gained 3.64% to close at 38.40.The worst performers were Air France KLM SA (PA:AIRF) which was down 3.57% to 7.896 in late trade,  Casino  Guichard Perrachon SA (PA:CASP) which lost 2.69% to settle at 32.90 and CGG SA (PA:GEPH) which was down 2.17% to 1.625 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 293 to 275 and 87 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 0.78% to 13.65 a new 1-month low.Gold Futures for August delivery was down 0.05% or 0.65 to $1350.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in August fell 0.43% or 0.23 to hit $53.88 a barrel, while the August Brent oil contract fell 0.21% or 0.13 to trade at $62.01 a barrel.EUR/USD was up 0.22% to 1.1216, while EUR/GBP fell 0.38% to 0.8878.The US Dollar Index Futures was down 0.24% at 96.915."
3,"Jun 17, 2019 07:21PM ET",Banks to include CO2 emission measures in shipping loan decisions,nan,"By Jonathan SaulLONDON (Reuters) - A group of leading banks will for the first time include efforts to cut carbon dioxide emissions in their decision making when providing shipping company loans, executives said on Tuesday. International shipping accounts for 2.2% of global carbon dioxide (CO2) emissions and the U.N.'s International Maritime Organization (IMO), has a long-term goal to cut greenhouse gas emissions by 50% from 2008 levels by 2050.Working with non-profit organisations the Global Maritime Forum, the Rocky Mountain Institute and London University's UCL Energy Institute, 11 banks have established a framework to measure the carbon intensity of shipping finance portfolios.The banks involved in the ""Poseidon Principles"" initiative, which will set a common baseline to assess whether lending portfolios are in line or behind the adopted climate goals set by the IMO, represent around a fifth or $100 billion of the total global shipping finance portfolio. The results will be published annually in individual sustainability reports and the data will be obtained by banks from borrowers under existing loan agreements. Although the IMO agreed stricter energy efficiency targets last month for certain types of ships, environmental campaigners are calling for tougher goals. ""We are helping the shipping industry emerge into the 21st century in a responsible way,"" Michael Parker, global head of shipping at  Citigroup  (NYSE:C), told Reuters.'HUGE ROLE'Those involved so far are Citigroup,  Societe Generale  (PA:SOGN), DNB, ABN Amro, Amsterdam Trade Bank,  Credit Agricole  (PA:CAGR) CIB, Danish Ship Finance, Danske Bank, DVB, ING and Nordea. ""Banks have a huge role to play here because there is about $450 billion of senior debt that the world's shipping banks and Chinese lessors grant to the sector and about 70,000 commercial vessels,"" Paul Taylor, global head of shipping & offshore with Societe Generale CIB, said.Banks will in the longer term be more selective about which ships they include in their lending portfolios, bankers said.""Will there be companies that will find it difficult to get finance as they have less efficient ships, yes, it will be a consequence of it - but it's not going to be used to look for those companies and somehow find a way of getting them out,"" Citigroup's Parker said.Oivind Haraldsen, Danske Bank's global head of shipping, said more institutions would join the efforts to cut the carbon footprint of the sector. ""All of us have to push - we as banks probably have more power than we are aware,"" he said.   /6938/FP_EN_site/FP_EN_TextNote 
"
4,"Jun 13, 2019 09:35AM ET","Oil surges after Gulf tanker attacks, stocks claw higher",nan,"By Marc JonesLONDON (Reuters) - Suspected attacks on two tankers off the coast of Iran saw oil markets erupt out of their recent slump on Thursday and kept traders gobbling up ultra-safe government bonds, gold and the Japanese yen.Brent surged as much 4% after reports of the attacks added to already heightened tensions between Iran and the United States. The area is near the Strait of Hormuz through which a fifth of global oil consumption passes from Middle East producers.The crude spike helped Europe's oil producers pull stock markets there higher and lift Wall Street futures. There were also some stellar gains in the telecoms sector as Germany dished out new 5G mobile network licenses to some new entrants. ""Whenever you have an incident in the Arabian Gulf a little bit of nervousness always starts to kick in about that particular artery getting clogged up,"" CMC Markets senior analyst Michael Hewson said.Given that oil was at five-month lows on Wednesday, people were taking precautions in case it might escalate into something more serious, he added.""But personally I think it will be much like in the past, where you get a spike higher (in oil) but ultimately it doesn't change the underlying supply and demand dynamics."" Wall Street oil majors like  Exxon Mobil  (NYSE:XOM) and  Chevron  (NYSE:CVX) were pointing 1% higher while S&P and Dow e-minis were up 0.4% and Nasdaq futures climbed 0.6%.But Asia had been a different story. Hong Kong's Hang Seng dropped sharply again overnight as public tensions continued there about a bill which would allow extradition to China.Doubts were growing too about any improvement in what U.S. President Donald Trump called ""testy"" trade relations with China before this month's G20 summit while some market anxiety emerged that Federal Reserve rate cut speculation may be overdone.Investors will be looking to what Fed policymakers say after their next policy meeting on June 18-19, with Fed Funds rate futures pricing in a 25-basis-point rate cut for the subsequent policy review on July 30-31. That is completely at odds with the Fed's projection three months ago, when policymakers saw gradual rate hikes in coming years. ""The U.S. real economy has not worsened that much. But given market expectations, the Fed will have no choice but to cut rates,"" said Kozo Koide, chief economist at Asset Management One.RATE EXPECTATIONS With bonds in demand again, the 10-year U.S. Treasury yield dipped to 2.113 percent, near Friday's 2.053 percent, its lowest level since September 2017, while in Europe, German borrowing costs sank back toward all-time lows. Italy also paid the lowest rate in more than a year to sell seven- and 15-year debt on Thursday, helped by signals last week from the European Central Bank that it will keep borrowing costs down, and Rome's efforts to avoid a budget clash with Brussels.Yields had tumbled in Asia too. Long-dated Japanese government bond yields hit their lowest levels since August 2016, before rising back a bit after a weak 30-year bond auction.In Australia, long known for its high-yield currency, rates fell to record lows, with three-year yield now slipping below 1 percent after jobs data pointed to another interest rate cut in July to follow one last week.Currency markets saw plenty of action as well. The safe-haven yen gained 0.2% to 108.32 to the dollar as risk sentiment soured, while the Australian dollar dropped 0.3%..The euro steadied at $1.1293, having taken a hit on Wednesday after Trump said he was considering sanctions over Russia's Nord Stream 2 natural gas pipeline project and warned Germany against depending on Russia for energy.The pound was still subdued at $1.2680 after British lawmakers defeated an attempt led by the opposition Labour Party to try to block a no-deal Brexit by seizing control of the parliamentary agenda from the government.Turkey's lira tanked, though, dropping 1.4% as the rising cost of oil compounded tensions in Syria and a dispute with Washington over Ankara's plans to buy a Russian missile defense system.""You still have a lot of uncertainty when it comes to geopolitics,"" said Manuel Oliveri, analyst at  Credit Agricole  (PA:CAGR).""The focus is shifting to the G20 meeting. Risk sentiment remains relatively unstable,"" he added, while cautioning that expectations for interest rate cuts by the U.S. Federal Reserve were keeping investor confidence from weakening further.  /6938/FP_EN_site/FP_EN_TextNote 
"
5,"Jun 11, 2019 05:44AM ET",Mounting U.S. rate cut bets cap dollar before G20 meeting,nan,"By Saikat ChatterjeeLONDON (Reuters) - The dollar steadied above a recent two-and-a-half-month low on Tuesday as investors focused on a Group of 20 summit later this month where Beijing and Washington might make some progress on trade talks.A 3.5% rally in the dollar against its rivals in the first five months of 2019 has come to a halt in recent weeks as dovish comments from Federal Reserve officials and weak economic data bolster rate-cut expectations.Though markets are only pricing in about a 20% chance of a rate cut in June, they are fully pricing in a cut by July, and more than three rate hikes by mid-2020. The next policy meeting is scheduled for next week. Rising rate cut bets have also prompted investors to increase holdings of other currencies, with latest positioning data showing the biggest weekly rise in euro positions in nine months.With the dollar having weakened 1% this month against a basket of other major currencies to hit a late-March low of 96.46 last week, investors are firmly focused on a G20 meeting in Osaka, Japan, on June 28-29.The dollar was broadly steady at 96.80 on Tuesday. ""That meeting is now becoming the centerpiece for financial markets in the coming days,"" said Simon Derrick, a currency strategist at BNY Mellon in London.U.S. President Donald Trump said on Monday he was ready to impose more tariffs if talks at the summit with China's president, Xi Jinping, make no progress.Trump said last week he would decide after the meeting of the leaders of the world's largest economies whether to carry out a threat to impose tariffs on at least $300 billion in Chinese goods.Away from the upcoming G20 summit, investors have become more cautious of betting on further dollar weakness.""Bets of U.S. rate cuts have been rising quickly in recent days and we think the pricing has become too aggressive so the dollar's downside is limited,"" said Manuel Oliveri, a currency strategist at  Credit Agricole  (PA:CAGR) in London.The euro was a touch firmer at $1.1318 though a survey showed investor morale in the euro zone deteriorated sharply in June, falling well short of expectations. Elsewhere, the pound was lower as a leadership contest for the ruling Conservative Party got underway this week. The euro edged to a five-month high against the pound to 89.32 pence before British employment data.Recent data, particularly manufacturing figures, have been weak, fuelling expectations that the next move from the Bank of England will be a rate cut. Policymakers, however, have adopted an unexpectedly hawkish stance.The Bank of England will probably need to raise interest rates sooner than financial markets expect, policymaker Michael Saunders said on Monday.   /6938/FP_EN_site/FP_EN_TextNote 
"
6,"Jun 06, 2019 01:20AM ET",French bank Credit Agricole sets target to raise net profit above 5 billion euros in 2022,nan,"PARIS (Reuters) - French bank  Credit Agricole  (PA:CAGR) unveiled a new set of profitability targets for 2022 after it met its 2019 targets a year ahead of schedule.The bank now expects to raise its annual net profit above 5 billion euros ($5.61 billion) in 2022, up from 4.4 billion in 2018, as it will seek more clients for its retail banks in Italy and France and expects to attract mid-sized companies with corporate banking services such as cash management.Credit Agricole expects its return on tangible equity to fall to 11% in 2022 down from 12.7% in 2018.  /6938/FP_EN_site/FP_EN_TextNote 
"
7,"Jun 05, 2019 04:39AM ET",StockBeat - Markets Extend Relief Rally; Banks Lag on ECB Fears,nan,"By Geoffrey SmithInvesting.com -- After some hesitation at the opening, Europe’s stock markets rose in early trading Wednesday, extending a relief rally that began on Tuesday when Federal Reserve President Jerome Powell hinted at a possible interest rate cut.Powell had said in a speech on Tuesday that “as always, we will act as appropriate to sustain the expansion,” after voicing concern about the uncertainty created by recent trade- and immigration-related disputes with China and Mexico. There was no mention of the “patient” approach to policy-making that has dominated Powell’s recent communication.At 04:30 AM ET (0830 GMT), the benchmark Euro Stoxx 600 was up 0.8 points, or 0.2% at 373.74, near its highest in a week. The German Dax and the U.K. FTSE 100 were both up 0.2%.Sentiment was also lifted by a surprising rise in IHS Markit’s service sector surveys around the continent. The Eurozone service purchasing managers index rose to 52.9 in May, better than the unchanged reading of 52.5 that was expected. National indexes weakened in France, Italy and Spain, but rose in Germany.The biggest laggard was Italy’s FTSE MIB, down 0.1%, unsettled by a vote in the lower house of parliament that indirectly endorsed the populist coalition’s vague plans to issue a parallel currency in the form of short-dated government bonds, known as MiniBOTs. Italian press reports have also suggested that the EU has already made up its mind to open an “Excessive Deficit Procedure” against Italy for violating fiscal rules.Banks are among the worst performers again on Wednesday, as the thought of Fed easing turns minds to the European Central Bank’s policy meeting on Thursday. Some analysts expect the ECB to push back the date for its first interest rate hike beyond the end of this year, which would prolong the intense pressure on bank margins from low rates. Credit Agricole  (PA:CAGR),  Societe Generale  (PA:SOGN) and  BNP Paribas  (PA:BNPP) were all lagging the local benchmark index, as were Italy’s  Intesa Sanpaolo  (MI:ISP) and Unicredit (MI:CRDI) and Spain’s Santander (MC:SAN), BBVA (MC:BBVA) and Caixabank (MC:CABK). In the Netherlands, ING (AS:INGA) and ABN AMRO (AS:ABNd) were at the bottom of the AEX."
8,"May 27, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.37%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Industrials, Basic Materials and Utilities sectors led shares higher.At the close in Paris, the CAC 40 rose 0.37%, while the SBF 120 index gained 0.35%.The best performers of the session on the CAC 40 were  Renault  SA (PA:RENA), which rose 12.09% or 6.04 points to trade at 56.03 at the close. Meanwhile,  Valeo  SA (PA:VLOF) added 1.88% or 0.49 points to end at 26.52 and  Credit Agricole  SA (PA:CAGR) was up 1.62% or 0.165 points to 10.350 in late trade.The worst performers of the session were  Societe Generale  SA (PA:SOGN), which fell 6.53% or 1.61 points to trade at 23.05 at the close.  Peugeot  SA (PA:PEUP) declined 3.25% or 0.67 points to end at 19.92 and  Vivendi  SA (PA:VIV) was down 0.85% or 0.20 points to 23.40.The top performers on the SBF 120 were Renault SA (PA:RENA) which rose 12.09% to 56.03, DBV Technologies (PA:DBV) which was up 4.76% to settle at 17.150 and  Casino  Guichard Perrachon SA (PA:CASP) which gained 4.26% to close at 31.31.The worst performers were Societe Generale SA (PA:SOGN) which was down 6.53% to 23.05 in late trade,  Nexity  (PA:NEXI) which lost 5.36% to settle at 38.84 and Peugeot SA (PA:PEUP) which was down 3.25% to 19.92 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 311 to 232 and 87 ended unchanged.Shares in Societe Generale SA (PA:SOGN) fell to 5-year lows; falling 6.53% or 1.61 to 23.05. Shares in Societe Generale SA (PA:SOGN) fell to 5-year lows; losing 6.53% or 1.61 to 23.05. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.81% to 15.59.Gold Futures for June delivery was up 0.06% or 0.80 to $1284.40 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 1.06% or 0.62 to hit $59.25 a barrel, while the August Brent oil contract rose 1.99% or 1.34 to trade at $68.81 a barrel.EUR/USD was down 0.02% to 1.1200, while EUR/GBP rose 0.37% to 0.8830.The US Dollar Index Futures was up 0.15% at 97.625."
9,"May 24, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.67%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Gas & Water, General Financial and Foods & Drugs sectors led shares higher.At the close in Paris, the CAC 40 added 0.67%, while the SBF 120 index gained 0.66%.The best performers of the session on the CAC 40 were  Worldline SA  (PA:WLN), which rose 2.79% or 1.400 points to trade at 51.500 at the close. Meanwhile, Schneider Electric SE (PA:SCHN) added 2.78% or 2.00 points to end at 73.90 and  Safran  SA (PA:SAF) was up 2.14% or 2.55 points to 121.90 in late trade.The worst performers of the session were  Credit Agricole  SA (PA:CAGR), which fell 4.59% or 0.490 points to trade at 10.185 at the close.  Kering  SA (PA:PRTP) declined 1.73% or 8.50 points to end at 482.70 and  Carrefour  SA (PA:CARR) was down 1.07% or 0.18 points to 16.68.The top performers on the SBF 120 were  Casino  Guichard Perrachon SA (PA:CASP) which rose 7.48% to 30.03,  Eramet  SA (PA:ERMT) which was up 3.97% to settle at 51.88 and Genfit (PA:GNFT) which gained 3.43% to close at 21.720.The worst performers were Credit Agricole SA (PA:CAGR) which was down 4.59% to 10.185 in late trade,  Amundi SA  (PA:AMUN) which lost 3.85% to settle at 57.45 and  Rexel  (PA:RXL) which was down 3.84% to 10.01 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 353 to 205 and 79 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 6.76% to 16.20.Gold Futures for June delivery was down 0.11% or 1.45 to $1283.95 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.62% or 0.36 to hit $58.27 a barrel, while the July Brent oil contract rose 0.72% or 0.49 to trade at $68.25 a barrel.EUR/USD was up 0.22% to 1.1205, while EUR/GBP fell 0.22% to 0.8813.The US Dollar Index Futures was down 0.26% at 97.472."
