,date,titre,texte,article
0,"Jun 03, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.65%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Utilities, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 gained 0.65%, while the SBF 120 index climbed 0.53%.The best performers of the session on the CAC 40 were  Danone  SA (PA:DANO), which rose 2.18% or 1.56 points to trade at 72.96 at the close. Meanwhile, Sanofi SA (PA:SASY) added 2.09% or 1.51 points to end at 73.75 and Airbus Group SE (PA:AIR) was up 2.00% or 2.30 points to 117.16 in late trade.The worst performers of the session were Capgemini SE (PA:CAPP), which fell 1.34% or 1.34 points to trade at 98.76 at the close. AXA SA (PA:AXAF) declined 1.27% or 0.28 points to end at 21.80 and  Legrand  SA (PA:LEGD) was down 1.13% or 0.68 points to 59.46.The top performers on the SBF 120 were  Ipsen  SA (PA:IPN) which rose 3.84% to 111.00, Sartorius  Stedim  Biotech SA (PA:STDM) which was up 2.50% to settle at 127.20 and Lagardere SCA (PA:LAGA) which gained 2.20% to close at 22.28.The worst performers were Technicolor (PA:TCH) which was down 8.70% to 0.876 in late trade,  Maisons du Monde SAS  (PA:MDM) which lost 4.38% to settle at 17.260 and Eurofins Scientific SE (PA:EUFI) which was down 4.22% to 390.00 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 299 to 265 and 96 ended unchanged.Shares in Danone SA (PA:DANO) rose to all time highs; rising 2.18% or 1.56 to 72.96. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.38% to 16.38.Gold Futures for August delivery was up 1.10% or 14.45 to $1325.55 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.41% or 0.22 to hit $53.72 a barrel, while the August Brent oil contract fell 0.31% or 0.19 to trade at $61.80 a barrel.EUR/USD was up 0.43% to 1.1216, while EUR/GBP rose 0.36% to 0.8876.The US Dollar Index Futures was down 0.29% at 97.387."
1,"May 12, 2019 01:01AM ET",From Pork to Pampers: Where Inflation Is Showing Signs of Life,nan,"(Bloomberg) -- From pork in China to iron ore in Brazil, inflation is flickering in parts of the global economy.While overall price growth remains largely subdued, the emergence of costlier items will encourage those who say it’s only a matter of time before inflation accelerates due to robust economic growth and tight labor markets.For now, higher commodity prices rather than surging demand is a key factor. Upcoming earnings from the world’s biggest retailer Walmart (NYSE:WMT) Inc. and from  Target  Corp. (NYSE:TGT) will shed light on how consumers are faring.Here’s a look at some current hot spots.Supersized Inflation?Meat prices are starting to climb. McDonald’s (NYSE:MCD) Corp. is raising its forecast for food costs in the U.S. this year as protein prices start to tick up following the African swine fever in Asia. In the last quarter, restaurant menu prices were up about 2% in the U.S., McDonald’s said last month. Brewhouse chain BJ’s Restaurants Inc. said it’s expecting higher pork prices, while China’s KFC operator Yum China Holdings Inc. said surging poultry costs will weigh down margins for the rest of the year.Pork ShockEvents in China are behind the jump in pork prices. An unprecedented outbreak of African swine fever has hammered the supply of pork. With stocks of pigs back at 2011 levels the government has warned that pork prices may climb 70%. The spillover effects will be noticeable.Iron OreKeep an eye on steel prices. Iron ore has rallied after supplies in Brazil and Australia were hit by disruptions, potentially setting the stage for benchmark prices to extend gains toward $100 a ton.Consumer StaplesProcter & Gamble Co. (purveyor of Pampers), and Kimberly-Clark Corp (NYSE:KMB). (the maker of Huggies) have raised prices as have Coca-Cola (NYSE:KO) Co. and PepsiCo (NASDAQ:PEP) Inc. Europe’s consumer-goods giants Nestle SA (SIX:NESN) and  Unilever  (LON:ULVR) are also showing new signs of life by selling more food and cleaning supplies at higher prices. In April  Danone  SA (PA:DANO) forecast higher milk prices this year.OilOil prices have slid since hitting a yearly high in April, but they are still up around a third this year and a volatile geopolitical backdrop means the outlook remains uncertain. Speculation that Saudi Arabia and other producers will pump more to make up for lost Iranian barrels has helped curb the price gains. Still, economists say the cost of crude remains an issue to watch, especially for nations that rely on imported oil.U.S. Jobs MarketU.S. employment costs enjoyed the strongest gains for the start of any year in the past decade. That’s the third consecutive year in which the annual pace of growth in the first quarter accelerated from the previous year, a clear sign labor costs are increasing, according to Bloomberg Economics.Here’s their chart on the Employment Cost Index:Emerging PressuresA suite of emerging economies are all experiencing high inflation. Turkey’s consumer prices rose 19.5% in April from a year earlier, while economists project inflation will average 40% in Argentina in 2019. Iran’s inflation could average 50% this year, the highest since 1980, a senior International Monetary Fund official told Bloomberg News. Topping the list is strife-torn Venezuela, where prices are tipped to rise 8 million percent this year."
2,"Apr 18, 2019 05:00AM ET",Nestle and Unilever Raise Prices Without Stunting Growth,nan,"(Bloomberg) -- Europe’s consumer-goods giants are showing new signs of life by selling more food and cleaning supplies, even at higher prices.Nestle SA (SIX:NESN) and  Unilever  (LON:ULVR) surprised investors with strong starts to the year, reporting first-quarter sales growth that handily topped analysts’ estimates. The Swiss maker of KitKat bars and the Anglo-Dutch owner of Dove soap each cited a combination of improved pricing and higher volumes.Unilever rose as much as 3.6 percent in Amsterdam as Nestle traded as much as 1.3 percent higher in Zurich.The companies delivered a counterpoint to the cost-cut-driven performance of U.S. rival Kraft Heinz (NASDAQ:KHC) Co., which has slumped since a profit warning and asset write-down in February -- about two years after it made an unsuccessful approach to take over Unilever. Instead, the European multinationals joined U.S. peers like PepsiCo (NASDAQ:PEP) Inc. in selling more of their products. The companies also successfully passed higher raw-materials costs on to consumers.At Nestle, for example, the pricing gain of 1.2 percent was the biggest in 10 quarters. The businesses most hit by inflation included bottled water, with higher oil prices making plastic and transport more expensive. Unilever also noted higher costs of petrochemicals such as linear alkylbenzene, an ingredient in biodegradable detergents, along with increased prices for raw materials in the food sector.On Wednesday,  Danone  SA (PA:DANO) forecast milk-price inflation in high single digits this year, plus more expensive sugar and fruit. While sugar prices have risen over the past year, other commodities such as cocoa and coffee have fallen.“What companies like ourselves face is the impact of the input-costs increases and commodity-driven gains on the ground,” Unilever Chief Financial Officer Graeme Pitkethly said by phone. PepsiCo Chief Financial Officer Hugh Johnston said earlier this week that the drinks and snacks giant expects commodity inflation to increase over the rest of the year.While Europe and Japan are suffering from stubbornly low price increases or even deflation, higher rates of inflation are popping up in places like Turkey and Argentina. Moroccan consumers have held an informal boycott of Danone products via social media over the past year to protest what consumers see as unfair prices.While managing to raise prices, Nestle and Unilever also benefited by expanding into new areas as their old-line brands stagnate. Sales in Unilever’s home-care division, which grew at about twice the pace of the group figure, were driven in part by more eco-conscious products under the company’s Seventh Generation and Omo laundry brands. Acquisitions the Anglo-Dutch company has made since 2015 collectively grew at a double-digit rate in the quarter.Nestle Chief Executive Officer Mark Schneider has signed $14 billion of deals in 2018. The food giant has also been trying to fix or sell underperformers, with a sale for its Herta lunch-meat unit possibly coming by midyear and its dermatological business by year-end.Beating EstimatesNestle’s revenue climbed 3.4 percent on an organic basis in the first quarter, as Schneider beat the 2.8 percent analyst consensus by the biggest margin since he started leading the world’s largest food company in 2017.At Unilever, underlying sales rose 3.1 percent in the quarter. As with Nestle, analysts had expected 2.8 percent.A smaller consumer-focused company,  Pernod Ricard  (PA:PERP) SA, joined in the optimism on Thursday. While it missed sales-growth estimates for its fiscal third quarter, the French distiller raised its forecast for full-year growth in operating profit to about 8 percent from a range of 6 percent to 8 percent.(Updates with shares in third paragraph, inflation examples in fifth paragraph.)"
3,"Apr 01, 2019 12:35PM ET",France stocks higher at close of trade; CAC 40 up 1.03%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Industrials, Technology and Consumer Services sectors led shares higher.At the close in Paris, the CAC 40 added 1.03%, while the SBF 120 index climbed 1.13%.The best performers of the session on the CAC 40 were  Valeo  SA (PA:VLOF), which rose 6.27% or 1.62 points to trade at 27.47 at the close. Meanwhile, ArcelorMittal SA (AS:MT) added 5.76% or 1.040 points to end at 19.098 and STMicroelectronics NV (PA:STM) was up 4.29% or 0.565 points to 13.730 in late trade.The worst performers of the session were  Publicis Groupe  SA (PA:PUBP), which fell 3.60% or 1.72 points to trade at 46.01 at the close.  Pernod Ricard  SA (PA:PERP) declined 0.94% or 1.50 points to end at 158.50 and  Danone  SA (PA:DANO) was down 0.51% or 0.35 points to 68.34.The top performers on the SBF 120 were  Faurecia  (PA:EPED) which rose 6.94% to 40.08,  Eramet  SA (PA:ERMT) which was up 6.74% to settle at 52.90 and Valeo SA (PA:VLOF) which gained 6.27% to close at 27.47.The worst performers were Korian Medica SA (PA:KORI) which was down 4.77% to 34.360 in late trade, Publicis Groupe SA (PA:PUBP) which lost 3.60% to settle at 46.01 and  Remy Cointreau  (PA:RCOP) which was down 1.35% to 117.30 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 410 to 162 and 90 ended unchanged.Shares in Publicis Groupe SA (PA:PUBP) fell to 5-year lows; falling 3.60% or 1.72 to 46.01. Shares in Publicis Groupe SA (PA:PUBP) fell to 5-year lows; losing 3.60% or 1.72 to 46.01. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 4.47% to 14.31.Gold Futures for June delivery was down 0.27% or 3.45 to $1295.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May rose 1.78% or 1.07 to hit $61.21 a barrel, while the June Brent oil contract rose 1.69% or 1.14 to trade at $68.72 a barrel.EUR/USD was down 0.07% to 1.1208, while EUR/GBP fell 0.89% to 0.8537.The US Dollar Index Futures was up 0.01% at 96.850."
4,"Mar 06, 2019 02:35PM ET",France stocks lower at close of trade; CAC 40 down 0.16%,nan,"Investing.com – France stocks were lower after the close on Wednesday, as losses in the Financials, Consumer Services and Basic Materials sectors led shares lower.At the close in Paris, the CAC 40 declined 0.16%, while the SBF 120 index fell 0.22%.The best performers of the session on the CAC 40 were  Publicis Groupe  SA (PA:PUBP), which rose 1.00% or 0.50 points to trade at 50.36 at the close. Meanwhile,  Air Liquide  SA (PA:AIRP) added 0.86% or 0.95 points to end at 111.80 and  Danone  SA (PA:DANO) was up 0.64% or 0.43 points to 67.36 in late trade.The worst performers of the session were STMicroelectronics NV (PA:STM), which fell 3.68% or 0.545 points to trade at 14.245 at the close. Dassault Systemes SE (PA:DAST) declined 2.70% or 3.55 points to end at 128.00 and  Valeo  SA (PA:VLOF) was down 2.68% or 0.76 points to 27.56.The top performers on the SBF 120 were  Eramet  SA (PA:ERMT) which rose 4.63% to 54.25, Eurofins Scientific SE (PA:EUFI) which was up 4.13% to settle at 373.40 and Television Francaise 1 SA (PA:TFFP) which gained 2.82% to close at 8.385.The worst performers were DBV Technologies (PA:DBV) which was down 14.96% to 14.840 in late trade, ALD SA (PA:ALDA) which lost 4.62% to settle at 12.80 and STMicroelectronics NV (PA:STM) which was down 3.68% to 14.245 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 327 to 256 and 92 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 0.62% to 12.96.Gold Futures for April delivery was up 0.14% or 1.80 to $1286.50 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in April fell 0.64% or 0.36 to hit $56.20 a barrel, while the May Brent oil contract rose 0.12% or 0.08 to trade at $65.94 a barrel.EUR/USD was up 0.04% to 1.1311, while EUR/GBP rose 0.12% to 0.8587.The US Dollar Index Futures was down 0.00% at 96.792."
5,"Feb 21, 2019 01:35PM ET",France stocks higher at close of trade; CAC 40 up 0.00%,nan,"Investing.com – France stocks were higher after the close on Thursday, as gains in the Basic Materials, Industrials and Consumer Services sectors led shares higher.At the close in Paris, the CAC 40 added 0.00% to hit a new 3-months high, while the SBF 120 index added 0.01%.The best performers of the session on the CAC 40 were  Bouygues  SA (PA:BOUY), which rose 3.61% or 1.14 points to trade at 32.71 at the close. Meanwhile, Veolia Environnement VE SA (PA:VIE) added 1.73% or 0.335 points to end at 19.755 and  Danone  SA (PA:DANO) was up 1.38% or 0.92 points to 67.80 in late trade.The worst performers of the session were TechnipFMC PLC (PA:FTI), which fell 6.85% or 1.48 points to trade at 20.14 at the close.  Accor  SA (PA:ACCP) declined 3.69% or 1.48 points to end at 38.58 and  BNP Paribas  SA (PA:BNPP) was down 2.28% or 0.97 points to 41.59.The top performers on the SBF 120 were  Vallourec  (PA:VLLP) which rose 24.18% to 2.152,  Groupe FNAC  (PA:FNAC) which was up 7.01% to settle at 70.250 and  Wendel  (PA:MWDP) which gained 6.54% to close at 110.80.The worst performers were  Eramet  SA (PA:ERMT) which was down 16.32% to 51.80 in late trade, TechnipFMC PLC (PA:FTI) which lost 6.85% to settle at 20.14 and  Iliad  (PA:ILD) which was down 5.78% to 87.70 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 296 to 285 and 81 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 0.75% to 14.34.Gold Futures for April delivery was down 1.42% or 19.15 to $1328.75 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in April fell 0.61% or 0.35 to hit $56.81 a barrel, while the April Brent oil contract fell 0.37% or 0.25 to trade at $66.83 a barrel.EUR/USD was down 0.04% to 1.1330, while EUR/GBP rose 0.06% to 0.8690.The US Dollar Index Futures was up 0.21% at 96.498."
6,"Jan 25, 2019 12:35PM ET",France stocks higher at close of trade; CAC 40 up 1.11%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Technology, Oil & Gas and Utilities sectors led shares higher.At the close in Paris, the CAC 40 rose 1.11% to hit a new 1-month high, while the SBF 120 index gained 1.09%.The best performers of the session on the CAC 40 were ArcelorMittal SA (AS:MT), which rose 5.51% or 1.046 points to trade at 20.040 at the close. Meanwhile,  Renault  SA (PA:RENA) added 4.91% or 2.86 points to end at 61.16 and STMicroelectronics NV (PA:STM) was up 4.40% or 0.605 points to 14.370 in late trade.The worst performers of the session were EssilorLuxottica SA (PA:ESLX), which fell 0.63% or 0.70 points to trade at 111.15 at the close. Veolia Environnement VE SA (PA:VIE) declined 0.61% or 0.110 points to end at 18.065 and  Danone  SA (PA:DANO) was down 0.56% or 0.35 points to 62.45.The top performers on the SBF 120 were  Eramet  (PA:ERMT) which rose 8.38% to 58.20,  Ipsos  (PA:ISOS) which was up 8.08% to settle at 23.00 and  Alstom  SA (PA:ALSO) which gained 6.10% to close at 36.37.The worst performers were BIC (PA:BICP) which was down 3.13% to 85.25 in late trade,  Ipsen  (PA:IPN) which lost 2.27% to settle at 116.05 and Electricite de France SA (PA:EDF) which was down 1.61% to 14.07 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 374 to 192 and 101 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 4.23% to 15.07.Gold Futures for February delivery was up 1.33% or 17.05 to $1296.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in March rose 1.05% or 0.56 to hit $53.69 a barrel, while the March Brent oil contract rose 0.80% or 0.49 to trade at $61.58 a barrel.EUR/USD was up 0.88% to 1.1404, while EUR/GBP rose 0.16% to 0.8665.The US Dollar Index Futures was down 0.73% at 95.593."
7,"Jan 21, 2019 12:35PM ET",France stocks lower at close of trade; CAC 40 down 0.17%,nan,"Investing.com – France stocks were lower after the close on Monday, as losses in the Healthcare, Gas & Water and General Financial sectors led shares lower.At the close in Paris, the CAC 40 declined 0.17%, while the SBF 120 index lost 0.15%.The best performers of the session on the CAC 40 were LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH), which rose 1.52% or 3.85 points to trade at 257.25 at the close. Meanwhile,  Danone  SA (PA:DANO) added 0.95% or 0.59 points to end at 62.94 and Airbus Group SE (PA:AIR) was up 0.90% or 0.84 points to 94.50 in late trade.The worst performers of the session were Atos SE (PA:ATOS), which fell 1.44% or 1.06 points to trade at 72.60 at the close.  Bouygues  SA (PA:BOUY) declined 1.43% or 0.43 points to end at 29.69 and  Carrefour  SA (PA:CARR) was down 1.26% or 0.21 points to 16.41.The top performers on the SBF 120 were Air France KLM SA (PA:AIRF) which rose 5.24% to 10.210,  Soitec  SA (PA:SOIT) which was up 5.00% to settle at 63.000 and  Vicat  (PA:VCTP) which gained 2.68% to close at 44.46.The worst performers were  Eramet  (PA:ERMT) which was down 4.02% to 65.70 in late trade, DBV Technologies (PA:DBV) which lost 3.78% to settle at 11.950 and  Trigano  (PA:TRIA) which was down 3.06% to 82.30 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 307 to 278 and 79 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 5.04% to 15.59.Gold Futures for February delivery was down 0.25% or 3.15 to $1279.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in March rose 0.02% or 0.01 to hit $54.20 a barrel, while the March Brent oil contract rose 0.18% or 0.11 to trade at $62.81 a barrel.EUR/USD was up 0.07% to 1.1369, while EUR/GBP fell 0.09% to 0.8815.The US Dollar Index Futures was down 0.01% at 95.985."
8,"Jan 18, 2019 07:53AM ET",Elliott-target Pernod pledges to further improve governance,nan,"By Dominique Vidalon and Pascale DenisPARIS (Reuters) -  Pernod Ricard  (PA:PERP), the family-backed French spirits group under pressure from activist investor Elliott, will continue to improve its governance, it pledged on Friday. The statement to Reuters followed news reports the company was likely to make board changes, a move Jefferies analysts said would be an ""early win"" for Elliott. Pernod is due to hold a board meeting on Jan. 23.Elliott, which has become more active in Europe in recent years, said in December it had spent around 930 million euros ($1.1 billion) to build a stake of just over 2.5 percent in Pernod. Elliott has called on Pernod to raise profit margins and improve governance.In particular, it believes Pernod's 14-member board needs to be more diverse and have more independent voices, as many directors are linked to the Ricard family. Elliott does not have a board seat.So far, the two camps have described contacts, including one on Jan. 15, as cordial and constructive.A Pernod spokesman said on Friday that while ""we have not needed any external input as regards our continuous drive to seek to improve our governance,... we will continue, at the appropriate moment, to announce further changes, once they have been proposed, discussed and adopted by the board and its committee."" On Thursday, BFM Business reported that Pernod, which owns Absolut vodka and Martell cognac, planned to reshuffle its board in the coming weeks, with vice-chairman and former Pernod CEO Pierre Pringuet among those who could step down.Chief Executive Alexandre Ricard, who has already hired three independent directors and beefed up board expertise, is expected to present his new three-year strategy later this year, though some analysts expect Pernod to give some direction on margins alongside first-half earnings on Feb. 7.There are, however, doubts that Elliott can change much as the Ricard family controls 15 percent of Pernod's shares and 21 percent of voting rights, while long-time investor GBL owns a 7.5 percent stake and has said its supports the firm's strategy.The French state also warned in December it wanted ""big French companies to have stable and long-term shareholders"" and not to be ""subject to pressure from shareholders who want short-term profitability.""One unknown is why Elliott is so far taking a less confrontational approach with Pernod than with some other investments. Sources familiar with the activist's thinking say Elliott could be testing a new template for negotiations with other French companies.France is famous for protecting its companies against foreign takeovers. In 2005, it rushed to the support of food giant  Danone  (PA:DANO) in the face of a rumored bid from PepsiCo Inc (N:PEP), which never actually materialized.   /6938/FP_EN_site/FP_EN_TextNote 
"
9,"Jan 16, 2019 12:35PM ET",France stocks higher at close of trade; CAC 40 up 0.51%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Utilities, Healthcare and Industrials sectors led shares higher.At the close in Paris, the CAC 40 rose 0.51%, while the SBF 120 index climbed 0.61%.The best performers of the session on the CAC 40 were  Societe Generale  SA (PA:SOGN), which rose 4.15% or 1.21 points to trade at 30.21 at the close. Meanwhile,  Credit Agricole  SA (PA:CAGR) added 3.92% or 0.390 points to end at 10.346 and  BNP Paribas  SA (PA:BNPP) was up 3.32% or 1.39 points to 43.08 in late trade.The worst performers of the session were  Danone  SA (PA:DANO), which fell 1.27% or 0.79 points to trade at 61.47 at the close.  Hermes International  SCA (PA:HRMS) declined 1.03% or 5.10 points to end at 488.90 and L’Oreal SA (PA:OREP) was down 0.84% or 1.65 points to 195.25.The top performers on the SBF 120 were Technicolor (PA:TCH) which rose 7.95% to 1.039, Altran Technologies (PA:ALTT) which was up 7.46% to settle at 7.995 and  Worldline SA  (PA:WLN) which gained 7.14% to close at 42.920.The worst performers were DBV Technologies (PA:DBV) which was down 3.12% to 13.660 in late trade,  Iliad  (PA:ILD) which lost 2.92% to settle at 103.20 and Electricite de France SA (PA:EDF) which was down 1.76% to 13.70 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 360 to 210 and 91 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 5.68% to 16.09 a new 1-month low.Gold Futures for February delivery was up 0.47% or 6.05 to $1294.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in February fell 0.59% or 0.31 to hit $51.80 a barrel, while the March Brent oil contract rose 0.05% or 0.03 to trade at $60.67 a barrel.EUR/USD was down 0.10% to 1.1402, while EUR/GBP rose 0.01% to 0.8873.The US Dollar Index Futures was down 0.00% at 95.672."
