,date,titre,texte,article
0,"Jun 21, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.13%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Foods & Drugs, Gas & Water and General Financial sectors led shares lower.At the close in Paris, the CAC 40 fell 0.13%, while the SBF 120 index declined 0.26%.The best performers of the session on the CAC 40 were  Renault  SA (PA:RENA), which rose 2.37% or 1.30 points to trade at 56.15 at the close. Meanwhile,  Societe Generale  SA (PA:SOGN) added 1.50% or 0.33 points to end at 22.05 and  Air Liquide  SA (PA:AIRP) was up 1.33% or 1.60 points to 122.35 in late trade.The worst performers of the session were  Publicis Groupe  SA (PA:PUBP), which fell 3.03% or 1.50 points to trade at 47.96 at the close. Dassault Systemes SE (PA:DAST) declined 2.46% or 3.50 points to end at 138.60 and  Vinci  SA (PA:SGEF) was down 1.77% or 1.64 points to 91.04.The top performers on the SBF 120 were  Elior  Group (PA:ELIOR) which rose 6.39% to 12.16,  Vallourec  (PA:VLLP) which was up 3.52% to settle at 2.528 and  Euronext  (PA:ENX) which gained 2.83% to close at 67.30.The worst performers were  Casino  Guichard Perrachon SA (PA:CASP) which was down 5.36% to 30.00 in late trade,  Neopost  SA (PA:NPOS) which lost 5.17% to settle at 18.71 and SES (PA:SESFd) which was down 4.86% to 13.22 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 349 to 220 and 90 ended unchanged.Shares in Air Liquide SA (PA:AIRP) rose to all time highs; gaining 1.33% or 1.60 to 122.35. Shares in Euronext (PA:ENX) rose to all time highs; up 2.83% or 1.85 to 67.30. Shares in SES (PA:SESFd) fell to 52-week lows; falling 4.86% or 0.68 to 13.22. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.26% to 13.24 a new 1-month low.Gold Futures for August delivery was up 0.08% or 1.05 to $1397.95 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in August rose 0.79% or 0.45 to hit $57.52 a barrel, while the August Brent oil contract rose 1.19% or 0.77 to trade at $65.22 a barrel.EUR/USD was up 0.44% to 1.1341, while EUR/GBP rose 0.43% to 0.8926.The US Dollar Index Futures was down 0.23% at 95.917."
1,"Jun 12, 2019 08:18AM ET",Stocks - Tesla Rises Premarket; Beyond Meat Bounces; BAT Falls,nan,"Investing.com - Stocks in focus in premarket trading on Wednesday:• Tesla (NASDAQ:TSLA) stock rose 3.4% by 8:15 AM ET (12:15 GMT) after CEO Elon Musk told shareholders at their annual meeting that the company could have a “record quarter on every level.”• Beyond Meat (NASDAQ:BYND) stock gained 5.2%, bouncing after a downgrade from JPMorgan (NYSE:JPM) sent it falling nearly 25% on Tuesday. The latest version of its burger patty ships out to stores this week. The company says the Beyond Burger patty is the next step towards its vision of protein products.  .• British American Tobacco (NYSE:BTI) stock fell 3.8% after it said sales of its cigarettes, which include Lucky Strike and Dunhill, would fall some 3.5% this year, something unlikely to be compensated even by strong growth in its vaping and e-cigarette products.• Medidata Solutions (NASDAQ:MDSO) stock was down 3.8% after French tech giant Dassault Systemes (PA:DAST) said it would pay $92.25 a share for the company, a little below prior speculation. The deal values Medidata at $5.8 billion.• Dave & Buster’s Entertainment (NASDAQ:PLAY) stock slumped 19% it lowered its guidance for the fiscal year and missed earnings and revenue estimates as the company fails to bring in customers.• Mattel (NASDAQ:MAT) stock gained 4.1% after the toymaker rejected a second takeover offer from Bratz doll maker MGA Entertainment, Reuters reported."
2,"Jun 12, 2019 06:41AM ET",Stocks- U.S. Futures Pull Back as Trump Toughens Stance on China Trade Deal,nan,"Investing.com - U.S. futures broke their winning streak on Wednesday, as investors turned their focus back to trade wars and their impact on the economy, after President Donald Trump reiterated his opposition to a deal with China at the present time.Trump told reporters Tuesday that he had no interest in moving ahead with a trade deal with China unless they agree to five “major points,” although he didn't specify which major points he was referring to. He once again accused China of reneging on previous commitments - something that Beijing has denied.His comments appear to reduce chance of any de-escalation of the dispute between the two countries at the G20 summit meeting at the end of month.Dow futures fell 62 points or 0.2% by 6:40AM ET (10:40 GMT), while tech-heavy Nasdaq 100 futures lost 32 points or 0.4% and S&P 500 futures was down 7 points or 0.3%.Tesla (NASDAQ:TSLA) was among the top gainers in premarket trading, rising 2.5% after CEO Elon Musk told shareholders at their annual meeting that the company could have a “record quarter on every level.”British American Tobacco (NYSE:BTI) fell 4.3%  after it said sales of its cigarettes, which include Lucky Strike and Dunhill, would fall some 3.5% this year, something unlikely to be compensated even by strong growth in its vaping and e-cigarette products. Medidata Solutions (NASDAQ:MDSO) slumped 4.4% after French tech giant Dassault Systemes  (PA:DAST) said it would pay $92.25 a share for the company, a little below prior speculation. The deal values Medidata at $5.8 billion.On the data front, Consumer Price Index (CPI) data is released at 8:30 AM ET (12:30 GMT). Lululemon Athletica  (NASDAQ:LULU), Oxford Industries (NYSE:OXM), and Tailored Brands (NYSE:TLRD) are among some of the companies releasing their quarterly results after the market close on Wednesday.In commodities, crude oil slumped 2.6% to $51.88 a barrel over concerns of a global supply glut, while gold futures rose 0.6% to $1,339.25 a troy ounce. The U.S. dollar index, which measures the greenback against a basket of six major currencies, was flat at 96.657."
3,"Jun 07, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 1.62%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Oil & Gas, Healthcare and Gas & Water sectors led shares higher.At the close in Paris, the CAC 40 added 1.62%, while the SBF 120 index gained 1.61%.The best performers of the session on the CAC 40 were Sanofi SA (PA:SASY), which rose 4.40% or 3.30 points to trade at 78.32 at the close. Meanwhile,  Worldline SA  (PA:WLN) added 3.43% or 1.950 points to end at 58.850 and Dassault Systemes SE (PA:DAST) was up 2.65% or 3.50 points to 135.35 in late trade.The worst performers of the session were  Societe Generale  SA (PA:SOGN), which fell 0.90% or 0.20 points to trade at 22.11 at the close.  BNP Paribas  SA (PA:BNPP) declined 0.46% or 0.19 points to end at 40.81 and  Peugeot  SA (PA:PEUP) was down 0.29% or 0.06 points to 20.54.The top performers on the SBF 120 were  Soitec  SA (PA:SOIT) which rose 8.48% to 83.800,  Vallourec  (PA:VLLP) which was up 5.51% to settle at 2.220 and  Mercialys  SA (PA:MERY) which gained 4.48% to close at 11.65.The worst performers were DBV Technologies (PA:DBV) which was down 2.05% to 16.280 in late trade, Genfit (PA:GNFT) which lost 2.00% to settle at 21.520 and Air France KLM SA (PA:AIRF) which was down 1.08% to 8.064 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 385 to 173 and 96 ended unchanged.Shares in Societe Generale SA (PA:SOGN) fell to 5-year lows; down 0.90% or 0.20 to 22.11. Shares in Worldline SA (PA:WLN) rose to all time highs; gaining 3.43% or 1.950 to 58.850. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 4.76% to 14.56.Gold Futures for August delivery was up 0.38% or 5.15 to $1347.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 2.22% or 1.17 to hit $53.76 a barrel, while the August Brent oil contract rose 2.19% or 1.35 to trade at $63.02 a barrel.EUR/USD was up 0.60% to 1.1341, while EUR/GBP rose 0.24% to 0.8896.The US Dollar Index Futures was down 0.56% at 96.458."
4,"Jun 04, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.51%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Healthcare, Utilities and Basic Materials sectors led shares higher.At the close in Paris, the CAC 40 added 0.51%, while the SBF 120 index gained 0.49%.The best performers of the session on the CAC 40 were  Renault  SA (PA:RENA), which rose 4.28% or 2.32 points to trade at 56.57 at the close. Meanwhile, ArcelorMittal SA (AS:MT) added 4.05% or 0.540 points to end at 13.858 and  Valeo  SA (PA:VLOF) was up 3.66% or 0.87 points to 24.63 in late trade.The worst performers of the session were Dassault Systemes SE (PA:DAST), which fell 2.92% or 3.90 points to trade at 129.60 at the close. Orange SA (PA:ORAN) declined 2.40% or 0.34 points to end at 13.81 and  Pernod Ricard  SA (PA:PERP) was down 1.70% or 2.70 points to 156.30.The top performers on the SBF 120 were CGG SA (PA:GEPH) which rose 13.45% to 1.468,  Faurecia  (PA:EPED) which was up 6.64% to settle at 35.32 and Television Francaise 1 SA (PA:TFFP) which gained 5.15% to close at 8.675.The worst performers were  Ubisoft  Entertainment (PA:UBIP) which was down 3.27% to 71.080 in late trade,  Casino  Guichard Perrachon SA (PA:CASP) which lost 2.95% to settle at 32.86 and Dassault Systemes SE (PA:DAST) which was down 2.92% to 129.60 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 347 to 212 and 100 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.64% to 15.78.Gold Futures for August delivery was up 0.01% or 0.15 to $1328.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.53% or 0.28 to hit $53.53 a barrel, while the August Brent oil contract rose 0.96% or 0.59 to trade at $61.87 a barrel.EUR/USD was up 0.04% to 1.1245, while EUR/GBP fell 0.13% to 0.8862.The US Dollar Index Futures was up 0.07% at 97.127."
5,"May 17, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.18%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Gas & Water, General Financial and Foods & Drugs sectors led shares lower.At the close in Paris, the CAC 40 fell 0.18%, while the SBF 120 index lost 0.23%.The best performers of the session on the CAC 40 were Dassault Systemes SE (PA:DAST), which rose 1.91% or 2.65 points to trade at 141.30 at the close. Meanwhile, Sodexo SA (PA:EXHO) added 1.24% or 1.25 points to end at 101.95 and  Total  SA (PA:TOTF) was up 1.16% or 0.56 points to 49.17 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 3.84% or 0.584 points to trade at 14.622 at the close.  Worldline SA  (PA:WLN) declined 1.90% or 1.000 points to end at 51.500 and Engie SA (PA:ENGIE) was down 1.74% or 0.24 points to 13.58.The top performers on the SBF 120 were  Vallourec  (PA:VLLP) which rose 8.44% to 2.440, Korian Medica SA (PA:KORI) which was up 3.44% to settle at 36.080 and Dassault Systemes SE (PA:DAST) which gained 1.91% to close at 141.30.The worst performers were  Nexans  SA (PA:NEXS) which was down 3.99% to 28.38 in late trade, ArcelorMittal SA (AS:MT) which lost 3.84% to settle at 14.622 and  Iliad  (PA:ILD) which was down 3.12% to 104.10 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 318 to 242 and 76 ended unchanged.Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; losing 3.84% or 0.584 to 14.622. Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; losing 3.84% or 0.584 to 14.622. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 0.78% to 14.03.Gold Futures for June delivery was down 0.83% or 10.65 to $1275.55 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June fell 0.06% or 0.04 to hit $62.83 a barrel, while the July Brent oil contract fell 0.77% or 0.56 to trade at $72.06 a barrel.EUR/USD was down 0.07% to 1.1164, while EUR/GBP rose 0.46% to 0.8769.The US Dollar Index Futures was up 0.11% at 97.782."
6,"May 16, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 1.37%,nan,"Investing.com – France stocks were higher after the close on Thursday, as gains in the Industrials, Utilities and Consumer Goods sectors led shares higher.At the close in Paris, the CAC 40 gained 1.37%, while the SBF 120 index gained 1.30%.The best performers of the session on the CAC 40 were Dassault Systemes SE (PA:DAST), which rose 3.35% or 4.50 points to trade at 138.65 at the close. Meanwhile,  Air Liquide  SA (PA:AIRP) added 2.78% or 3.20 points to end at 118.20 and Capgemini SE (PA:CAPP) was up 2.59% or 2.70 points to 107.05 in late trade.The worst performers of the session were  Valeo  SA (PA:VLOF), which fell 2.71% or 0.77 points to trade at 27.61 at the close.  Renault  SA (PA:RENA) declined 1.12% or 0.59 points to end at 52.00 and Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP) was down 0.93% or 1.05 points to 111.35.The top performers on the SBF 120 were Eutelsat Communications SA (PA:ETL) which rose 4.31% to 15.97,  Euronext  (PA:ENX) which was up 4.17% to settle at 63.70 and ALD SA (PA:ALDA) which gained 3.94% to close at 13.20.The worst performers were  Ubisoft  Entertainment (PA:UBIP) which was down 12.65% to 72.060 in late trade, Valeo SA (PA:VLOF) which lost 2.71% to settle at 27.61 and  Faurecia  (PA:EPED) which was down 2.32% to 37.95 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 339 to 213 and 86 ended unchanged.Shares in Renault SA (PA:RENA) fell to 3-years lows; falling 1.12% or 0.59 to 52.00. Shares in Euronext (PA:ENX) rose to all time highs; gaining 4.17% or 2.55 to 63.70. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 8.60% to 13.92.Gold Futures for June delivery was down 0.90% or 11.65 to $1286.15 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 1.60% or 0.99 to hit $63.01 a barrel, while the July Brent oil contract rose 1.63% or 1.17 to trade at $72.94 a barrel.EUR/USD was down 0.21% to 1.1176, while EUR/GBP rose 0.25% to 0.8736.The US Dollar Index Futures was up 0.26% at 97.632."
7,"Apr 30, 2019 01:00PM ET",France stocks mixed at close of trade; CAC 40 up 0.10%,nan,"Investing.com – France stocks were mixed after the close on Tuesday, as gains in the Healthcare, Financials and Industrials sectors led shares higher while losses in the Oil & Gas, Consumer Services and Basic Materials sectors led shares lower.At the close in Paris, the CAC 40 gained 0.10%, while the SBF 120 index declined 0.01%.The best performers of the session on the CAC 40 were  Total  SA (PA:TOTF), which rose 1.95% or 0.95 points to trade at 49.55 at the close. Meanwhile, Dassault Systemes SE (PA:DAST) added 1.77% or 2.45 points to end at 141.05 and Engie SA (PA:ENGIE) was up 1.38% or 0.18 points to 13.21 in late trade.The worst performers of the session were  Bouygues  SA (PA:BOUY), which fell 4.50% or 1.58 points to trade at 33.54 at the close. Orange SA (PA:ORAN) declined 2.92% or 0.42 points to end at 13.96 and  Valeo  SA (PA:VLOF) was down 2.23% or 0.74 points to 32.37.The top performers on the SBF 120 were  Rexel  (PA:RXL) which rose 5.04% to 11.98, Television Francaise 1 SA (PA:TFFP) which was up 4.96% to settle at 9.740 and Spie SA (PA:SPIE) which gained 4.62% to close at 17.200.The worst performers were SCOR SE (PA:SCOR) which was down 6.05% to 36.36 in late trade,  Thales  (PA:TCFP) which lost 5.21% to settle at 106.45 and DBV Technologies (PA:DBV) which was down 4.60% to 17.410 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 307 to 260 and 97 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 3.39% to 13.51.Gold Futures for June delivery was up 0.30% or 3.85 to $1285.35 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 0.65% or 0.41 to hit $63.91 a barrel, while the July Brent oil contract rose 0.87% or 0.62 to trade at $72.16 a barrel.EUR/USD was up 0.28% to 1.1217, while EUR/GBP fell 0.52% to 0.8599.The US Dollar Index Futures was down 0.36% at 97.227."
8,"Apr 24, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.28%,nan,"Investing.com – France stocks were lower after the close on Wednesday, as losses in the Financials, Basic Materials and Utilities sectors led shares lower.At the close in Paris, the CAC 40 declined 0.28%, while the SBF 120 index declined 0.18%.The best performers of the session on the CAC 40 were STMicroelectronics NV (PA:STM), which rose 5.12% or 0.820 points to trade at 16.840 at the close. Meanwhile, Dassault Systemes SE (PA:DAST) added 4.21% or 5.75 points to end at 142.25 and WFD Unibail Rodamco NV (AS:URW) was up 3.08% or 4.65 points to 155.50 in late trade.The worst performers of the session were  Renault  SA (PA:RENA), which fell 3.55% or 2.23 points to trade at 60.50 at the close.  Societe Generale  SA (PA:SOGN) declined 2.67% or 0.76 points to end at 27.52 and  Total  SA (PA:TOTF) was down 2.30% or 1.18 points to 50.04.The top performers on the SBF 120 were  Ingenico  Group SA (PA:INGC) which rose 6.18% to 72.50, STMicroelectronics NV (PA:STM) which was up 5.12% to settle at 16.840 and  Worldline SA  (PA:WLN) which gained 4.76% to close at 58.300.The worst performers were  Biomerieux  SA (PA:BIOX) which was down 6.82% to 69.00 in late trade, Compagnie  Plastic Omnium  SA (PA:PLOF) which lost 4.20% to settle at 27.61 and Renault SA (PA:RENA) which was down 3.55% to 60.50 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 287 to 273 and 97 ended unchanged.Shares in Dassault Systemes SE (PA:DAST) rose to all time highs; up 4.21% or 5.75 to 142.25. Shares in Worldline SA (PA:WLN) rose to all time highs; rising 4.76% or 2.650 to 58.300. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 4.20% to 12.87.Gold Futures for June delivery was up 0.37% or 4.65 to $1277.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June fell 0.63% or 0.42 to hit $65.88 a barrel, while the June Brent oil contract fell 0.05% or 0.04 to trade at $74.47 a barrel.EUR/USD was down 0.59% to 1.1159, while EUR/GBP fell 0.46% to 0.8635.The US Dollar Index Futures was up 0.40% at 97.705."
9,"Apr 08, 2019 04:35PM ET",France stocks lower at close of trade; CAC 40 down 0.08%,nan,"Investing.com – France stocks were lower after the close on Monday, as losses in the Financials, Healthcare and Foods & Drugs sectors led shares lower.At the close in Paris, the CAC 40 fell 0.08%, while the SBF 120 index declined 0.14%.The best performers of the session on the CAC 40 were Airbus Group SE (PA:AIR), which rose 1.74% or 2.06 points to trade at 120.74 at the close. Meanwhile, TechnipFMC PLC (PA:FTI) added 1.13% or 0.25 points to end at 22.46 and Dassault Systemes SE (PA:DAST) was up 1.01% or 1.35 points to 134.50 in late trade.The worst performers of the session were  Valeo  SA (PA:VLOF), which fell 2.14% or 0.64 points to trade at 29.22 at the close.  Safran  SA (PA:SAF) declined 1.95% or 2.45 points to end at 123.00 and  Publicis Groupe  SA (PA:PUBP) was down 1.50% or 0.70 points to 45.83.The top performers on the SBF 120 were Genfit (PA:GNFT) which rose 5.87% to 22.740, DBV Technologies (PA:DBV) which was up 5.81% to settle at 16.400 and  Euronext  (PA:ENX) which gained 1.85% to close at 57.70.The worst performers were ALD SA (PA:ALDA) which was down 4.03% to 12.86 in late trade,  Elior  Group (PA:ELIOR) which lost 2.92% to settle at 11.97 and Television Francaise 1 SA (PA:TFFP) which was down 2.56% to 8.195 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 305 to 278 and 87 ended unchanged.Shares in Airbus Group SE (PA:AIR) rose to all time highs; up 1.74% or 2.06 to 120.74. Shares in Publicis Groupe SA (PA:PUBP) fell to 5-year lows; losing 1.50% or 0.70 to 45.83. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 4.66% to 14.13.Gold Futures for June delivery was up 0.49% or 6.35 to $1301.95 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May rose 2.14% or 1.35 to hit $64.43 a barrel, while the June Brent oil contract rose 1.05% or 0.74 to trade at $71.08 a barrel.EUR/USD was up 0.41% to 1.1260, while EUR/GBP rose 0.17% to 0.8620.The US Dollar Index Futures was down 0.36% at 96.648."
