,date,titre,texte,article
0,"Jun 20, 2019 02:20PM ET",Senate rejects Saudi arms sales in rebuke to Trump,nan,"By Patricia ZengerleWASHINGTON (Reuters) - The U.S. Senate on Thursday voted to block the sale of billions of dollars in military sales to Saudi Arabia, the United Arab Emirates and other countries, rejecting President Donald Trump's decision to sidestep Congress' review of such deals by declaring an emergency over Iran.Trump has promised to veto the Senate action in order to proceed with the deals, worth some $8.1 billion. Senators would need 67 votes to override his veto, which looked unlikely after Thursday's votes. The first and second resolutions of disapproval passed 53-45 and a third vote covering the remaining 20 resolutions was 51-45.Backers of the resolutions, led by Democrat Bob Menendez and Republican Lindsey Graham, said they sent a bipartisan message to Saudi Arabia that Washington is not happy about human rights abuses, including the murder of journalist Jamal Khashoggi at a Saudi consulate in Turkey.Many also expressed deep concern with Saudi Arabia and the UAE over the war in Yemen, where the two countries are battling Iran-backed Houthi rebels. The United Nations has described the conflict in Yemen, which has killed tens of thousands of people including thousands of civilians, as the world's worst humanitarian crisis.TENSIONS WITH IRANHours before the vote, Iran shot down a U.S. military drone, escalating fears of wider military conflict. Washington said the incident was an ""unprovoked attack"" in international air space while Tehran said the drone was over its territory. Trump later said the attack apparently was a mistake by an Iranian ""general or somebody.""Opposing the resolutions, the Senate's Republican majority leader, Mitch McConnell, cited tensions with Tehran. ""The timing could not be worse for the Senate to send the wrong signal,"" he said. Graham, normally a close Trump ally, underscored the unusual divide between the White House and some Republicans over Saudi Arabia in an emphatic Senate speech before the votes.""You cannot have a strategic relationship with the United States and behave in a fashion that shows no respect for human dignity, no respect for international norms,"" Graham said.Menendez, the top Democrat on the Senate Foreign Relations Committee, said the disapproval resolutions also reflected Congress' desire to preserve its powers to declare war and review major foreign weapons sales. Trump also used an emergency declaration strategy to circumvent Congress and try to get funding for a wall on the Mexican border.Menendez scoffed at the administration's contention that the threat from Iran was an emergency that warranted so many weapons sales to third countries. ""This is a power grab, pure and simple, with lasting implications for the role of Congress in the sale of arms around the world,"" Menendez said.The resolutions are expected to pass the Democratic-controlled House of Representatives before reaching Trump's desk.MORE LEGISLATION EXPECTEDDespite Trump's veto threat, members of Congress said they expect some Saudi-related legislation would come into effect this year.Lawmakers are working on a separate measure ""to hold Saudi Arabia accountable"" for human rights abuses and Khashoggi's murder. The Senate Foreign Relations Committee also is due to consider as soon as next week legislation that would take away the ability of Trump, or any president, to use emergency authority to sell arms to any country besides NATO members and certain other key partners without congressional review.Among military equipment in the deals are Raytheon (RTN.N) precision-guided munitions, support for  Boeing Co  (BA.N) F-15 aircraft and Javelin anti-tank missiles, which are made by Raytheon and  Lockheed Martin  Corp (LMT.N).Other products involved are  General Electric  (GE.N) engines for use in F-16 fighter jets operated by the UAE, and a fuzing system for precision guided bombs from the U.S. unit of French firm  Thales  SA (TCFP.PA).Other companies with products or services in the deals are Britain’s BAE Systems Plc (BAES.L) and Europe’s Airbus (AIR.PA).In London on Thursday an English court ruled that Britain had broken the law by allowing arms sales to Saudi Arabia that might have been deployed in the war in Yemen, after activists said there was evidence the weapons had been used in violation of human rights statutes.  /6938/FP_EN_site/FP_EN_TextNote 
"
1,"Jun 19, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.16%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Foods & Drugs, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 added 0.16% to hit a new 1-month high, while the SBF 120 index climbed 0.17%.The best performers of the session on the CAC 40 were  Valeo  SA (PA:VLOF), which rose 3.37% or 0.85 points to trade at 26.09 at the close. Meanwhile,  Credit Agricole  SA (PA:CAGR) added 2.28% or 0.240 points to end at 10.750 and  Societe Generale  SA (PA:SOGN) was up 2.23% or 0.48 points to 22.05 in late trade.The worst performers of the session were Airbus Group SE (PA:AIR), which fell 1.96% or 2.46 points to trade at 123.00 at the close.  Kering  SA (PA:PRTP) declined 1.17% or 6.00 points to end at 508.20 and  Vivendi  SA (PA:VIV) was down 0.89% or 0.22 points to 24.55.The top performers on the SBF 120 were  Tarkett  (PA:TKTT) which rose 4.75% to 21.60, Compagnie  Plastic Omnium  SA (PA:PLOF) which was up 3.92% to settle at 22.29 and  Faurecia  (PA:EPED) which gained 3.64% to close at 38.40.The worst performers were Air France KLM SA (PA:AIRF) which was down 3.57% to 7.896 in late trade,  Casino  Guichard Perrachon SA (PA:CASP) which lost 2.69% to settle at 32.90 and CGG SA (PA:GEPH) which was down 2.17% to 1.625 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 293 to 275 and 87 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 0.78% to 13.65 a new 1-month low.Gold Futures for August delivery was down 0.05% or 0.65 to $1350.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in August fell 0.43% or 0.23 to hit $53.88 a barrel, while the August Brent oil contract fell 0.21% or 0.13 to trade at $62.01 a barrel.EUR/USD was up 0.22% to 1.1216, while EUR/GBP fell 0.38% to 0.8878.The US Dollar Index Futures was down 0.24% at 96.915."
2,"Jun 18, 2019 06:41AM ET",Stocks - U.S. Futures Rise After Draghi Hints at Rate Cuts,nan,"Investing.com - U.S. futures were higher on Tuesday, as investors remained upbeat over the prospects of central bank easing to support the economy.European Central Bank President Mario Draghi hinted that rate cuts or further asset purchases would be warranted unless inflation in the eurozone picks up, something that seems unlikely in the face of a largely synchronous global economic slowdown caused by the U.S.-China trade dispute.Draghi's comments come as the Federal Reserve kicks off its two-day policy meeting.While no rate cut is expected from the Fed this week, traders have increased their expectations that it will cut rates this year to support an economy that appears to be slowing down increasingly sharply.  The New York Fed's Empire State index of manufacturing activity recorded its steepest monthly drop on record this week, while this  month's labor market report also showed a steep decline in hiring.Tech-heavy Nasdaq 100 futures gained 54 points or 0.7% by 6:40 AM ET (10:40 GMT), while Dow futures rose 87 points or 0.3% and S&P 500 futures was up 11 points or 0.4%.Moneygram (NASDAQ:MGI) surged 154% in premarket trade on news that blockchain startup Ripple invested $50 million in the money transfer company in order to boost its token, XRP. Meanwhile, Facebook (NASDAQ:FB) gained 2.4% as it announced more details of its own cryptocurrency project, called LibraTesla (NASDAQ:TSLA) was up 1.9%, still supported by CEO Elon Musk's decision to delete his Twitter account, and Beyond Meat (NASDAQ:BYND) jumped 8.9%.. Boeing (NYSE:BA) rose 0.7%, despite failing to announce any new orders for any of its airplanes in the first day of the Paris Air Show in the wake of two fatal crashes involving its 737 MAX. Rival airplane maker Airbus (PA:AIR) recorded orders for 123 planes.Elsewhere, Perrigo (NYSE:PRGO) was down 0.5%, while Carnival (NYSE:CCL) lost 0.5% on news that a group of Alaskan fisherman are appealing the cruise ship company’s $20 million settlement with federal prosecutors over pollution violations.On the data front, housing starts  and building permits for May are out at 8:30 AM ET (12:30 GMT).In commodities, crude oil fell 0.7% to $51.80 a barrel. Gold futures rose 0.5% to $1,349.15 a troy ounce while the U.S. dollar index, which measures the greenback against a basket of six major currencies, inched up 0.1% to 97.190."
3,"Jun 17, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.43%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Foods & Drugs, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 rose 0.43%, while the SBF 120 index gained 0.38%.The best performers of the session on the CAC 40 were Airbus Group SE (PA:AIR), which rose 2.11% or 2.58 points to trade at 125.00 at the close. Meanwhile, TechnipFMC PLC (PA:FTI) added 2.05% or 0.41 points to end at 20.45 and  Safran  SA (PA:SAF) was up 1.63% or 2.00 points to 124.90 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 1.36% or 0.198 points to trade at 14.374 at the close. Engie SA (PA:ENGIE) declined 1.00% or 0.13 points to end at 12.82 and WFD Unibail Rodamco NV (AS:URW) was down 0.92% or 1.25 points to 134.60.The top performers on the SBF 120 were  Maisons du Monde SAS  (PA:MDM) which rose 2.56% to 18.050,  Biomerieux  SA (PA:BIOX) which was up 2.47% to settle at 76.65 and  Thales  (PA:TCFP) which gained 2.42% to close at 108.00.The worst performers were  Rubis  SCA (PA:RUBF) which was down 4.86% to 46.62 in late trade, Air France KLM SA (PA:AIRF) which lost 4.27% to settle at 7.886 and Sopra Steria Group SA (PA:SOPR) which was down 3.33% to 98.60 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 291 to 280 and 91 ended unchanged.Shares in Airbus Group SE (PA:AIR) rose to all time highs; rising 2.11% or 2.58 to 125.00. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 4.14% to 13.97 a new 1-month low.Gold Futures for August delivery was down 0.08% or 1.05 to $1343.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 0.50% or 0.26 to hit $52.25 a barrel, while the August Brent oil contract fell 0.97% or 0.60 to trade at $61.41 a barrel.EUR/USD was up 0.18% to 1.1227, while EUR/GBP rose 0.48% to 0.8941.The US Dollar Index Futures was down 0.09% at 96.975."
4,"Jun 17, 2019 05:44AM ET",Top 5 Things to Know in the Market on Monday,nan,"Investing.com - Here are the top five things you need to know in financial markets on Monday, June 17:1. Draghi kicks off busy week for central banksEuropean Central Bank President Mario Draghi will give opening remarks to the euro zone monetary authority’s annual three-day meeting in Sintra, kicking off a busy week that will include policy decisions from the Federal Reserve, the Bank of Japan and the Bank of England.Ahead of the meeting, Benoit Coeure, one of the possible candidates to succeed Draghi, gave a gloomy interview to the Financial Times, warning that market-based indicators of inflation expectations are signalling a much bleaker outlook for the economy than current data. That's keeping the euro close to a two-week low against the dollar.Although no interest rate changes are expected this week from the Fed, BoJ or BoE, Fed chair Jerome Powell will be in the spotlight as investors expect a clearer hint as to what the Fed would see as an actual trigger to cut interest rates.2. Huawei launches profit-warning as trade tensions drag onHuawei Technologies Chief Executive Officer Ren Zhengfei said Monday he expects the company’s sales to drop to around $100 billion this year and next after the U.S. banned American companies from doing business with the Chinese firm.Although the U.S. blacklisting of the Huawei was done for “national security” reasons, U.S. President Donald Trump did suggest in an interview with CNBC last week that something could be done with the company as part of the trade negotiations with China.U.S. Commerce Secretary Wilbur Ross played down the importance of Trump and Chinese counterpart Xi Jinping at the G20 meeting on June 28 and 29, while reiterating the American president was “perfectly happy” with continuing with his tariff strategy.Congressional hearings on the next planned round of U.S. import tariffs get underway on Monday.Read more: Broadcom Earnings Show Chip Stock Slump Could Get Worse - Haris Anwar3. Global stocks inch higher ahead of monetary policy decisionsGlobal stocks registered slight gains on Monday as the week's central bank meetings cast their shadow over early trading.U.S. stocks looked set to shift sentiment at the open after Friday’s negative close. Dow futures edged forward 35 points, or 0.1% by 5:43 AM ET (9:43 GMT), S&P 500 futures rose 4 points, or 0.1%, while Nasdaq 100 futures traded up 20 points, or 0.3%.The European bank sector supported the region’s equities as Germany’s  Deutsche Bank  (DE:DBKGn) was reported to be planning more radical cost cutting. Asian shares staged a timid recovery near one-week lows. Hong Kong’s Hang Seng had one of the strongest showings, rising some 0.4% after territory's leader Carrie Lam backed down on a bill that would have allowed extradition to China.4. 737 MAX trials to start as Boeing seeks to restore confidenceThe Federal Aviation Administration could start flight trials of Boeing's (NYSE:BA) 737 MAX safety enhancement as early as this week, according to sources cited by The Wall Street Journal.At the Paris Air Show on Sunday, Chief Executive Dennis Muilenburg admitted the company had made mistakes regarding the model's warnings systems, and promised that Boeing’s first priority was to rebuild trust.With the MAX 737 grounded for safety reasons, Airbus (PA:AIR) will reportedly launch its A321XLR airplane at the Paris Air Show. It's hoping to seal over 200 orders, according to reports.The air show comes at a time when the slowing economy is taking a toll on airlines. Germany's Deutsche Lufthansa (DE:LHAG) became the latest to issue a profit-warning Monday, citing overcapacity in the short-haul sector and higher fuel costs. 5. Iran plans to break uranium limit in 10 daysIran announced Monday that it will break internationally-agreed limits on its stocks of enriched uranium in 10 days unless Europe takes steps to help it counteract the crippling effect of U.S. economic sanctions.Tehran had previously threatened to renege on the nuclear deal after the Trump administration withdrew from the pact last year and imposed economic sanctions.U.S. Secretary of State Mike Pompeo said Sunday that the U.S. is “considering a full range of options”, against a backdrop of rising tensions embodied by the attacks on two oil tankers near the Persian Gulf last week. Iran has denied accusations of planning the attacks.Pompeo, who has said that there is ""no doubt"" that Iran was behind the attacks, said a military response was among the options under consideration.-- Reuters contributed to this report."
5,"Jun 07, 2019 01:15PM ET",Germany stocks higher at close of trade; DAX up 0.77%,nan,"Investing.com – Germany stocks were higher after the close on Friday, as gains in the Software, Utilities and Consumer & Cyclical sectors led shares higher.At the close in Frankfurt, the DAX gained 0.77%, while the MDAX index added 0.46%, and the TecDAX index climbed 0.96%.The best performers of the session on the DAX were SAP SE (DE:SAPG), which rose 2.10% or 2.340 points to trade at 113.720 at the close. Meanwhile, Adidas AG (DE:ADSGN) added 1.82% or 4.75 points to end at 265.25 and E.ON SE NA (DE:EONGn) was up 1.74% or 0.170 points to 9.925 in late trade.The worst performers of the session were Vonovia SE (DE:VNAn), which fell 1.69% or 0.77 points to trade at 44.72 at the close.  Bayer AG  NA (DE:BAYGN) declined 0.79% or 0.42 points to end at 52.87 and Fresenius Medical Care KGAA ST (DE:FMEG) was down 0.27% or 0.180 points to 66.320.The top performers on the MDAX were Dialog Semiconductor (DE:DLGS) which rose 4.48% to 30.100, Puma SE (DE:PUMG) which was up 2.96% to settle at 557.00 and  Airbus Group SE  (DE:AIRG) which gained 2.51% to close at 120.96.The worst performers were Deutsche Wohnen AG (DE:DWNG) which was down 8.53% to 35.810 in late trade,  Grand City Properties SA  (DE:GYC) which lost 4.93% to settle at 21.62 and  Hella KGaA Hueck & Co  (DE:HLE) which was down 4.92% to 40.98 at the close.The top performers on the TecDAX were Dialog Semiconductor (DE:DLGS) which rose 4.48% to 30.1000,  Xing AG  (DE:OBCGn) which was up 4.05% to settle at 360.00 and SAP SE (DE:SAPG) which gained 2.10% to close at 113.720.The worst performers were  Drillisch  AG (DE:DRIG) which was down 2.10% to 27.060 in late trade,  Freenet  AG NA (DE:FNTGn) which lost 0.64% to settle at 17.210 and  Qiagen  NV (DE:QIA) which was down 0.38% to 34.450 at the close.Rising stocks outnumbered declining ones on the Frankfurt Stock Exchange by 481 to 220 and 73 ended unchanged.Shares in Adidas AG (DE:ADSGN) rose to all time highs; gaining 1.82% or 4.75 to 265.25. Shares in Deutsche Wohnen AG (DE:DWNG) fell to 52-week lows; down 8.53% or 3.340 to 35.810. The DAX volatility index, which measures the implied volatility of DAX options, was down 4.92% to 15.45.Gold Futures for August delivery was up 0.36% or 4.85 to $1347.55 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 1.83% or 0.96 to hit $53.55 a barrel, while the August Brent oil contract rose 1.90% or 1.17 to trade at $62.84 a barrel.EUR/USD was up 0.59% to 1.1341, while EUR/GBP rose 0.21% to 0.8894.The US Dollar Index Futures was down 0.56% at 96.458."
6,"Jun 03, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.65%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Utilities, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 gained 0.65%, while the SBF 120 index climbed 0.53%.The best performers of the session on the CAC 40 were  Danone  SA (PA:DANO), which rose 2.18% or 1.56 points to trade at 72.96 at the close. Meanwhile, Sanofi SA (PA:SASY) added 2.09% or 1.51 points to end at 73.75 and Airbus Group SE (PA:AIR) was up 2.00% or 2.30 points to 117.16 in late trade.The worst performers of the session were Capgemini SE (PA:CAPP), which fell 1.34% or 1.34 points to trade at 98.76 at the close. AXA SA (PA:AXAF) declined 1.27% or 0.28 points to end at 21.80 and  Legrand  SA (PA:LEGD) was down 1.13% or 0.68 points to 59.46.The top performers on the SBF 120 were  Ipsen  SA (PA:IPN) which rose 3.84% to 111.00, Sartorius  Stedim  Biotech SA (PA:STDM) which was up 2.50% to settle at 127.20 and Lagardere SCA (PA:LAGA) which gained 2.20% to close at 22.28.The worst performers were Technicolor (PA:TCH) which was down 8.70% to 0.876 in late trade,  Maisons du Monde SAS  (PA:MDM) which lost 4.38% to settle at 17.260 and Eurofins Scientific SE (PA:EUFI) which was down 4.22% to 390.00 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 299 to 265 and 96 ended unchanged.Shares in Danone SA (PA:DANO) rose to all time highs; rising 2.18% or 1.56 to 72.96. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.38% to 16.38.Gold Futures for August delivery was up 1.10% or 14.45 to $1325.55 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.41% or 0.22 to hit $53.72 a barrel, while the August Brent oil contract fell 0.31% or 0.19 to trade at $61.80 a barrel.EUR/USD was up 0.43% to 1.1216, while EUR/GBP rose 0.36% to 0.8876.The US Dollar Index Futures was down 0.29% at 97.387."
7,"Apr 30, 2019 05:35AM ET",Top 5 Things to Know in the Market on Tuesday,nan,"Investing.com - Here are the top five things you need to know in financial markets on Tuesday, April 30:1. Google revenue slowdown weighs on techGoogle’s parent-company Alphabet (NASDAQ:GOOGL) saw its shares plunge nearly 8% in premarket trade Tuesday after the company reported quarterly earnings.The internet giant registered its slowest revenue growth in three years due to increased competition in advertising and challenges at YouTube, where it is struggling to assure clients that their ads don’t sponsor adult or offensive content.Alphabet said its revenue rose 17% in the first quarter to $36.3 billion, missing forecasts for $37.3 billion and well below a 26% annual increase seen in the first three months of 2018.That put downward pressure on other tech stocks, with Nasdaq 100 futures off 0.2% compared to flat readings in Dow futures and S&P 500 futures.Markets will have more heavyweight tech earnings to digest today as Apple (NASDAQ:AAPL) reports after the market close. Outside the tech sector,  General Electric  (NYSE:GE), Mastercard (NYSE:MA), McDonald’s (NYSE:MCD), Merck (NYSE:MRK)and  Pfizer  (NYSE:PFE) are among company earnings to watch ahead of the opening bell.Read more: Apple’s Q2 Earnings: Growth In Services Unit Is Crucial To Sustain Rally - Haris Anwar2. China reports weak factory activity ahead of trade talksFactory activity in China expanded at a slower pace than forecast in April, suggesting that fiscal and stimulus measures aimed at reviving the economy haven't been entirely successful yet.China’s manufacturing purchasing managers’ index dropped to 50.1 this month, holding just above the 50-mark that separates expansion from contraction. Economists had forecast an increase to 50.7.The weaker-than-expected reading arrived as U.S. Treasury Secretary Steven Mnuchin and U.S. Trade Representative Robert Lighthizer arrived in Beijing for another round of trade negotiations with Chinese Vice Premier Liu He that will continue next week in Washington D.C.Mnuchin said Tuesday that he hopes to make “substantial progress” this week and next, without giving further details.U.S. President Donald Trump said last week that he would soon host Chinese President Xi Jinping at the White House. A meeting between the two leaders would likely see them signing off on an agreement to end a dispute over tariffs and market access.3. Fed kicks off policy meeting amid consumer, housing dataThe Federal Reserve begins its two-day meeting on Tuesday amid expectations that interest rates will remain on hold. At its March meeting the Fed indicated that it will hold off from hiking rates for the rest of the year amid expectations for a slower pace of economic growth.Although data released last week showed that growth in the U.S. economy unexpectedly accelerated in the first quarter, the expansion was boosted by gains in trade and inventories which may be transitory. The core private consumption price index, generally considered to be the Fed’s preferred inflation indicator, cooled off in March, supporting arguments for a pause in policy tightening.Fed Chairman Jerome Powell will hold a press conference after the meeting ends on Wednesday.Also on Tuesday’s economic calendar, markets will gauge the latest reading of consumer strength with the Conference Board’s consumer confidence index for April.In the housing market, S&P/Case-Shiller will release their house price index for February while the National Association of Realtors will publish its report on pending home sales in March.Earlier, the euro zone posted surprisingly strong growth of 0.4% in the first quarter, ahead of the 0.3% expected. The 1.2% year-on-year growth rate was the best in a year.4. Trump sues  Deutsche Bank  and  Capital One  U.S. President Donald Trump, along with his three eldest children - Donald Jr., Eric and Ivanka - and seven of his companies, filed a federal lawsuit against Deutsche Bank (DE:DBKGn) and Capital One (NYSE:COF) in an attempt to prevent the banks from responding to congressional subpoenas.The subpoenas represent a tightening of Congressional scrutiny of the president, who famously broke with tradition by not publishing his income tax returns during the 2016 campaign. The lawsuit claims that record requests from Democrat-controlled House committees serve no legitimate or lawful purpose.""The subpoenas were issued to harass President Donald J. Trump, to rummage through every aspect of his personal finances, his businesses, and the private information of the President and his family,"" the lawsuit said.5. Major Boeing customer threatens switch to AirbusIn the wake of two fatal accidents that grounded Boeing’s (NYSE:BA) 737 MAX jets, one of the company’s major customers has threatened to order aircraft from its rival Airbus (PA:AIR).Flydubai Chief Executive Sheikh Ahmed bin Saeed al-Maktoum said that he would seek compensation for the grounding of 14 737 MAX planes and may seek replacements from Airbus, according to a report from Financial Times.Boeing is struggling to present a software fix and new pilot training package that will convince regulators that the plane is safe to fly. The company admitted on Monday that a cockpit alert notifying pilots of a sensor malfunction did not work as presented. The warning only functioned on a separate indicator panel that was available for a fee."
8,"Apr 30, 2019 04:29AM ET",StockBeat: Chinese Data Stop Europe Following Wall St Higher,nan,"By Geoffrey SmithInvesting.com -- Europe’s stock markets got off to a shaky start on Tuesday, after a round of weaker-than-expected business surveys out of China reminded participants that the world economy may not be out of the woods just yet.With earnings season in Europe cranking up, the benchmark Euro Stoxx 600 was down 0.6 points, or 0.2% at 390.60 by 04:30 AM ET (0830 GMT).Italy’s FTSE MIB 30 was holding up best, still supported by Standard & Poor’s decision to affirm the country’s credit rating on Friday, although bank stocks were suffering on fresh concerns about the stability of the government, and on comments from Treasury Minister Giovannia Tria about the widening budget deficit.London’s listed mining stocks were broadly lower after the Chinese data forced investors to trim their hopes for commodity demand.  Glencore  (LON:GLEN) fell the most after announcing problems of its own too – it cut its forecasts for copper and cobalt production this year due to a spate of problems at its mines in the Democratic Republic of Congo, Zambia and Australia.There has been a welter of earnings updates to digest, with Airbus (PA:AIR) coming slightly off its all-time highs after unchanged guidance on commercial deliveries for the rest of the year underlined how capacity constraints will limit its ability to exploit Boeing's (NYSE:BA) misfortunes (even though it increased output of the A320, its main rival to the 737 MAX). The group also took a charge of 190 million euros ($220 million) to reflect the company’s inability to sell fighter aircraft to Saudi Arabia owing to a German government refusal to grant export licenses.There’s also been mixed reports from the region’s banks, with Spain’s Santander (MC:SAN) and BBVA (MC:BBVA) both falling after disappointing updates marked by problems in emerging markets, while  Standard Chartered  (LON:STAN) rose 4.6% after announcing its first buyback in years.Elsewhere,  Deutsche Bank  (DE:DBKGn) was down 0.4% after reports that President Donald Trump, three of his children and his real estate company filed a lawsuit to stop the bank releasing details of its business with them under subpoenas from Congress. Trump’s real estate business had extensive funding from Russian individuals prior to the financial crisis, and disclosures made in 2015 showed that the bank had lent him over $300 million."
9,"Apr 10, 2019 04:35PM ET",France stocks higher at close of trade; CAC 40 up 0.25%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Gas & Water, General Financial and Foods & Drugs sectors led shares higher.At the close in Paris, the CAC 40 added 0.25%, while the SBF 120 index added 0.27%.The best performers of the session on the CAC 40 were WFD Unibail Rodamco NV (AS:URW), which rose 3.62% or 5.35 points to trade at 153.25 at the close. Meanwhile,  Bouygues  SA (PA:BOUY) added 1.84% or 0.61 points to end at 33.71 and  Vinci  SA (PA:SGEF) was up 1.64% or 1.44 points to 89.44 in late trade.The worst performers of the session were Airbus Group SE (PA:AIR), which fell 1.69% or 2.00 points to trade at 116.50 at the close.  Valeo  SA (PA:VLOF) declined 1.67% or 0.48 points to end at 28.34 and  Societe Generale  SA (PA:SOGN) was down 1.26% or 0.34 points to 26.26.The top performers on the SBF 120 were Television Francaise 1 SA (PA:TFFP) which rose 3.70% to 8.550, Electricite de France SA (PA:EDF) which was up 3.69% to settle at 12.36 and WFD Unibail Rodamco NV (AS:URW) which gained 3.62% to close at 153.25.The worst performers were Dassault Aviation SA (PA:AVMD) which was down 3.49% to 1300.00 in late trade,  Vicat  (PA:VCTP) which lost 3.16% to settle at 44.40 and Eutelsat Communications SA (PA:ETL) which was down 3.06% to 15.07 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 325 to 233 and 104 ended unchanged.Shares in Vinci SA (PA:SGEF) rose to all time highs; up 1.64% or 1.44 to 89.44. Shares in Eutelsat Communications SA (PA:ETL) fell to 5-year lows; falling 3.06% or 0.47 to 15.07. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 4.11% to 14.53.Gold Futures for June delivery was up 0.29% or 3.75 to $1312.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May rose 0.75% or 0.48 to hit $64.46 a barrel, while the June Brent oil contract rose 1.42% or 1.00 to trade at $71.61 a barrel.EUR/USD was up 0.09% to 1.1272, while EUR/GBP fell 0.12% to 0.8609.The US Dollar Index Futures was down 0.08% at 96.537."
