,date,titre,texte,article
0,"Jun 14, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.15%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Utilities, Healthcare and Consumer Goods sectors led shares lower.At the close in Paris, the CAC 40 fell 0.15%, while the SBF 120 index declined 0.23%.The best performers of the session on the CAC 40 were EssilorLuxottica SA (PA:ESLX), which rose 1.67% or 1.75 points to trade at 106.40 at the close. Meanwhile, Engie SA (PA:ENGIE) added 1.13% or 0.14 points to end at 12.96 and  Total  SA (PA:TOTF) was up 0.57% or 0.27 points to 47.25 in late trade.The worst performers of the session were STMicroelectronics NV (PA:STM), which fell 3.22% or 0.470 points to trade at 14.140 at the close. Capgemini SE (PA:CAPP) declined 2.70% or 2.70 points to end at 97.16 and ArcelorMittal SA (AS:MT) was down 2.38% or 0.356 points to 14.572.The top performers on the SBF 120 were  Rubis  SCA (PA:RUBF) which rose 2.34% to 49.00,  Neopost  SA (PA:NPOS) which was up 2.01% to settle at 19.78 and  Elis Services SA  (PA:ELIS) which gained 1.86% to close at 15.33.The worst performers were  Groupe FNAC  (PA:FNAC) which was down 6.13% to 64.300 in late trade,  Iliad  (PA:ILD) which lost 3.97% to settle at 101.50 and Sopra Steria Group SA (PA:SOPR) which was down 3.68% to 102.00 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 330 to 229 and 97 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 2.73% to 14.58.Gold Futures for August delivery was up 0.52% or 7.05 to $1350.75 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.92% or 0.48 to hit $52.76 a barrel, while the August Brent oil contract rose 1.32% or 0.81 to trade at $62.12 a barrel.EUR/USD was down 0.59% to 1.1208, while EUR/GBP rose 0.05% to 0.8899.The US Dollar Index Futures was up 0.56% at 97.542."
1,"Jun 05, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.45%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Basic Materials, Financials and Oil & Gas sectors led shares higher.At the close in Paris, the CAC 40 rose 0.45%, while the SBF 120 index added 0.55%.The best performers of the session on the CAC 40 were  Worldline SA  (PA:WLN), which rose 7.20% or 3.900 points to trade at 58.050 at the close. Meanwhile, Engie SA (PA:ENGIE) added 2.29% or 0.29 points to end at 12.95 and EssilorLuxottica SA (PA:ESLX) was up 2.27% or 2.35 points to 105.90 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 2.51% or 0.348 points to trade at 13.510 at the close. TechnipFMC PLC (PA:FTI) declined 1.77% or 0.34 points to end at 18.82 and  Societe Generale  SA (PA:SOGN) was down 1.32% or 0.30 points to 22.42.The top performers on the SBF 120 were Worldline SA (PA:WLN) which rose 7.20% to 58.050, Dassault Aviation SA (PA:AVMD) which was up 5.01% to settle at 1195.00 and  Tarkett  (PA:TKTT) which gained 4.11% to close at 19.75.The worst performers were ArcelorMittal SA (AS:MT) which was down 2.51% to 13.510 in late trade,  Casino  Guichard Perrachon SA (PA:CASP) which lost 2.31% to settle at 32.10 and CGG SA (PA:GEPH) which was down 2.28% to 1.434 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 370 to 195 and 91 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 0.20% to 15.75.Gold Futures for August delivery was up 0.32% or 4.25 to $1332.95 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 3.87% or 2.07 to hit $51.41 a barrel, while the August Brent oil contract fell 2.63% or 1.63 to trade at $60.34 a barrel.EUR/USD was down 0.14% to 1.1235, while EUR/GBP fell 0.07% to 0.8852.The US Dollar Index Futures was up 0.20% at 97.195."
2,"May 28, 2019 01:02PM ET",France stocks lower at close of trade; CAC 40 down 0.44%,nan,"Investing.com – France stocks were lower after the close on Tuesday, as losses in the Gas & Water, General Financial and Foods & Drugs sectors led shares lower.At the close in Paris, the CAC 40 declined 0.44%, while the SBF 120 index fell 0.37%.The best performers of the session on the CAC 40 were  Peugeot  SA (PA:PEUP), which rose 4.62% or 0.92 points to trade at 20.84 at the close. Meanwhile,  Worldline SA  (PA:WLN) added 2.52% or 1.300 points to end at 52.800 and LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH) was up 1.17% or 3.95 points to 342.60 in late trade.The worst performers of the session were  Safran  SA (PA:SAF), which fell 2.09% or 2.55 points to trade at 119.25 at the close. EssilorLuxottica SA (PA:ESLX) declined 2.07% or 2.20 points to end at 104.00 and  Societe Generale  SA (PA:SOGN) was down 1.95% or 0.45 points to 22.59.The top performers on the SBF 120 were  Neopost  SA (PA:NPOS) which rose 9.26% to 20.30, Peugeot SA (PA:PEUP) which was up 4.62% to settle at 20.84 and  Casino  Guichard Perrachon SA (PA:CASP) which gained 3.58% to close at 32.43.The worst performers were Rothschild & Co SCA (PA:ROTH) which was down 3.04% to 27.150 in late trade, SES (PA:SESFd) which lost 2.39% to settle at 13.70 and Metropole Television SA (PA:MMTP) which was down 2.16% to 15.84 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 285 to 256 and 96 ended unchanged.Shares in Societe Generale SA (PA:SOGN) fell to 5-year lows; losing 1.95% or 0.45 to 22.59. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 1.04% to 15.75.Gold Futures for June delivery was down 0.50% or 6.45 to $1277.15 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.96% or 0.56 to hit $59.19 a barrel, while the August Brent oil contract fell 0.10% or 0.07 to trade at $68.70 a barrel.EUR/USD was down 0.28% to 1.1164, while EUR/GBP fell 0.14% to 0.8817.The US Dollar Index Futures was up 0.38% at 97.843."
3,"May 14, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 1.50%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Utilities, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 rose 1.50%, while the SBF 120 index climbed 1.50%.The best performers of the session on the CAC 40 were STMicroelectronics NV (PA:STM), which rose 6.49% or 0.920 points to trade at 15.090 at the close. Meanwhile, Atos SE (PA:ATOS) added 3.66% or 2.48 points to end at 70.26 and  Kering  SA (PA:PRTP) was up 3.56% or 17.50 points to 508.50 in late trade.The worst performers of the session were Veolia Environnement VE SA (PA:VIE), which fell 4.03% or 0.840 points to trade at 19.980 at the close.  Renault  SA (PA:RENA) declined 2.32% or 1.26 points to end at 53.11 and EssilorLuxottica SA (PA:ESLX) was down 1.22% or 1.35 points to 109.00.The top performers on the SBF 120 were STMicroelectronics NV (PA:STM) which rose 6.49% to 15.090,  Imerys  SA (PA:IMTP) which was up 6.46% to settle at 41.20 and  Maisons du Monde SAS  (PA:MDM) which gained 6.00% to close at 18.550.The worst performers were Lagardere SCA (PA:LAGA) which was down 5.94% to 22.16 in late trade, Veolia Environnement VE SA (PA:VIE) which lost 4.03% to settle at 19.980 and  Trigano  SA (PA:TRIA) which was down 2.90% to 75.35 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 377 to 175 and 91 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 10.10% to 16.77.Gold Futures for June delivery was down 0.42% or 5.45 to $1296.35 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 1.43% or 0.87 to hit $61.91 a barrel, while the July Brent oil contract rose 1.77% or 1.24 to trade at $71.47 a barrel.EUR/USD was down 0.11% to 1.1211, while EUR/GBP rose 0.23% to 0.8680.The US Dollar Index Futures was up 0.20% at 97.315."
4,"May 10, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.27%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Gas & Water, General Financial and Foods & Drugs sectors led shares higher.At the close in Paris, the CAC 40 gained 0.27%, while the SBF 120 index added 0.25%.The best performers of the session on the CAC 40 were EssilorLuxottica SA (PA:ESLX), which rose 3.96% or 4.20 points to trade at 110.20 at the close. Meanwhile, Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP) added 2.37% or 2.55 points to end at 109.95 and Capgemini SE (PA:CAPP) was up 2.05% or 2.10 points to 104.40 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 2.68% or 0.448 points to trade at 16.240 at the close.  Accor  SA (PA:ACCP) declined 2.45% or 0.88 points to end at 35.08 and WFD Unibail Rodamco NV (AS:URW) was down 1.13% or 1.66 points to 144.94.The top performers on the SBF 120 were  Maisons du Monde SAS  (PA:MDM) which rose 12.20% to 18.300, Sopra Steria Group SA (PA:SOPR) which was up 4.42% to settle at 106.20 and EssilorLuxottica SA (PA:ESLX) which gained 3.96% to close at 110.20.The worst performers were Aeroports de Paris SA (PA:ADP) which was down 9.73% to 153.00 in late trade, DBV Technologies (PA:DBV) which lost 3.36% to settle at 16.100 and ArcelorMittal SA (AS:MT) which was down 2.68% to 16.240 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 307 to 250 and 105 ended unchanged.Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; falling 2.68% or 0.448 to 16.240. Shares in Accor SA (PA:ACCP) fell to 52-week lows; falling 2.45% or 0.88 to 35.08. Shares in Aeroports de Paris SA (PA:ADP) fell to 52-week lows; losing 9.73% or 16.50 to 153.00. Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; losing 2.68% or 0.448 to 16.240. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 9.45% to 17.04.Gold Futures for June delivery was up 0.28% or 3.65 to $1288.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 0.39% or 0.24 to hit $61.94 a barrel, while the July Brent oil contract rose 0.70% or 0.49 to trade at $70.88 a barrel.EUR/USD was up 0.14% to 1.1236, while EUR/GBP rose 0.09% to 0.8626.The US Dollar Index Futures was down 0.11% at 97.058."
5,"May 06, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 1.18%,nan,"Investing.com – France stocks were lower after the close on Monday, as losses in the Technology, Industrials and Oil & Gas sectors led shares lower.At the close in Paris, the CAC 40 lost 1.18%, while the SBF 120 index declined 1.18%.The best performers of the session on the CAC 40 were Atos SE (PA:ATOS), which rose 1.35% or 0.92 points to trade at 68.88 at the close. Meanwhile, EssilorLuxottica SA (PA:ESLX) added 0.75% or 0.80 points to end at 107.30 and  Worldline SA  (PA:WLN) was up 0.64% or 0.350 points to 54.750 in late trade.The worst performers of the session were STMicroelectronics NV (PA:STM), which fell 4.93% or 0.810 points to trade at 15.615 at the close.  Valeo  SA (PA:VLOF) declined 4.00% or 1.29 points to end at 30.97 and LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH) was down 3.00% or 10.65 points to 344.40.The top performers on the SBF 120 were  Vallourec  (PA:VLLP) which rose 3.64% to 2.221, Atos SE (PA:ATOS) which was up 1.35% to settle at 68.88 and Genfit (PA:GNFT) which gained 0.84% to close at 21.620.The worst performers were  Faurecia  (PA:EPED) which was down 4.97% to 43.05 in late trade, STMicroelectronics NV (PA:STM) which lost 4.93% to settle at 15.615 and Compagnie  Plastic Omnium  SA (PA:PLOF) which was down 4.54% to 25.42 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 484 to 119 and 66 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 16.00% to 15.20 a new 1-month high.Gold Futures for June delivery was up 0.14% or 1.75 to $1283.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June fell 0.10% or 0.06 to hit $61.88 a barrel, while the July Brent oil contract fell 0.17% or 0.12 to trade at $70.73 a barrel.EUR/USD was up 0.04% to 1.1204, while EUR/GBP rose 0.10% to 0.8555.The US Dollar Index Futures was up 0.01% at 97.273."
6,"Apr 17, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.62%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Basic Materials, Financials and Utilities sectors led shares higher.At the close in Paris, the CAC 40 gained 0.62% to hit a new 6-months high, while the SBF 120 index gained 0.51%.The best performers of the session on the CAC 40 were ArcelorMittal SA (AS:MT), which rose 4.13% or 0.845 points to trade at 21.285 at the close. Meanwhile,  Valeo  SA (PA:VLOF) added 3.26% or 1.00 points to end at 31.65 and EssilorLuxottica SA (PA:ESLX) was up 3.23% or 3.35 points to 107.10 in late trade.The worst performers of the session were Sanofi SA (PA:SASY), which fell 2.72% or 2.04 points to trade at 73.06 at the close.  Carrefour  SA (PA:CARR) declined 1.38% or 0.23 points to end at 16.77 and WFD Unibail Rodamco NV (AS:URW) was down 0.89% or 1.40 points to 155.10.The top performers on the SBF 120 were  Vallourec  (PA:VLLP) which rose 13.21% to 2.400,  Tarkett  (PA:TKTT) which was up 9.88% to settle at 20.24 and  Maisons du Monde SAS  (PA:MDM) which gained 6.68% to close at 19.470.The worst performers were  GTT  (PA:GTT) which was down 5.37% to 82.80 in late trade, Sartorius  Stedim  Biotech SA (PA:STDM) which lost 5.17% to settle at 106.40 and  Biomerieux  SA (PA:BIOX) which was down 3.83% to 72.80 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 314 to 264 and 83 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 0.79% to 11.73.Gold Futures for June delivery was down 0.13% or 1.65 to $1275.55 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May rose 0.02% or 0.01 to hit $64.06 a barrel, while the June Brent oil contract rose 0.14% or 0.10 to trade at $71.82 a barrel.EUR/USD was up 0.15% to 1.1297, while EUR/GBP rose 0.24% to 0.8665.The US Dollar Index Futures was up 0.02% at 96.672."
7,"Apr 16, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.36%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Utilities, Financials and Basic Materials sectors led shares higher.At the close in Paris, the CAC 40 added 0.36% to hit a new 6-months high, while the SBF 120 index gained 0.38%.The best performers of the session on the CAC 40 were  Publicis Groupe  SA (PA:PUBP), which rose 3.71% or 1.77 points to trade at 49.52 at the close. Meanwhile, STMicroelectronics NV (PA:STM) added 2.14% or 0.340 points to end at 16.205 and EssilorLuxottica SA (PA:ESLX) was up 2.12% or 2.15 points to 103.75 in late trade.The worst performers of the session were  Vivendi  SA (PA:VIV), which fell 2.05% or 0.54 points to trade at 25.83 at the close.  Pernod Ricard  SA (PA:PERP) declined 1.79% or 2.85 points to end at 156.10 and Atos SE (PA:ATOS) was down 1.31% or 1.22 points to 91.74.The top performers on the SBF 120 were  Eramet  SA (PA:ERMT) which rose 19.68% to 71.02, Publicis Groupe SA (PA:PUBP) which was up 3.71% to settle at 49.52 and  Euronext  (PA:ENX) which gained 3.07% to close at 60.40.The worst performers were CGG SA (PA:GEPH) which was down 2.62% to 1.655 in late trade, Technicolor (PA:TCH) which lost 2.36% to settle at 1.156 and  Biomerieux  SA (PA:BIOX) which was down 2.20% to 75.70 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 340 to 223 and 100 ended unchanged.Shares in Euronext (PA:ENX) rose to 52-week highs; gaining 3.07% or 1.80 to 60.40. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 1.79% to 11.82.Gold Futures for June delivery was down 1.12% or 14.45 to $1276.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May rose 0.41% or 0.26 to hit $63.66 a barrel, while the June Brent oil contract rose 0.25% or 0.18 to trade at $71.36 a barrel.EUR/USD was down 0.21% to 1.1283, while EUR/GBP rose 0.17% to 0.8645.The US Dollar Index Futures was up 0.14% at 96.688."
8,"Apr 09, 2019 04:35PM ET",France stocks lower at close of trade; CAC 40 down 0.65%,nan,"Investing.com – France stocks were lower after the close on Tuesday, as losses in the Consumer Services, Utilities and Consumer Goods sectors led shares lower.At the close in Paris, the CAC 40 lost 0.65%, while the SBF 120 index fell 0.69%.The best performers of the session on the CAC 40 were  Publicis Groupe  SA (PA:PUBP), which rose 0.81% or 0.37 points to trade at 46.20 at the close. Meanwhile, EssilorLuxottica SA (PA:ESLX) added 0.68% or 0.66 points to end at 97.06 and  Credit Agricole  SA (PA:CAGR) was up 0.35% or 0.040 points to 11.355 in late trade.The worst performers of the session were Atos SE (PA:ATOS), which fell 3.13% or 2.68 points to trade at 83.06 at the close.  Carrefour  SA (PA:CARR) declined 2.15% or 0.36 points to end at 16.39 and TechnipFMC PLC (PA:FTI) was down 1.87% or 0.42 points to 22.04.The top performers on the SBF 120 were  Nexans  SA (PA:NEXS) which rose 3.56% to 30.25, Publicis Groupe SA (PA:PUBP) which was up 0.81% to settle at 46.20 and  Vicat  (PA:VCTP) which gained 0.77% to close at 45.85.The worst performers were  Worldline SA  (PA:WLN) which was down 3.43% to 52.050 in late trade, Atos SE (PA:ATOS) which lost 3.13% to settle at 83.06 and  Trigano  SA (PA:TRIA) which was down 3.00% to 72.65 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 357 to 202 and 105 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 1.25% to 13.96.Gold Futures for June delivery was up 0.49% or 6.35 to $1308.25 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May fell 0.51% or 0.33 to hit $64.07 a barrel, while the June Brent oil contract fell 0.60% or 0.43 to trade at $70.67 a barrel.EUR/USD was up 0.03% to 1.1262, while EUR/GBP rose 0.14% to 0.8628.The US Dollar Index Futures was down 0.03% at 96.623."
9,"Apr 05, 2019 12:35PM ET",France stocks higher at close of trade; CAC 40 up 0.23%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Financials, Consumer Goods and Gas & Water sectors led shares higher.At the close in Paris, the CAC 40 rose 0.23% to hit a new 6-months high, while the SBF 120 index climbed 0.24%.The best performers of the session on the CAC 40 were TechnipFMC PLC (PA:FTI), which rose 3.93% or 0.84 points to trade at 22.21 at the close. Meanwhile, STMicroelectronics NV (PA:STM) added 2.81% or 0.425 points to end at 15.560 and Sodexo SA (PA:EXHO) was up 1.89% or 1.89 points to 101.75 in late trade.The worst performers of the session were  Societe Generale  SA (PA:SOGN), which fell 1.22% or 0.33 points to trade at 26.65 at the close. EssilorLuxottica SA (PA:ESLX) declined 1.17% or 1.14 points to end at 96.10 and  Credit Agricole  SA (PA:CAGR) was down 1.13% or 0.130 points to 11.340.The top performers on the SBF 120 were SES (PA:SESFd) which rose 5.77% to 15.21, TechnipFMC PLC (PA:FTI) which was up 3.93% to settle at 22.21 and Compagnie  Plastic Omnium  SA (PA:PLOF) which gained 3.43% to close at 27.16.The worst performers were  Maisons du Monde SAS  (PA:MDM) which was down 2.81% to 18.700 in late trade,  Iliad  (PA:ILD) which lost 2.53% to settle at 96.34 and  Groupe FNAC  (PA:FNAC) which was down 2.02% to 68.050 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 298 to 283 and 103 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 0.27% to 13.50.Gold Futures for June delivery was up 0.15% or 1.95 to $1296.25 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May rose 0.87% or 0.54 to hit $62.64 a barrel, while the June Brent oil contract rose 0.71% or 0.49 to trade at $69.89 a barrel.EUR/USD was down 0.04% to 1.1216, while EUR/GBP rose 0.43% to 0.8616.The US Dollar Index Futures was up 0.10% at 97.018."
