,date,titre,texte,article
0,"Jun 20, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.31%,nan,"Investing.com – France stocks were higher after the close on Thursday, as gains in the Foods & Drugs, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 added 0.31% to hit a new 1-month high, while the SBF 120 index gained 0.21%.The best performers of the session on the CAC 40 were TechnipFMC PLC (PA:FTI), which rose 3.35% or 0.71 points to trade at 21.89 at the close. Meanwhile, STMicroelectronics NV (PA:STM) added 2.40% or 0.355 points to end at 15.170 and Capgemini SE (PA:CAPP) was up 1.48% or 1.50 points to 103.00 in late trade.The worst performers of the session were  Credit Agricole  SA (PA:CAGR), which fell 2.93% or 0.315 points to trade at 10.435 at the close.  Publicis Groupe  SA (PA:PUBP) declined 2.48% or 1.26 points to end at 49.46 and  Carrefour  SA (PA:CARR) was down 2.41% or 0.41 points to 16.79.The top performers on the SBF 120 were  Vallourec  (PA:VLLP) which rose 6.82% to 2.442, CGG SA (PA:GEPH) which was up 4.25% to settle at 1.694 and TechnipFMC PLC (PA:FTI) which gained 3.35% to close at 21.89.The worst performers were  Natixis  (PA:CNAT) which was down 11.76% to 3.480 in late trade, Air France KLM SA (PA:AIRF) which lost 4.38% to settle at 7.550 and  Casino  Guichard Perrachon SA (PA:CASP) which was down 3.65% to 31.70 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 299 to 266 and 92 ended unchanged.Shares in Natixis (PA:CNAT) fell to 52-week lows; falling 11.76% or 0.464 to 3.480. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 0.22% to 13.68.Gold Futures for August delivery was up 3.21% or 43.30 to $1392.10 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in August rose 5.37% or 2.90 to hit $56.87 a barrel, while the August Brent oil contract rose 3.88% or 2.40 to trade at $64.22 a barrel.EUR/USD was up 0.60% to 1.1292, while EUR/GBP rose 0.11% to 0.8888.The US Dollar Index Futures was down 0.43% at 96.167."
1,"Jun 17, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.43%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Foods & Drugs, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 rose 0.43%, while the SBF 120 index gained 0.38%.The best performers of the session on the CAC 40 were Airbus Group SE (PA:AIR), which rose 2.11% or 2.58 points to trade at 125.00 at the close. Meanwhile, TechnipFMC PLC (PA:FTI) added 2.05% or 0.41 points to end at 20.45 and  Safran  SA (PA:SAF) was up 1.63% or 2.00 points to 124.90 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 1.36% or 0.198 points to trade at 14.374 at the close. Engie SA (PA:ENGIE) declined 1.00% or 0.13 points to end at 12.82 and WFD Unibail Rodamco NV (AS:URW) was down 0.92% or 1.25 points to 134.60.The top performers on the SBF 120 were  Maisons du Monde SAS  (PA:MDM) which rose 2.56% to 18.050,  Biomerieux  SA (PA:BIOX) which was up 2.47% to settle at 76.65 and  Thales  (PA:TCFP) which gained 2.42% to close at 108.00.The worst performers were  Rubis  SCA (PA:RUBF) which was down 4.86% to 46.62 in late trade, Air France KLM SA (PA:AIRF) which lost 4.27% to settle at 7.886 and Sopra Steria Group SA (PA:SOPR) which was down 3.33% to 98.60 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 291 to 280 and 91 ended unchanged.Shares in Airbus Group SE (PA:AIR) rose to all time highs; rising 2.11% or 2.58 to 125.00. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 4.14% to 13.97 a new 1-month low.Gold Futures for August delivery was down 0.08% or 1.05 to $1343.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 0.50% or 0.26 to hit $52.25 a barrel, while the August Brent oil contract fell 0.97% or 0.60 to trade at $61.41 a barrel.EUR/USD was up 0.18% to 1.1227, while EUR/GBP rose 0.48% to 0.8941.The US Dollar Index Futures was down 0.09% at 96.975."
2,"Jun 13, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.01%,nan,"Investing.com – France stocks were higher after the close on Thursday, as gains in the Healthcare, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 added 0.01%, while the SBF 120 index added 0.03%.The best performers of the session on the CAC 40 were Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP), which rose 2.70% or 2.90 points to trade at 110.25 at the close. Meanwhile, ArcelorMittal SA (AS:MT) added 2.30% or 0.336 points to end at 14.928 and TechnipFMC PLC (PA:FTI) was up 2.09% or 0.41 points to 20.05 in late trade.The worst performers of the session were  Societe Generale  SA (PA:SOGN), which fell 1.67% or 0.36 points to trade at 21.48 at the close. Engie SA (PA:ENGIE) declined 1.50% or 0.20 points to end at 12.81 and  Valeo  SA (PA:VLOF) was down 1.15% or 0.29 points to 24.89.The top performers on the SBF 120 were Television Francaise 1 SA (PA:TFFP) which rose 4.59% to 9.345,  Soitec  SA (PA:SOIT) which was up 4.41% to settle at 91.200 and Compagnie Generale des Etablissements Michelin SCA (PA:MICP) which gained 2.70% to close at 110.25.The worst performers were  Remy Cointreau  (PA:RCOP) which was down 2.24% to 113.60 in late trade, Compagnie  Plastic Omnium  SA (PA:PLOF) which lost 2.01% to settle at 21.41 and Getlink SE (PA:GETP) which was down 1.99% to 13.780 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 286 to 275 and 98 ended unchanged.Shares in Societe Generale SA (PA:SOGN) fell to 5-year lows; down 1.67% or 0.36 to 21.48. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 2.47% to 14.19.Gold Futures for August delivery was up 0.49% or 6.55 to $1343.35 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 2.13% or 1.09 to hit $52.23 a barrel, while the August Brent oil contract rose 1.92% or 1.15 to trade at $61.12 a barrel.EUR/USD was down 0.09% to 1.1277, while EUR/GBP fell 0.02% to 0.8892.The US Dollar Index Futures was up 0.06% at 97.032."
3,"Jun 12, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.62%,nan,"Investing.com – France stocks were lower after the close on Wednesday, as losses in the Foods & Drugs, Gas & Water and General Financial sectors led shares lower.At the close in Paris, the CAC 40 fell 0.62%, while the SBF 120 index fell 0.60%.The best performers of the session on the CAC 40 were  Worldline SA  (PA:WLN), which rose 2.10% or 1.250 points to trade at 60.750 at the close. Meanwhile,  Vivendi  SA (PA:VIV) added 1.28% or 0.31 points to end at 24.51 and  Air Liquide  SA (PA:AIRP) was up 0.94% or 1.10 points to 118.30 in late trade.The worst performers of the session were TechnipFMC PLC (PA:FTI), which fell 3.58% or 0.73 points to trade at 19.64 at the close. ArcelorMittal SA (AS:MT) declined 2.81% or 0.422 points to end at 14.592 and  Total  SA (PA:TOTF) was down 2.73% or 1.32 points to 46.95.The top performers on the SBF 120 were Genfit (PA:GNFT) which rose 5.50% to 18.800,  Imerys  SA (PA:IMTP) which was up 4.42% to settle at 43.90 and Worldline SA (PA:WLN) which gained 2.10% to close at 60.750.The worst performers were DBV Technologies (PA:DBV) which was down 4.72% to 15.130 in late trade, TechnipFMC PLC (PA:FTI) which lost 3.58% to settle at 19.64 and  Maisons du Monde SAS  (PA:MDM) which was down 3.18% to 17.350 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 327 to 235 and 98 ended unchanged.Shares in Worldline SA (PA:WLN) rose to all time highs; rising 2.10% or 1.250 to 60.750. Shares in Worldline SA (PA:WLN) rose to all time highs; up 2.10% or 1.250 to 60.750. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 1.20% to 14.55.Gold Futures for August delivery was up 0.36% or 4.85 to $1336.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 2.48% or 1.32 to hit $51.95 a barrel, while the August Brent oil contract fell 2.04% or 1.27 to trade at $61.02 a barrel.EUR/USD was down 0.29% to 1.1297, while EUR/GBP rose 0.01% to 0.8903.The US Dollar Index Futures was up 0.27% at 96.907."
4,"Jun 10, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.34%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Healthcare, Utilities and Basic Materials sectors led shares higher.At the close in Paris, the CAC 40 added 0.34%, while the SBF 120 index added 0.36%.The best performers of the session on the CAC 40 were ArcelorMittal SA (AS:MT), which rose 4.46% or 0.602 points to trade at 14.086 at the close. Meanwhile, TechnipFMC PLC (PA:FTI) added 3.11% or 0.61 points to end at 20.22 and  Renault  SA (PA:RENA) was up 2.59% or 1.39 points to 55.08 in late trade.The worst performers of the session were Compagnie de Saint Gobain SA (PA:SGOB), which fell 2.86% or 0.96 points to trade at 32.60 at the close. Sanofi SA (PA:SASY) declined 1.30% or 1.02 points to end at 77.30 and Engie SA (PA:ENGIE) was down 0.87% or 0.12 points to 13.10.The top performers on the SBF 120 were ArcelorMittal SA (AS:MT) which rose 4.46% to 14.086,  Vallourec  (PA:VLLP) which was up 4.14% to settle at 2.312 and  Faurecia  (PA:EPED) which gained 3.44% to close at 36.07.The worst performers were Eurofins Scientific SE (PA:EUFI) which was down 3.26% to 356.60 in late trade, Compagnie de Saint Gobain SA (PA:SGOB) which lost 2.86% to settle at 32.60 and BIC (PA:BICP) which was down 2.00% to 68.65 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 374 to 195 and 95 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 0.36% to 14.61.Gold Futures for August delivery was down 1.10% or 14.85 to $1331.25 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 0.20% or 0.11 to hit $53.88 a barrel, while the August Brent oil contract fell 0.79% or 0.50 to trade at $62.79 a barrel.EUR/USD was down 0.11% to 1.1319, while EUR/GBP fell 0.03% to 0.8914.The US Dollar Index Futures was up 0.22% at 96.705."
5,"Jun 06, 2019 05:26PM ET",U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.71%,nan,"Investing.com – U.S. stocks were higher after the close on Thursday, as gains in the Oil & Gas, Telecoms and Technology sectors led shares higher.At the close in NYSE, the Dow Jones Industrial Average added 0.71%, while the S&P 500 index added 0.61%, and the NASDAQ Composite index added 0.53%.The best performers of the session on the Dow Jones Industrial Average were  Chevron  Corp (NYSE:CVX), which rose 2.58% or 3.03 points to trade at 120.68 at the close. Meanwhile,  Exxon Mobil  Corp (NYSE:XOM) added 1.82% or 1.33 points to end at 74.31 and Johnson & Johnson (NYSE:JNJ) was up 1.71% or 2.30 points to 136.68 in late trade.The worst performers of the session were The Travelers Companies Inc (NYSE:TRV), which fell 0.57% or 0.85 points to trade at 149.00 at the close. UnitedHealth Group Incorporated (NYSE:UNH) declined 0.39% or 0.95 points to end at 241.82 and  Nike  Inc (NYSE:NKE) was down 0.33% or 0.27 points to 82.45.The top performers on the S&P 500 were Advanced Micro Devices Inc (NASDAQ:AMD) which rose 7.86% to 31.82, International Flavors & Fragrances Inc (NYSE:IFF) which was up 5.22% to settle at 148.52 and TechnipFMC PLC (NYSE:FTI) which gained 4.10% to close at 22.34.The worst performers were L Brands Inc (NYSE:LB) which was down 4.14% to 22.71 in late trade, Macerich Company (NYSE:MAC) which lost 3.75% to settle at 35.91 and  Range Resources Corp  (NYSE:RRC) which was down 3.29% to 7.49 at the close.The top performers on the NASDAQ Composite were La Jolla Pharmaceutical Co (NASDAQ:LJPC) which rose 92.48% to 10.24, ContraVir Pharmaceuticals Inc (NASDAQ:CTRV) which was up 41.60% to settle at 7.0800 and  Insys Therapeutics Inc  (NASDAQ:INSY) which gained 33.40% to close at 1.15.The worst performers were  Kirklands  Inc (NASDAQ:KIRK) which was down 50.35% to 2.10 in late trade,  Motif Bio  PLC (NASDAQ:MTFB) which lost 43.22% to settle at 1.13 and  Mammoth Energy Services Inc  (NASDAQ:TUSK) which was down 35.89% to 6.11 at the close.Rising stocks outnumbered declining ones on the New York Stock Exchange by 1686 to 1290 and 114 ended unchanged; on the Nasdaq Stock Exchange, 1586 fell and 1061 advanced, while 103 ended unchanged.Shares in Macerich Company (NYSE:MAC) fell to 5-year lows; losing 3.75% or 1.40 to 35.91. Shares in Range Resources Corp (NYSE:RRC) fell to 5-year lows; losing 3.29% or 0.26 to 7.49. Shares in Kirklands Inc (NASDAQ:KIRK) fell to 5-year lows; falling 50.35% or 2.13 to 2.10. Shares in ContraVir Pharmaceuticals Inc (NASDAQ:CTRV) rose to 52-week highs; up 41.60% or 2.0800 to 7.0800. Shares in Motif Bio PLC (NASDAQ:MTFB) fell to all time lows; losing 43.22% or 0.86 to 1.13. Shares in Mammoth Energy Services Inc (NASDAQ:TUSK) fell to all time lows; losing 35.89% or 3.42 to 6.11. The CBOE Volatility Index, which measures the implied volatility of S&P 500 options, was down 0.99% to 15.93.Gold Futures for August delivery was up 0.45% or 5.95 to $1339.55 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 2.88% or 1.49 to hit $53.17 a barrel, while the August Brent oil contract rose 0.02% or 0.01 to trade at $62.24 a barrel.EUR/USD was up 0.08% to 1.1282, while USD/JPY fell 0.02% to 108.38.The US Dollar Index Futures was down 0.27% at 96.987."
6,"Jun 06, 2019 04:55PM ET",Stocks - S&P 500 Makes a Late Surge as Trade Tensions Ease,nan,"Investing.com - Stocks jumped for a third session Thursday in part because of news that the Trump Administration might hold back on imposing new tariffs on goods shipped into the United States from Mexico.In addition, there was continued speculation the Federal Reserve might cut rates when it meets in mid-June.The news on Mexico abruptly turned U.S. financial markets around. Crude oil moved higher, interest rates moved up slightly and so did most of the major sectors of the market.The S&P 500 jumped 0.61%. The Nasdaq Composite added 0.53%, and the Dow jumped 0.71%. The Dow just missed its third-straight day of plus-200-point gains.The strength of the rally has set the Dow and the S&P 500 up for their best weekly performances in 2019, with the Dow up 3.65% for the week after Thursday's close and the S&P 500 up 3.3%. The Nasdaq is up 2.2%. Its best week was the week of March 11, when it gained 3.78%.But one aspect to Thursday's rally is worth watching.The Dow Jones Transportation index fell 0.92%, with railroads the laggards. Kansas City Southern Railroad (NYSE:KSU) and  Union Pacific  (NYSE:UNP) are big players in the business of shipping goods north from Mexico. Kansas City Southern fell 1.64% and Union Pacific was off 1%.Meanwhile, the Dow Jones Utility index hit a 52-week high as investors bet interest rates are headed lower. Investing.com's Fed Rate Monitor Tool sees little chance of a rate cut in June. But fed funds futures are pricing in a rate cut by July and almost certainly by September. The Fed's key federal fund rate is now 2.25% to 2.5%. Most bond yields are lower than that.Financial markets have been driven in recent weeks by the reports or rumors of where U.S. trade policy is headed. The reports that the U.S. will delay tariffs on Mexico depend on whether Mexico can somehow curb illegal immigration into the U.S., the main point of contention, and whether President Donald Trump, traveling in Europe, will agree to the move. Late Thursday, Reuters tweeted the White House still plans to impose a 5% on Mexican shipments on Monday.Friday's market will start with investor reaction to the May jobs report, due for release at 8:30 AM ET (12:30 GMT). Economists polled by Investing.com expect the Labor Department to show the unemployment rate holding steady at 3.6%. And estimates are that nonfarm payrolls, a key measure investors watch, will grow by 185,000, down from April's 263,000 job gains.In the meantime, investors in big stocks were happy, especially with energy stocks.  Chevron  (NYSE:CVX) and  Exxon Mobil  (NYSE:XOM) were among the top-performing Dow stocks as Crude oil WTI futures moved up 1.8% to $52.29. Brent oil ,the global benchmark, rose 1.72% to $61.67. Only a day earlier, Brent briefly fell below $60 for the first time since late January.Apple (NASDAQ:AAPL) and Boeing (NYSE:BA), vulnerable to trade politics, also were higher and contributed about 32 points to the Dow''s gain.Chipmaker Advanced Micro Devices (NASDAQ:AMD), Tesla (NASDAQ:TSLA) and NetEase (NASDAQ:NTES) led the Nasdaq 100 0.76% higher. The index is dominated by big tech stocks like Apple, Microsoft (NASDAQ:MSFT), Amazon.com (NASDAQ:AMZN) and Google parent Alphabet (NASDAQ:GOOGL).Winners and lowers among S&P 500 stocksAdvanced Micro Devices (NASDAQ:AMD), International Flavors & Fragrances (NYSE:IFF) and TechnipFMC (NYSE:FTI) were among the top S&P 500 performers on the day.L Brands (NYSE:LB), Macerich (NYSE:MAC) and Range Resources (NYSE:RRC) were among the weakest S&P 500 performers on the day."
7,"Jun 06, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.26%,nan,"Investing.com – France stocks were lower after the close on Thursday, as losses in the Oil & Gas, Basic Materials and Financials sectors led shares lower.At the close in Paris, the CAC 40 lost 0.26%, while the SBF 120 index declined 0.34%.The best performers of the session on the CAC 40 were TechnipFMC PLC (PA:FTI), which rose 2.52% or 0.47 points to trade at 19.30 at the close. Meanwhile, Sanofi SA (PA:SASY) added 1.78% or 1.31 points to end at 75.02 and  Total  SA (PA:TOTF) was up 0.78% or 0.36 points to 47.24 in late trade.The worst performers of the session were  Renault  SA (PA:RENA), which fell 6.41% or 3.60 points to trade at 52.60 at the close. WFD Unibail Rodamco NV (AS:URW) declined 2.39% or 3.30 points to end at 135.00 and  Carrefour  SA (PA:CARR) was down 2.28% or 0.39 points to 16.52.The top performers on the SBF 120 were TechnipFMC PLC (PA:FTI) which rose 2.52% to 19.30,  Elior  Group (PA:ELIOR) which was up 2.52% to settle at 10.98 and Sanofi SA (PA:SASY) which gained 1.78% to close at 75.02.The worst performers were Renault SA (PA:RENA) which was down 6.41% to 52.60 in late trade,  Klepierre  SA (PA:LOIM) which lost 5.41% to settle at 29.19 and Eurofins Scientific SE (PA:EUFI) which was down 3.71% to 368.80 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 298 to 238 and 114 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 2.96% to 15.29.Gold Futures for August delivery was up 0.74% or 9.85 to $1343.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 0.17% or 0.09 to hit $51.59 a barrel, while the August Brent oil contract fell 0.07% or 0.04 to trade at $60.59 a barrel.EUR/USD was up 0.67% to 1.1294, while EUR/GBP rose 0.49% to 0.8885.The US Dollar Index Futures was down 0.45% at 96.817."
8,"Jun 05, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.45%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Basic Materials, Financials and Oil & Gas sectors led shares higher.At the close in Paris, the CAC 40 rose 0.45%, while the SBF 120 index added 0.55%.The best performers of the session on the CAC 40 were  Worldline SA  (PA:WLN), which rose 7.20% or 3.900 points to trade at 58.050 at the close. Meanwhile, Engie SA (PA:ENGIE) added 2.29% or 0.29 points to end at 12.95 and EssilorLuxottica SA (PA:ESLX) was up 2.27% or 2.35 points to 105.90 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 2.51% or 0.348 points to trade at 13.510 at the close. TechnipFMC PLC (PA:FTI) declined 1.77% or 0.34 points to end at 18.82 and  Societe Generale  SA (PA:SOGN) was down 1.32% or 0.30 points to 22.42.The top performers on the SBF 120 were Worldline SA (PA:WLN) which rose 7.20% to 58.050, Dassault Aviation SA (PA:AVMD) which was up 5.01% to settle at 1195.00 and  Tarkett  (PA:TKTT) which gained 4.11% to close at 19.75.The worst performers were ArcelorMittal SA (AS:MT) which was down 2.51% to 13.510 in late trade,  Casino  Guichard Perrachon SA (PA:CASP) which lost 2.31% to settle at 32.10 and CGG SA (PA:GEPH) which was down 2.28% to 1.434 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 370 to 195 and 91 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 0.20% to 15.75.Gold Futures for August delivery was up 0.32% or 4.25 to $1332.95 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 3.87% or 2.07 to hit $51.41 a barrel, while the August Brent oil contract fell 2.63% or 1.63 to trade at $60.34 a barrel.EUR/USD was down 0.14% to 1.1235, while EUR/GBP fell 0.07% to 0.8852.The US Dollar Index Futures was up 0.20% at 97.195."
9,"May 31, 2019 01:06PM ET",France stocks lower at close of trade; CAC 40 down 0.79%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Utilities, Gas & Water and General Financial sectors led shares lower.At the close in Paris, the CAC 40 lost 0.79% to hit a new 3-months low, while the SBF 120 index lost 0.72%.The best performers of the session on the CAC 40 were  Worldline SA  (PA:WLN), which rose 1.41% or 0.750 points to trade at 53.900 at the close. Meanwhile, Veolia Environnement VE SA (PA:VIE) added 0.93% or 0.190 points to end at 20.710 and STMicroelectronics NV (PA:STM) was up 0.81% or 0.110 points to 13.695 in late trade.The worst performers of the session were  Renault  SA (PA:RENA), which fell 4.55% or 2.57 points to trade at 53.92 at the close. TechnipFMC PLC (PA:FTI) declined 2.54% or 0.49 points to end at 18.80 and  Pernod Ricard  SA (PA:PERP) was down 2.47% or 4.00 points to 157.80.The top performers on the SBF 120 were  Casino  Guichard Perrachon SA (PA:CASP) which rose 3.02% to 34.07, Electricite de France SA (PA:EDF) which was up 2.24% to settle at 12.56 and  Groupe FNAC  (PA:FNAC) which gained 1.79% to close at 68.200.The worst performers were  Natixis  (PA:CNAT) which was down 15.94% to 4.109 in late trade,  Faurecia  (PA:EPED) which lost 6.98% to settle at 33.07 and  Eramet  SA (PA:ERMT) which was down 4.71% to 50.62 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 344 to 213 and 84 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 4.62% to 16.95.Gold Futures for June delivery was up 1.31% or 16.80 to $1303.90 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 3.34% or 1.89 to hit $54.70 a barrel, while the August Brent oil contract fell 3.40% or 2.22 to trade at $63.11 a barrel.EUR/USD was up 0.27% to 1.1159, while EUR/GBP rose 0.13% to 0.8838.The US Dollar Index Futures was down 0.30% at 97.762."
