,date,titre,texte,article
0,"Jun 04, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.51%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Healthcare, Utilities and Basic Materials sectors led shares higher.At the close in Paris, the CAC 40 added 0.51%, while the SBF 120 index gained 0.49%.The best performers of the session on the CAC 40 were  Renault  SA (PA:RENA), which rose 4.28% or 2.32 points to trade at 56.57 at the close. Meanwhile, ArcelorMittal SA (AS:MT) added 4.05% or 0.540 points to end at 13.858 and  Valeo  SA (PA:VLOF) was up 3.66% or 0.87 points to 24.63 in late trade.The worst performers of the session were Dassault Systemes SE (PA:DAST), which fell 2.92% or 3.90 points to trade at 129.60 at the close. Orange SA (PA:ORAN) declined 2.40% or 0.34 points to end at 13.81 and  Pernod Ricard  SA (PA:PERP) was down 1.70% or 2.70 points to 156.30.The top performers on the SBF 120 were CGG SA (PA:GEPH) which rose 13.45% to 1.468,  Faurecia  (PA:EPED) which was up 6.64% to settle at 35.32 and Television Francaise 1 SA (PA:TFFP) which gained 5.15% to close at 8.675.The worst performers were  Ubisoft  Entertainment (PA:UBIP) which was down 3.27% to 71.080 in late trade,  Casino  Guichard Perrachon SA (PA:CASP) which lost 2.95% to settle at 32.86 and Dassault Systemes SE (PA:DAST) which was down 2.92% to 129.60 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 347 to 212 and 100 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.64% to 15.78.Gold Futures for August delivery was up 0.01% or 0.15 to $1328.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.53% or 0.28 to hit $53.53 a barrel, while the August Brent oil contract rose 0.96% or 0.59 to trade at $61.87 a barrel.EUR/USD was up 0.04% to 1.1245, while EUR/GBP fell 0.13% to 0.8862.The US Dollar Index Futures was up 0.07% at 97.127."
1,"May 23, 2019 09:37AM ET",U.S. smartphone financing tech startup PayJoy raises $20 million,nan,"By Anna IrreraNEW YORK (Reuters) - PayJoy, a startup that has developed smartphone technology to facilitate access to credit in emerging markets, has raised $20 million from venture capital firm Greylock Partners, the company said on Thursday.Union Square (NYSE:SQ) Ventures, EchoVC and Core Innovation Capital also participated in the round, PayJoy said. The San Francisco-based startup said it will use the funding to expand, secure more partners and develop new technologies.PayJoy enables consumers with no bank accounts or formal credit history to purchase smartphones on installment payments and get cash loans. It does so by turning the smartphone into collateral through software that locks the phone when payments have not been made.It believes that making smartphones more affordable can be a stepping stone toward increasing financial inclusion since more financial services are now being provided digitally.""We're building technology to help people carve a path into the financial system,"" Mark Heynen, the company's co-founder and chief business officer, said in an interview.Globally, 1.7 billion adults do not have a bank account, but two-thirds of them own a mobile phone which could help them access financial services, the World Bank said in a 2018 report.Josh McFarland, a partner at Greylock, said he believes PayJoy's technology and distribution network could help emerging markets unlock some of their economic growth.""Credit is a major piece of the infrastructure needed to help the global middle class better their quality of life,"" McFarland said.PayJoy, which employs around 90 people globally, operates in more than 10 countries including Mexico, India, Indonesia, Nigeria, Kenya and Guatemala. In most markets the startup does not provide financing itself, but partners with retailers and credit providers. Partners include  Telefonica  (MC:TEF), Vodacom and Orange SA (PA:ORAN).It is launching in six more countries through new partnerships with local companies, Heynen said. These include Mutual in Brazil, Waynimovil in Argentina, MyBucks in South Africa, Panacredito in the Dominican Republic, Omnipagos in Honduras and COINFIN in Colombia.PayJoy's technology does not make underwriting reliant on traditional credit scores, but seeks to increase consumers' willingness to pay by taking advantage of their desire to access the phone, which in turn can help keep default rates in check, Heynen said. He declined to disclose default rates.""Customers like it because it makes the phone pay-as-you-go,"" Heynen said. ""In some cases, if they decide they can't pay, they can send in the phone and have their contract canceled."""
2,"May 20, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 1.46%,nan,"Investing.com – France stocks were lower after the close on Monday, as losses in the Basic Materials, Financials and Utilities sectors led shares lower.At the close in Paris, the CAC 40 fell 1.46%, while the SBF 120 index fell 1.50%.The best performers of the session on the CAC 40 were Orange SA (PA:ORAN), which rose 0.98% or 0.14 points to trade at 13.96 at the close. Meanwhile,  Total  SA (PA:TOTF) added 0.11% or 0.06 points to end at 49.23 and Engie SA (PA:ENGIE) was down 0.18% or 0.03 points to 13.55 in late trade.The worst performers of the session were STMicroelectronics NV (PA:STM), which fell 9.08% or 1.415 points to trade at 14.170 at the close.  Air Liquide  SA (PA:AIRP) declined 4.19% or 4.95 points to end at 113.15 and  Kering  SA (PA:PRTP) was down 3.60% or 18.80 points to 503.20.The top performers on the SBF 120 were  Ipsen  SA (PA:IPN) which rose 1.56% to 110.80, Orange SA (PA:ORAN) which was up 0.98% to settle at 13.96 and Dassault Aviation SA (PA:AVMD) which gained 0.56% to close at 1263.00.The worst performers were STMicroelectronics NV (PA:STM) which was down 9.08% to 14.170 in late trade,  Soitec  SA (PA:SOIT) which lost 7.56% to settle at 78.300 and  Imerys  SA (PA:IMTP) which was down 5.67% to 39.58 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 439 to 130 and 75 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 16.71% to 16.38.Gold Futures for June delivery was up 0.01% or 0.15 to $1275.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.30% or 0.19 to hit $63.11 a barrel, while the July Brent oil contract fell 0.12% or 0.09 to trade at $72.12 a barrel.EUR/USD was up 0.12% to 1.1169, while EUR/GBP rose 0.11% to 0.8779.The US Dollar Index Futures was down 0.06% at 97.762."
3,"May 09, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 1.93%,nan,"Investing.com – France stocks were lower after the close on Thursday, as losses in the Utilities, Basic Materials and Financials sectors led shares lower.At the close in Paris, the CAC 40 lost 1.93% to hit a new 1-month low, while the SBF 120 index fell 1.95%.The best performers of the session on the CAC 40 were Sodexo SA (PA:EXHO), which rose 0.05% or 0.05 points to trade at 100.30 at the close. Meanwhile, Orange SA (PA:ORAN) fell 0.47% or 0.07 points to end at 13.88 and  Carrefour  SA (PA:CARR) was down 0.65% or 0.12 points to 17.50 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 6.09% or 1.082 points to trade at 16.688 at the close. STMicroelectronics NV (PA:STM) declined 5.01% or 0.780 points to end at 14.780 and  Credit Agricole  SA (PA:CAGR) was down 4.54% or 0.550 points to 11.565.The top performers on the SBF 120 were Eutelsat Communications SA (PA:ETL) which rose 1.69% to 15.96, Eurofins Scientific SE (PA:EUFI) which was up 0.56% to settle at 395.80 and SES (PA:SESFd) which gained 0.46% to close at 15.21.The worst performers were  Casino  Guichard Perrachon SA (PA:CASP) which was down 6.76% to 33.63 in late trade, ArcelorMittal SA (AS:MT) which lost 6.09% to settle at 16.688 and Eurazeo (PA:EURA) which was down 6.04% to 64.55 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 483 to 92 and 77 ended unchanged.Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; down 6.09% or 1.082 to 16.688. Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; falling 6.09% or 1.082 to 16.688. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 12.36% to 18.81 a new 3-months high.Gold Futures for June delivery was up 0.24% or 3.05 to $1284.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June fell 0.52% or 0.32 to hit $61.80 a barrel, while the July Brent oil contract fell 0.10% or 0.07 to trade at $70.30 a barrel.EUR/USD was up 0.23% to 1.1217, while EUR/GBP rose 0.13% to 0.8612.The US Dollar Index Futures was down 0.16% at 97.232."
4,"May 03, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.18%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Gas & Water, General Financial and Foods & Drugs sectors led shares higher.At the close in Paris, the CAC 40 gained 0.18%, while the SBF 120 index climbed 0.11%.The best performers of the session on the CAC 40 were AXA SA (PA:AXAF), which rose 1.94% or 0.44 points to trade at 23.07 at the close. Meanwhile, LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH) added 1.15% or 4.05 points to end at 355.05 and  Societe Generale  SA (PA:SOGN) was up 1.13% or 0.32 points to 28.70 in late trade.The worst performers of the session were Atos SE (PA:ATOS), which fell 27.05% or 25.20 points to trade at 67.96 at the close. WFD Unibail Rodamco NV (AS:URW) declined 1.89% or 2.90 points to end at 150.90 and Orange SA (PA:ORAN) was down 1.24% or 0.17 points to 13.93.The top performers on the SBF 120 were CGG SA (PA:GEPH) which rose 3.76% to 1.600, AXA SA (PA:AXAF) which was up 1.94% to settle at 23.07 and Spie SA (PA:SPIE) which gained 1.72% to close at 17.780.The worst performers were Atos SE (PA:ATOS) which was down 27.05% to 67.96 in late trade, Air France KLM SA (PA:AIRF) which lost 5.47% to settle at 9.670 and ALD SA (PA:ALDA) which was down 4.27% to 12.56 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 296 to 266 and 86 ended unchanged.Shares in LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH) rose to all time highs; rising 1.15% or 4.05 to 355.05. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 7.24% to 13.10.Gold Futures for June delivery was up 0.81% or 10.35 to $1282.35 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 0.68% or 0.42 to hit $62.23 a barrel, while the July Brent oil contract rose 0.69% or 0.49 to trade at $71.24 a barrel.EUR/USD was up 0.17% to 1.1196, while EUR/GBP fell 0.66% to 0.8516.The US Dollar Index Futures was down 0.31% at 97.285."
5,"Apr 30, 2019 01:00PM ET",France stocks mixed at close of trade; CAC 40 up 0.10%,nan,"Investing.com – France stocks were mixed after the close on Tuesday, as gains in the Healthcare, Financials and Industrials sectors led shares higher while losses in the Oil & Gas, Consumer Services and Basic Materials sectors led shares lower.At the close in Paris, the CAC 40 gained 0.10%, while the SBF 120 index declined 0.01%.The best performers of the session on the CAC 40 were  Total  SA (PA:TOTF), which rose 1.95% or 0.95 points to trade at 49.55 at the close. Meanwhile, Dassault Systemes SE (PA:DAST) added 1.77% or 2.45 points to end at 141.05 and Engie SA (PA:ENGIE) was up 1.38% or 0.18 points to 13.21 in late trade.The worst performers of the session were  Bouygues  SA (PA:BOUY), which fell 4.50% or 1.58 points to trade at 33.54 at the close. Orange SA (PA:ORAN) declined 2.92% or 0.42 points to end at 13.96 and  Valeo  SA (PA:VLOF) was down 2.23% or 0.74 points to 32.37.The top performers on the SBF 120 were  Rexel  (PA:RXL) which rose 5.04% to 11.98, Television Francaise 1 SA (PA:TFFP) which was up 4.96% to settle at 9.740 and Spie SA (PA:SPIE) which gained 4.62% to close at 17.200.The worst performers were SCOR SE (PA:SCOR) which was down 6.05% to 36.36 in late trade,  Thales  (PA:TCFP) which lost 5.21% to settle at 106.45 and DBV Technologies (PA:DBV) which was down 4.60% to 17.410 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 307 to 260 and 97 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 3.39% to 13.51.Gold Futures for June delivery was up 0.30% or 3.85 to $1285.35 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 0.65% or 0.41 to hit $63.91 a barrel, while the July Brent oil contract rose 0.87% or 0.62 to trade at $72.16 a barrel.EUR/USD was up 0.28% to 1.1217, while EUR/GBP fell 0.52% to 0.8599.The US Dollar Index Futures was down 0.36% at 97.227."
6,"Mar 10, 2019 08:40PM ET",Tycoon Tapie goes on trial in long-running French business saga,nan,"By Emmanuel JarryPARIS (Reuters) - The tycoon at the center of a decades-old French legal battle that has dragged politicians and business leaders in its wake goes on trial on Monday accused of fraud. Bernard Tapie, the larger-than-life businessman and one-time chairman of Olympique Marseille football club, is embroiled in a fight over a fraught 1993 corporate deal and the compensation he won from the state 15 years later. The case has already been through the civil courts and prompted a 2016 trial of Christine Lagarde, now head of the International Monetary Fund but at the time finance minister, for her role in the saga. She was convicted of negligence but escaped fines or jail time. Six people will now be tried in a criminal court, including Tapie, 76, and Stephane Richard, the chief executive of telecoms group Orange (PA:ORAN), who is accused of being complicit in the disputed state payment. Richard was Lagarde's chief of staff in 2008.The complex case harks back to when Credit Lyonnais bank bought Tapie's stake in the then-struggling sportswear company Adidas (DE:ADSGN) 26 years ago.The bank, which was government owned at the time, later sold its stake on for a much higher price, leading the businessman to accuse it of defrauding him. Tapie was awarded a 403 million euro ($453 million) state-funded payout as part of a 2008 settlement approved by Lagarde. But litigation continued and he was ordered by a French court to return the funds in 2015, with the ruling confirmed by other judges in 2017.The businessman, who is suffering from cancer, is also being tried for misusing public funds. He told France's JDD newspaper that he was stopping any form of treatment for his illness so he could stay lucid during the trial.""This trial is one of the most important moments of my life,"" Tapie said. ""What matters to me is that we establish, resoundingly, that I was not the crook.""Richard, who is accused of hiding some aspects of the compensation deal from Lagarde, denies any wrongdoing. ""He is looking forward to being able to explain himself in public and demonstrate that the allegations against him are baseless,"" his lawyer Jean-Etienne Giamarchi said. The French government, which has a 23 percent stake in Orange, has said Richard will have to step down if he is convicted. The trial is due to last until April 5. The accused face potential maximum prison sentences of five to seven years, and fines of up to 375,000 euros.  /6938/FP_EN_site/FP_EN_TextNote 
"
7,"Mar 08, 2019 02:35PM ET",France stocks lower at close of trade; CAC 40 down 0.70%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Basic Materials, Financials and Consumer Services sectors led shares lower.At the close in Paris, the CAC 40 fell 0.70%, while the SBF 120 index lost 0.68%.The best performers of the session on the CAC 40 were WFD Unibail Rodamco NV (AS:URW), which rose 1.61% or 2.32 points to trade at 146.64 at the close. Meanwhile, Orange SA (PA:ORAN) added 1.04% or 0.14 points to end at 13.56 and L’Oreal SA (PA:OREP) was up 0.44% or 1.00 points to 229.10 in late trade.The worst performers of the session were EssilorLuxottica SA (PA:ESLX), which fell 6.30% or 6.85 points to trade at 101.80 at the close. ArcelorMittal SA (AS:MT) declined 3.47% or 0.672 points to end at 18.710 and TechnipFMC PLC (PA:FTI) was down 2.93% or 0.56 points to 18.73.The top performers on the SBF 120 were  Neopost  SA (PA:NPOS) which rose 4.12% to 23.76, Covivio SA (PA:FDR) which was up 2.26% to settle at 90.40 and  Mercialys  SA (PA:MERY) which gained 1.72% to close at 13.01.The worst performers were CGG SA (PA:GEPH) which was down 7.59% to 1.485 in late trade,  Vallourec  (PA:VLLP) which lost 6.47% to settle at 2.153 and EssilorLuxottica SA (PA:ESLX) which was down 6.30% to 101.80 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 369 to 183 and 100 ended unchanged.Shares in EssilorLuxottica SA (PA:ESLX) fell to 52-week lows; down 6.30% or 6.85 to 101.80. Shares in L’Oreal SA (PA:OREP) rose to all time highs; gaining 0.44% or 1.00 to 229.10. Shares in EssilorLuxottica SA (PA:ESLX) fell to 52-week lows; losing 6.30% or 6.85 to 101.80. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 8.54% to 14.66.Gold Futures for April delivery was up 1.05% or 13.55 to $1299.65 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in April fell 0.97% or 0.55 to hit $56.11 a barrel, while the May Brent oil contract fell 0.78% or 0.52 to trade at $65.78 a barrel.EUR/USD was up 0.45% to 1.1242, while EUR/GBP rose 1.03% to 0.8641.The US Dollar Index Futures was down 0.37% at 97.262."
8,"Feb 25, 2019 01:35PM ET",France stocks higher at close of trade; CAC 40 up 0.31%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Technology, Basic Materials and Industrials sectors led shares higher.At the close in Paris, the CAC 40 gained 0.31% to hit a new 3-months high, while the SBF 120 index climbed 0.31%.The best performers of the session on the CAC 40 were  Valeo  SA (PA:VLOF), which rose 3.26% or 0.91 points to trade at 28.80 at the close. Meanwhile, STMicroelectronics NV (PA:STM) added 2.90% or 0.430 points to end at 15.250 and  Societe Generale  SA (PA:SOGN) was up 2.82% or 0.71 points to 26.05 in late trade.The worst performers of the session were Sodexo SA (PA:EXHO), which fell 1.11% or 1.08 points to trade at 96.14 at the close. Orange SA (PA:ORAN) declined 0.99% or 0.14 points to end at 13.53 and Dassault Systemes SE (PA:DAST) was down 0.93% or 1.20 points to 128.00.The top performers on the SBF 120 were Technicolor (PA:TCH) which rose 9.00% to 1.078,  Eramet  SA (PA:ERMT) which was up 6.69% to settle at 52.45 and  Nexity  (PA:NEXI) which gained 6.59% to close at 43.00.The worst performers were  Ipsen  SA (PA:IPN) which was down 6.54% to 115.05 in late trade, Sopra Steria Group SA (PA:SOPR) which lost 3.27% to settle at 103.40 and Television Francaise 1 SA (PA:TFFP) which was down 2.22% to 8.130 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 322 to 264 and 81 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 4.24% to 13.56 a new 3-months low.Gold Futures for April delivery was down 0.23% or 3.05 to $1329.75 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in April fell 3.02% or 1.73 to hit $55.53 a barrel, while the May Brent oil contract fell 3.09% or 2.08 to trade at $65.17 a barrel.EUR/USD was up 0.09% to 1.1352, while EUR/GBP rose 0.06% to 0.8676.The US Dollar Index Futures was down 0.00% at 96.363."
9,"Jan 11, 2019 12:36PM ET",France stocks lower at close of trade; CAC 40 down 0.51%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Consumer Services, Basic Materials and Oil & Gas sectors led shares lower.At the close in Paris, the CAC 40 fell 0.51%, while the SBF 120 index lost 0.46%.The best performers of the session on the CAC 40 were Orange SA (PA:ORAN), which rose 1.44% or 0.20 points to trade at 13.77 at the close. Meanwhile,  Hermes International  SCA (PA:HRMS) added 1.33% or 6.50 points to end at 496.40 and  Peugeot  SA (PA:PEUP) was up 1.20% or 0.24 points to 20.31 in late trade.The worst performers of the session were  Valeo  SA (PA:VLOF), which fell 6.35% or 1.72 points to trade at 25.37 at the close. Veolia Environnement VE SA (PA:VIE) declined 2.90% or 0.530 points to end at 17.720 and Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP) was down 2.73% or 2.44 points to 86.78.The top performers on the SBF 120 were  Groupe FNAC  (PA:FNAC) which rose 3.76% to 60.700,  Trigano  (PA:TRIA) which was up 3.41% to settle at 84.80 and  Soitec  SA (PA:SOIT) which gained 3.26% to close at 57.000.The worst performers were Valeo SA (PA:VLOF) which was down 6.35% to 25.37 in late trade, Eurofins Scientific (PA:EUFI) which lost 3.50% to settle at 342.00 and  Plastic Omnium  (PA:PLOF) which was down 3.43% to 21.94 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 286 to 276 and 97 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 7.12% to 16.68 a new 1-month low.Gold Futures for February delivery was up 0.27% or 3.50 to $1290.90 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in February fell 1.75% or 0.92 to hit $51.67 a barrel, while the March Brent oil contract fell 1.72% or 1.06 to trade at $60.62 a barrel.EUR/USD was down 0.15% to 1.1481, while EUR/GBP fell 0.98% to 0.8929.The US Dollar Index Futures was up 0.03% at 95.153."
