,date,titre,texte,article
0,"Jun 18, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 2.20%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Foods & Drugs, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 added 2.20% to hit a new 1-month high, while the SBF 120 index climbed 2.17%.The best performers of the session on the CAC 40 were ArcelorMittal SA (AS:MT), which rose 6.32% or 0.908 points to trade at 15.282 at the close. Meanwhile,  Accor  SA (PA:ACCP) added 4.91% or 1.70 points to end at 36.32 and Engie SA (PA:ENGIE) was up 4.72% or 0.60 points to 13.43 in late trade.The worst performers of the session were  Renault  SA (PA:RENA), which fell 2.60% or 1.46 points to trade at 54.73 at the close. Sodexo SA (PA:EXHO) added 0.05% or 0.05 points to end at 104.95 and  Publicis Groupe  SA (PA:PUBP) was up 0.08% or 0.04 points to 50.22.The top performers on the SBF 120 were CGG SA (PA:GEPH) which rose 8.10% to 1.661, ArcelorMittal SA (AS:MT) which was up 6.32% to settle at 15.282 and Spie SA (PA:SPIE) which gained 5.77% to close at 16.490.The worst performers were Renault SA (PA:RENA) which was down 2.60% to 54.73 in late trade, Sopra Steria Group SA (PA:SOPR) which lost 1.77% to settle at 96.85 and Genfit (PA:GNFT) which was down 0.71% to 18.170 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 386 to 183 and 86 ended unchanged.Shares in Sodexo SA (PA:EXHO) rose to 52-week highs; gaining 0.05% or 0.05 to 104.95. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 1.55% to 13.76 a new 1-month low.Gold Futures for August delivery was up 0.67% or 8.95 to $1351.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in August rose 3.68% or 1.92 to hit $54.09 a barrel, while the August Brent oil contract rose 2.13% or 1.30 to trade at $62.24 a barrel.EUR/USD was down 0.14% to 1.1201, while EUR/GBP fell 0.30% to 0.8922.The US Dollar Index Futures was up 0.06% at 97.113."
1,"Jun 17, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.43%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Foods & Drugs, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 rose 0.43%, while the SBF 120 index gained 0.38%.The best performers of the session on the CAC 40 were Airbus Group SE (PA:AIR), which rose 2.11% or 2.58 points to trade at 125.00 at the close. Meanwhile, TechnipFMC PLC (PA:FTI) added 2.05% or 0.41 points to end at 20.45 and  Safran  SA (PA:SAF) was up 1.63% or 2.00 points to 124.90 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 1.36% or 0.198 points to trade at 14.374 at the close. Engie SA (PA:ENGIE) declined 1.00% or 0.13 points to end at 12.82 and WFD Unibail Rodamco NV (AS:URW) was down 0.92% or 1.25 points to 134.60.The top performers on the SBF 120 were  Maisons du Monde SAS  (PA:MDM) which rose 2.56% to 18.050,  Biomerieux  SA (PA:BIOX) which was up 2.47% to settle at 76.65 and  Thales  (PA:TCFP) which gained 2.42% to close at 108.00.The worst performers were  Rubis  SCA (PA:RUBF) which was down 4.86% to 46.62 in late trade, Air France KLM SA (PA:AIRF) which lost 4.27% to settle at 7.886 and Sopra Steria Group SA (PA:SOPR) which was down 3.33% to 98.60 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 291 to 280 and 91 ended unchanged.Shares in Airbus Group SE (PA:AIR) rose to all time highs; rising 2.11% or 2.58 to 125.00. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 4.14% to 13.97 a new 1-month low.Gold Futures for August delivery was down 0.08% or 1.05 to $1343.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 0.50% or 0.26 to hit $52.25 a barrel, while the August Brent oil contract fell 0.97% or 0.60 to trade at $61.41 a barrel.EUR/USD was up 0.18% to 1.1227, while EUR/GBP rose 0.48% to 0.8941.The US Dollar Index Futures was down 0.09% at 96.975."
2,"Jun 14, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.15%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Utilities, Healthcare and Consumer Goods sectors led shares lower.At the close in Paris, the CAC 40 fell 0.15%, while the SBF 120 index declined 0.23%.The best performers of the session on the CAC 40 were EssilorLuxottica SA (PA:ESLX), which rose 1.67% or 1.75 points to trade at 106.40 at the close. Meanwhile, Engie SA (PA:ENGIE) added 1.13% or 0.14 points to end at 12.96 and  Total  SA (PA:TOTF) was up 0.57% or 0.27 points to 47.25 in late trade.The worst performers of the session were STMicroelectronics NV (PA:STM), which fell 3.22% or 0.470 points to trade at 14.140 at the close. Capgemini SE (PA:CAPP) declined 2.70% or 2.70 points to end at 97.16 and ArcelorMittal SA (AS:MT) was down 2.38% or 0.356 points to 14.572.The top performers on the SBF 120 were  Rubis  SCA (PA:RUBF) which rose 2.34% to 49.00,  Neopost  SA (PA:NPOS) which was up 2.01% to settle at 19.78 and  Elis Services SA  (PA:ELIS) which gained 1.86% to close at 15.33.The worst performers were  Groupe FNAC  (PA:FNAC) which was down 6.13% to 64.300 in late trade,  Iliad  (PA:ILD) which lost 3.97% to settle at 101.50 and Sopra Steria Group SA (PA:SOPR) which was down 3.68% to 102.00 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 330 to 229 and 97 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 2.73% to 14.58.Gold Futures for August delivery was up 0.52% or 7.05 to $1350.75 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.92% or 0.48 to hit $52.76 a barrel, while the August Brent oil contract rose 1.32% or 0.81 to trade at $62.12 a barrel.EUR/USD was down 0.59% to 1.1208, while EUR/GBP rose 0.05% to 0.8899.The US Dollar Index Futures was up 0.56% at 97.542."
3,"Jun 13, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.01%,nan,"Investing.com – France stocks were higher after the close on Thursday, as gains in the Healthcare, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 added 0.01%, while the SBF 120 index added 0.03%.The best performers of the session on the CAC 40 were Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP), which rose 2.70% or 2.90 points to trade at 110.25 at the close. Meanwhile, ArcelorMittal SA (AS:MT) added 2.30% or 0.336 points to end at 14.928 and TechnipFMC PLC (PA:FTI) was up 2.09% or 0.41 points to 20.05 in late trade.The worst performers of the session were  Societe Generale  SA (PA:SOGN), which fell 1.67% or 0.36 points to trade at 21.48 at the close. Engie SA (PA:ENGIE) declined 1.50% or 0.20 points to end at 12.81 and  Valeo  SA (PA:VLOF) was down 1.15% or 0.29 points to 24.89.The top performers on the SBF 120 were Television Francaise 1 SA (PA:TFFP) which rose 4.59% to 9.345,  Soitec  SA (PA:SOIT) which was up 4.41% to settle at 91.200 and Compagnie Generale des Etablissements Michelin SCA (PA:MICP) which gained 2.70% to close at 110.25.The worst performers were  Remy Cointreau  (PA:RCOP) which was down 2.24% to 113.60 in late trade, Compagnie  Plastic Omnium  SA (PA:PLOF) which lost 2.01% to settle at 21.41 and Getlink SE (PA:GETP) which was down 1.99% to 13.780 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 286 to 275 and 98 ended unchanged.Shares in Societe Generale SA (PA:SOGN) fell to 5-year lows; down 1.67% or 0.36 to 21.48. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 2.47% to 14.19.Gold Futures for August delivery was up 0.49% or 6.55 to $1343.35 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 2.13% or 1.09 to hit $52.23 a barrel, while the August Brent oil contract rose 1.92% or 1.15 to trade at $61.12 a barrel.EUR/USD was down 0.09% to 1.1277, while EUR/GBP fell 0.02% to 0.8892.The US Dollar Index Futures was up 0.06% at 97.032."
4,"Jun 10, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.34%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Healthcare, Utilities and Basic Materials sectors led shares higher.At the close in Paris, the CAC 40 added 0.34%, while the SBF 120 index added 0.36%.The best performers of the session on the CAC 40 were ArcelorMittal SA (AS:MT), which rose 4.46% or 0.602 points to trade at 14.086 at the close. Meanwhile, TechnipFMC PLC (PA:FTI) added 3.11% or 0.61 points to end at 20.22 and  Renault  SA (PA:RENA) was up 2.59% or 1.39 points to 55.08 in late trade.The worst performers of the session were Compagnie de Saint Gobain SA (PA:SGOB), which fell 2.86% or 0.96 points to trade at 32.60 at the close. Sanofi SA (PA:SASY) declined 1.30% or 1.02 points to end at 77.30 and Engie SA (PA:ENGIE) was down 0.87% or 0.12 points to 13.10.The top performers on the SBF 120 were ArcelorMittal SA (AS:MT) which rose 4.46% to 14.086,  Vallourec  (PA:VLLP) which was up 4.14% to settle at 2.312 and  Faurecia  (PA:EPED) which gained 3.44% to close at 36.07.The worst performers were Eurofins Scientific SE (PA:EUFI) which was down 3.26% to 356.60 in late trade, Compagnie de Saint Gobain SA (PA:SGOB) which lost 2.86% to settle at 32.60 and BIC (PA:BICP) which was down 2.00% to 68.65 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 374 to 195 and 95 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 0.36% to 14.61.Gold Futures for August delivery was down 1.10% or 14.85 to $1331.25 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 0.20% or 0.11 to hit $53.88 a barrel, while the August Brent oil contract fell 0.79% or 0.50 to trade at $62.79 a barrel.EUR/USD was down 0.11% to 1.1319, while EUR/GBP fell 0.03% to 0.8914.The US Dollar Index Futures was up 0.22% at 96.705."
5,"Jun 05, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.45%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Basic Materials, Financials and Oil & Gas sectors led shares higher.At the close in Paris, the CAC 40 rose 0.45%, while the SBF 120 index added 0.55%.The best performers of the session on the CAC 40 were  Worldline SA  (PA:WLN), which rose 7.20% or 3.900 points to trade at 58.050 at the close. Meanwhile, Engie SA (PA:ENGIE) added 2.29% or 0.29 points to end at 12.95 and EssilorLuxottica SA (PA:ESLX) was up 2.27% or 2.35 points to 105.90 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 2.51% or 0.348 points to trade at 13.510 at the close. TechnipFMC PLC (PA:FTI) declined 1.77% or 0.34 points to end at 18.82 and  Societe Generale  SA (PA:SOGN) was down 1.32% or 0.30 points to 22.42.The top performers on the SBF 120 were Worldline SA (PA:WLN) which rose 7.20% to 58.050, Dassault Aviation SA (PA:AVMD) which was up 5.01% to settle at 1195.00 and  Tarkett  (PA:TKTT) which gained 4.11% to close at 19.75.The worst performers were ArcelorMittal SA (AS:MT) which was down 2.51% to 13.510 in late trade,  Casino  Guichard Perrachon SA (PA:CASP) which lost 2.31% to settle at 32.10 and CGG SA (PA:GEPH) which was down 2.28% to 1.434 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 370 to 195 and 91 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 0.20% to 15.75.Gold Futures for August delivery was up 0.32% or 4.25 to $1332.95 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 3.87% or 2.07 to hit $51.41 a barrel, while the August Brent oil contract fell 2.63% or 1.63 to trade at $60.34 a barrel.EUR/USD was down 0.14% to 1.1235, while EUR/GBP fell 0.07% to 0.8852.The US Dollar Index Futures was up 0.20% at 97.195."
6,"May 22, 2019 05:03AM ET","StockBeat: Engie, EDP Play Catch-Up in Energy's Big Growth Sector",nan,"By Geoffrey SmithInvesting.com -- Europe’s electricity giants have had a hard time moving beyond fossil and nuclear fuels into renewables, but the continent’s climate policy agenda leaves them no choice.That explains, in part, the announcement by France’s Engie (PA:ENGIE) and Portugal’s EDP (LS:EDP), two of Europe’s old-style legacy incumbents, to team up in the fast-growing sector of offshore wind.The two said on Monday they intend to have up to 7 gigawatts of installed capacity – the equivalent of eight or nine old-style gas or coal-fired generation plants - operating by 2025, with another 5 to 10 gigawatts at an advanced stage of development. They have cooperated at a project level already since 2013, and already have 5.5 GW in construction or under development, but that is still a hefty expansion plan.The logic of the deal seems clear enough, although it may be a slow burner in terms of value creation. EDP’s stock rose 1% on Tuesday and is up another 0.2% today. Engie’s would have been up a similar amount had it not gone ex-dividend.Europe’s bourses are in mixed spirits Wednesday, with the benchmark Euro Stoxx 600 down 0.1%, while Germany’s Dax is flat and the U.K. FTSE 100 up 0.4% largely due to sterling weakness.Their aim is to become the second-largest wind farm developers in the world behind Denmark’s Oersted (CO:ORSTED), and leap-frogging Spain’s  Iberdrola  (MC:IBE). Orsted has been one of the biggest stock market successes in Europe of recent years, up more than 125% since its IPO in June 2016, skilfully exploiting a sector where government subsidies and market dynamics are in constant flux.Iberdrola has needed longer to take off but its stock has risen 35% since October. Conspicuously, both of those stocks have been immune to the general increase in market volatility in the last eight months.Both EDP and Engie could do with a little bit of Orsted/Iberdrola magic.EDP is looking to move beyond the collapse of a takeover attempt by China Three Gorges, a state-controlled generator. Its stock lost some 15% from the start of April as that episode unravelled.Engie investors, meanwhile, have yet to buy into CEO Isabelle Kocher’s plans to streamline the sprawling business, although she made a promising start in February by promising to get out of 20 of its 70 markets. It has a headache with its investment in the new Nord Stream 2 gas pipeline, which has landed it in the U.S. administration’s crosshairs. The U.S. confirmed on Monday that it is preparing new sanctions against the Russian-controlled pipeline, in which Engie has a 10% stake."
7,"May 21, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.50%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Oil & Gas, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 rose 0.50%, while the SBF 120 index added 0.53%.The best performers of the session on the CAC 40 were STMicroelectronics NV (PA:STM), which rose 4.16% or 0.590 points to trade at 14.760 at the close. Meanwhile, ArcelorMittal SA (AS:MT) added 3.65% or 0.526 points to end at 14.952 and TechnipFMC PLC (PA:FTI) was up 3.53% or 0.72 points to 21.14 in late trade.The worst performers of the session were Engie SA (PA:ENGIE), which fell 5.31% or 0.72 points to trade at 12.84 at the close. Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP) declined 1.99% or 2.15 points to end at 105.85 and  Safran  SA (PA:SAF) was down 1.32% or 1.65 points to 123.15.The top performers on the SBF 120 were DBV Technologies (PA:DBV) which rose 4.27% to 16.850, STMicroelectronics NV (PA:STM) which was up 4.16% to settle at 14.760 and ArcelorMittal SA (AS:MT) which gained 3.65% to close at 14.952.The worst performers were Engie SA (PA:ENGIE) which was down 5.31% to 12.84 in late trade, JC Decaux SA (PA:JCDX) which lost 3.96% to settle at 25.74 and  Wendel  (PA:MWDP) which was down 2.12% to 115.40 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 339 to 211 and 82 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 7.55% to 15.14.Gold Futures for June delivery was down 0.34% or 4.35 to $1272.95 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 0.19% or 0.12 to hit $63.09 a barrel, while the July Brent oil contract fell 0.13% or 0.09 to trade at $71.88 a barrel.EUR/USD was down 0.08% to 1.1161, while EUR/GBP fell 0.08% to 0.8767.The US Dollar Index Futures was up 0.13% at 97.893."
8,"May 20, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 1.46%,nan,"Investing.com – France stocks were lower after the close on Monday, as losses in the Basic Materials, Financials and Utilities sectors led shares lower.At the close in Paris, the CAC 40 fell 1.46%, while the SBF 120 index fell 1.50%.The best performers of the session on the CAC 40 were Orange SA (PA:ORAN), which rose 0.98% or 0.14 points to trade at 13.96 at the close. Meanwhile,  Total  SA (PA:TOTF) added 0.11% or 0.06 points to end at 49.23 and Engie SA (PA:ENGIE) was down 0.18% or 0.03 points to 13.55 in late trade.The worst performers of the session were STMicroelectronics NV (PA:STM), which fell 9.08% or 1.415 points to trade at 14.170 at the close.  Air Liquide  SA (PA:AIRP) declined 4.19% or 4.95 points to end at 113.15 and  Kering  SA (PA:PRTP) was down 3.60% or 18.80 points to 503.20.The top performers on the SBF 120 were  Ipsen  SA (PA:IPN) which rose 1.56% to 110.80, Orange SA (PA:ORAN) which was up 0.98% to settle at 13.96 and Dassault Aviation SA (PA:AVMD) which gained 0.56% to close at 1263.00.The worst performers were STMicroelectronics NV (PA:STM) which was down 9.08% to 14.170 in late trade,  Soitec  SA (PA:SOIT) which lost 7.56% to settle at 78.300 and  Imerys  SA (PA:IMTP) which was down 5.67% to 39.58 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 439 to 130 and 75 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 16.71% to 16.38.Gold Futures for June delivery was up 0.01% or 0.15 to $1275.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.30% or 0.19 to hit $63.11 a barrel, while the July Brent oil contract fell 0.12% or 0.09 to trade at $72.12 a barrel.EUR/USD was up 0.12% to 1.1169, while EUR/GBP rose 0.11% to 0.8779.The US Dollar Index Futures was down 0.06% at 97.762."
9,"May 17, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.18%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Gas & Water, General Financial and Foods & Drugs sectors led shares lower.At the close in Paris, the CAC 40 fell 0.18%, while the SBF 120 index lost 0.23%.The best performers of the session on the CAC 40 were Dassault Systemes SE (PA:DAST), which rose 1.91% or 2.65 points to trade at 141.30 at the close. Meanwhile, Sodexo SA (PA:EXHO) added 1.24% or 1.25 points to end at 101.95 and  Total  SA (PA:TOTF) was up 1.16% or 0.56 points to 49.17 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 3.84% or 0.584 points to trade at 14.622 at the close.  Worldline SA  (PA:WLN) declined 1.90% or 1.000 points to end at 51.500 and Engie SA (PA:ENGIE) was down 1.74% or 0.24 points to 13.58.The top performers on the SBF 120 were  Vallourec  (PA:VLLP) which rose 8.44% to 2.440, Korian Medica SA (PA:KORI) which was up 3.44% to settle at 36.080 and Dassault Systemes SE (PA:DAST) which gained 1.91% to close at 141.30.The worst performers were  Nexans  SA (PA:NEXS) which was down 3.99% to 28.38 in late trade, ArcelorMittal SA (AS:MT) which lost 3.84% to settle at 14.622 and  Iliad  (PA:ILD) which was down 3.12% to 104.10 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 318 to 242 and 76 ended unchanged.Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; losing 3.84% or 0.584 to 14.622. Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; losing 3.84% or 0.584 to 14.622. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 0.78% to 14.03.Gold Futures for June delivery was down 0.83% or 10.65 to $1275.55 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June fell 0.06% or 0.04 to hit $62.83 a barrel, while the July Brent oil contract fell 0.77% or 0.56 to trade at $72.06 a barrel.EUR/USD was down 0.07% to 1.1164, while EUR/GBP rose 0.46% to 0.8769.The US Dollar Index Futures was up 0.11% at 97.782."
