,date,titre,texte,article
0,"Jun 13, 2019 11:11AM ET",U.S. retailers' halting outlook reveals scale of tariff fear,nan,"By Aishwarya Venugopal and Nivedita Balu(Reuters) - The first half of 2019 was expected to be a boon for U.S. retailers, buoyed by solid consumer sentiment at home and expansion in China - the market many of them have targeted for the future.Instead, new tariffs President Donald Trump slapped on some Chinese imports last month and fears that more could come in the escalating trade conflict between Washington and Beijing, had many investors bailing from the sector.The tensions have hovered as a potential risk for markets for more than two years. But what really unsettled investors in the latest round of earnings calls was retailers admitting that tariffs were starting to bite and how little they had to say on how they could soften the blow. Best Buy  Co Inc (NYSE:BBY) and Walmart (NYSE:WMT) warned higher duties would put pressure on prices for U.S. consumers, while Macy's Inc and J.C. Penney Company Inc said their businesses would suffer if tariffs were extended to include apparel and footwear.Kohl's Corp said trade tensions were one of the reasons for a cut in its profit outlook and called the situation ""fluid."" ""We have been watching this tariff story play out,"" said Tony Scherrer, director of research and a portfolio manager at Smead Capital Management. ""There doesn't seem to be in the immediate term (any sign) of things getting any better."" Many high-end brands have relied on China to boost sales and counter a slowdown in saturated developed markets and it is now by far the world's biggest market for luxury goods, fueled in particular by young shoppers.Ralph Lauren Corp (NYSE:RL) has invested heavily, partnering with Alibaba's TMall, JD.com and WeChat to sell its products and targeting $500 million in revenue in China in five years. Asian sales have risen 18% in the past two years to over $1 billion. Capri Holdings' Michael Kors last year had Chinese actress Yang Mi visit their flagship store at Rockefeller Center in New York City for a fan meet-up event and PVH's Calvin Klein, Tommy Hilfiger and Tapestry Inc's Coach have all hosted Chinese fashion shows and opened flagship stores in China.However, with China's economy growing last year at the slowest pace in nearly three decades and April data pointing to surprisingly weak retail sales, growth of the luxury market globally has slowed by around two percentage points to 6%-8% annually, according to Boston Consulting Group.CONSUMER SHIFT BACK TO MAINLAND CHINA Investors are on edge after any signs of a further downturn.Louis Vuitton owner LVMH's shares dropped more than 7% in October after it said sales growth in China fell from the high-teens to the mid-teens, dragging shares in Gucci parent  Kering  (PA:PRTP) SA,  Hermes International  (PA:HRMS) SCA and  Burberry  Group (LON:BRBY) PLC.Stocks have since recovered and some top brands have flagged a pick-up in mainland China, with Vuitton saying last week that demand for its handbags was still at ""unheard of"" levels. Spending by Chinese shoppers, however, is increasingly shifting from overseas shopping capitals like Paris or New York back home, encouraged by cuts in import tariffs and other measures by China's government to boost domestic spending. That trend has in turn dented sales at labels like jeweler Tiffany & Co (NYSE:TIF) that are exposed to falls in spending by Chinese tourists to the United States. WHO CAN WITHSTAND THE TARIFF BLOW?Until early May, S&P 500 retail companies were outperforming the broad market, up 23% compared with 17.5% for the main index. Since Trump's May 5 tweet announcing tariffs would rise to 25% on $200 billion of Chinese imports, they trail by about 2% and the SPDR S&P Retail (NYSE:XRT) ETF saw outflows of $162.4 million in May, Lipper flow estimates from Refinitiv show. Among the most exposed are firms who have poured much of the investment capital worked up in the good times into a near-future that they assumed would be largely Chinese. Shares of winter jacket maker Canada Goose fell 26% in one day after it reported the first slowing in sales growth in two years, undermining its plan to open three stores in China in the coming years on top of the six it has already.By contrast, analysts say  Target  Corp (NYSE:TGT) and Walmart are among a few with the scale to force suppliers to absorb part of any tariff-driven rise in costs. Both have been working to trim China's role as their chief supplier by sourcing products elsewhere. ""Companies that are doing well and indicate they can mitigate tariffs are being rewarded while those that are missing are being doubly punished,"" said John Zolidis, president of New York-based investment advisor Quo Vadis Capital.   /6938/FP_EN_site/FP_EN_TextNote 
"
1,"Apr 11, 2019 04:02AM ET",StockBeat - Luxury Goods Shine After Another Big Quarter for LVMH,nan,"By Geoffrey SmithInvesting.com -- It’s been a tough 12 months for most sectors in Europe’s stock market. Exporters of capital goods have been hit by the U.S.-China trade war, banks and financial services hobbled by negative interest rates, consumer stocks struggling to escape the shackles of low wage growth and demographic decline.But one sector has been a relatively constant bright light, and it’s leading the way again this Thursday. Luxury goods makers are roaring ahead after another strong quarter for LVMH (PA:LVMH), the French drinks-to-fashion group.LVMH announced after the bell on Wednesday that its revenue grew 16% on the year in the first quarter and said the positive trends that had helped it to a record year in 2018 were still in place. Most remarkably, in a world economy that is supposedly suffering a synchronized slowdown, the group said that “all geographic regions are experiencing good growth.”The news has sent the stock up 3.1% on a day when most indexes are down, due in part to frustration at the prospect of another six months of uncertainty over Brexit.  As of 04:00 AM ET (0800 GMT), the benchmark STOXX 600 was at 385.12, down 1.56 points or 0.4%. The FTSE 100 was down 0.5%, while the German DAX was down 0.4%. The Paris CAC 40 was outperforming, down less than 0.1%, thanks mainly to its luxury names.As has often been the case, LVMH’s performance is supporting the rest of the sector. Gucci owner  Kering  (PA:PRTP) and scarf-maker Hermes (PA:HRMS) were close behind it at the top of the CAC 40, while Italian rivals Salvatore Ferragamo  (MI:SFER) and Moncler (MI:MONC) were also both among the best performers in Milan.The results have distracted attention away from one less pleasant piece of news that may come back to haunt the sector in due course. French police raided the premises of some of the country’s drinks makers on Wednesday on suspicion of anti-competitive practices.  Pernod Ricard  (PA:PERP), a drinks maker that doesn’t have the same exposure to fashion as the other stocks in the sector, is the notable laggard this morning, rising only 0.3%."
2,"Mar 29, 2019 02:35PM ET",France stocks higher at close of trade; CAC 40 up 1.02%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Healthcare, Consumer Goods and Technology sectors led shares higher.At the close in Paris, the CAC 40 rose 1.02%, while the SBF 120 index climbed 1.03%.The best performers of the session on the CAC 40 were STMicroelectronics NV (PA:STM), which rose 3.42% or 0.435 points to trade at 13.165 at the close. Meanwhile,  Safran  SA (PA:SAF) added 3.03% or 3.60 points to end at 122.25 and  Carrefour  SA (PA:CARR) was up 2.30% or 0.38 points to 16.65 in late trade.The worst performers of the session were  Hermes International  SCA (PA:HRMS), which fell 0.27% or 1.60 points to trade at 588.20 at the close.  Pernod Ricard  SA (PA:PERP) unchanged 0.00% or 0.00 points to end at 160.00 and Sanofi SA (PA:SASY) was up 0.04% or 0.03 points to 78.74.The top performers on the SBF 120 were Rothschild & Co SCA (PA:ROTH) which rose 4.81% to 28.350,  Imerys  SA (PA:IMTP) which was up 4.07% to settle at 44.44 and STMicroelectronics NV (PA:STM) which gained 3.42% to close at 13.165.The worst performers were  Tarkett  (PA:TKTT) which was down 2.94% to 19.14 in late trade,  Neopost  SA (PA:NPOS) which lost 2.82% to settle at 21.34 and Air France KLM SA (PA:AIRF) which was down 0.94% to 10.025 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 369 to 182 and 104 ended unchanged.Shares in Safran SA (PA:SAF) rose to all time highs; gaining 3.03% or 3.60 to 122.25. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 7.70% to 14.98.Gold Futures for June delivery was up 0.21% or 2.75 to $1298.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May rose 1.52% or 0.90 to hit $60.20 a barrel, while the June Brent oil contract rose 0.88% or 0.59 to trade at $67.69 a barrel.EUR/USD was unchanged 0.00% to 1.1220, while EUR/GBP rose 0.32% to 0.8630.The US Dollar Index Futures was up 0.07% at 96.833."
3,"Mar 20, 2019 02:35PM ET",France stocks lower at close of trade; CAC 40 down 0.80%,nan,"Investing.com – France stocks were lower after the close on Wednesday, as losses in the Oil & Gas, Utilities and Gas & Water sectors led shares lower.At the close in Paris, the CAC 40 declined 0.80%, while the SBF 120 index fell 0.88%.The best performers of the session on the CAC 40 were  Hermes International  SCA (PA:HRMS), which rose 1.08% or 6.40 points to trade at 596.60 at the close. Meanwhile,  Air Liquide  SA (PA:AIRP) added 0.72% or 0.80 points to end at 112.65 and  Pernod Ricard  SA (PA:PERP) was up 0.54% or 0.85 points to 157.90 in late trade.The worst performers of the session were  Peugeot  SA (PA:PEUP), which fell 3.23% or 0.74 points to trade at 22.15 at the close.  Valeo  SA (PA:VLOF) declined 3.21% or 0.90 points to end at 27.10 and ArcelorMittal SA (AS:MT) was down 2.83% or 0.564 points to 19.350.The top performers on the SBF 120 were CGG SA (PA:GEPH) which rose 2.92% to 1.798,  Ubisoft  Entertainment (PA:UBIP) which was up 2.83% to settle at 78.400 and ALD SA (PA:ALDA) which gained 2.69% to close at 12.97.The worst performers were  Elior  Group (PA:ELIOR) which was down 6.46% to 12.60 in late trade,  Faurecia  (PA:EPED) which lost 6.37% to settle at 39.25 and Compagnie  Plastic Omnium  SA (PA:PLOF) which was down 4.08% to 24.47 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 342 to 212 and 116 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 9.69% to 14.29.Gold Futures for April delivery was up 0.77% or 10.00 to $1316.50 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May rose 1.40% or 0.83 to hit $60.12 a barrel, while the May Brent oil contract rose 1.20% or 0.81 to trade at $68.42 a barrel.EUR/USD was up 0.81% to 1.1441, while EUR/GBP rose 0.96% to 0.8635.The US Dollar Index Futures was down 0.63% at 95.232."
4,"Mar 20, 2019 04:59AM ET",StockBeat - Bayer's Remorse Deepens After Second Roundup Verdict,nan,"By Geoffrey SmithInvesting.com -- German chemicals group  Bayer AG  (DE:BAYGN) has more cause to regret its $63 billion acquisition of  Monsanto  (NYSE:MON) this morning, after a U.S. jury found that its weedkiller Roundup was responsible for causing the cancer of plaintiff Edwin Hardeman. It’s the second verdict against the company and worse is to come, as the current trial in California will now move on to assessing corporate liability.Bayer is still arguing that the verdict is scientifically unfounded, but its arguments are falling on deaf ears as the market has wiped another 11% off the stock’s value this morning. That move alone is around $7 billion, which is more than the $6 billion in direct costs that analysts see as likely from the Roundup cases, so there’s an open question as to whether analysts have been too cautious or the market is overreacting.Back in 2015, when management was streamlining the sprawling conglomerate, its shares were worth over twice as much. But the Monsanto acquisition, intended to make it the global leader in agrichemicals, has not only brought a whole bunch of legacy legal liabilities, it has also created a lack of focus that has hit operations at the rest of the group. Those problems will remain even if the direct costs of Roundup can be reasonably contained.Aside from Bayer, markets are flat to lower, content to await the result of today's Federal Reserve meeting and tomorrow's EU summit before making any more major moves. Germany's Dax is down 0.8%, while the FTSE 100 is unchanged and the benchmark Stoxx 600 is down 0.3% at 383.24.U.K.-based satellite group  Inmarsat  (LON:ISA) is up 16.5% after receiving a bid from private equity interests, and Hermes (PA:HRMS), the French luxury group famous for its scarves and bags, is up 1.1% after posting another set of results that showed its business in China is still thriving, despite all the talk of an economic slowdown there.On the downside, the big mining companies in the FTSE 100 are all lagging, due partly to fresh news of problems in U.S.-China trade talks and to a sharp drop in iron ore prices overnight. Brazilian giant Vale (NYSE:VALE), which has been in regulators’ crosshairs since a fatal dam collapse earlier in the year, announced on Tuesday it had received court permission reopen one of its largest mines, which would ease a global supply bottleneck. It had said earlier in the week that it would have to close another large mine temporarily due to regulatory issues."
5,"Feb 15, 2019 12:35PM ET",France stocks higher at close of trade; CAC 40 up 1.79%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Industrials, Utilities and Technology sectors led shares higher.At the close in Paris, the CAC 40 rose 1.79% to hit a new 3-months high, while the SBF 120 index added 1.64%.The best performers of the session on the CAC 40 were  Vivendi  SA (PA:VIV), which rose 5.63% or 1.28 points to trade at 24.01 at the close. Meanwhile,  Valeo  SA (PA:VLOF) added 4.75% or 1.19 points to end at 26.26 and  BNP Paribas  SA (PA:BNPP) was up 4.19% or 1.70 points to 42.11 in late trade.The worst performers of the session were  Publicis Groupe  SA (PA:PUBP), which fell 0.29% or 0.14 points to trade at 47.67 at the close. EssilorLuxottica SA (PA:ESLX) declined 0.28% or 0.30 points to end at 105.80 and  Hermes International  SCA (PA:HRMS) was down 0.11% or 0.60 points to 540.80.The top performers on the SBF 120 were Bollore SA (PA:BOLL) which rose 6.68% to 3.704,  Ipsen  SA (PA:IPN) which was up 6.02% to settle at 125.10 and  Plastic Omnium  (PA:PLOF) which gained 5.73% to close at 24.56.The worst performers were Eutelsat Communications SA (PA:ETL) which was down 5.96% to 17.68 in late trade, Electricite de France SA (PA:EDF) which lost 5.76% to settle at 13.99 and  Groupe FNAC  (PA:FNAC) which was down 4.57% to 64.700 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 352 to 211 and 105 ended unchanged.Shares in Vivendi SA (PA:VIV) rose to 52-week highs; up 5.63% or 1.28 to 24.01. Shares in EssilorLuxottica SA (PA:ESLX) fell to 52-week lows; down 0.28% or 0.30 to 105.80. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 7.89% to 14.31.Gold Futures for April delivery was up 0.50% or 6.55 to $1320.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in March rose 2.11% or 1.15 to hit $55.56 a barrel, while the April Brent oil contract rose 2.31% or 1.49 to trade at $66.06 a barrel.EUR/USD was down 0.23% to 1.1274, while EUR/GBP fell 0.64% to 0.8758.The US Dollar Index Futures was up 0.08% at 96.882."
6,"Feb 08, 2019 12:35PM ET",France stocks lower at close of trade; CAC 40 down 0.48%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Basic Materials, Consumer Services and Technology sectors led shares lower.At the close in Paris, the CAC 40 declined 0.48%, while the SBF 120 index fell 0.65%.The best performers of the session on the CAC 40 were  Hermes International  SCA (PA:HRMS), which rose 1.46% or 7.60 points to trade at 528.00 at the close. Meanwhile, L’Oreal SA (PA:OREP) added 1.25% or 2.70 points to end at 218.80 and  Publicis Groupe  SA (PA:PUBP) was up 0.94% or 0.44 points to 47.28 in late trade.The worst performers of the session were  Valeo  SA (PA:VLOF), which fell 5.28% or 1.32 points to trade at 23.68 at the close. ArcelorMittal SA (AS:MT) declined 4.92% or 0.997 points to end at 19.248 and  Credit Agricole  SA (PA:CAGR) was down 3.15% or 0.311 points to 9.551.The top performers on the SBF 120 were  Groupe FNAC  (PA:FNAC) which rose 7.02% to 70.100,  Neopost  (PA:NPOS) which was up 1.47% to settle at 22.14 and Hermes International SCA (PA:HRMS) which gained 1.46% to close at 528.00.The worst performers were  Tarkett  (PA:TKTT) which was down 6.97% to 17.35 in late trade, Altran Technologies (PA:ALTT) which lost 6.36% to settle at 7.655 and Valeo SA (PA:VLOF) which was down 5.28% to 23.68 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 414 to 161 and 85 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 1.42% to 17.03.Gold Futures for April delivery was up 0.34% or 4.45 to $1318.65 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in March rose 0.06% or 0.03 to hit $52.67 a barrel, while the April Brent oil contract rose 0.47% or 0.29 to trade at $61.92 a barrel.EUR/USD was down 0.07% to 1.1332, while EUR/GBP rose 0.09% to 0.8763.The US Dollar Index Futures was up 0.10% at 96.382."
7,"Feb 08, 2019 04:44AM ET",MarketPulse Europe: Autos Under Pressure As Trade Fears Increase,nan,"Investing.com -- European stocks are set to end the week roughly where they started, despite a report suggesting that the U.S.-China trade war is about to get worse.At 04:45 AM ET (0945 GMT), the benchmark Euro Stoxx 50 was little changed at 3,155.55, reversing early losses after stronger-than-expected trade data from Germany and industrial production figures from France tempered the prevailing pessimism.But trade tensions are keeping the pressure on the auto sector, after a Wall Street Journal report said it’s “highly unlikely” that the U.S. and Chinese presidents will meet to clear up their differences on trade before a new raft of U.S. tariffs on Chinese goods comes into force in March.Mercedes-Benz parent  Daimler  (DE:DAIGn) is again toward the bottom of the Stoxx 50, and has lost 7.7% this week, while BMW (DE:BMWG) and Volkswagen (DE:VOWG_p) have lost 4.8% each and  Fiat  Chrysler (MI:FCHA) has lost over 11%.Bad news continues to come out of suppliers too: German cable and wiring maker Leoni (DE:LEOGn) fell 25% after swinging to a loss in the fourth quarter and suspending its dividend.China isn't the only risk to automakers.  Tata Motors  (NYSE:TTM), the Indian parent of Jaguar Land Rover, fell by 30% after a historic multibillion-dollar write-off of investments in the U.K. – a combination of the collapse of diesel sales, weaker Chinese demand and uncertainties over Brexit.Luxury goods continue to stand out from an otherwise uninspiring earnings season: Hermes (PA:HRMS) rose 0.6% after saying sales rose over 10% in the fourth quarter amid no signs of a slowdown in China, while L’Oreal (PA:OREP) said its strong fourth-quarter was also due to higher-end products, notably skin creams.Elsewhere, German payments company Wirecard (DE:WDIG) is recovering from another report alleging irregularities in its accounting in Asia. The company has denied the allegations, but the stock is now down over 30% since they first surfaced."
8,"Jan 30, 2019 05:12AM ET",MarketPulse Europe:  China More Important Than Brexit as Stocks Head Higher,nan,"Investing.com -- Stocks in Europe were mostly higher after early trading on Wednesday, as two positive items of China-related news outweighed a fresh bout of nerves over Brexit.The morning’s mood was set by two quarterly reports – from Apple (NASDAQ:AAPL) and from French luxury goods group LVMH (PA:LVMH)- that came after the European close on Tuesday and reassured traders that demand from China is still holding up nicely.LVMH said revenue hit a record high in 2018, finishing the year with a 9% year-on-year rise in the fourth quarter. Chief Financial Officer Jean-Jacques Guiony told the Wall Street Journal that spending by Chinese customers either in China or on trips abroad grew by double digits for most of its major brands in the quarter, and that there had been no visible slowdown at the end of the year. LVMH shares were up 6.9% by 04.55 AM ET (09.55 GMT), and the results also pulled rivals Hermes (PA:HRMS) and  Kering  (PA:PRTP) up to the top of the French CAC 40 index. The U.K.'s  Burberry  (LON:BRBY) also rose in sympathy.U.K. stocks posted mixed reactions to the votes in parliament last night that reaffirmed a ‘no-deal’ Brexit as the default option for March 29 and rejected the chance to call for an extension of a deadline that’s now less than two months away.The British pound lost nearly 1% against the dollar and euro on the votes but had recovered much of those losses by mid-morning. At 04:55 AM ET, the GBPUSD was at $1.3117, up over half a cent from its overnight lows. As usual, the FTSE 100’s big tobacco and resource companies, which book most of their revenues in dollars, led the index, while domestic-focused companies lagged."
9,"Jan 17, 2019 12:35PM ET",France stocks lower at close of trade; CAC 40 down 0.34%,nan,"Investing.com – France stocks were lower after the close on Thursday, as losses in the Utilities, Consumer Goods and General Financial sectors led shares lower.At the close in Paris, the CAC 40 lost 0.34%, while the SBF 120 index declined 0.29%.The best performers of the session on the CAC 40 were Sodexo (PA:EXHO), which rose 1.75% or 1.64 points to trade at 95.18 at the close. Meanwhile,  Hermes International  SCA (PA:HRMS) added 1.39% or 6.80 points to end at 495.70 and Compagnie de Saint Gobain SA (PA:SGOB) was up 1.02% or 0.29 points to 29.30 in late trade.The worst performers of the session were  Societe Generale  SA (PA:SOGN), which fell 5.66% or 1.71 points to trade at 28.50 at the close.  BNP Paribas  SA (PA:BNPP) declined 3.85% or 1.66 points to end at 41.42 and  Credit Agricole  SA (PA:CAGR) was down 1.86% or 0.192 points to 10.154.The top performers on the SBF 120 were  Eramet  (PA:ERMT) which rose 6.06% to 68.25, Getlink SE (PA:GETP) which was up 3.21% to settle at 12.365 and Korian Medica SA (PA:KORI) which gained 2.72% to close at 33.960.The worst performers were DBV Technologies (PA:DBV) which was down 7.91% to 12.580 in late trade, Societe Generale SA (PA:SOGN) which lost 5.66% to settle at 28.50 and CGG SA (PA:GEPH) which was down 4.37% to 1.445 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 319 to 261 and 88 ended unchanged.Shares in Getlink SE (PA:GETP) rose to 3-years highs; up 3.21% or 0.385 to 12.365. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 2.69% to 15.65 a new 3-months low.Gold Futures for February delivery was down 0.23% or 2.95 to $1290.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in February fell 0.86% or 0.45 to hit $51.86 a barrel, while the March Brent oil contract fell 0.49% or 0.30 to trade at $61.02 a barrel.EUR/USD was down 0.11% to 1.1384, while EUR/GBP fell 0.59% to 0.8793.The US Dollar Index Futures was up 0.12% at 95.790."
