,date,titre,texte,article
0,"Jun 19, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.16%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Foods & Drugs, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 added 0.16% to hit a new 1-month high, while the SBF 120 index climbed 0.17%.The best performers of the session on the CAC 40 were  Valeo  SA (PA:VLOF), which rose 3.37% or 0.85 points to trade at 26.09 at the close. Meanwhile,  Credit Agricole  SA (PA:CAGR) added 2.28% or 0.240 points to end at 10.750 and  Societe Generale  SA (PA:SOGN) was up 2.23% or 0.48 points to 22.05 in late trade.The worst performers of the session were Airbus Group SE (PA:AIR), which fell 1.96% or 2.46 points to trade at 123.00 at the close.  Kering  SA (PA:PRTP) declined 1.17% or 6.00 points to end at 508.20 and  Vivendi  SA (PA:VIV) was down 0.89% or 0.22 points to 24.55.The top performers on the SBF 120 were  Tarkett  (PA:TKTT) which rose 4.75% to 21.60, Compagnie  Plastic Omnium  SA (PA:PLOF) which was up 3.92% to settle at 22.29 and  Faurecia  (PA:EPED) which gained 3.64% to close at 38.40.The worst performers were Air France KLM SA (PA:AIRF) which was down 3.57% to 7.896 in late trade,  Casino  Guichard Perrachon SA (PA:CASP) which lost 2.69% to settle at 32.90 and CGG SA (PA:GEPH) which was down 2.17% to 1.625 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 293 to 275 and 87 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 0.78% to 13.65 a new 1-month low.Gold Futures for August delivery was down 0.05% or 0.65 to $1350.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in August fell 0.43% or 0.23 to hit $53.88 a barrel, while the August Brent oil contract fell 0.21% or 0.13 to trade at $62.01 a barrel.EUR/USD was up 0.22% to 1.1216, while EUR/GBP fell 0.38% to 0.8878.The US Dollar Index Futures was down 0.24% at 96.915."
1,"Jun 13, 2019 11:11AM ET",U.S. retailers' halting outlook reveals scale of tariff fear,nan,"By Aishwarya Venugopal and Nivedita Balu(Reuters) - The first half of 2019 was expected to be a boon for U.S. retailers, buoyed by solid consumer sentiment at home and expansion in China - the market many of them have targeted for the future.Instead, new tariffs President Donald Trump slapped on some Chinese imports last month and fears that more could come in the escalating trade conflict between Washington and Beijing, had many investors bailing from the sector.The tensions have hovered as a potential risk for markets for more than two years. But what really unsettled investors in the latest round of earnings calls was retailers admitting that tariffs were starting to bite and how little they had to say on how they could soften the blow. Best Buy  Co Inc (NYSE:BBY) and Walmart (NYSE:WMT) warned higher duties would put pressure on prices for U.S. consumers, while Macy's Inc and J.C. Penney Company Inc said their businesses would suffer if tariffs were extended to include apparel and footwear.Kohl's Corp said trade tensions were one of the reasons for a cut in its profit outlook and called the situation ""fluid."" ""We have been watching this tariff story play out,"" said Tony Scherrer, director of research and a portfolio manager at Smead Capital Management. ""There doesn't seem to be in the immediate term (any sign) of things getting any better."" Many high-end brands have relied on China to boost sales and counter a slowdown in saturated developed markets and it is now by far the world's biggest market for luxury goods, fueled in particular by young shoppers.Ralph Lauren Corp (NYSE:RL) has invested heavily, partnering with Alibaba's TMall, JD.com and WeChat to sell its products and targeting $500 million in revenue in China in five years. Asian sales have risen 18% in the past two years to over $1 billion. Capri Holdings' Michael Kors last year had Chinese actress Yang Mi visit their flagship store at Rockefeller Center in New York City for a fan meet-up event and PVH's Calvin Klein, Tommy Hilfiger and Tapestry Inc's Coach have all hosted Chinese fashion shows and opened flagship stores in China.However, with China's economy growing last year at the slowest pace in nearly three decades and April data pointing to surprisingly weak retail sales, growth of the luxury market globally has slowed by around two percentage points to 6%-8% annually, according to Boston Consulting Group.CONSUMER SHIFT BACK TO MAINLAND CHINA Investors are on edge after any signs of a further downturn.Louis Vuitton owner LVMH's shares dropped more than 7% in October after it said sales growth in China fell from the high-teens to the mid-teens, dragging shares in Gucci parent  Kering  (PA:PRTP) SA,  Hermes International  (PA:HRMS) SCA and  Burberry  Group (LON:BRBY) PLC.Stocks have since recovered and some top brands have flagged a pick-up in mainland China, with Vuitton saying last week that demand for its handbags was still at ""unheard of"" levels. Spending by Chinese shoppers, however, is increasingly shifting from overseas shopping capitals like Paris or New York back home, encouraged by cuts in import tariffs and other measures by China's government to boost domestic spending. That trend has in turn dented sales at labels like jeweler Tiffany & Co (NYSE:TIF) that are exposed to falls in spending by Chinese tourists to the United States. WHO CAN WITHSTAND THE TARIFF BLOW?Until early May, S&P 500 retail companies were outperforming the broad market, up 23% compared with 17.5% for the main index. Since Trump's May 5 tweet announcing tariffs would rise to 25% on $200 billion of Chinese imports, they trail by about 2% and the SPDR S&P Retail (NYSE:XRT) ETF saw outflows of $162.4 million in May, Lipper flow estimates from Refinitiv show. Among the most exposed are firms who have poured much of the investment capital worked up in the good times into a near-future that they assumed would be largely Chinese. Shares of winter jacket maker Canada Goose fell 26% in one day after it reported the first slowing in sales growth in two years, undermining its plan to open three stores in China in the coming years on top of the six it has already.By contrast, analysts say  Target  Corp (NYSE:TGT) and Walmart are among a few with the scale to force suppliers to absorb part of any tariff-driven rise in costs. Both have been working to trim China's role as their chief supplier by sourcing products elsewhere. ""Companies that are doing well and indicate they can mitigate tariffs are being rewarded while those that are missing are being doubly punished,"" said John Zolidis, president of New York-based investment advisor Quo Vadis Capital.   /6938/FP_EN_site/FP_EN_TextNote 
"
2,"Jun 07, 2019 01:44PM ET",Hey big spender - how luxury brands are raising the stakes on Instagram,nan,"By Sarah White and Pascale DenisPARIS (Reuters) - Big-spending luxury brands like Gucci, Louis Vuitton and Christian Dior are splashing out on everything from dance-fuelled fashion shows to teams of advisers as they target social media platforms in the hunt for young shoppers.Without the entry barriers of magazine advertising - where a one page glossy ad can cost tens of thousands of dollars - sites like Instagram, a fashionista favorite, have allowed unknown labels to find an audience with canny or eye-catching campaigns.But big bucks are changing the game as cash rich luxury goods groups like LVMH and  Kering  (PA:PRTP) hike their social media budgets, giving them vast means to drown out rivals on platforms once seen as a leveler for brands big and small.As the use of bloggers and influencers becomes mainstream, fees per sponsored post commanded by those with four million followers have reached well over 20,000 euros ($22,546), according to marketing experts.Less active than some smaller brands on networking platforms even five years ago, luxury's leading players are now leapfrogging the competition.Kering - owner of fast-growing Gucci, which scored the highest level of publicity impact on social media last year according to data trackers Tribe Dynamics - on Friday said that half its 2018 media budget was spent on digital advertising, up from 20 percent only three years earlier.""There's a big shift in how we're thinking about advertising and creating aspiration,"" Kering's digital chief Gregory Boutte told journalists on the sidelines of an investor day. ""Now with every type of social platform, you need different types of videos, of pictures. You don't create content on YouTube as you do on TV.""Kering does not reveal its total advertising expenditure. Its cross-town rival LVMH increased its total marketing spending at the fastest rate in seven years in 2018 to 5.6 billion euros ($6.3 billion), reaching 12% of group revenues - more than most brands that disclose this budget and topped only by another big online trendsetter, privately-owned Chanel. Louis Vuitton, LVMH's major sales driver, also now allocates half its marketing costs to digital media, the brand's CEO Michael Burke said at a closed-door briefing this week, according to Citi analysts.LVMH declined to comment. Vuitton, as well as LVMH's Christian Dior, Marc Jacobs and Givenchy labels were among Tribe Dynamics' top 10 brands last year, with Kering's Saint Laurent and Balenciaga also making the cut. The firm quantifies how much social media buzz is worth, including non-paid for content. EMBRACING THE NEWRewind three years, and Italy's Valentino, seven times smaller then than Vuitton, outflanked peers in the Instagram stakes, coming first in a listing by Engagement Labs which measured the most effective brands on social media. Valentino's formula was simple, mixing content generated by fans with its own professional photos, while answering online comments - a standard approach for labels now, but which helped fuel a sales spike at the Mayhoola-owned firm at the time. Valentino's Instagram followers have doubled to 12.4 million since, though revenue growth has slowed; Vuitton's followers have almost tripled to 32.1 million, and revenues are still expanding at a robust pace. Marketing investments are just one factor separating luxury brands riding high on demand from markets like China and those struggling to make a mark, with product designs and funkier store strategies playing a role too.And funds only go so far, with social media savvy also making a difference. Gucci co-designed a collection in 2016 with ""Guccighost"", a street artist who painted quirky versions of its logos around New York and posted them online, helping its social media credentials, Tribe Dynamics' co-founder Conor Begley said.""Gucci embraced those connections. Usually a brand would have sent attorneys after him,"" Begley said. ""That sends a message to other content creators who think 'Oh My God, maybe I'll get to work with Gucci' if I post about them"".BIG GROUPS, BIG MEANSAs digital investments rise, mid-sized luxury labels are now in an increasingly awkward spot as they try and stay visible. ""The ones that are suffering are those in the middle, of an average size, which are stuck between the small innovative pure digital players and the big groups with big means,"" said Michael Jais, CEO of Launchmetrics, which compiles digital data on the fashion industry. Italian shoemaker Tod's is among a clutch of brands in turnaround mode investing more in social media in a bid to revive sales - a strategy welcomed by analysts but which will likely keep weighing on its profit margins, some said.Analysts at HSBC, which have a ""reduce"" rating on Tod's, said in a note this week that it was losing ground and ""facing intense competitive pressure"" as LVMH and Kering pushed funds into online marketing. Just over 10% of social media influencers earned $100,000 or more a year in 2018, according to a Launchmetrics report, compared to 3.7% in 2017, though hiring the most popular bloggers is only one of the costs involved. ""The big groups understood they had to invest more in experiences - what happens around a catwalk show, exhibits, store openings,"" said Uche Pezard, CEO of Luxe Corp, which advises brands on strategy. ""That's what's expensive, not the technology. That's what's changed in the past five to eight years.""  /6938/FP_EN_site/FP_EN_TextNote 
"
3,"Jun 07, 2019 10:29AM ET",Exclusive: Italy to play low 2019 deficit card to avoid EU procedure,nan,"By Gavin Jones, Giuseppe Fonte and Angelo AmanteROME (Reuters) - Italian coalition officials say the country's public accounts are throwing up positive surprises this year, strengthening Rome's hand as it tries to ward off a possible European Union disciplinary procedure.Recent data suggest the deficit this year will not only be below the European Commission's forecast of 2.5% of gross domestic product (GDP), but could even be below the 2.04% agreed with Brussels in December, two senior coalition members said.However, it remains to be seen how far the anti-austerity government will actually slash its current 2.4% target, because some in the 5-Star Movement, one of the two ruling coalition parties, want the savings that are emerging to be quickly spent on new expansionary measures.The other ruling party, the League, is pushing for deep tax cuts, but only from 2020.It is also not certain that an unexpectedly low 2019 deficit would be enough to convince Brussels that Italy's finances are on a sustainable path. But the latest data at least give Rome fresh arguments - something that looked impossible a few months ago.The Commission on Wednesday paved the way to disciplinary steps against Italy, complaining that its debt had risen in 2018 instead of falling and would continue to do so. It said Rome had also not reined in its annual budget deficit as promised in 2018 and would continue to run excessive deficits this year and next.A disciplinary procedure, which could eventually end in fines, had already been averted at the last moment in December when Italy cut its original 2.4% deficit target for this year to 2.04%, with the agreement of the Commission.In April, Italy restored the original 2.4% target because of a slump in growth, while the Commission forecast 2.5%. Prime Minister Giuseppe Conte surprised observers when he said on Wednesday, in response to the Commission, that a deficit of 2.1% was possible.But now, senior officials in the government of the right-wing League and the anti-establishment 5-Star say it could be even lower. Claudio Borghi, the League's economics chief, told Reuters 1.8% was possible if current trends continue. The main reason for the surprise trend is that two flagship government measures -- an early retirement option and a new means-tested welfare benefit -- are proving less popular, and therefore less costly, than expected.Taken together, it now looks as if the combined cost of the two policies will be 4 billion euros ($3.4 billion) less than was set aside in the 2019 budget, Borghi said.This estimate was confirmed by a government member closely involved in economic policy, who asked not to be named.TAX AMNESTIESBorghi said tax amnesties allowing people to settle disputes with the authorities by paying a limited sum had yielded more than expected, as had measures against tax evasion.Among these, the requirement from January this year that a copy of virtually all transactions must be transmitted electronically to the taxman produced squeals of protest from companies but has bolstered sales tax revenues.State coffers have also been swelled by out-of-court settlements with several large multinationals accused of tax evasion, the largest of them a 1.3 billion euro deal with  Kering  (PA:PRTP), the holding company of fashion house Gucci.A senior Treasury official declined to confirm Borghi's 1.8% 2019 deficit projection but said it now looked ""possible"" that the deficit would be 2% or lower.Public finance data so far this year has been encouraging. The central government deficit for the first four months was just 1.5 billion euros above last year's equivalent figure - below the trend projected in Rome's 2019 Stability Programme, which forecast that the full-year deficit would rise by 16 billion euros.Tax revenues through April were up 1.0% year-on-year despite a stagnant economy, compared with an official full-year target of 0.6% growth.In addition, dividend payments by the central bank and state-owned enterprises will also exceed the projections in the Stability Programme by more than 0.1% of GDP, the Treasury said in documents sent to Brussels this month.  /6938/FP_EN_site/FP_EN_TextNote 
"
4,"Jun 07, 2019 04:45AM ET",Gucci parent Kering moves to tighten grip on e-commerce,nan,"By Sarah White and Pascale DenisPARIS (Reuters) -  Kering  (PA:PRTP), owner of brands including Gucci, will tighten its grip on its e-commerce operations, focusing on its own branded sites to sell its luxury products or ventures where it can control its image and client data.After shifting into online shopping later than more accessible fashion labels, many luxury groups are now investing heavily in e-commerce while working on ways of retaining as much control of distribution and pricing as possible - two elements that help them maintain their aura of exclusivity. Kering had already said it would wrest back control of web operations for brands such as Balenciaga and Alexander McQueen which had been developed by Yoox Net-A-Porter (MI:YNAP) - an online retailer now fully owned by the group's rival Richemont.That joint venture with YNAP will take now end in the second quarter of next year, Kering's digital officer Gregory Boutte explained on the sidelines of a group investor day on Friday.Seeking to boost sales and margins, the company is also looking to turn more of its collaborations with third-party, multi-brand retailers such as Farfetch or Matchesfashion.com into what it calls online concessions, where it controls everything from the product assortment to their presentation. ""Each time we move from wholesale to a concession we see our top line increase in a material way,"" Boutte said.Kering was ""not against wholesale,"" and did not plan to end its relationships with third parties altogether, Boutte added.GROWING TEAMKering, whose rivals also investing in e-commerce including Louis Vuitton owner LVMH, did not disclose how much it was spending on expanding these operations. Its digital team has grown from four people in 2017 to over 80 people now. Boutte said Kering might be open to joining a blockchain technology platform which LVMH is developing to help track supplies chains and authenticate products in an industry that often has to grapple with counterfeit goods.Kering's total online sales - when including the business done through third party platforms, calculated at retail and not at lower wholesale prices - came to 9.4 percent of the group's 2018 revenue, it disclosed on Friday. Web sales through its own brand websites and online concessions made up 4.7 percent of revenue, it added. Across the luxury goods industry as a whole, e-commerce accounts for around 10 percent of business today and should reach 25 percent of sales by 2025, consultancy Bain estimates.   /6938/FP_EN_site/FP_EN_TextNote 
"
5,"Jun 05, 2019 07:40AM ET",Trade Tremors Deepen Biggest Stock Dislocation in Generation,nan,"(Bloomberg) -- Growth is so precious in stock markets these days that a millennial stock picker can hardly remember the last time investors were so enamored of it.In Europe as in the U.S., stocks promising high earnings and sales growth have hit a new record high relative to value stocks -- newly dubbed a “widowmaker” trade for their persistent losses -- in MSCI Inc. indexes going back to 1995.There are good reasons for investors to bid up so-called growth stocks. As fears build over an interminable U.S.-China trade war, a gauge of Europe’s inflation expectations has plummeted to an all-time low along with benchmark German bond yields, benefiting long-duration assets such as stocks holding the promise of earnings outperformance and killing cheaply valued sectors such as banks.For investors, it’s a tug of war between a desire to find the companies more insulated from an uncertain economic outlook on one hand -- and stretched positioning threatening a reversal on the other.“The market may be extrapolating some of those growth stories too far into the future,” said Ben Stapley, who oversees a growth fund at JPMorgan (NYSE:JPM) Asset Management in London. “The key is to avoid companies with high expectations of growth that then subsequently disappoint.”Growing speculation that worsening trade tensions will nudge the Federal Reserve toward rate cuts is only further deepening the value-growth divide.To add another lens on that gap: global stocks with high forecast sales expansion are now the priciest versus those with slower gains since the early 2000s, data compiled by JPMorgan Asset Management show.That spread mirrors the yield curve, which is inverting everywhere from the U.S. to Germany and Britain. Just as economic fears are driving fixed-income investors to snap up long-end bonds for safety, stock pickers are favoring shares that promise increased earnings far into the future, rather than those that swing along with the macro cycle.The extreme dislocations have befuddled strategists and investors alike, who are schooled in mean reversion. For some, the implication is that they need to be more selective with both growth and value.Stapley’s fund focuses on companies with growth that beats expectations, rather than just those expected to deliver sky-high expansion rates. So LVMH and  Kering  (PA:PRTP), rather than the online retailers, for instance, he said. Even within utilities and energy, sectors not traditionally associated with growth, he’s found attractive picks, such as Finland’s Neste Oyj and Verbund AG in Austria, which both tap into structural trends in renewable energy.Another dislocation has been underscored in recent days by  Morgan Stanley  (NYSE:MS): Europe’s luxury shares, favored for their faster earnings growth in recent years, are outperforming other quality stocks, despite the weakness elsewhere among Chinese proxies, suggesting a potential reversal, strategists led by Matthew Garman wrote in a note. It’s an odd divergence because luxury depends heavily on its Chinese fans.“European equity markets have been extremely bipolar,” the analysts said.Others haven’t given up on value so quickly. No pain, no gain, as they say.“With valuation spreads wider than at any point except for the few months after Lehman’s collapse, the upside potential is clearly there,”  Societe Generale  (PA:SOGN) SA strategists led by Andrew Lapthorne wrote in a note.(Updates with Fed update in paragraph under first chart.)"
6,"Jun 03, 2019 02:10AM ET",Can a derivative turn Europe's green energy dream into virtual reality?,nan,"By Stephen Jewkes and Isla BinnieMILAN/MADRID (Reuters) - Italy's Ferrero is famous for its red-and-white Kinder chocolate eggs. But soon it may hope to be able to slap more green on the wrapper. The confectionery giant, which runs its own gas-fired power plant near its factory in northern Italy, is in early talks to help finance a new clean energy plant, possibly a solar farm in the sunnier south, according to three sources familiar with the matter. Like other companies in Europe, Ferrero is under growing pressure from investors and authorities to shift toward greener energy. But without enough wind or sunshine on its doorstep to provide a renewable alternative, it's looking to a new financial derivative known as a virtual power-purchase agreement.These complex contracts are effectively insurance policies for renewable project developers against the risk of falling power prices, with the premiums paid by companies like Ferrero to support sustainable energy even though they remain plugged into fossil fuels. Virtual PPAs are slowly beginning to gain traction in Europe, and other companies considering the option include French luxury group  Kering  (PA:PRTP) and  Telecom Italia  (MI:TLIT), two separate industry sources told Reuters. Telecom Italia, Italy's No. 2 energy user, is discussing a possible PPA of up to 30 years, while Kering plans a deal involving funding a renewable plant in Italy, said the sources. Ferrero confirmed its interest in PPAs but said it was premature to make any decision, while Kering said it was looking at the idea. Telecom Italia also said it was interested and had been approached by energy companies. Many firms now fund schemes such as planting forests to offset emissions, but shareholders and authorities want companies to underwrite the direct addition of new renewable generation to grids.""Investors are increasingly calling on companies to go greener and offer 'additionality' to show they're serious about funding new clean projects,"" said Aldo Bonati, manager at Italian fund Etica Sgr which counts renewable group Erg and offshore wind developer Orsted among its investments.     Since PPAs do not require companies to reduce their overall greenhouse gas emissions, their direct contribution to tackling climate change may be limited. Nevertheless, advocates believe the instruments can help catalyze a broader shift to clean energy sources by financing projects. The European Union has urged states to boost green PPAs to help it meet a third of the bloc's energy demand from clean sources by 2030. Renewable energy accounted for 17.4 percent last year, little changed from 2016.  ""The big development in renewables in Europe in coming years to meet 2030 targets will mainly be through PPAs,"" says Antonio Cammisecra, head of green business at Europe's biggest utility, Italy's  Enel  (MI:ENEI). Graphic on renewable energy and CO2 emissions in EU: http://tmsnrt.rs/2XIzjC6 VIRTUAL CONSUMPTIONCompanies in EMEA (Europe, Middle East and Africa) struck PPA deals for clean energy projects with a total capacity of 2.3 gigawatts (GW) last year, according to data from Bloomberg New Energy Finance. The level more than doubled from 1.1 GW in 2017. Big utilities like E.ON, RWE and Engie have all struck PPA deals to help finance renewable projects in Europe. To put the figures in perspective, 2 GW can power around one million households, but is still a fraction of the more than 500 GW of renewable energy capacity that was installed in Europe by the end of 2017. Europe still lags the United States, a more mature market where tech giants like Facebook (NASDAQ:FB), Microsoft (NASDAQ:MSFT) and Amazon (NASDAQ:AMZN) have used the instruments to bolster their green credentials. U.S. companies signed 8.5 GW of PPAs last year, almost triple the level of 2017 and more than 60 percent of global activity. The contracts are offered by middlemen, known as offtakers, often big energy trading companies like Switzerland's DXT and utilities like Enel. Under a typical PPA, an offtaker enters an agreement with a renewable developer, effectively guaranteeing it a fixed price for the electricity it produces. The offtaker will pay a refund if the price dips below the set rate. The offtaker in turn enters into a mirror agreement with a corporate customer. The company agrees to fix its own power costs at a set price for up to 10 years or more, but if those bills exceed the fixed price agreed in the PPA, the offtaker will refund the difference. The two agreements transfer the developer's main risk - that power prices will fall - to the offtaker, which in turn hedges its position by persuading a company to fix its power costs. In this way, the corporate customer ""virtually"" consumes the power from the renewable project. Without such an agreement, a new renewable project, exposed to the ups and down of the wholesale power market and unable to count on generous subsidy schemes that once held sway across Europe, could struggle to raise bank finance. RISKS VS REWARDSThere are, of course, inherent risks. For corporate customers, locking in large supplies of power for years can guard against rising prices, but can prove unfavorable if markets move lower. The converse is true for developers, who can lose out on income should prices rise. Other potential turnoffs include the sheer complexity of contracts and the legal complications in the event one link in the chain becomes insolvent and unable to maintain commitments.In the United States, energy group PG&E Corp is looking to rescind costly PPAs as part of a Chapter 11 reorganization.The fact PPAs have made a much slower start in Europe means there are fewer precedents than in the United States, which makes companies even more wary of committing to deals. As a result, only a few long-term PPAs - usually measured as more than 10 years - have been sold on the continent, many to companies with experience of the U.S. market. They include German carmaker Mercedes-Benz and  Nike  (NYSE:NKE). But some European companies are ready to take on risk. ""In Europe there is no liquid long-term forward market for power beyond 2-3 years so without price signals there is the risk of booking a loss,"" said Antonio Gozzi, head of steel group Duferco, which last month signed Italy's first corporate PPA deal for wind power.""But you have to offset that with the marketing advantages."" SUNNY SPAINSpain is emerging as a hot spot for PPAs, although deals are often structured differently with the middleman trading the renewable energy produced to various customers. Greenpeace has signed a deal to power its Madrid offices from a wind turbine in Barcelona. Under that agreement, accounted for as an advance payment, the provider gives a guarantee every hour for the origin of the electricity, meaning when the turbine stops for maintenance, Greenpeace knows it is paying for power from another renewable source.Spanish renewable energy producer Acciona is talking to some Spanish companies about virtual PPAs but discussions are primarily with U.S.-based multinationals, said Eduardo Sola, Acciona's director of global origination. ""Spain's potential is it has big solar and wind resources which allow us to be competitive in a virtual contract with the rest of Europe,"" he added. Enel, which counts Starbucks (NASDAQ:SBUX) and Facebook among its PPA clients in the United States, recently signed a wind PPA with Spanish bank BBVA (MC:BBVA) and is talking to other EU corporates who are already clients. ""It's not an easy walk,"" said Enel CEO Francesco Starace. ""But in a few years PPAs will become common practice in Europe.""  /6938/FP_EN_site/FP_EN_TextNote 
"
7,"May 30, 2019 01:03PM ET",France stocks mixed at close of trade; CAC 40 up 0.51%,nan,"Investing.com – France stocks were mixed after the close on Thursday, as gains in the Utilities, Gas & Water and General Financial sectors led shares higher while losses in the Financials, Consumer Services and Basic Materials sectors led shares lower.At the close in Paris, the CAC 40 rose 0.51%, while the SBF 120 index fell 1.66%.The best performers of the session on the CAC 40 were  Kering  SA (PA:PRTP), which rose 2.92% or 13.45 points to trade at 474.55 at the close. Meanwhile,  Vivendi  SA (PA:VIV) added 1.90% or 0.45 points to end at 24.10 and  Worldline SA  (PA:WLN) was up 1.33% or 0.700 points to 53.150 in late trade.The worst performers of the session were  Valeo  SA (PA:VLOF), which fell 5.36% or 1.37 points to trade at 24.19 at the close.  Peugeot  SA (PA:PEUP) declined 1.13% or 0.23 points to end at 20.10 and WFD Unibail Rodamco NV (AS:URW) was down 1.03% or 1.40 points to 134.95.The top performers on the SBF 120 were  Casino  Guichard Perrachon SA (PA:CASP) which rose 6.23% to 33.07,  Eramet  SA (PA:ERMT) which was up 5.23% to settle at 53.12 and  Remy Cointreau  (PA:RCOP) which gained 3.86% to close at 123.70.The worst performers were Valeo SA (PA:VLOF) which was down 5.36% to 24.19 in late trade,  Trigano  SA (PA:TRIA) which lost 3.24% to settle at 68.60 and CGG SA (PA:GEPH) which was down 1.76% to 1.369 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 314 to 213 and 97 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 4.68% to 16.20.Gold Futures for June delivery was up 0.42% or 5.40 to $1286.40 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 1.84% or 1.08 to hit $57.73 a barrel, while the August Brent oil contract fell 2.48% or 1.68 to trade at $66.19 a barrel.EUR/USD was up 0.08% to 1.1138, while EUR/GBP rose 0.20% to 0.8830.The US Dollar Index Futures was up 0.01% at 98.047."
8,"May 24, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.67%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Gas & Water, General Financial and Foods & Drugs sectors led shares higher.At the close in Paris, the CAC 40 added 0.67%, while the SBF 120 index gained 0.66%.The best performers of the session on the CAC 40 were  Worldline SA  (PA:WLN), which rose 2.79% or 1.400 points to trade at 51.500 at the close. Meanwhile, Schneider Electric SE (PA:SCHN) added 2.78% or 2.00 points to end at 73.90 and  Safran  SA (PA:SAF) was up 2.14% or 2.55 points to 121.90 in late trade.The worst performers of the session were  Credit Agricole  SA (PA:CAGR), which fell 4.59% or 0.490 points to trade at 10.185 at the close.  Kering  SA (PA:PRTP) declined 1.73% or 8.50 points to end at 482.70 and  Carrefour  SA (PA:CARR) was down 1.07% or 0.18 points to 16.68.The top performers on the SBF 120 were  Casino  Guichard Perrachon SA (PA:CASP) which rose 7.48% to 30.03,  Eramet  SA (PA:ERMT) which was up 3.97% to settle at 51.88 and Genfit (PA:GNFT) which gained 3.43% to close at 21.720.The worst performers were Credit Agricole SA (PA:CAGR) which was down 4.59% to 10.185 in late trade,  Amundi SA  (PA:AMUN) which lost 3.85% to settle at 57.45 and  Rexel  (PA:RXL) which was down 3.84% to 10.01 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 353 to 205 and 79 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 6.76% to 16.20.Gold Futures for June delivery was down 0.11% or 1.45 to $1283.95 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.62% or 0.36 to hit $58.27 a barrel, while the July Brent oil contract rose 0.72% or 0.49 to trade at $68.25 a barrel.EUR/USD was up 0.22% to 1.1205, while EUR/GBP fell 0.22% to 0.8813.The US Dollar Index Futures was down 0.26% at 97.472."
9,"May 20, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 1.46%,nan,"Investing.com – France stocks were lower after the close on Monday, as losses in the Basic Materials, Financials and Utilities sectors led shares lower.At the close in Paris, the CAC 40 fell 1.46%, while the SBF 120 index fell 1.50%.The best performers of the session on the CAC 40 were Orange SA (PA:ORAN), which rose 0.98% or 0.14 points to trade at 13.96 at the close. Meanwhile,  Total  SA (PA:TOTF) added 0.11% or 0.06 points to end at 49.23 and Engie SA (PA:ENGIE) was down 0.18% or 0.03 points to 13.55 in late trade.The worst performers of the session were STMicroelectronics NV (PA:STM), which fell 9.08% or 1.415 points to trade at 14.170 at the close.  Air Liquide  SA (PA:AIRP) declined 4.19% or 4.95 points to end at 113.15 and  Kering  SA (PA:PRTP) was down 3.60% or 18.80 points to 503.20.The top performers on the SBF 120 were  Ipsen  SA (PA:IPN) which rose 1.56% to 110.80, Orange SA (PA:ORAN) which was up 0.98% to settle at 13.96 and Dassault Aviation SA (PA:AVMD) which gained 0.56% to close at 1263.00.The worst performers were STMicroelectronics NV (PA:STM) which was down 9.08% to 14.170 in late trade,  Soitec  SA (PA:SOIT) which lost 7.56% to settle at 78.300 and  Imerys  SA (PA:IMTP) which was down 5.67% to 39.58 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 439 to 130 and 75 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 16.71% to 16.38.Gold Futures for June delivery was up 0.01% or 0.15 to $1275.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.30% or 0.19 to hit $63.11 a barrel, while the July Brent oil contract fell 0.12% or 0.09 to trade at $72.12 a barrel.EUR/USD was up 0.12% to 1.1169, while EUR/GBP rose 0.11% to 0.8779.The US Dollar Index Futures was down 0.06% at 97.762."
