,date,titre,texte,article
0,"Apr 11, 2019 04:35PM ET",France stocks higher at close of trade; CAC 40 up 0.66%,nan,"Investing.com – France stocks were higher after the close on Thursday, as gains in the Utilities, Consumer Services and Consumer Goods sectors led shares higher.At the close in Paris, the CAC 40 gained 0.66% to hit a new 6-months high, while the SBF 120 index climbed 0.69%.The best performers of the session on the CAC 40 were Atos SE (PA:ATOS), which rose 6.51% or 5.48 points to trade at 89.60 at the close. Meanwhile, LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH) added 4.61% or 15.20 points to end at 344.95 and  Valeo  SA (PA:VLOF) was up 3.35% or 0.95 points to 29.29 in late trade.The worst performers of the session were Engie SA (PA:ENGIE), which fell 1.69% or 0.23 points to trade at 13.38 at the close. Sanofi SA (PA:SASY) declined 1.05% or 0.82 points to end at 77.14 and L’Oreal SA (PA:OREP) was down 0.95% or 2.30 points to 240.20.The top performers on the SBF 120 were Atos SE (PA:ATOS) which rose 6.51% to 89.60,  Worldline SA  (PA:WLN) which was up 5.60% to settle at 55.600 and  Faurecia  (PA:EPED) which gained 5.08% to close at 44.44.The worst performers were CGG SA (PA:GEPH) which was down 2.56% to 1.753 in late trade, BIC (PA:BICP) which lost 2.03% to settle at 77.25 and  Ipsos  (PA:ISOS) which was down 1.74% to 22.60 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 343 to 216 and 108 ended unchanged.Shares in LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH) rose to all time highs; up 4.61% or 15.20 to 344.95. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 12.90% to 12.65 a new 6-months low.Gold Futures for June delivery was down 1.40% or 18.35 to $1295.55 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May fell 1.36% or 0.88 to hit $63.73 a barrel, while the June Brent oil contract fell 1.06% or 0.76 to trade at $70.97 a barrel.EUR/USD was down 0.16% to 1.1255, while EUR/GBP rose 0.11% to 0.8619.The US Dollar Index Futures was up 0.26% at 96.808."
1,"Mar 11, 2019 02:35PM ET",France stocks higher at close of trade; CAC 40 up 0.66%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Gas & Water, General Financial and Foods & Drugs sectors led shares higher.At the close in Paris, the CAC 40 gained 0.66%, while the SBF 120 index gained 0.66%.The best performers of the session on the CAC 40 were  Societe Generale  SA (PA:SOGN), which rose 4.17% or 1.05 points to trade at 26.36 at the close. Meanwhile,  Credit Agricole  SA (PA:CAGR) added 2.70% or 0.286 points to end at 10.886 and  Renault  SA (PA:RENA) was up 2.69% or 1.54 points to 58.73 in late trade.The worst performers of the session were  Safran  SA (PA:SAF), which fell 1.67% or 2.00 points to trade at 117.55 at the close. L’Oreal SA (PA:OREP) declined 0.79% or 1.80 points to end at 227.30 and WFD Unibail Rodamco NV (AS:URW) was down 0.44% or 0.64 points to 146.00.The top performers on the SBF 120 were Genfit (PA:GNFT) which rose 5.00% to 23.100,  Elis Services SA  (PA:ELIS) which was up 4.69% to settle at 14.30 and CGG SA (PA:GEPH) which gained 4.58% to close at 1.553.The worst performers were Eurofins Scientific SE (PA:EUFI) which was down 3.58% to 360.60 in late trade,  Neopost  SA (PA:NPOS) which lost 3.54% to settle at 22.92 and CNP Assurances SA (PA:CNPP) which was down 2.60% to 19.500 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 346 to 224 and 106 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 10.26% to 13.16.Gold Futures for April delivery was down 0.50% or 6.55 to $1292.75 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in April rose 1.28% or 0.72 to hit $56.79 a barrel, while the May Brent oil contract rose 1.28% or 0.84 to trade at $66.58 a barrel.EUR/USD was up 0.04% to 1.1242, while EUR/GBP fell 1.05% to 0.8540.The US Dollar Index Futures was down 0.12% at 97.148."
2,"Mar 08, 2019 02:35PM ET",France stocks lower at close of trade; CAC 40 down 0.70%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Basic Materials, Financials and Consumer Services sectors led shares lower.At the close in Paris, the CAC 40 fell 0.70%, while the SBF 120 index lost 0.68%.The best performers of the session on the CAC 40 were WFD Unibail Rodamco NV (AS:URW), which rose 1.61% or 2.32 points to trade at 146.64 at the close. Meanwhile, Orange SA (PA:ORAN) added 1.04% or 0.14 points to end at 13.56 and L’Oreal SA (PA:OREP) was up 0.44% or 1.00 points to 229.10 in late trade.The worst performers of the session were EssilorLuxottica SA (PA:ESLX), which fell 6.30% or 6.85 points to trade at 101.80 at the close. ArcelorMittal SA (AS:MT) declined 3.47% or 0.672 points to end at 18.710 and TechnipFMC PLC (PA:FTI) was down 2.93% or 0.56 points to 18.73.The top performers on the SBF 120 were  Neopost  SA (PA:NPOS) which rose 4.12% to 23.76, Covivio SA (PA:FDR) which was up 2.26% to settle at 90.40 and  Mercialys  SA (PA:MERY) which gained 1.72% to close at 13.01.The worst performers were CGG SA (PA:GEPH) which was down 7.59% to 1.485 in late trade,  Vallourec  (PA:VLLP) which lost 6.47% to settle at 2.153 and EssilorLuxottica SA (PA:ESLX) which was down 6.30% to 101.80 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 369 to 183 and 100 ended unchanged.Shares in EssilorLuxottica SA (PA:ESLX) fell to 52-week lows; down 6.30% or 6.85 to 101.80. Shares in L’Oreal SA (PA:OREP) rose to all time highs; gaining 0.44% or 1.00 to 229.10. Shares in EssilorLuxottica SA (PA:ESLX) fell to 52-week lows; losing 6.30% or 6.85 to 101.80. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 8.54% to 14.66.Gold Futures for April delivery was up 1.05% or 13.55 to $1299.65 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in April fell 0.97% or 0.55 to hit $56.11 a barrel, while the May Brent oil contract fell 0.78% or 0.52 to trade at $65.78 a barrel.EUR/USD was up 0.45% to 1.1242, while EUR/GBP rose 1.03% to 0.8641.The US Dollar Index Futures was down 0.37% at 97.262."
3,"Mar 07, 2019 02:35PM ET",France stocks lower at close of trade; CAC 40 down 0.39%,nan,"Investing.com – France stocks were lower after the close on Thursday, as losses in the Technology, Utilities and Consumer Goods sectors led shares lower.At the close in Paris, the CAC 40 lost 0.39%, while the SBF 120 index lost 0.49%.The best performers of the session on the CAC 40 were L’Oreal SA (PA:OREP), which rose 1.83% or 4.10 points to trade at 228.10 at the close. Meanwhile,  Pernod Ricard  SA (PA:PERP) added 1.33% or 2.05 points to end at 156.05 and Engie SA (PA:ENGIE) was up 1.26% or 0.17 points to 13.28 in late trade.The worst performers of the session were  Societe Generale  SA (PA:SOGN), which fell 4.32% or 1.17 points to trade at 25.94 at the close.  Peugeot  SA (PA:PEUP) declined 3.87% or 0.86 points to end at 21.35 and  Valeo  SA (PA:VLOF) was down 3.77% or 1.04 points to 26.52.The top performers on the SBF 120 were Eurofins Scientific SE (PA:EUFI) which rose 4.12% to 388.80, Technicolor (PA:TCH) which was up 4.00% to settle at 1.223 and DBV Technologies (PA:DBV) which gained 2.76% to close at 15.250.The worst performers were  Nexans  SA (PA:NEXS) which was down 4.83% to 27.78 in late trade, Societe Generale SA (PA:SOGN) which lost 4.32% to settle at 25.94 and  Faurecia  (PA:EPED) which was down 4.17% to 40.25 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 382 to 179 and 95 ended unchanged.Shares in L’Oreal SA (PA:OREP) rose to all time highs; gaining 1.83% or 4.10 to 228.10. Shares in Pernod Ricard SA (PA:PERP) rose to all time highs; gaining 1.33% or 2.05 to 156.05. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 4.22% to 13.51.Gold Futures for April delivery was down 0.13% or 1.65 to $1285.95 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in April rose 0.73% or 0.41 to hit $56.63 a barrel, while the May Brent oil contract rose 0.39% or 0.26 to trade at $66.25 a barrel.EUR/USD was down 0.88% to 1.1205, while EUR/GBP fell 0.22% to 0.8564.The US Dollar Index Futures was up 0.71% at 97.488."
4,"Mar 05, 2019 02:35PM ET",France stocks higher at close of trade; CAC 40 up 0.21%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Healthcare, Oil & Gas and Industrials sectors led shares higher.At the close in Paris, the CAC 40 gained 0.21% to hit a new 3-months high, while the SBF 120 index added 0.04%.The best performers of the session on the CAC 40 were Dassault Systemes SE (PA:DAST), which rose 2.21% or 2.85 points to trade at 131.55 at the close. Meanwhile, Sanofi SA (PA:SASY) added 1.87% or 1.40 points to end at 76.43 and L’Oreal SA (PA:OREP) was up 1.34% or 3.00 points to 226.20 in late trade.The worst performers of the session were  Valeo  SA (PA:VLOF), which fell 2.78% or 0.81 points to trade at 28.32 at the close. Atos SE (PA:ATOS) declined 2.06% or 1.76 points to end at 83.80 and TechnipFMC PLC (PA:FTI) was down 1.53% or 0.30 points to 19.57.The top performers on the SBF 120 were DBV Technologies (PA:DBV) which rose 14.88% to 17.450, Technicolor (PA:TCH) which was up 3.48% to settle at 1.160 and Dassault Systemes SE (PA:DAST) which gained 2.21% to close at 131.55.The worst performers were Eurofins Scientific SE (PA:EUFI) which was down 9.94% to 358.60 in late trade, SES (PA:SESFd) which lost 7.81% to settle at 16.22 and  Eramet  SA (PA:ERMT) which was down 2.81% to 51.85 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 333 to 236 and 89 ended unchanged.Shares in L’Oreal SA (PA:OREP) rose to all time highs; gaining 1.34% or 3.00 to 226.20. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 2.17% to 13.04.Gold Futures for April delivery was down 0.03% or 0.35 to $1287.15 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in April rose 0.04% or 0.02 to hit $56.61 a barrel, while the May Brent oil contract rose 0.38% or 0.25 to trade at $65.92 a barrel.EUR/USD was down 0.26% to 1.1307, while EUR/GBP fell 0.16% to 0.8580.The US Dollar Index Futures was up 0.15% at 96.757."
5,"Feb 08, 2019 12:35PM ET",France stocks lower at close of trade; CAC 40 down 0.48%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Basic Materials, Consumer Services and Technology sectors led shares lower.At the close in Paris, the CAC 40 declined 0.48%, while the SBF 120 index fell 0.65%.The best performers of the session on the CAC 40 were  Hermes International  SCA (PA:HRMS), which rose 1.46% or 7.60 points to trade at 528.00 at the close. Meanwhile, L’Oreal SA (PA:OREP) added 1.25% or 2.70 points to end at 218.80 and  Publicis Groupe  SA (PA:PUBP) was up 0.94% or 0.44 points to 47.28 in late trade.The worst performers of the session were  Valeo  SA (PA:VLOF), which fell 5.28% or 1.32 points to trade at 23.68 at the close. ArcelorMittal SA (AS:MT) declined 4.92% or 0.997 points to end at 19.248 and  Credit Agricole  SA (PA:CAGR) was down 3.15% or 0.311 points to 9.551.The top performers on the SBF 120 were  Groupe FNAC  (PA:FNAC) which rose 7.02% to 70.100,  Neopost  (PA:NPOS) which was up 1.47% to settle at 22.14 and Hermes International SCA (PA:HRMS) which gained 1.46% to close at 528.00.The worst performers were  Tarkett  (PA:TKTT) which was down 6.97% to 17.35 in late trade, Altran Technologies (PA:ALTT) which lost 6.36% to settle at 7.655 and Valeo SA (PA:VLOF) which was down 5.28% to 23.68 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 414 to 161 and 85 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 1.42% to 17.03.Gold Futures for April delivery was up 0.34% or 4.45 to $1318.65 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in March rose 0.06% or 0.03 to hit $52.67 a barrel, while the April Brent oil contract rose 0.47% or 0.29 to trade at $61.92 a barrel.EUR/USD was down 0.07% to 1.1332, while EUR/GBP rose 0.09% to 0.8763.The US Dollar Index Futures was up 0.10% at 96.382."
6,"Feb 08, 2019 04:44AM ET",MarketPulse Europe: Autos Under Pressure As Trade Fears Increase,nan,"Investing.com -- European stocks are set to end the week roughly where they started, despite a report suggesting that the U.S.-China trade war is about to get worse.At 04:45 AM ET (0945 GMT), the benchmark Euro Stoxx 50 was little changed at 3,155.55, reversing early losses after stronger-than-expected trade data from Germany and industrial production figures from France tempered the prevailing pessimism.But trade tensions are keeping the pressure on the auto sector, after a Wall Street Journal report said it’s “highly unlikely” that the U.S. and Chinese presidents will meet to clear up their differences on trade before a new raft of U.S. tariffs on Chinese goods comes into force in March.Mercedes-Benz parent  Daimler  (DE:DAIGn) is again toward the bottom of the Stoxx 50, and has lost 7.7% this week, while BMW (DE:BMWG) and Volkswagen (DE:VOWG_p) have lost 4.8% each and  Fiat  Chrysler (MI:FCHA) has lost over 11%.Bad news continues to come out of suppliers too: German cable and wiring maker Leoni (DE:LEOGn) fell 25% after swinging to a loss in the fourth quarter and suspending its dividend.China isn't the only risk to automakers.  Tata Motors  (NYSE:TTM), the Indian parent of Jaguar Land Rover, fell by 30% after a historic multibillion-dollar write-off of investments in the U.K. – a combination of the collapse of diesel sales, weaker Chinese demand and uncertainties over Brexit.Luxury goods continue to stand out from an otherwise uninspiring earnings season: Hermes (PA:HRMS) rose 0.6% after saying sales rose over 10% in the fourth quarter amid no signs of a slowdown in China, while L’Oreal (PA:OREP) said its strong fourth-quarter was also due to higher-end products, notably skin creams.Elsewhere, German payments company Wirecard (DE:WDIG) is recovering from another report alleging irregularities in its accounting in Asia. The company has denied the allegations, but the stock is now down over 30% since they first surfaced."
7,"Feb 05, 2019 12:35PM ET",France stocks higher at close of trade; CAC 40 up 1.66%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Healthcare, Technology and Gas & Water sectors led shares higher.At the close in Paris, the CAC 40 gained 1.66% to hit a new 1-month high, while the SBF 120 index gained 1.72%.The best performers of the session on the CAC 40 were Compagnie de Saint Gobain SA (PA:SGOB), which rose 6.33% or 1.89 points to trade at 31.68 at the close. Meanwhile, Dassault Systemes (PA:DAST) added 4.20% or 4.70 points to end at 116.70 and L’Oreal SA (PA:OREP) was up 3.82% or 8.10 points to 219.90 in late trade.The worst performers of the session were WFD Unibail Rodamco NV (AS:URW), which fell 1.07% or 1.66 points to trade at 154.20 at the close. STMicroelectronics NV (PA:STM) declined 0.90% or 0.125 points to end at 13.825 and ArcelorMittal SA (AS:MT) was down 0.17% or 0.035 points to 20.620.The top performers on the SBF 120 were  Orpea  SA (PA:ORP) which rose 7.37% to 92.34,  Vallourec  (PA:VLLP) which was up 6.46% to settle at 1.533 and Compagnie de Saint Gobain SA (PA:SGOB) which gained 6.33% to close at 31.68.The worst performers were CGG SA (PA:GEPH) which was down 3.88% to 1.562 in late trade,  Neopost  (PA:NPOS) which lost 1.92% to settle at 21.48 and  Soitec  SA (PA:SOIT) which was down 1.56% to 66.150 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 365 to 202 and 100 ended unchanged.Shares in L’Oreal SA (PA:OREP) rose to all time highs; up 3.82% or 8.10 to 219.90. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 1.38% to 13.98.Gold Futures for April delivery was down 0.06% or 0.85 to $1318.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in March fell 1.26% or 0.69 to hit $53.87 a barrel, while the April Brent oil contract fell 0.54% or 0.34 to trade at $62.17 a barrel.EUR/USD was down 0.23% to 1.1408, while EUR/GBP rose 0.45% to 0.8810.The US Dollar Index Futures was up 0.25% at 95.808."
8,"Jan 29, 2019 12:36PM ET",France stocks higher at close of trade; CAC 40 up 0.81%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Gas & Water, General Financial and Foods & Drugs sectors led shares higher.At the close in Paris, the CAC 40 added 0.81% to hit a new 1-month high, while the SBF 120 index climbed 0.70%.The best performers of the session on the CAC 40 were  Safran  SA (PA:SAF), which rose 2.52% or 2.80 points to trade at 113.75 at the close. Meanwhile, L’Oreal SA (PA:OREP) added 2.34% or 4.70 points to end at 205.90 and  Vivendi  SA (PA:VIV) was up 2.22% or 0.48 points to 22.14 in late trade.The worst performers of the session were  Valeo  SA (PA:VLOF), which fell 2.83% or 0.77 points to trade at 26.42 at the close. STMicroelectronics NV (PA:STM) declined 1.67% or 0.235 points to end at 13.835 and Compagnie de Saint Gobain SA (PA:SGOB) was down 0.89% or 0.28 points to 30.61.The top performers on the SBF 120 were Sartorius  Stedim  Biotech (PA:STDM) which rose 15.20% to 102.30, SEB SA (PA:SEBF) which was up 3.38% to settle at 137.50 and  Neopost  (PA:NPOS) which gained 3.15% to close at 22.30.The worst performers were SCOR SE (PA:SCOR) which was down 11.41% to 36.48 in late trade,  Faurecia  (PA:EPED) which lost 3.47% to settle at 37.56 and  Iliad  (PA:ILD) which was down 2.94% to 98.86 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 304 to 261 and 107 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.33% to 15.57.Gold Futures for February delivery was up 0.36% or 4.75 to $1307.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in March rose 2.67% or 1.39 to hit $53.38 a barrel, while the April Brent oil contract rose 2.61% or 1.56 to trade at $61.37 a barrel.EUR/USD was down 0.10% to 1.1421, while EUR/GBP rose 0.20% to 0.8697.The US Dollar Index Futures was up 0.10% at 95.520."
9,"Jan 24, 2019 12:36PM ET",France stocks higher at close of trade; CAC 40 up 0.65%,nan,"Investing.com – France stocks were higher after the close on Thursday, as gains in the Consumer Services, Consumer Goods and Utilities sectors led shares higher.At the close in Paris, the CAC 40 gained 0.65%, while the SBF 120 index added 0.61%.The best performers of the session on the CAC 40 were STMicroelectronics NV (PA:STM), which rose 10.12% or 1.265 points to trade at 13.765 at the close. Meanwhile,  Valeo  SA (PA:VLOF) added 5.80% or 1.49 points to end at 27.17 and Atos SE (PA:ATOS) was up 4.70% or 3.42 points to 76.26 in late trade.The worst performers of the session were  Carrefour  SA (PA:CARR), which fell 1.40% or 0.24 points to trade at 17.22 at the close. L’Oreal SA (PA:OREP) declined 0.50% or 1.00 points to end at 199.50 and Sodexo (PA:EXHO) was down 0.49% or 0.46 points to 93.82.The top performers on the SBF 120 were STMicroelectronics NV (PA:STM) which rose 10.12% to 13.765, Valeo SA (PA:VLOF) which was up 5.80% to settle at 27.17 and DBV Technologies (PA:DBV) which gained 5.54% to close at 10.660.The worst performers were  Iliad  (PA:ILD) which was down 3.16% to 102.50 in late trade,  Eramet  (PA:ERMT) which lost 2.98% to settle at 53.70 and Korian Medica SA (PA:KORI) which was down 2.58% to 31.740 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 310 to 257 and 91 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 6.28% to 15.74.Gold Futures for February delivery was down 0.35% or 4.45 to $1279.55 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in March rose 1.06% or 0.56 to hit $53.18 a barrel, while the March Brent oil contract rose 0.07% or 0.04 to trade at $61.18 a barrel.EUR/USD was down 0.65% to 1.1306, while EUR/GBP fell 0.32% to 0.8678.The US Dollar Index Futures was up 0.53% at 96.278."
