,date,titre,texte,article
0,"May 28, 2019 01:02PM ET",France stocks lower at close of trade; CAC 40 down 0.44%,nan,"Investing.com – France stocks were lower after the close on Tuesday, as losses in the Gas & Water, General Financial and Foods & Drugs sectors led shares lower.At the close in Paris, the CAC 40 declined 0.44%, while the SBF 120 index fell 0.37%.The best performers of the session on the CAC 40 were  Peugeot  SA (PA:PEUP), which rose 4.62% or 0.92 points to trade at 20.84 at the close. Meanwhile,  Worldline SA  (PA:WLN) added 2.52% or 1.300 points to end at 52.800 and LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH) was up 1.17% or 3.95 points to 342.60 in late trade.The worst performers of the session were  Safran  SA (PA:SAF), which fell 2.09% or 2.55 points to trade at 119.25 at the close. EssilorLuxottica SA (PA:ESLX) declined 2.07% or 2.20 points to end at 104.00 and  Societe Generale  SA (PA:SOGN) was down 1.95% or 0.45 points to 22.59.The top performers on the SBF 120 were  Neopost  SA (PA:NPOS) which rose 9.26% to 20.30, Peugeot SA (PA:PEUP) which was up 4.62% to settle at 20.84 and  Casino  Guichard Perrachon SA (PA:CASP) which gained 3.58% to close at 32.43.The worst performers were Rothschild & Co SCA (PA:ROTH) which was down 3.04% to 27.150 in late trade, SES (PA:SESFd) which lost 2.39% to settle at 13.70 and Metropole Television SA (PA:MMTP) which was down 2.16% to 15.84 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 285 to 256 and 96 ended unchanged.Shares in Societe Generale SA (PA:SOGN) fell to 5-year lows; losing 1.95% or 0.45 to 22.59. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 1.04% to 15.75.Gold Futures for June delivery was down 0.50% or 6.45 to $1277.15 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.96% or 0.56 to hit $59.19 a barrel, while the August Brent oil contract fell 0.10% or 0.07 to trade at $68.70 a barrel.EUR/USD was down 0.28% to 1.1164, while EUR/GBP fell 0.14% to 0.8817.The US Dollar Index Futures was up 0.38% at 97.843."
1,"May 06, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 1.18%,nan,"Investing.com – France stocks were lower after the close on Monday, as losses in the Technology, Industrials and Oil & Gas sectors led shares lower.At the close in Paris, the CAC 40 lost 1.18%, while the SBF 120 index declined 1.18%.The best performers of the session on the CAC 40 were Atos SE (PA:ATOS), which rose 1.35% or 0.92 points to trade at 68.88 at the close. Meanwhile, EssilorLuxottica SA (PA:ESLX) added 0.75% or 0.80 points to end at 107.30 and  Worldline SA  (PA:WLN) was up 0.64% or 0.350 points to 54.750 in late trade.The worst performers of the session were STMicroelectronics NV (PA:STM), which fell 4.93% or 0.810 points to trade at 15.615 at the close.  Valeo  SA (PA:VLOF) declined 4.00% or 1.29 points to end at 30.97 and LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH) was down 3.00% or 10.65 points to 344.40.The top performers on the SBF 120 were  Vallourec  (PA:VLLP) which rose 3.64% to 2.221, Atos SE (PA:ATOS) which was up 1.35% to settle at 68.88 and Genfit (PA:GNFT) which gained 0.84% to close at 21.620.The worst performers were  Faurecia  (PA:EPED) which was down 4.97% to 43.05 in late trade, STMicroelectronics NV (PA:STM) which lost 4.93% to settle at 15.615 and Compagnie  Plastic Omnium  SA (PA:PLOF) which was down 4.54% to 25.42 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 484 to 119 and 66 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 16.00% to 15.20 a new 1-month high.Gold Futures for June delivery was up 0.14% or 1.75 to $1283.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June fell 0.10% or 0.06 to hit $61.88 a barrel, while the July Brent oil contract fell 0.17% or 0.12 to trade at $70.73 a barrel.EUR/USD was up 0.04% to 1.1204, while EUR/GBP rose 0.10% to 0.8555.The US Dollar Index Futures was up 0.01% at 97.273."
2,"May 03, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.18%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Gas & Water, General Financial and Foods & Drugs sectors led shares higher.At the close in Paris, the CAC 40 gained 0.18%, while the SBF 120 index climbed 0.11%.The best performers of the session on the CAC 40 were AXA SA (PA:AXAF), which rose 1.94% or 0.44 points to trade at 23.07 at the close. Meanwhile, LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH) added 1.15% or 4.05 points to end at 355.05 and  Societe Generale  SA (PA:SOGN) was up 1.13% or 0.32 points to 28.70 in late trade.The worst performers of the session were Atos SE (PA:ATOS), which fell 27.05% or 25.20 points to trade at 67.96 at the close. WFD Unibail Rodamco NV (AS:URW) declined 1.89% or 2.90 points to end at 150.90 and Orange SA (PA:ORAN) was down 1.24% or 0.17 points to 13.93.The top performers on the SBF 120 were CGG SA (PA:GEPH) which rose 3.76% to 1.600, AXA SA (PA:AXAF) which was up 1.94% to settle at 23.07 and Spie SA (PA:SPIE) which gained 1.72% to close at 17.780.The worst performers were Atos SE (PA:ATOS) which was down 27.05% to 67.96 in late trade, Air France KLM SA (PA:AIRF) which lost 5.47% to settle at 9.670 and ALD SA (PA:ALDA) which was down 4.27% to 12.56 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 296 to 266 and 86 ended unchanged.Shares in LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH) rose to all time highs; rising 1.15% or 4.05 to 355.05. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 7.24% to 13.10.Gold Futures for June delivery was up 0.81% or 10.35 to $1282.35 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 0.68% or 0.42 to hit $62.23 a barrel, while the July Brent oil contract rose 0.69% or 0.49 to trade at $71.24 a barrel.EUR/USD was up 0.17% to 1.1196, while EUR/GBP fell 0.66% to 0.8516.The US Dollar Index Futures was down 0.31% at 97.285."
3,"Apr 11, 2019 04:35PM ET",France stocks higher at close of trade; CAC 40 up 0.66%,nan,"Investing.com – France stocks were higher after the close on Thursday, as gains in the Utilities, Consumer Services and Consumer Goods sectors led shares higher.At the close in Paris, the CAC 40 gained 0.66% to hit a new 6-months high, while the SBF 120 index climbed 0.69%.The best performers of the session on the CAC 40 were Atos SE (PA:ATOS), which rose 6.51% or 5.48 points to trade at 89.60 at the close. Meanwhile, LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH) added 4.61% or 15.20 points to end at 344.95 and  Valeo  SA (PA:VLOF) was up 3.35% or 0.95 points to 29.29 in late trade.The worst performers of the session were Engie SA (PA:ENGIE), which fell 1.69% or 0.23 points to trade at 13.38 at the close. Sanofi SA (PA:SASY) declined 1.05% or 0.82 points to end at 77.14 and L’Oreal SA (PA:OREP) was down 0.95% or 2.30 points to 240.20.The top performers on the SBF 120 were Atos SE (PA:ATOS) which rose 6.51% to 89.60,  Worldline SA  (PA:WLN) which was up 5.60% to settle at 55.600 and  Faurecia  (PA:EPED) which gained 5.08% to close at 44.44.The worst performers were CGG SA (PA:GEPH) which was down 2.56% to 1.753 in late trade, BIC (PA:BICP) which lost 2.03% to settle at 77.25 and  Ipsos  (PA:ISOS) which was down 1.74% to 22.60 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 343 to 216 and 108 ended unchanged.Shares in LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH) rose to all time highs; up 4.61% or 15.20 to 344.95. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 12.90% to 12.65 a new 6-months low.Gold Futures for June delivery was down 1.40% or 18.35 to $1295.55 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May fell 1.36% or 0.88 to hit $63.73 a barrel, while the June Brent oil contract fell 1.06% or 0.76 to trade at $70.97 a barrel.EUR/USD was down 0.16% to 1.1255, while EUR/GBP rose 0.11% to 0.8619.The US Dollar Index Futures was up 0.26% at 96.808."
4,"Apr 11, 2019 04:02AM ET",StockBeat - Luxury Goods Shine After Another Big Quarter for LVMH,nan,"By Geoffrey SmithInvesting.com -- It’s been a tough 12 months for most sectors in Europe’s stock market. Exporters of capital goods have been hit by the U.S.-China trade war, banks and financial services hobbled by negative interest rates, consumer stocks struggling to escape the shackles of low wage growth and demographic decline.But one sector has been a relatively constant bright light, and it’s leading the way again this Thursday. Luxury goods makers are roaring ahead after another strong quarter for LVMH (PA:LVMH), the French drinks-to-fashion group.LVMH announced after the bell on Wednesday that its revenue grew 16% on the year in the first quarter and said the positive trends that had helped it to a record year in 2018 were still in place. Most remarkably, in a world economy that is supposedly suffering a synchronized slowdown, the group said that “all geographic regions are experiencing good growth.”The news has sent the stock up 3.1% on a day when most indexes are down, due in part to frustration at the prospect of another six months of uncertainty over Brexit.  As of 04:00 AM ET (0800 GMT), the benchmark STOXX 600 was at 385.12, down 1.56 points or 0.4%. The FTSE 100 was down 0.5%, while the German DAX was down 0.4%. The Paris CAC 40 was outperforming, down less than 0.1%, thanks mainly to its luxury names.As has often been the case, LVMH’s performance is supporting the rest of the sector. Gucci owner  Kering  (PA:PRTP) and scarf-maker Hermes (PA:HRMS) were close behind it at the top of the CAC 40, while Italian rivals Salvatore Ferragamo  (MI:SFER) and Moncler (MI:MONC) were also both among the best performers in Milan.The results have distracted attention away from one less pleasant piece of news that may come back to haunt the sector in due course. French police raided the premises of some of the country’s drinks makers on Wednesday on suspicion of anti-competitive practices.  Pernod Ricard  (PA:PERP), a drinks maker that doesn’t have the same exposure to fashion as the other stocks in the sector, is the notable laggard this morning, rising only 0.3%."
5,"Mar 25, 2019 02:35PM ET",France stocks lower at close of trade; CAC 40 down 0.18%,nan,"Investing.com – France stocks were lower after the close on Monday, as losses in the Basic Materials, Industrials and Technology sectors led shares lower.At the close in Paris, the CAC 40 declined 0.18%, while the SBF 120 index lost 0.32%.The best performers of the session on the CAC 40 were LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH), which rose 1.36% or 4.25 points to trade at 317.70 at the close. Meanwhile,  Air Liquide  SA (PA:AIRP) added 1.31% or 1.45 points to end at 112.10 and  Kering  SA (PA:PRTP) was up 1.06% or 5.20 points to 497.40 in late trade.The worst performers of the session were STMicroelectronics NV (PA:STM), which fell 3.85% or 0.560 points to trade at 13.970 at the close.  Peugeot  SA (PA:PEUP) declined 2.90% or 0.63 points to end at 21.12 and  Carrefour  SA (PA:CARR) was down 2.63% or 0.45 points to 16.45.The top performers on the SBF 120 were LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH) which rose 1.36% to 317.70, Air Liquide SA (PA:AIRP) which was up 1.31% to settle at 112.10 and  Tarkett  (PA:TKTT) which gained 1.08% to close at 18.64.The worst performers were  Vallourec  (PA:VLLP) which was down 5.75% to 2.083 in late trade, DBV Technologies (PA:DBV) which lost 5.29% to settle at 12.900 and Rothschild & Co SCA (PA:ROTH) which was down 4.86% to 26.400 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 423 to 156 and 87 ended unchanged.Shares in Rothschild & Co SCA (PA:ROTH) fell to 52-week lows; losing 4.86% or 1.350 to 26.400. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 1.48% to 16.65.Gold Futures for June delivery was up 0.79% or 10.45 to $1329.15 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May fell 0.19% or 0.11 to hit $58.93 a barrel, while the June Brent oil contract rose 0.21% or 0.14 to trade at $66.89 a barrel.EUR/USD was up 0.06% to 1.1319, while EUR/GBP rose 0.23% to 0.8589.The US Dollar Index Futures was down 0.15% at 96.005."
6,"Mar 01, 2019 04:16AM ET",MarketPulse Europe: Strong Data Fuel Hopes That Economy Is Bottoming Out,nan,"By Geoffrey SmithInvesting.com -- It used to be said that when the U.S. sneezes, Europe caught a cold. That may still be true, but what is also true that when China gets off its sick bed, Europe’s stock markets go for a run.After a brief setback on Thursday morning in the wake of the U.S.-North Korea summit breakdown, European markets are again racing higher, taking their cue from Asian markets.The Stoxx 600 was up 0.7% at 375.46 by 04:20 AM ET (0920 GMT). Germany's Dax led the way, rising 1.2%, while the U.K. FTSE 100 lagged, rising only 0.6%.Asian markets had rallied on two things overnight: first, MSCI announced it would give a much greater weighting to China’s mainland shares in future, triggering a sharp rally in that market; second, the Caixin manufacturing survey showed a surprising uptick in February, further raising hopes that the global economy is bottoming out after the slowdown at the end of last year.Add stronger-than-expected retail sales out of Germany this morning, a slight upward revision to the Eurozone purchasing managers index for February and a much steeper-than-expected fall in joblessness in Germany, and a very broad-based rally this morning becomes easier to understand.However, it also weakens the case for action by the European Central Bank at its policy meeting next week. Normally, that would be a negative for stocks, but as former IMF economist Ashoka Mody argued in a recent blog post, the Eurozone economy now appears to react less to ECB policy than it does to developments in global trade.The fact that the narrower Stoxx 50 index is being led this morning by luxury goods groups  Kering  (PA:PRTP) and LVMH (PA:LVMH) and a bunch of trade-sensitive auto stocks seems to support Mody’s argument.Among the other individual stocks standing out are U.K. fund manager Jupiter (LON:JUP), which is up 10% after accelerating a changeover of its top management and publishing full-year figures that were less awful than expected. The stock has been one of the most shorted in the London market, and was thus vulnerable to short-covering. Royal Dutch Shell (AS:RDSa), meanwhile, is trailing the market, rising only 0.3% after news that Dutch prosecutors are preparing to charge it over allegations of bribery in Nigeria."
7,"Feb 01, 2019 04:46AM ET","MarketPulse Europe: Trade Hopes Lift Automakers, Luxury Groups",nan,"Hopes for a thaw in U.S.-Chinese relations nudged European stocks higher early Friday, with trade-sensitive industrials and luxury goods groups leading the way and distracting attention from weak manufacturing surveys and disappointing banking results.At 05:00 AM ET (10.00 GMT), the Euro Stoxx 50 index was up 0.04% at 3160.75Shares in automakers  Daimler  (DE:DAIGn), BMW (DE:BMWG), Volkswagen (DE:VOWG_p),  Ferrari  (MI:RACE) and  Fiat  Chrysler (MI:FCHA) were all higher after U.S. President Donald Trump hinted at a summit meeting with his Chinese counterpart Xi Jinping in February to reach a deal that would end the threat of fresh U.S. tariffs on Chinese imports.Europe’s automakers have been caught badly in the middle of that trade war, since a large part of their sales in China come from their plants in the U.S. and are vulnerable to Chinese countermeasures.Luxury goods makers  Kering  (PA:PRTP) and LVMH (PA:LVMH), which had suffered in recent weeks amid signs of a Chinese economic slowdown, were also among the Euro Stoxx 50 leaders, while smaller rivals Salvatore Ferragamo (MI:SFER), Moncler (MI:MONC) and  Burberry  (LON:BRBY) also gained.The moves suggest that trade news counts for more than another set of weak manufacturing surveys. Markit’s flash Purchasing Manager Index readings for January, released Friday, showed contraction in China, Germany and Italy. The U.K. PMI also slowed more than forecast, although it stayed above the 50 level that indicates growth.Elsewhere, it was Groundhog Day for European banks.  Deutsche Bank  (DE:DBKGn) continued its slide for a third day after disappointing again, with a net loss for the fourth quarter after a 23% slump in revenue at its core bond and currency trading business. Caixabank (MC:CABK) and Sabadell (MC:SABE), two of Spain’s largest banks, also fell more than 5% after missing fourth-quarter estimates, although BBVA (MC:BBVA) rose: the sale of its Chilean business and a solid performance in Mexico helped to offset weakness in crisis-hit Turkey.  Danske Bank  (CO:DANSKE), which was hit last year by a money-laundering scandal, edged up 0.8% as its fourth-quarter report passed without any new shocks."
8,"Jan 30, 2019 12:35PM ET",France stocks higher at close of trade; CAC 40 up 0.95%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Healthcare, Oil & Gas and Industrials sectors led shares higher.At the close in Paris, the CAC 40 gained 0.95% to hit a new 1-month high, while the SBF 120 index gained 0.86%.The best performers of the session on the CAC 40 were LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH), which rose 6.87% or 17.85 points to trade at 277.60 at the close. Meanwhile, Atos SE (PA:ATOS) added 6.64% or 5.02 points to end at 80.62 and  Kering  SA (PA:PRTP) was up 3.32% or 13.90 points to 432.30 in late trade.The worst performers of the session were Sodexo (PA:EXHO), which fell 2.87% or 2.70 points to trade at 91.30 at the close. Engie SA (PA:ENGIE) declined 1.07% or 0.15 points to end at 13.89 and TechnipFMC PLC (PA:FTI) was down 0.84% or 0.17 points to 20.13.The top performers on the SBF 120 were  Alten  (PA:LTEN) which rose 9.68% to 85.00, LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH) which was up 6.87% to settle at 277.60 and Atos SE (PA:ATOS) which gained 6.64% to close at 80.62.The worst performers were Sartorius  Stedim  Biotech (PA:STDM) which was down 4.50% to 97.70 in late trade,  Worldline SA  (PA:WLN) which lost 4.42% to settle at 45.400 and Sodexo (PA:EXHO) which was down 2.87% to 91.30 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 317 to 253 and 95 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 1.80% to 15.85.Gold Futures for February delivery was up 0.10% or 1.25 to $1310.15 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in March rose 2.66% or 1.42 to hit $54.73 a barrel, while the April Brent oil contract rose 1.70% or 1.04 to trade at $62.24 a barrel.EUR/USD was down 0.09% to 1.1420, while EUR/GBP fell 0.03% to 0.8742.The US Dollar Index Futures was up 0.08% at 95.593."
9,"Jan 30, 2019 05:12AM ET",MarketPulse Europe:  China More Important Than Brexit as Stocks Head Higher,nan,"Investing.com -- Stocks in Europe were mostly higher after early trading on Wednesday, as two positive items of China-related news outweighed a fresh bout of nerves over Brexit.The morning’s mood was set by two quarterly reports – from Apple (NASDAQ:AAPL) and from French luxury goods group LVMH (PA:LVMH)- that came after the European close on Tuesday and reassured traders that demand from China is still holding up nicely.LVMH said revenue hit a record high in 2018, finishing the year with a 9% year-on-year rise in the fourth quarter. Chief Financial Officer Jean-Jacques Guiony told the Wall Street Journal that spending by Chinese customers either in China or on trips abroad grew by double digits for most of its major brands in the quarter, and that there had been no visible slowdown at the end of the year. LVMH shares were up 6.9% by 04.55 AM ET (09.55 GMT), and the results also pulled rivals Hermes (PA:HRMS) and  Kering  (PA:PRTP) up to the top of the French CAC 40 index. The U.K.'s  Burberry  (LON:BRBY) also rose in sympathy.U.K. stocks posted mixed reactions to the votes in parliament last night that reaffirmed a ‘no-deal’ Brexit as the default option for March 29 and rejected the chance to call for an extension of a deadline that’s now less than two months away.The British pound lost nearly 1% against the dollar and euro on the votes but had recovered much of those losses by mid-morning. At 04:55 AM ET, the GBPUSD was at $1.3117, up over half a cent from its overnight lows. As usual, the FTSE 100’s big tobacco and resource companies, which book most of their revenues in dollars, led the index, while domestic-focused companies lagged."
