,date,titre,texte,article
0,"Jun 03, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.65%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Utilities, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 gained 0.65%, while the SBF 120 index climbed 0.53%.The best performers of the session on the CAC 40 were  Danone  SA (PA:DANO), which rose 2.18% or 1.56 points to trade at 72.96 at the close. Meanwhile, Sanofi SA (PA:SASY) added 2.09% or 1.51 points to end at 73.75 and Airbus Group SE (PA:AIR) was up 2.00% or 2.30 points to 117.16 in late trade.The worst performers of the session were Capgemini SE (PA:CAPP), which fell 1.34% or 1.34 points to trade at 98.76 at the close. AXA SA (PA:AXAF) declined 1.27% or 0.28 points to end at 21.80 and  Legrand  SA (PA:LEGD) was down 1.13% or 0.68 points to 59.46.The top performers on the SBF 120 were  Ipsen  SA (PA:IPN) which rose 3.84% to 111.00, Sartorius  Stedim  Biotech SA (PA:STDM) which was up 2.50% to settle at 127.20 and Lagardere SCA (PA:LAGA) which gained 2.20% to close at 22.28.The worst performers were Technicolor (PA:TCH) which was down 8.70% to 0.876 in late trade,  Maisons du Monde SAS  (PA:MDM) which lost 4.38% to settle at 17.260 and Eurofins Scientific SE (PA:EUFI) which was down 4.22% to 390.00 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 299 to 265 and 96 ended unchanged.Shares in Danone SA (PA:DANO) rose to all time highs; rising 2.18% or 1.56 to 72.96. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.38% to 16.38.Gold Futures for August delivery was up 1.10% or 14.45 to $1325.55 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.41% or 0.22 to hit $53.72 a barrel, while the August Brent oil contract fell 0.31% or 0.19 to trade at $61.80 a barrel.EUR/USD was up 0.43% to 1.1216, while EUR/GBP rose 0.36% to 0.8876.The US Dollar Index Futures was down 0.29% at 97.387."
1,"May 02, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.85%,nan,"Investing.com – France stocks were lower after the close on Thursday, as losses in the Industrials, Financials and Technology sectors led shares lower.At the close in Paris, the CAC 40 fell 0.85%, while the SBF 120 index declined 0.79%.The best performers of the session on the CAC 40 were Atos SE (PA:ATOS), which rose 1.50% or 1.38 points to trade at 93.16 at the close. Meanwhile,  BNP Paribas  SA (PA:BNPP) added 1.16% or 0.55 points to end at 48.00 and Veolia Environnement VE SA (PA:VIE) was up 1.00% or 0.210 points to 21.270 in late trade.The worst performers of the session were TechnipFMC PLC (PA:FTI), which fell 5.34% or 1.18 points to trade at 20.93 at the close.  Legrand  SA (PA:LEGD) declined 5.13% or 3.36 points to end at 62.16 and AXA SA (PA:AXAF) was down 4.70% or 1.11 points to 22.63.The top performers on the SBF 120 were  Nexans  SA (PA:NEXS) which rose 3.52% to 32.33, Television Francaise 1 SA (PA:TFFP) which was up 3.49% to settle at 10.080 and Metropole Television SA (PA:MMTP) which gained 2.60% to close at 18.15.The worst performers were TechnipFMC PLC (PA:FTI) which was down 5.34% to 20.93 in late trade, Legrand SA (PA:LEGD) which lost 5.13% to settle at 62.16 and AXA SA (PA:AXAF) which was down 4.70% to 22.63 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 354 to 230 and 90 ended unchanged.Shares in Veolia Environnement VE SA (PA:VIE) rose to 52-week highs; gaining 1.00% or 0.210 to 21.270. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 4.55% to 14.12.Gold Futures for June delivery was down 0.99% or 12.75 to $1271.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June fell 3.52% or 2.24 to hit $61.36 a barrel, while the July Brent oil contract fell 2.80% or 2.02 to trade at $70.16 a barrel.EUR/USD was down 0.13% to 1.1179, while EUR/GBP rose 0.06% to 0.8583.The US Dollar Index Futures was up 0.15% at 97.553."
2,"Mar 13, 2019 02:35PM ET",France stocks higher at close of trade; CAC 40 up 0.69%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Utilities, Healthcare and Basic Materials sectors led shares higher.At the close in Paris, the CAC 40 added 0.69% to hit a new 3-months high, while the SBF 120 index added 0.64%.The best performers of the session on the CAC 40 were Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP), which rose 2.23% or 2.25 points to trade at 102.95 at the close. Meanwhile, Airbus Group SE (PA:AIR) added 2.01% or 2.30 points to end at 116.88 and  Legrand  SA (PA:LEGD) was up 1.90% or 1.12 points to 59.98 in late trade.The worst performers of the session were EssilorLuxottica SA (PA:ESLX), which fell 1.35% or 1.40 points to trade at 102.45 at the close. Sodexo SA (PA:EXHO) declined 0.84% or 0.82 points to end at 97.28 and STMicroelectronics NV (PA:STM) was down 0.82% or 0.115 points to 13.970.The top performers on the SBF 120 were Television Francaise 1 SA (PA:TFFP) which rose 4.58% to 8.905, CGG SA (PA:GEPH) which was up 4.30% to settle at 1.697 and  Rubis  SCA (PA:RUBF) which gained 4.08% to close at 52.30.The worst performers were  Maisons du Monde SAS  (PA:MDM) which was down 8.61% to 20.380 in late trade, BIC (PA:BICP) which lost 2.25% to settle at 80.30 and Eutelsat Communications SA (PA:ETL) which was down 2.19% to 16.30 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 342 to 224 and 101 ended unchanged.Shares in Airbus Group SE (PA:AIR) rose to all time highs; rising 2.01% or 2.30 to 116.88. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 5.34% to 13.90.Gold Futures for April delivery was up 0.89% or 11.55 to $1309.65 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in April rose 2.66% or 1.51 to hit $58.38 a barrel, while the May Brent oil contract rose 1.45% or 0.97 to trade at $67.64 a barrel.EUR/USD was up 0.19% to 1.1307, while EUR/GBP fell 0.78% to 0.8564.The US Dollar Index Futures was down 0.23% at 96.680."
3,"Feb 14, 2019 12:35PM ET",France stocks lower at close of trade; CAC 40 down 0.23%,nan,"Investing.com – France stocks were lower after the close on Thursday, as losses in the Consumer Goods, Healthcare and Foods & Drugs sectors led shares lower.At the close in Paris, the CAC 40 fell 0.23%, while the SBF 120 index lost 0.18%.The best performers of the session on the CAC 40 were  Legrand  SA (PA:LEGD), which rose 7.14% or 3.74 points to trade at 56.12 at the close. Meanwhile, Schneider Electric SE (PA:SCHN) added 3.70% or 2.36 points to end at 66.14 and Capgemini SE (PA:CAPP) was up 3.18% or 3.15 points to 102.35 in late trade.The worst performers of the session were WFD Unibail Rodamco NV (AS:URW), which fell 5.38% or 8.16 points to trade at 143.42 at the close. EssilorLuxottica SA (PA:ESLX) declined 3.11% or 3.40 points to end at 106.10 and  Kering  SA (PA:PRTP) was down 2.46% or 11.80 points to 468.20.The top performers on the SBF 120 were DBV Technologies (PA:DBV) which rose 9.19% to 13.540,  Ipsen  SA (PA:IPN) which was up 7.66% to settle at 118.00 and Legrand SA (PA:LEGD) which gained 7.14% to close at 56.12.The worst performers were WFD Unibail Rodamco NV (AS:URW) which was down 5.38% to 143.42 in late trade, BIC (PA:BICP) which lost 4.75% to settle at 83.25 and  Natixis  (PA:CNAT) which was down 4.67% to 4.271 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 292 to 273 and 97 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 9.35% to 15.53.Gold Futures for April delivery was down 0.03% or 0.45 to $1314.65 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in March rose 0.85% or 0.46 to hit $54.36 a barrel, while the April Brent oil contract rose 1.24% or 0.79 to trade at $64.40 a barrel.EUR/USD was up 0.21% to 1.1288, while EUR/GBP rose 0.58% to 0.8815.The US Dollar Index Futures was down 0.05% at 96.887."
4,"Feb 13, 2019 12:35PM ET",France stocks higher at close of trade; CAC 40 up 0.35%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Consumer Goods, Consumer Services and Basic Materials sectors led shares higher.At the close in Paris, the CAC 40 rose 0.35%, while the SBF 120 index climbed 0.47%.The best performers of the session on the CAC 40 were ArcelorMittal SA (AS:MT), which rose 3.69% or 0.710 points to trade at 19.932 at the close. Meanwhile,  Kering  SA (PA:PRTP) added 3.05% or 14.20 points to end at 480.00 and  Accor  SA (PA:ACCP) was up 2.98% or 1.14 points to 39.40 in late trade.The worst performers of the session were Sanofi SA (PA:SASY), which fell 2.18% or 1.65 points to trade at 73.88 at the close.  Legrand  SA (PA:LEGD) declined 2.06% or 1.10 points to end at 52.38 and WFD Unibail Rodamco NV (AS:URW) was down 1.49% or 2.30 points to 151.58.The top performers on the SBF 120 were  Ingenico  Group (PA:INGC) which rose 10.48% to 52.62,  Orpea  SA (PA:ORP) which was up 7.90% to settle at 98.06 and Eurofins Scientific (PA:EUFI) which gained 5.25% to close at 329.00.The worst performers were Rothschild & Co SCA (PA:ROTH) which was down 3.66% to 27.650 in late trade, BIC (PA:BICP) which lost 3.16% to settle at 87.40 and  Iliad  (PA:ILD) which was down 2.92% to 87.90 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 342 to 231 and 100 ended unchanged.Shares in Iliad (PA:ILD) fell to 5-year lows; losing 2.92% or 2.64 to 87.90. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 0.71% to 14.20.Gold Futures for April delivery was up 0.06% or 0.75 to $1314.75 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in March rose 2.09% or 1.11 to hit $54.21 a barrel, while the April Brent oil contract rose 2.00% or 1.25 to trade at $63.67 a barrel.EUR/USD was down 0.43% to 1.1275, while EUR/GBP fell 0.14% to 0.8770.The US Dollar Index Futures was up 0.40% at 96.887."
5,"Dec 13, 2018 12:35PM ET",France stocks lower at close of trade; CAC 40 down 0.26%,nan,"Investing.com – France stocks were lower after the close on Thursday, as losses in the Gas & Water, General Financial and Foods & Drugs sectors led shares lower.At the close in Paris, the CAC 40 lost 0.26%, while the SBF 120 index declined 0.24%.The best performers of the session on the CAC 40 were  Hermes International  SCA (PA:HRMS), which rose 1.91% or 9.20 points to trade at 490.50 at the close. Meanwhile,  Renault  SA (PA:RENA) added 1.35% or 0.76 points to end at 57.07 and Veolia Environnement VE SA (PA:VIE) was up 1.09% or 0.200 points to 18.600 in late trade.The worst performers of the session were Capgemini SE (PA:CAPP), which fell 2.72% or 2.68 points to trade at 95.78 at the close. Atos SE (PA:ATOS) declined 2.29% or 1.66 points to end at 70.70 and  Legrand  SA (PA:LEGD) was down 2.27% or 1.16 points to 49.92.The top performers on the SBF 120 were  Plastic Omnium  (PA:PLOF) which rose 6.98% to 20.61,  Solocal  Group SA (PA:LOCAL) which was up 4.39% to settle at 0.547 and  GTT  (PA:GTT) which gained 4.00% to close at 67.60.The worst performers were Technicolor (PA:TCH) which was down 6.80% to 1.097 in late trade,  Elis Services SA  (PA:ELIS) which lost 4.07% to settle at 14.60 and  Maisons du Monde SAS  (PA:MDM) which was down 3.78% to 17.830 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 319 to 256 and 97 ended unchanged.Shares in Elis Services SA (PA:ELIS) fell to 52-week lows; down 4.07% or 0.62 to 14.60. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 2.42% to 19.04.Gold Futures for February delivery was down 0.23% or 2.85 to $1247.15 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in January rose 1.49% or 0.76 to hit $51.91 a barrel, while the February Brent oil contract rose 1.03% or 0.62 to trade at $60.77 a barrel.EUR/USD was down 0.14% to 1.1352, while EUR/GBP fell 0.12% to 0.8992.The US Dollar Index Futures was up 0.15% at 97.162."
6,"Nov 14, 2018 12:36PM ET",France stocks lower at close of trade; CAC 40 down 0.65%,nan,"Investing.com – France stocks were lower after the close on Wednesday, as losses in the Oil & Gas, Utilities and Gas & Water sectors led shares lower.At the close in Paris, the CAC 40 declined 0.65%, while the SBF 120 index lost 0.59%.The best performers of the session on the CAC 40 were Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP), which rose 1.78% or 1.58 points to trade at 90.24 at the close. Meanwhile,  Valeo  SA (PA:VLOF) added 1.60% or 0.41 points to end at 26.07 and  Peugeot  SA (PA:PEUP) was up 1.16% or 0.24 points to 20.88 in late trade.The worst performers of the session were  Pernod Ricard  SA (PA:PERP), which fell 4.00% or 5.80 points to trade at 139.20 at the close.  Legrand  SA (PA:LEGD) declined 3.00% or 1.64 points to end at 53.00 and TechnipFMC PLC (PA:FTI) was down 2.13% or 0.46 points to 21.13.The top performers on the SBF 120 were  Iliad  (PA:ILD) which rose 9.64% to 109.35,  Nexans  (PA:NEXS) which was up 6.90% to settle at 24.31 and CGG SA (PA:GEPH) which gained 4.75% to close at 1.500.The worst performers were  Maisons du Monde SAS  (PA:MDM) which was down 4.39% to 21.320 in late trade, Pernod Ricard SA (PA:PERP) which lost 4.00% to settle at 139.20 and DBV Technologies (PA:DBV) which was down 3.76% to 29.160 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 322 to 237 and 106 ended unchanged.Shares in Legrand SA (PA:LEGD) fell to 52-week lows; losing 3.00% or 1.64 to 53.00. Shares in TechnipFMC PLC (PA:FTI) fell to 52-week lows; falling 2.13% or 0.46 to 21.13. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 8.66% to 18.96.Gold Futures for December delivery was up 0.38% or 4.50 to $1203.70 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in December rose 1.49% or 0.83 to hit $56.52 a barrel, while the January Brent oil contract rose 1.66% or 1.09 to trade at $66.56 a barrel.EUR/USD was up 0.15% to 1.1307, while EUR/GBP rose 0.24% to 0.8721.The US Dollar Index Futures was down 0.24% at 96.91."
7,"Nov 08, 2018 12:36PM ET",France stocks lower at close of trade; CAC 40 down 0.13%,nan,"Investing.com – France stocks were lower after the close on Thursday, as losses in the Gas & Water, General Financial and Foods & Drugs sectors led shares lower.At the close in Paris, the CAC 40 declined 0.13%, while the SBF 120 index lost 0.11%.The best performers of the session on the CAC 40 were Sodexo (PA:EXHO), which rose 5.58% or 4.90 points to trade at 92.74 at the close. Meanwhile,  Societe Generale  SA (PA:SOGN) added 2.14% or 0.71 points to end at 33.87 and  Carrefour  SA (PA:CARR) was up 1.77% or 0.31 points to 17.82 in late trade.The worst performers of the session were  Legrand  SA (PA:LEGD), which fell 4.17% or 2.42 points to trade at 55.60 at the close.  Valeo  SA (PA:VLOF) declined 2.99% or 0.82 points to end at 26.62 and LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH) was down 1.90% or 5.25 points to 271.00.The top performers on the SBF 120 were Spie SA (PA:SPIE) which rose 5.78% to 14.270, Sodexo (PA:EXHO) which was up 5.58% to settle at 92.74 and  Europcar Groupe SA  (PA:EUCAR) which gained 3.78% to close at 8.38.The worst performers were CGG SA (PA:GEPH) which was down 7.76% to 1.758 in late trade, Metropole TV (PA:MMTP) which lost 6.92% to settle at 15.73 and  Solocal  Group SA (PA:LOCAL) which was down 4.55% to 0.661 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 293 to 266 and 113 ended unchanged.Shares in Metropole TV (PA:MMTP) fell to 52-week lows; losing 6.92% or 1.17 to 15.73. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.22% to 15.74 a new 1-month low.Gold Futures for December delivery was down 0.17% or 2.10 to $1224.10 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in December fell 1.51% or 0.93 to hit $60.74 a barrel, while the January Brent oil contract fell 1.65% or 1.19 to trade at $70.88 a barrel.EUR/USD was down 0.20% to 1.1404, while EUR/GBP fell 0.02% to 0.8702.The US Dollar Index Futures was up 0.40% at 96.19."
8,"Sep 07, 2018 12:36PM ET",France stocks higher at close of trade; CAC 40 up 0.16%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Consumer Services, Healthcare and Utilities sectors led shares higher.At the close in Paris, the CAC 40 added 0.16%, while the SBF 120 index added 0.20%.The best performers of the session on the CAC 40 were  Kering  SA (PA:PRTP), which rose 3.98% or 17.10 points to trade at 447.20 at the close. Meanwhile,  Carrefour  SA (PA:CARR) added 2.80% or 0.42 points to end at 15.61 and  Bouygues  SA (PA:BOUY) was up 1.60% or 0.56 points to 35.66 in late trade.The worst performers of the session were Schneider Electric SE (PA:SCHN), which fell 4.92% or 3.34 points to trade at 64.50 at the close. Sodexo (PA:EXHO) declined 2.36% or 2.08 points to end at 86.16 and  Legrand  SA (PA:LEGD) was down 1.65% or 1.04 points to 62.00.The top performers on the SBF 120 were Kering SA (PA:PRTP) which rose 3.98% to 447.20, Television Francaise 1 SA (PA:TFFP) which was up 3.26% to settle at 8.540 and Carrefour SA (PA:CARR) which gained 2.80% to close at 15.61.The worst performers were Altran Technologies (PA:ALTT) which was down 5.77% to 8.000 in late trade, Schneider Electric SE (PA:SCHN) which lost 4.92% to settle at 64.50 and  Rexel  (PA:RXL) which was down 3.40% to 13.06 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 324 to 242 and 98 ended unchanged.Shares in Schneider Electric SE (PA:SCHN) fell to 52-week lows; down 4.92% or 3.34 to 64.50. Shares in Altran Technologies (PA:ALTT) fell to 3-years lows; losing 5.77% or 0.490 to 8.000. Shares in Schneider Electric SE (PA:SCHN) fell to 52-week lows; losing 4.92% or 3.34 to 64.50. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 4.79% to 15.50.Gold Futures for December delivery was down 0.26% or 3.10 to $1201.20 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in October fell 0.77% or 0.52 to hit $67.25 a barrel, while the November Brent oil contract fell 0.41% or 0.31 to trade at $76.19 a barrel.EUR/USD was down 0.54% to 1.1559, while EUR/GBP fell 0.52% to 0.8942.The US Dollar Index Futures was up 0.38% at 95.35."
9,"Aug 07, 2018 12:36PM ET",France stocks higher at close of trade; CAC 40 up 0.81%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Oil & Gas, Basic Materials and Consumer Services sectors led shares higher.At the close in Paris, the CAC 40 added 0.81% to hit a new 1-month high, while the SBF 120 index climbed 0.71%.The best performers of the session on the CAC 40 were ArcelorMittal SA (AS:MT), which rose 2.90% or 0.790 points to trade at 28.020 at the close. Meanwhile,  Kering  SA (PA:PRTP) added 1.97% or 9.00 points to end at 466.70 and  Publicis Groupe  SA (PA:PUBP) was up 1.85% or 1.00 points to 55.00 in late trade.The worst performers of the session were Atos SE (PA:ATOS), which fell 10.41% or 11.61 points to trade at 99.94 at the close.  Vivendi  SA (PA:VIV) declined 0.64% or 0.14 points to end at 21.81 and  Legrand  SA (PA:LEGD) was down 0.63% or 0.40 points to 62.84.The top performers on the SBF 120 were  Tarkett  (PA:TKTT) which rose 4.10% to 24.36,  Nexans  (PA:NEXS) which was up 4.01% to settle at 29.28 and  Faurecia  (PA:EPED) which gained 3.47% to close at 56.10.The worst performers were Atos SE (PA:ATOS) which was down 10.41% to 99.94 in late trade,  GTT  (PA:GTT) which lost 1.66% to settle at 59.15 and Dassault Systemes (PA:DAST) which was down 1.56% to 126.60 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 339 to 220 and 102 ended unchanged.Shares in Atos SE (PA:ATOS) fell to 52-week lows; down 10.41% or 11.61 to 99.94. Shares in Atos SE (PA:ATOS) fell to 52-week lows; falling 10.41% or 11.61 to 99.94. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 1.99% to 12.77.Gold Futures for December delivery was up 0.20% or 2.40 to $1220.10 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in September rose 0.30% or 0.21 to hit $69.22 a barrel, while the October Brent oil contract rose 0.94% or 0.69 to trade at $74.44 a barrel.EUR/USD was up 0.34% to 1.1593, while EUR/GBP rose 0.29% to 0.8951.The US Dollar Index Futures was down 0.21% at 94.99."
