,date,titre,texte,article
0,"Jun 13, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.01%,nan,"Investing.com – France stocks were higher after the close on Thursday, as gains in the Healthcare, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 added 0.01%, while the SBF 120 index added 0.03%.The best performers of the session on the CAC 40 were Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP), which rose 2.70% or 2.90 points to trade at 110.25 at the close. Meanwhile, ArcelorMittal SA (AS:MT) added 2.30% or 0.336 points to end at 14.928 and TechnipFMC PLC (PA:FTI) was up 2.09% or 0.41 points to 20.05 in late trade.The worst performers of the session were  Societe Generale  SA (PA:SOGN), which fell 1.67% or 0.36 points to trade at 21.48 at the close. Engie SA (PA:ENGIE) declined 1.50% or 0.20 points to end at 12.81 and  Valeo  SA (PA:VLOF) was down 1.15% or 0.29 points to 24.89.The top performers on the SBF 120 were Television Francaise 1 SA (PA:TFFP) which rose 4.59% to 9.345,  Soitec  SA (PA:SOIT) which was up 4.41% to settle at 91.200 and Compagnie Generale des Etablissements Michelin SCA (PA:MICP) which gained 2.70% to close at 110.25.The worst performers were  Remy Cointreau  (PA:RCOP) which was down 2.24% to 113.60 in late trade, Compagnie  Plastic Omnium  SA (PA:PLOF) which lost 2.01% to settle at 21.41 and Getlink SE (PA:GETP) which was down 1.99% to 13.780 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 286 to 275 and 98 ended unchanged.Shares in Societe Generale SA (PA:SOGN) fell to 5-year lows; down 1.67% or 0.36 to 21.48. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 2.47% to 14.19.Gold Futures for August delivery was up 0.49% or 6.55 to $1343.35 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 2.13% or 1.09 to hit $52.23 a barrel, while the August Brent oil contract rose 1.92% or 1.15 to trade at $61.12 a barrel.EUR/USD was down 0.09% to 1.1277, while EUR/GBP fell 0.02% to 0.8892.The US Dollar Index Futures was up 0.06% at 97.032."
1,"Jun 11, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.48%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Utilities, Technology and Consumer Services sectors led shares higher.At the close in Paris, the CAC 40 gained 0.48%, while the SBF 120 index gained 0.48%.The best performers of the session on the CAC 40 were ArcelorMittal SA (AS:MT), which rose 6.59% or 0.928 points to trade at 15.014 at the close. Meanwhile, Compagnie de Saint Gobain SA (PA:SGOB) added 2.68% or 0.88 points to end at 33.48 and Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP) was up 2.57% or 2.70 points to 107.85 in late trade.The worst performers of the session were Sanofi SA (PA:SASY), which fell 1.55% or 1.20 points to trade at 76.10 at the close.  Vivendi  SA (PA:VIV) declined 1.43% or 0.35 points to end at 24.20 and Veolia Environnement VE SA (PA:VIE) was down 0.85% or 0.180 points to 21.110.The top performers on the SBF 120 were ArcelorMittal SA (AS:MT) which rose 6.59% to 15.014, CGG SA (PA:GEPH) which was up 5.84% to settle at 1.558 and  Imerys  SA (PA:IMTP) which gained 4.47% to close at 42.04.The worst performers were Genfit (PA:GNFT) which was down 16.49% to 17.820 in late trade, Korian Medica SA (PA:KORI) which lost 4.07% to settle at 35.360 and DBV Technologies (PA:DBV) which was down 4.05% to 15.880 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 304 to 277 and 79 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 1.61% to 14.38.Gold Futures for August delivery was up 0.25% or 3.35 to $1332.65 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 0.04% or 0.02 to hit $53.24 a barrel, while the August Brent oil contract fell 0.27% or 0.17 to trade at $62.12 a barrel.EUR/USD was up 0.16% to 1.1330, while EUR/GBP fell 0.16% to 0.8902.The US Dollar Index Futures was down 0.06% at 96.650."
2,"May 30, 2019 02:10AM ET",Renault's Senard Says Jobs and Nissan Will Be Safe in Fiat Deal,nan,"(Bloomberg) -- Convincing the stakeholders of  Renault  SA (PA:RENA) and Fiat Chrysler Automobiles NV (NYSE:FCAU) on the merits of a merger may be the easy part. The hard task is selling the deal to Renault’s alliance partner Nissan Motor Co., (T:7201) as well as labor groups and politicians wary of job cuts.Jean-Dominique Senard, who’s been tapped to lead the combined Franco-Italian carmaker, is in Tokyo to make what may be the sales pitch of his career. In an interview on Thursday, he painted a picture of a grand alliance making and selling cars across the globe, keeping people employed and churning out profits.“It can only happen if people are open to it,” said Senard, 66, who attended a meeting for the board overseeing the alliance between Nissan, Renault and Mitsubishi Motors Corp. He came to explain the merits of the Fiat-Renault deal to the Japanese executives, who started Wednesday’s meeting with many questions. By the end, the mood lightened and they were positive, he said.“A closer partnership can only improve the alliance,” Senard said. Nissan, which has pushed back in the past at attempts for closer integration, “understood the message I brought here, although obviously they can’t digest it in one night,” he added.After spending three days in Japan, Senard will return to Europe to work on bringing Fiat Chrysler and Renault together. He doesn’t anticipate any serious regulatory hurdles for the merger. Asked whether the joining of two European automakers would result in job cuts, Senard said the deal ""doesn't call for human sacrifice.""The merger won't involve any plant closures, according to Fiat, although it didn't mention any potential job cuts when the deal was announced. The combination also has the blessing of the Italian and French governments, which are constantly on guard against the risk of labor unrest.The transaction would be structured as a 50-50 ownership through a Dutch holding company, with Renault shareholders, including the French government, getting an implied premium of about 10%. Renault’s board is expected to give preliminary approval to the proposal as soon as next week, people familiar with the matter have said. Senard said on Thursday that the deal will take about a year to complete.Behind the push to consolidate are the various headwinds the industry is facing. Sales are decelerating in the world’s biggest car markets — China, the U.S. and Europe — bringing fresh urgency to consolidate. Automakers worldwide are facing intense pressure to spend heavily on electrification and autonomous vehicles, and adapting to trends such as car-sharing.Renault and Fiat Chrysler estimate cost savings of more than 5 billion euros ($5.6 billion) from the merger. The automakers will focus on reducing platforms, simplifying product lines and focusing on quality and branding, Senard said. ""All of the brands are very famous,"" he said. ""Some have to be re-enhanced.""In order to sell more cars, Senard indicated profit-eroding price cuts in North America by Nissan and Chrysler would have to end. ""It needs to be about quality boosting market share,"" he said.Asked about recent comments by Carlos Tavares, the CEO of Peugeot owner Groupe PSA and former Ghosn protege, calling the deal a ""virtual takeover"" of Renault and that it could weaken or unwind the alliance with Nissan, Senard said: ""Everyone is free to say what they think.""Nissan could be a key part of forging a global group that could produce 15 million vehicles a year. The Yokohama-based company would complement the merged entity because of its strong presence in China, Japan and the rest of Asia, as well as its electric-car technology.There are signs that Senard’s charm offensive is yielding some results. Following the meeting, Nissan Chief Executive Officer Hiroto Saikawa said he saw potential opportunities for the existing alliance in Fiat Chrysler’s merger proposal, though he plans to study the matter further. As Saikawa put it, “we don’t consider this as a minus.”As to Senard, he said Nissan is already benefiting from the proposed merger given the increase in the Japanese carmaker’s shares on news of the deal. Nissan, 43% owned by Renault, would also finally have more tangible influence by gaining greater say in the alliance, he said.Under the proposed merger of Fiat Chrysler and Renault, Nissan would get 7.5% of the combined entity. The Japanese carmaker would be able to vote with those shares, unlike with its current holdings, which carry no voting rights. A merger would also dilute the French state’s control over Renault, and indirectly over Nissan, easing a concern it has had for years.Nissan needs some good news. The company recently forecast weak operating profit and cut its dividend for the first time in a decade. Senard said Nissan currently needs to focus on its profitability and that it’s in Renault’s interest for its Japanese partner to turn itself around.Fiat also said the combination would help cut costs by an additional 1 billion euros for Nissan and Mitsubishi Motors.The alliance was destabilized late last year with the arrest of Carlos Ghosn, its architect and chairman, for alleged financial crimes during his time as leader of Nissan. Ghosn has denied all charges and is preparing for his trial next year. Although Nissan and Renault have been partners for two decades, the Japanese automaker isn’t in a position to block the deal because the merger wouldn’t breach terms of their partnership.Senard, who replaced Ghosn as chairman of Renault and the alliance, has sought to restore stability following his predecessor’s arrest. The former  Michelin  (PA:MICP) CEO worked earlier this year with Nissan to craft a new governance structure to oversee the partnership, giving up concessions over board seats to assuage the Japanese firm’s concerns.""With Nissan, this is the first truly global car alliance,"" Senard said."
3,"May 21, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.50%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Oil & Gas, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 rose 0.50%, while the SBF 120 index added 0.53%.The best performers of the session on the CAC 40 were STMicroelectronics NV (PA:STM), which rose 4.16% or 0.590 points to trade at 14.760 at the close. Meanwhile, ArcelorMittal SA (AS:MT) added 3.65% or 0.526 points to end at 14.952 and TechnipFMC PLC (PA:FTI) was up 3.53% or 0.72 points to 21.14 in late trade.The worst performers of the session were Engie SA (PA:ENGIE), which fell 5.31% or 0.72 points to trade at 12.84 at the close. Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP) declined 1.99% or 2.15 points to end at 105.85 and  Safran  SA (PA:SAF) was down 1.32% or 1.65 points to 123.15.The top performers on the SBF 120 were DBV Technologies (PA:DBV) which rose 4.27% to 16.850, STMicroelectronics NV (PA:STM) which was up 4.16% to settle at 14.760 and ArcelorMittal SA (AS:MT) which gained 3.65% to close at 14.952.The worst performers were Engie SA (PA:ENGIE) which was down 5.31% to 12.84 in late trade, JC Decaux SA (PA:JCDX) which lost 3.96% to settle at 25.74 and  Wendel  (PA:MWDP) which was down 2.12% to 115.40 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 339 to 211 and 82 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 7.55% to 15.14.Gold Futures for June delivery was down 0.34% or 4.35 to $1272.95 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 0.19% or 0.12 to hit $63.09 a barrel, while the July Brent oil contract fell 0.13% or 0.09 to trade at $71.88 a barrel.EUR/USD was down 0.08% to 1.1161, while EUR/GBP fell 0.08% to 0.8767.The US Dollar Index Futures was up 0.13% at 97.893."
4,"May 16, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 1.37%,nan,"Investing.com – France stocks were higher after the close on Thursday, as gains in the Industrials, Utilities and Consumer Goods sectors led shares higher.At the close in Paris, the CAC 40 gained 1.37%, while the SBF 120 index gained 1.30%.The best performers of the session on the CAC 40 were Dassault Systemes SE (PA:DAST), which rose 3.35% or 4.50 points to trade at 138.65 at the close. Meanwhile,  Air Liquide  SA (PA:AIRP) added 2.78% or 3.20 points to end at 118.20 and Capgemini SE (PA:CAPP) was up 2.59% or 2.70 points to 107.05 in late trade.The worst performers of the session were  Valeo  SA (PA:VLOF), which fell 2.71% or 0.77 points to trade at 27.61 at the close.  Renault  SA (PA:RENA) declined 1.12% or 0.59 points to end at 52.00 and Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP) was down 0.93% or 1.05 points to 111.35.The top performers on the SBF 120 were Eutelsat Communications SA (PA:ETL) which rose 4.31% to 15.97,  Euronext  (PA:ENX) which was up 4.17% to settle at 63.70 and ALD SA (PA:ALDA) which gained 3.94% to close at 13.20.The worst performers were  Ubisoft  Entertainment (PA:UBIP) which was down 12.65% to 72.060 in late trade, Valeo SA (PA:VLOF) which lost 2.71% to settle at 27.61 and  Faurecia  (PA:EPED) which was down 2.32% to 37.95 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 339 to 213 and 86 ended unchanged.Shares in Renault SA (PA:RENA) fell to 3-years lows; falling 1.12% or 0.59 to 52.00. Shares in Euronext (PA:ENX) rose to all time highs; gaining 4.17% or 2.55 to 63.70. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 8.60% to 13.92.Gold Futures for June delivery was down 0.90% or 11.65 to $1286.15 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 1.60% or 0.99 to hit $63.01 a barrel, while the July Brent oil contract rose 1.63% or 1.17 to trade at $72.94 a barrel.EUR/USD was down 0.21% to 1.1176, while EUR/GBP rose 0.25% to 0.8736.The US Dollar Index Futures was up 0.26% at 97.632."
5,"May 15, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.62%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Technology, Industrials and Consumer Services sectors led shares higher.At the close in Paris, the CAC 40 gained 0.62%, while the SBF 120 index added 0.59%.The best performers of the session on the CAC 40 were STMicroelectronics NV (PA:STM), which rose 3.61% or 0.545 points to trade at 15.635 at the close. Meanwhile, Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP) added 2.88% or 3.15 points to end at 112.40 and  Bouygues  SA (PA:BOUY) was up 2.40% or 0.77 points to 32.92 in late trade.The worst performers of the session were  Credit Agricole  SA (PA:CAGR), which fell 2.60% or 0.295 points to trade at 11.070 at the close. Capgemini SE (PA:CAPP) declined 1.93% or 2.05 points to end at 104.35 and  Renault  SA (PA:RENA) was down 0.98% or 0.52 points to 52.59.The top performers on the SBF 120 were  Faurecia  (PA:EPED) which rose 4.52% to 38.85,  Eiffage  SA (PA:FOUG) which was up 4.33% to settle at 90.66 and  Ipsen  SA (PA:IPN) which gained 3.71% to close at 109.00.The worst performers were Eutelsat Communications SA (PA:ETL) which was down 6.33% to 15.31 in late trade, Metropole Television SA (PA:MMTP) which lost 4.09% to settle at 16.66 and  Trigano  SA (PA:TRIA) which was down 3.38% to 72.80 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 306 to 248 and 81 ended unchanged.Shares in Renault SA (PA:RENA) fell to 3-years lows; losing 0.98% or 0.52 to 52.59. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 9.18% to 15.23.Gold Futures for June delivery was up 0.20% or 2.55 to $1298.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 0.37% or 0.23 to hit $62.01 a barrel, while the July Brent oil contract rose 0.83% or 0.59 to trade at $71.83 a barrel.EUR/USD was up 0.02% to 1.1205, while EUR/GBP rose 0.32% to 0.8711.The US Dollar Index Futures was up 0.01% at 97.333."
6,"May 13, 2019 04:18AM ET",StockBeat: Tariff Spotlight Shifts to European Automakers,nan,"By Geoffrey SmithInvesting.com -- The U.S. is now preparing to widen 25% tariffs on all imports from China. Will Europe be next?Autos aren’t the only sector faring badly after early trade Monday in Europe, but they’re clearly in the firing line after the U.S. demonstrated its willingness to use tariffs so forcefully over the weekend. A decision on whether to impose tariffs on European autos is due on Saturday and the signs aren’t good, with the U.S. administration's action against China over the weekend showing no sign of accepting conventional wisdom that tariffs choke growth and leave consumers worse off.“The reason autos are very important to our trade picture is about half of our trade deficit comes from the single product, automotive, and about the other half of our trade deficit comes from a geographic area and that’s called China,” U.S. Commerce Secretary Wilbur Ross told a press conference in Luxembourg on Friday.All of Europe’s big carmakers are down over 1% this morning, with  Daimler  (DE:DAIGn) down 2.8%, Volkswagen (DE:VOWG_p) down 1.4%,  Peugeot  (PA:PEUP) down 1.7%, Fiat Chrysler Automobiles (NYSE:FCAU) down 1.2% and BMW (DE:BMWG) down 1.1%.  Renault  (PA:RENA) is faring slightly better, down only 0.5% as a result of separate news of it making a formal merger proposal to Nissan (T:7201).The escalation of the trade war is hitting markets generally, with the benchmark Euro Stoxx 600 down 0.7% at 374.86 points, while the U.K. FTSE 100 is down 0.1%, Germany’s Dax is down 0.9% and the French CAC 40 is down 0.7%.The extent of the threat is best seen, however, in its impact throughout the supply chain. Parts maker  Valeo  (PA:VLOF) is at the bottom of the CAC 40, down 3.5%, tiremakers Continental (DE:CONG) and  Michelin  (PA:MICP) are also down sharply, and even chipmakers Infineon (DE:IFXGn) and STMicroelectronics (PA:STM) are being affected by the general malaise, due to their exposure to the auto sector.All that said, the sector may get a stay of execution. EU Trade Commissioner Cecilia Malmstrom said in an interview with the German newspaper Sueddeutsche Zeitung that “there are signs that (the deadline) could be extended because of the talks between the U.S. and China.”“We’re prepared for the worst,” she added, noting that the EU has drawn up a list of U.S. products that would also have tariffs imposed on them if the U.S. goes ahead with its threat"
7,"May 10, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.27%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Gas & Water, General Financial and Foods & Drugs sectors led shares higher.At the close in Paris, the CAC 40 gained 0.27%, while the SBF 120 index added 0.25%.The best performers of the session on the CAC 40 were EssilorLuxottica SA (PA:ESLX), which rose 3.96% or 4.20 points to trade at 110.20 at the close. Meanwhile, Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP) added 2.37% or 2.55 points to end at 109.95 and Capgemini SE (PA:CAPP) was up 2.05% or 2.10 points to 104.40 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 2.68% or 0.448 points to trade at 16.240 at the close.  Accor  SA (PA:ACCP) declined 2.45% or 0.88 points to end at 35.08 and WFD Unibail Rodamco NV (AS:URW) was down 1.13% or 1.66 points to 144.94.The top performers on the SBF 120 were  Maisons du Monde SAS  (PA:MDM) which rose 12.20% to 18.300, Sopra Steria Group SA (PA:SOPR) which was up 4.42% to settle at 106.20 and EssilorLuxottica SA (PA:ESLX) which gained 3.96% to close at 110.20.The worst performers were Aeroports de Paris SA (PA:ADP) which was down 9.73% to 153.00 in late trade, DBV Technologies (PA:DBV) which lost 3.36% to settle at 16.100 and ArcelorMittal SA (AS:MT) which was down 2.68% to 16.240 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 307 to 250 and 105 ended unchanged.Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; falling 2.68% or 0.448 to 16.240. Shares in Accor SA (PA:ACCP) fell to 52-week lows; falling 2.45% or 0.88 to 35.08. Shares in Aeroports de Paris SA (PA:ADP) fell to 52-week lows; losing 9.73% or 16.50 to 153.00. Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; losing 2.68% or 0.448 to 16.240. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 9.45% to 17.04.Gold Futures for June delivery was up 0.28% or 3.65 to $1288.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 0.39% or 0.24 to hit $61.94 a barrel, while the July Brent oil contract rose 0.70% or 0.49 to trade at $70.88 a barrel.EUR/USD was up 0.14% to 1.1236, while EUR/GBP rose 0.09% to 0.8626.The US Dollar Index Futures was down 0.11% at 97.058."
8,"Apr 21, 2019 05:47AM ET",Economic Calendar - Top 5 Things to Watch This Week,nan,"Investing.com - U.S. gross domestic product, a hectic week of earnings and interest rate decisions in Japan, Canada and Turkey will keep market watchers on their toes this week as markets return from Eater holidays. Financial markets in Europe are to remain closed on Monday.Here’s what you need to know to start your week.1. U.S. GDPAn advance reading of U.S. economic growth in the first three months of 2019 is set to be released on Friday. Growth was 2.2% in the final quarter of 2018.Economists are more upbeat about the first quarter growth outlook after data last week showing that the U.S. trade deficit unexpectedly narrowed in February as Chinese imports plunged in the face of President Donald Trump's tariffs.Another report showed that U.S. retail sales grew at their strongest pace in one-and-a-half years in March.One closely tracked gauge of quarterly GDP, the Federal Reserve Bank of Atlanta's GDPNow forecast model, showed Thursday that the economy expanded at a 2.8% annualized rate in the first quarter.A month ago, GDPNow estimated annualized growth of just 0.2%, which would have been the lowest since a one-off GDP contraction in the first 2014 quarter.2. Other economic reportsAhead of the GDP report, data on Thursday will look at durable goods orders for March, with the consensus forecast for a rebound of 0.7% after a 1.6% decline in February. Other U.S. data includes reports on homes sales on Monday and Tuesday and a look at consumer sentiment on Friday.Germany’s Ifo business confidence index, due on Wednesday, will be closely watched amid lingering concerns over the outlook for the euro area’s largest economy at a time when European Central Bank policymakers are debating whether stimulus measures are enough to spur inflation.3. Earnings kick into high gearU.S. first quarter earnings season ramps up after getting off to a mixed start with Amazon (NASDAQ:AMZN), Facebook (NASDAQ:FB), Twitter (NYSE:TWTR) and Tesla (NASDAQ:TSLA) all reporting.Also on the docket are Halliburton (NYSE:HAL), Hasbro (NASDAQ:HAS),  Lockheed Martin  Corporation (NYSE:LMT), Coca-Cola (NYSE:KO), eBay (NASDAQ:EBAY),  United Tech  (NYSE:UTX), Harley-Davidson (NYSE:HOG), AT&T (NYSE:T), Boeing (NYSE:BA),  Caterpillar  (NYSE:CAT), Chipotle (NYSE:CMG), Microsoft (NASDAQ:MSFT), Visa (NYSE:V), Intel (NASDAQ:INTC), Mattel (NASDAQ:MAT), Southwest Airlines (NYSE:LUV), Starbucks (NASDAQ:SBUX), Exxon (NYSE:XOM) and  Chevron  (NYSE:CVX).In Europe, the auto sector will be in focus with a flurry of earnings due from  Michelin  (PA:MICP),  Continental  (LON:0LQ1), Daimler (LON:0NXX),  Peugeot  (PA:PEUP), and  Renault  (PA:RENA). These stocks are particularly sensitive to growth in China and will be watched as the stirrings of a recovery were felt in recent Chinese GDP data .4. Central banksCentral banks in Japan, Canada and Turkey are all to hold meetings this week.The Bank of Japan is widely expected to keep monetary policy on hold at its meeting on Thursday and to forecast that it expects inflation to remain below its 2% target.The BOJ is facing a daunting task in its years-long efforts to help push up inflation toward its 2% goal, with a slowdown in global growth and trade making its task even more difficult.The Bank of Canada will meet on Wednesday, with no change in interest rates expected.Turkey’s central bank is to announce its latest rate decision on Thursday, and is also expected to keep rates on hold. The lira has recently come under pressure amid speculation that the central bank is borrowing to boost its foreign currency reserves.5. U.S.-Japan trade talksDonald Trump and Japanese Prime Minister Shinzo Abe are due to meet in the White House on Friday for talks on U.S.-Japan trade and efforts to contain North Korea’s nuclear program.Last week U.S. and Japanese officials held a first round of talks toward a new trade deal Trump has sought and the U.S. side raised concerns over the “very large” trade deficit with Tokyo.Discussions on North Korea are likely to cover next steps after Trump’s failed meeting with North Korean leader Kim Jong Un in February.-- Reuters contributed to this report"
9,"Apr 18, 2019 06:45AM ET",Take Five: Spring growth? World markets themes for the week ahead,nan,"(Reuters) - Following are five big themes likely to dominate thinking of investors and traders in the coming week and the Reuters stories related to them.1/CENTRAL PLANNINGThe 100 years since the Fed's creation in 1913 is said to be the century of central banking. Well, since the 2008-2009 crisis, we've certainly lived through a decade of central banking. But with monetary policy taken to the limit to lift growth and inflation, can central banks do any more?Of late, some of the economic and business confidence data is giving rise to hopes rate-setters might just be able to hold fire on further action for now. German and Japanese PMIs ticked modestly higher from March, and from China to the United States, the hope is that spring will bring some green shoots on the economic front. Central banks in Japan, Canada and Sweden hold meetings in coming days so we may get some clues on what they are thinking.ECB Vice President Luis de Guindos and Olli Rehn, widely tipped to succeed ECB Governor Mario Draghi, will also be quizzed on the subject at upcoming speeches, especially since sources tell Reuters ""a significant minority"" of ECB rate-setters doubt any recovery is underway. Central bankers in Australia and New Zealand have sounded similarly gloomy. A decade of central banking and planning is not over yet2/GDP NOW!The working thesis through the early months of 2019 was that U.S. economic growth would continue to tail off as tailwinds faded from last year's $1.5 trillion tax cut and headwinds picked up from a weaker global economy, partial federal government shutdown and trade wars. Indeed, that looked to be the case as most economic data through the first quarter fell short of forecasts. As a result,  Citigroup  (NYSE:C)'s U.S. economic surprise index came to near the most negative in around two years.But one closely tracked gauge of quarterly gross domestic product, the Federal Reserve Bank of Atlanta's GDPNow model, has rebounded sharply in recent weeks and may be signaling that the advance reading of first quarter GDP may not be quite so grim.A month ago, GDPNow estimated an annualized 0.2 percent growth, which would have been the lowest since a one-off GDP contraction in the first 2014 quarter. Now the model forecasts quarterly growth will come in at 2.4 percent. That would not only top current estimates of 1.8 percent but would mean growth actually accelerated from the fourth quarter's 2.2 percent.One factor behind the turnaround was a surprise narrowing in the U.S. trade deficit as Chinese imports plunged in the face of President Donald Trump's tariffs. By some estimates, trade could now contribute as much as one percentage point to first quarter GDP after being a washout in the fourth quarter.3/CORNER KICKAs we said above, central banks don't have much ammunition left in their arsenal. The toolbox is probably lightest at the Bank of Japan.At the G20 meeting in Washington, BOJ Governor Haruhiko Kuroda said he was ready to expand monetary stimulus if needed. But he also said he had no plans to change the central bank's forward guidance, or the message it sends to signal policy intentions to financial markets. To many, that sounded like a man backed into a corner.Kuroda has a chance to prove otherwise at the upcoming BOJ meeting. Expectations are thin though, given the BOJ's balance sheet is already bigger than the country's economy and Japanese financial institutions are suffering immense pain from the prolonged monetary easing.The world's No. 3 economy may have contracted in the first quarter, and whether it recovers depends much on first, whether China recovers too and second, on whether the trade conflict between the other two powers sharing the podium reaches a resolution.3/TAKING A DIP IN EUROPEThe United States is widely seen as heading into an earnings recession (defined as two straight quarters of negative year-on-year earnings growth) but Europe might, at least for now, escape one.European firms are expected to deliver their first quarter of negative earnings growth since 2016 - the latest I/B/E/S Refinitiv analysis predicts Q1 earnings to fall 3.4 percent year-on-year. But it expects results to pick up again in Q2.So despite this quarter's poor outcome, hopes for a bounce-back could keep equities buoyant. After all, sentiment is already rock bottom - investors surveyed by Bank of America Merrill Lynch (NYSE:BAC) named ""short European equities"" the most crowded trade for the second month running.The auto sector will be in focus in coming days with a flurry of earnings from  Michelin  (PA:MICP), Continental, Daimler, Peugeot, and  Renault  (PA:RENA). These stocks are particularly sensitive to growth in China and will be watched as the stirrings of a recovery were felt in recent Chinese GDP data .5/ RUSSIAN ROULETTEThe past two years have seen an increasingly bitter rift open up between President Donald Trump's Republican supporters and his Democrat critics over the alleged collusion between Russia and Trump's campaign in the 2016 U.S. election.That may not be defused even after Special Counsel Robert Mueller's 400-page report on the subject is unveiled by Atttorney General William Barr. He has already told lawmakers the investigation ""did not establish that members of the Trump campaign conspired or coordinated with the Russian government in its election interference activities.""But that is unlikely to stop U.S. politicians from continuing their clamor for sanctions against Russia. As for investors, their appetite for Russian assets has not so far been dented. After plummeting last year, foreign buying of rouble-denominated government bonds has recovered sharply so it remains to be seen whether that bullishness continues.Meanwhile, Ukraine -- the reason behind the original 2014 sanctions on Russia -- looks set to elect comedian Volodymyr Zelenskiy as president. Could the election of a new leader bring about some rapprochement between Kiev and Moscow? Watch this space."
