,date,titre,texte,article
0,"Jun 12, 2019 04:40AM ET",Adidas slides as traders say top investor GBL plans to sell part of stake,nan,"By Thyagaraju Adinarayan(Reuters) - Adidas (DE:ADSGN) shares fell 1.5% on Wednesday on expectations that one of the German sportswear firm's top shareholders, Groupe Bruxelles Lambert (GBL), was preparing to sell a portion of its stake, three traders said.Belgian investment firm GBL was placing a tenth of its 7.5% holding, or 1.37 million shares, at 257.75 euros ($292.11) on the market for sale, a 1.7% discount to Tuesday's closing price, the traders added.GBL and Adidas, whose shares hit record highs on Tuesday, were not immediately available for comment.At 0801 GMT, Adidas shares were down 2% at 256.9 euros and lagging the broader DAX index, which was down 0.3%. GBL, founded by Belgium's richest man Albert Frere, who died in December at the age of 92, first invested in Adidas in 2015 with the purchase of a 3% stake.GBL also holds stakes in some of Europe's biggest companies, including  Pernod Ricard  (PA:PERP), LafargeHolcim and Total.  /6938/FP_EN_site/FP_EN_TextNote 
"
1,"Jun 04, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.51%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Healthcare, Utilities and Basic Materials sectors led shares higher.At the close in Paris, the CAC 40 added 0.51%, while the SBF 120 index gained 0.49%.The best performers of the session on the CAC 40 were  Renault  SA (PA:RENA), which rose 4.28% or 2.32 points to trade at 56.57 at the close. Meanwhile, ArcelorMittal SA (AS:MT) added 4.05% or 0.540 points to end at 13.858 and  Valeo  SA (PA:VLOF) was up 3.66% or 0.87 points to 24.63 in late trade.The worst performers of the session were Dassault Systemes SE (PA:DAST), which fell 2.92% or 3.90 points to trade at 129.60 at the close. Orange SA (PA:ORAN) declined 2.40% or 0.34 points to end at 13.81 and  Pernod Ricard  SA (PA:PERP) was down 1.70% or 2.70 points to 156.30.The top performers on the SBF 120 were CGG SA (PA:GEPH) which rose 13.45% to 1.468,  Faurecia  (PA:EPED) which was up 6.64% to settle at 35.32 and Television Francaise 1 SA (PA:TFFP) which gained 5.15% to close at 8.675.The worst performers were  Ubisoft  Entertainment (PA:UBIP) which was down 3.27% to 71.080 in late trade,  Casino  Guichard Perrachon SA (PA:CASP) which lost 2.95% to settle at 32.86 and Dassault Systemes SE (PA:DAST) which was down 2.92% to 129.60 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 347 to 212 and 100 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.64% to 15.78.Gold Futures for August delivery was up 0.01% or 0.15 to $1328.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.53% or 0.28 to hit $53.53 a barrel, while the August Brent oil contract rose 0.96% or 0.59 to trade at $61.87 a barrel.EUR/USD was up 0.04% to 1.1245, while EUR/GBP fell 0.13% to 0.8862.The US Dollar Index Futures was up 0.07% at 97.127."
2,"May 31, 2019 01:06PM ET",France stocks lower at close of trade; CAC 40 down 0.79%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Utilities, Gas & Water and General Financial sectors led shares lower.At the close in Paris, the CAC 40 lost 0.79% to hit a new 3-months low, while the SBF 120 index lost 0.72%.The best performers of the session on the CAC 40 were  Worldline SA  (PA:WLN), which rose 1.41% or 0.750 points to trade at 53.900 at the close. Meanwhile, Veolia Environnement VE SA (PA:VIE) added 0.93% or 0.190 points to end at 20.710 and STMicroelectronics NV (PA:STM) was up 0.81% or 0.110 points to 13.695 in late trade.The worst performers of the session were  Renault  SA (PA:RENA), which fell 4.55% or 2.57 points to trade at 53.92 at the close. TechnipFMC PLC (PA:FTI) declined 2.54% or 0.49 points to end at 18.80 and  Pernod Ricard  SA (PA:PERP) was down 2.47% or 4.00 points to 157.80.The top performers on the SBF 120 were  Casino  Guichard Perrachon SA (PA:CASP) which rose 3.02% to 34.07, Electricite de France SA (PA:EDF) which was up 2.24% to settle at 12.56 and  Groupe FNAC  (PA:FNAC) which gained 1.79% to close at 68.200.The worst performers were  Natixis  (PA:CNAT) which was down 15.94% to 4.109 in late trade,  Faurecia  (PA:EPED) which lost 6.98% to settle at 33.07 and  Eramet  SA (PA:ERMT) which was down 4.71% to 50.62 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 344 to 213 and 84 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 4.62% to 16.95.Gold Futures for June delivery was up 1.31% or 16.80 to $1303.90 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 3.34% or 1.89 to hit $54.70 a barrel, while the August Brent oil contract fell 3.40% or 2.22 to trade at $63.11 a barrel.EUR/USD was up 0.27% to 1.1159, while EUR/GBP rose 0.13% to 0.8838.The US Dollar Index Futures was down 0.30% at 97.762."
3,"May 31, 2019 01:06PM ET",France stocks lower at close of trade; CAC 40 down 0.79%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Utilities, Gas & Water and General Financial sectors led shares lower.At the close in Paris, the CAC 40 fell 0.79% to hit a new 3-months low, while the SBF 120 index declined 0.72%.The best performers of the session on the CAC 40 were  Worldline SA  (PA:WLN), which rose 1.41% or 0.750 points to trade at 53.900 at the close. Meanwhile, Veolia Environnement VE SA (PA:VIE) added 0.93% or 0.190 points to end at 20.710 and STMicroelectronics NV (PA:STM) was up 0.81% or 0.110 points to 13.695 in late trade.The worst performers of the session were  Renault  SA (PA:RENA), which fell 4.55% or 2.57 points to trade at 53.92 at the close. TechnipFMC PLC (PA:FTI) declined 2.54% or 0.49 points to end at 18.80 and  Pernod Ricard  SA (PA:PERP) was down 2.47% or 4.00 points to 157.80.The top performers on the SBF 120 were  Casino  Guichard Perrachon SA (PA:CASP) which rose 3.02% to 34.07, Electricite de France SA (PA:EDF) which was up 2.24% to settle at 12.56 and  Groupe FNAC  (PA:FNAC) which gained 1.79% to close at 68.200.The worst performers were  Natixis  (PA:CNAT) which was down 15.94% to 4.109 in late trade,  Faurecia  (PA:EPED) which lost 6.98% to settle at 33.07 and  Eramet  SA (PA:ERMT) which was down 4.71% to 50.62 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 344 to 213 and 84 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 4.62% to 16.95.Gold Futures for June delivery was up 1.31% or 16.80 to $1303.90 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 3.34% or 1.89 to hit $54.70 a barrel, while the August Brent oil contract fell 3.40% or 2.22 to trade at $63.11 a barrel.EUR/USD was up 0.27% to 1.1159, while EUR/GBP rose 0.13% to 0.8838.The US Dollar Index Futures was down 0.30% at 97.762."
4,"May 23, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 1.81%,nan,"Investing.com – France stocks were lower after the close on Thursday, as losses in the Oil & Gas, Financials and Utilities sectors led shares lower.At the close in Paris, the CAC 40 fell 1.81%, while the SBF 120 index declined 1.85%.The best performers of the session on the CAC 40 were Sodexo SA (PA:EXHO), which rose 0.39% or 0.40 points to trade at 102.00 at the close. Meanwhile, Sanofi SA (PA:SASY) unchanged 0.00% or 0.00 points to end at 74.90 and  Pernod Ricard  SA (PA:PERP) was down 0.09% or 0.15 points to 161.75 in late trade.The worst performers of the session were STMicroelectronics NV (PA:STM), which fell 5.67% or 0.825 points to trade at 13.730 at the close. TechnipFMC PLC (PA:FTI) declined 4.47% or 0.92 points to end at 19.65 and ArcelorMittal SA (AS:MT) was down 4.45% or 0.652 points to 14.010.The top performers on the SBF 120 were Air France KLM SA (PA:AIRF) which rose 2.13% to 7.966, ALD SA (PA:ALDA) which was up 1.23% to settle at 13.22 and Rothschild & Co SCA (PA:ROTH) which gained 0.54% to close at 27.700.The worst performers were CGG SA (PA:GEPH) which was down 7.50% to 1.449 in late trade,  Casino  Guichard Perrachon SA (PA:CASP) which lost 6.40% to settle at 27.94 and STMicroelectronics NV (PA:STM) which was down 5.67% to 13.730 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 457 to 89 and 84 ended unchanged.Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; down 4.45% or 0.652 to 14.010. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 18.88% to 17.38.Gold Futures for June delivery was up 0.88% or 11.25 to $1285.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 5.99% or 3.68 to hit $57.74 a barrel, while the July Brent oil contract fell 5.23% or 3.71 to trade at $67.28 a barrel.EUR/USD was up 0.27% to 1.1182, while EUR/GBP rose 0.16% to 0.8821.The US Dollar Index Futures was down 0.19% at 97.697."
5,"Apr 19, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.31%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Industrials, Technology and Oil & Gas sectors led shares higher.At the close in Paris, the CAC 40 gained 0.31% to hit a new 6-months high, while the SBF 120 index gained 0.30%.The best performers of the session on the CAC 40 were Schneider Electric SE (PA:SCHN), which rose 2.72% or 2.04 points to trade at 77.00 at the close. Meanwhile,  Valeo  SA (PA:VLOF) added 2.43% or 0.77 points to end at 32.42 and  Publicis Groupe  SA (PA:PUBP) was up 1.54% or 0.78 points to 51.58 in late trade.The worst performers of the session were  Kering  SA (PA:PRTP), which fell 5.04% or 27.10 points to trade at 510.40 at the close. ArcelorMittal SA (AS:MT) declined 1.15% or 0.245 points to end at 21.040 and  Pernod Ricard  SA (PA:PERP) was down 1.06% or 1.65 points to 154.70.The top performers on the SBF 120 were  Soitec  SA (PA:SOIT) which rose 10.23% to 92.150,  Vicat  (PA:VCTP) which was up 5.63% to settle at 49.75 and  Groupe FNAC  (PA:FNAC) which gained 4.37% to close at 76.450.The worst performers were Kering SA (PA:PRTP) which was down 5.04% to 510.40 in late trade,  Ipsen  SA (PA:IPN) which lost 2.49% to settle at 117.60 and  Vallourec  (PA:VLLP) which was down 2.46% to 2.341 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 0 to 0.Shares in Soitec SA (PA:SOIT) rose to 5-year highs; up 10.23% or 8.550 to 92.150. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 2.94% to 11.38 a new 6-months low.Gold Futures for June delivery was down 0.01% or 0.01 to $1277.90 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May rose 0.38% or 0.24 to hit $64.00 a barrel, while the June Brent oil contract fell 0.04% or 0.03 to trade at $71.95 a barrel.EUR/USD was up 0.14% to 1.1244, while EUR/GBP rose 0.13% to 0.8649.The US Dollar Index Futures was up 0.49% at 97.132."
6,"Apr 18, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.31%,nan,"Investing.com – France stocks were higher after the close on Thursday, as gains in the Basic Materials, Consumer Goods and Oil & Gas sectors led shares higher.At the close in Paris, the CAC 40 added 0.31% to hit a new 6-months high, while the SBF 120 index climbed 0.30%.The best performers of the session on the CAC 40 were Schneider Electric SE (PA:SCHN), which rose 2.72% or 2.04 points to trade at 77.00 at the close. Meanwhile,  Valeo  SA (PA:VLOF) added 2.43% or 0.77 points to end at 32.42 and  Publicis Groupe  SA (PA:PUBP) was up 1.54% or 0.78 points to 51.58 in late trade.The worst performers of the session were  Kering  SA (PA:PRTP), which fell 5.04% or 27.10 points to trade at 510.40 at the close. ArcelorMittal SA (AS:MT) declined 1.15% or 0.245 points to end at 21.040 and  Pernod Ricard  SA (PA:PERP) was down 1.06% or 1.65 points to 154.70.The top performers on the SBF 120 were  Soitec  SA (PA:SOIT) which rose 10.23% to 92.150,  Vicat  (PA:VCTP) which was up 5.63% to settle at 49.75 and  Groupe FNAC  (PA:FNAC) which gained 4.37% to close at 76.450.The worst performers were Kering SA (PA:PRTP) which was down 5.04% to 510.40 in late trade,  Ipsen  SA (PA:IPN) which lost 2.49% to settle at 117.60 and  Vallourec  (PA:VLLP) which was down 2.46% to 2.341 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 306 to 269 and 93 ended unchanged.Shares in Soitec SA (PA:SOIT) rose to 5-year highs; up 10.23% or 8.550 to 92.150. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 2.94% to 11.38 a new 6-months low.Gold Futures for June delivery was down 0.10% or 1.25 to $1275.55 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May fell 0.19% or 0.12 to hit $63.64 a barrel, while the June Brent oil contract rose 0.07% or 0.05 to trade at $71.67 a barrel.EUR/USD was down 0.57% to 1.1229, while EUR/GBP fell 0.06% to 0.8651.The US Dollar Index Futures was up 0.51% at 97.150."
7,"Apr 18, 2019 05:00AM ET",Nestle and Unilever Raise Prices Without Stunting Growth,nan,"(Bloomberg) -- Europe’s consumer-goods giants are showing new signs of life by selling more food and cleaning supplies, even at higher prices.Nestle SA (SIX:NESN) and  Unilever  (LON:ULVR) surprised investors with strong starts to the year, reporting first-quarter sales growth that handily topped analysts’ estimates. The Swiss maker of KitKat bars and the Anglo-Dutch owner of Dove soap each cited a combination of improved pricing and higher volumes.Unilever rose as much as 3.6 percent in Amsterdam as Nestle traded as much as 1.3 percent higher in Zurich.The companies delivered a counterpoint to the cost-cut-driven performance of U.S. rival Kraft Heinz (NASDAQ:KHC) Co., which has slumped since a profit warning and asset write-down in February -- about two years after it made an unsuccessful approach to take over Unilever. Instead, the European multinationals joined U.S. peers like PepsiCo (NASDAQ:PEP) Inc. in selling more of their products. The companies also successfully passed higher raw-materials costs on to consumers.At Nestle, for example, the pricing gain of 1.2 percent was the biggest in 10 quarters. The businesses most hit by inflation included bottled water, with higher oil prices making plastic and transport more expensive. Unilever also noted higher costs of petrochemicals such as linear alkylbenzene, an ingredient in biodegradable detergents, along with increased prices for raw materials in the food sector.On Wednesday,  Danone  SA (PA:DANO) forecast milk-price inflation in high single digits this year, plus more expensive sugar and fruit. While sugar prices have risen over the past year, other commodities such as cocoa and coffee have fallen.“What companies like ourselves face is the impact of the input-costs increases and commodity-driven gains on the ground,” Unilever Chief Financial Officer Graeme Pitkethly said by phone. PepsiCo Chief Financial Officer Hugh Johnston said earlier this week that the drinks and snacks giant expects commodity inflation to increase over the rest of the year.While Europe and Japan are suffering from stubbornly low price increases or even deflation, higher rates of inflation are popping up in places like Turkey and Argentina. Moroccan consumers have held an informal boycott of Danone products via social media over the past year to protest what consumers see as unfair prices.While managing to raise prices, Nestle and Unilever also benefited by expanding into new areas as their old-line brands stagnate. Sales in Unilever’s home-care division, which grew at about twice the pace of the group figure, were driven in part by more eco-conscious products under the company’s Seventh Generation and Omo laundry brands. Acquisitions the Anglo-Dutch company has made since 2015 collectively grew at a double-digit rate in the quarter.Nestle Chief Executive Officer Mark Schneider has signed $14 billion of deals in 2018. The food giant has also been trying to fix or sell underperformers, with a sale for its Herta lunch-meat unit possibly coming by midyear and its dermatological business by year-end.Beating EstimatesNestle’s revenue climbed 3.4 percent on an organic basis in the first quarter, as Schneider beat the 2.8 percent analyst consensus by the biggest margin since he started leading the world’s largest food company in 2017.At Unilever, underlying sales rose 3.1 percent in the quarter. As with Nestle, analysts had expected 2.8 percent.A smaller consumer-focused company,  Pernod Ricard  (PA:PERP) SA, joined in the optimism on Thursday. While it missed sales-growth estimates for its fiscal third quarter, the French distiller raised its forecast for full-year growth in operating profit to about 8 percent from a range of 6 percent to 8 percent.(Updates with shares in third paragraph, inflation examples in fifth paragraph.)"
8,"Apr 18, 2019 03:21AM ET",Pernod CEO: in regular and 'courteous' talks with Elliott,nan,"By Dominique Vidalon and Pascale DenisPARIS (Reuters) - Drinks group  Pernod Ricard  (PA:PERP) is having regular and ""courteous"" talks with activist investor Elliott, although it is not necessarily meeting Elliott any more than it would with any other regular shareholder, the head of Pernod told Reuters.""There is a regular dialogue between the teams, but we do not see them more than other shareholders. My ambition remains to deliver on our strategic plan, that's my motto,"" CEO Alexandre Ricard said in a telephone interview.Pernod, which is the world's second-biggest spirits group behind  Diageo  (LON:DGE), is under pressure from New York hedge fund Elliott Management to improve profit margins and corporate governance.In February, Pernod vowed to lift its margins and shareholder returns under a three-year plan that Elliott described as a first small step.When asked about speculation that Pernod could sell the whole or part of its wine business, Ricard replied: ""Pernod Ricard has the firm intention to continue to actively manage its portfolio, in terms of either selling or buying.""Last month Bloomberg reported Pernod was considering the sale of its wine division, which includes Australian brand Jacob's Creek and Spain's Campo Viejo and makes roughly 5 percent of group sales.Ricard, whose company makes Havana Club rum in Cuba, added he was ""not worried"" about Pernod's business in Cuba, despite latest moves by U.S. President Donald Trump's administration.The Trump administration is lifting a long-standing ban against U.S. citizens filing lawsuits against foreign companies that use properties seized by Cuba’s Communist government since Fidel Castro’s 1959 revolution, Secretary of State Mike Pompeo said on Wednesday.The major policy shift, which the State Department said could draw hundreds of thousands of legal claims worth tens of billion of dollars, is intended to intensify pressure on Havana at a time Washington is demanding an end to Cuban support for Venezuela's socialist president, Nicolas Maduro.  /6938/FP_EN_site/FP_EN_TextNote 
"
9,"Apr 16, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.36%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Utilities, Financials and Basic Materials sectors led shares higher.At the close in Paris, the CAC 40 added 0.36% to hit a new 6-months high, while the SBF 120 index gained 0.38%.The best performers of the session on the CAC 40 were  Publicis Groupe  SA (PA:PUBP), which rose 3.71% or 1.77 points to trade at 49.52 at the close. Meanwhile, STMicroelectronics NV (PA:STM) added 2.14% or 0.340 points to end at 16.205 and EssilorLuxottica SA (PA:ESLX) was up 2.12% or 2.15 points to 103.75 in late trade.The worst performers of the session were  Vivendi  SA (PA:VIV), which fell 2.05% or 0.54 points to trade at 25.83 at the close.  Pernod Ricard  SA (PA:PERP) declined 1.79% or 2.85 points to end at 156.10 and Atos SE (PA:ATOS) was down 1.31% or 1.22 points to 91.74.The top performers on the SBF 120 were  Eramet  SA (PA:ERMT) which rose 19.68% to 71.02, Publicis Groupe SA (PA:PUBP) which was up 3.71% to settle at 49.52 and  Euronext  (PA:ENX) which gained 3.07% to close at 60.40.The worst performers were CGG SA (PA:GEPH) which was down 2.62% to 1.655 in late trade, Technicolor (PA:TCH) which lost 2.36% to settle at 1.156 and  Biomerieux  SA (PA:BIOX) which was down 2.20% to 75.70 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 340 to 223 and 100 ended unchanged.Shares in Euronext (PA:ENX) rose to 52-week highs; gaining 3.07% or 1.80 to 60.40. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 1.79% to 11.82.Gold Futures for June delivery was down 1.12% or 14.45 to $1276.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May rose 0.41% or 0.26 to hit $63.66 a barrel, while the June Brent oil contract rose 0.25% or 0.18 to trade at $71.36 a barrel.EUR/USD was down 0.21% to 1.1283, while EUR/GBP rose 0.17% to 0.8645.The US Dollar Index Futures was up 0.14% at 96.688."
