,date,titre,texte,article
0,"Jun 07, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 1.62%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Oil & Gas, Healthcare and Gas & Water sectors led shares higher.At the close in Paris, the CAC 40 added 1.62%, while the SBF 120 index gained 1.61%.The best performers of the session on the CAC 40 were Sanofi SA (PA:SASY), which rose 4.40% or 3.30 points to trade at 78.32 at the close. Meanwhile,  Worldline SA  (PA:WLN) added 3.43% or 1.950 points to end at 58.850 and Dassault Systemes SE (PA:DAST) was up 2.65% or 3.50 points to 135.35 in late trade.The worst performers of the session were  Societe Generale  SA (PA:SOGN), which fell 0.90% or 0.20 points to trade at 22.11 at the close.  BNP Paribas  SA (PA:BNPP) declined 0.46% or 0.19 points to end at 40.81 and  Peugeot  SA (PA:PEUP) was down 0.29% or 0.06 points to 20.54.The top performers on the SBF 120 were  Soitec  SA (PA:SOIT) which rose 8.48% to 83.800,  Vallourec  (PA:VLLP) which was up 5.51% to settle at 2.220 and  Mercialys  SA (PA:MERY) which gained 4.48% to close at 11.65.The worst performers were DBV Technologies (PA:DBV) which was down 2.05% to 16.280 in late trade, Genfit (PA:GNFT) which lost 2.00% to settle at 21.520 and Air France KLM SA (PA:AIRF) which was down 1.08% to 8.064 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 385 to 173 and 96 ended unchanged.Shares in Societe Generale SA (PA:SOGN) fell to 5-year lows; down 0.90% or 0.20 to 22.11. Shares in Worldline SA (PA:WLN) rose to all time highs; gaining 3.43% or 1.950 to 58.850. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 4.76% to 14.56.Gold Futures for August delivery was up 0.38% or 5.15 to $1347.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 2.22% or 1.17 to hit $53.76 a barrel, while the August Brent oil contract rose 2.19% or 1.35 to trade at $63.02 a barrel.EUR/USD was up 0.60% to 1.1341, while EUR/GBP rose 0.24% to 0.8896.The US Dollar Index Futures was down 0.56% at 96.458."
1,"May 30, 2019 01:03PM ET",France stocks mixed at close of trade; CAC 40 up 0.51%,nan,"Investing.com – France stocks were mixed after the close on Thursday, as gains in the Utilities, Gas & Water and General Financial sectors led shares higher while losses in the Financials, Consumer Services and Basic Materials sectors led shares lower.At the close in Paris, the CAC 40 rose 0.51%, while the SBF 120 index fell 1.66%.The best performers of the session on the CAC 40 were  Kering  SA (PA:PRTP), which rose 2.92% or 13.45 points to trade at 474.55 at the close. Meanwhile,  Vivendi  SA (PA:VIV) added 1.90% or 0.45 points to end at 24.10 and  Worldline SA  (PA:WLN) was up 1.33% or 0.700 points to 53.150 in late trade.The worst performers of the session were  Valeo  SA (PA:VLOF), which fell 5.36% or 1.37 points to trade at 24.19 at the close.  Peugeot  SA (PA:PEUP) declined 1.13% or 0.23 points to end at 20.10 and WFD Unibail Rodamco NV (AS:URW) was down 1.03% or 1.40 points to 134.95.The top performers on the SBF 120 were  Casino  Guichard Perrachon SA (PA:CASP) which rose 6.23% to 33.07,  Eramet  SA (PA:ERMT) which was up 5.23% to settle at 53.12 and  Remy Cointreau  (PA:RCOP) which gained 3.86% to close at 123.70.The worst performers were Valeo SA (PA:VLOF) which was down 5.36% to 24.19 in late trade,  Trigano  SA (PA:TRIA) which lost 3.24% to settle at 68.60 and CGG SA (PA:GEPH) which was down 1.76% to 1.369 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 314 to 213 and 97 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 4.68% to 16.20.Gold Futures for June delivery was up 0.42% or 5.40 to $1286.40 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 1.84% or 1.08 to hit $57.73 a barrel, while the August Brent oil contract fell 2.48% or 1.68 to trade at $66.19 a barrel.EUR/USD was up 0.08% to 1.1138, while EUR/GBP rose 0.20% to 0.8830.The US Dollar Index Futures was up 0.01% at 98.047."
2,"May 28, 2019 01:02PM ET",France stocks lower at close of trade; CAC 40 down 0.44%,nan,"Investing.com – France stocks were lower after the close on Tuesday, as losses in the Gas & Water, General Financial and Foods & Drugs sectors led shares lower.At the close in Paris, the CAC 40 declined 0.44%, while the SBF 120 index fell 0.37%.The best performers of the session on the CAC 40 were  Peugeot  SA (PA:PEUP), which rose 4.62% or 0.92 points to trade at 20.84 at the close. Meanwhile,  Worldline SA  (PA:WLN) added 2.52% or 1.300 points to end at 52.800 and LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH) was up 1.17% or 3.95 points to 342.60 in late trade.The worst performers of the session were  Safran  SA (PA:SAF), which fell 2.09% or 2.55 points to trade at 119.25 at the close. EssilorLuxottica SA (PA:ESLX) declined 2.07% or 2.20 points to end at 104.00 and  Societe Generale  SA (PA:SOGN) was down 1.95% or 0.45 points to 22.59.The top performers on the SBF 120 were  Neopost  SA (PA:NPOS) which rose 9.26% to 20.30, Peugeot SA (PA:PEUP) which was up 4.62% to settle at 20.84 and  Casino  Guichard Perrachon SA (PA:CASP) which gained 3.58% to close at 32.43.The worst performers were Rothschild & Co SCA (PA:ROTH) which was down 3.04% to 27.150 in late trade, SES (PA:SESFd) which lost 2.39% to settle at 13.70 and Metropole Television SA (PA:MMTP) which was down 2.16% to 15.84 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 285 to 256 and 96 ended unchanged.Shares in Societe Generale SA (PA:SOGN) fell to 5-year lows; losing 1.95% or 0.45 to 22.59. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 1.04% to 15.75.Gold Futures for June delivery was down 0.50% or 6.45 to $1277.15 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.96% or 0.56 to hit $59.19 a barrel, while the August Brent oil contract fell 0.10% or 0.07 to trade at $68.70 a barrel.EUR/USD was down 0.28% to 1.1164, while EUR/GBP fell 0.14% to 0.8817.The US Dollar Index Futures was up 0.38% at 97.843."
3,"May 27, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.37%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Industrials, Basic Materials and Utilities sectors led shares higher.At the close in Paris, the CAC 40 rose 0.37%, while the SBF 120 index gained 0.35%.The best performers of the session on the CAC 40 were  Renault  SA (PA:RENA), which rose 12.09% or 6.04 points to trade at 56.03 at the close. Meanwhile,  Valeo  SA (PA:VLOF) added 1.88% or 0.49 points to end at 26.52 and  Credit Agricole  SA (PA:CAGR) was up 1.62% or 0.165 points to 10.350 in late trade.The worst performers of the session were  Societe Generale  SA (PA:SOGN), which fell 6.53% or 1.61 points to trade at 23.05 at the close.  Peugeot  SA (PA:PEUP) declined 3.25% or 0.67 points to end at 19.92 and  Vivendi  SA (PA:VIV) was down 0.85% or 0.20 points to 23.40.The top performers on the SBF 120 were Renault SA (PA:RENA) which rose 12.09% to 56.03, DBV Technologies (PA:DBV) which was up 4.76% to settle at 17.150 and  Casino  Guichard Perrachon SA (PA:CASP) which gained 4.26% to close at 31.31.The worst performers were Societe Generale SA (PA:SOGN) which was down 6.53% to 23.05 in late trade,  Nexity  (PA:NEXI) which lost 5.36% to settle at 38.84 and Peugeot SA (PA:PEUP) which was down 3.25% to 19.92 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 311 to 232 and 87 ended unchanged.Shares in Societe Generale SA (PA:SOGN) fell to 5-year lows; falling 6.53% or 1.61 to 23.05. Shares in Societe Generale SA (PA:SOGN) fell to 5-year lows; losing 6.53% or 1.61 to 23.05. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.81% to 15.59.Gold Futures for June delivery was up 0.06% or 0.80 to $1284.40 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 1.06% or 0.62 to hit $59.25 a barrel, while the August Brent oil contract rose 1.99% or 1.34 to trade at $68.81 a barrel.EUR/USD was down 0.02% to 1.1200, while EUR/GBP rose 0.37% to 0.8830.The US Dollar Index Futures was up 0.15% at 97.625."
4,"May 27, 2019 04:39AM ET",StockBeat: The Spirit of Marchionne Lives on in FCA-Renault Deal,nan,"By Geoffrey SmithInvesting.com -- Sergio Marchionne may be gone, but his spirit lives on.The former Fiat boss would surely have applauded his successor’s plan for another transformative merger to address the problems of slowing demand and frighteningly large investment obligations as mobility becomes electric, autonomous and connected.FCA's (NYSE:FCAU) strongest card is the extra efficiency such scale creates: it estimates annual synergies at over 5 billion euros, in addition to those that  Renault  (PA:RENA) currently enjoys with its merger partner Nissan (T:7201). A combined FCA-Renault would be the world’s third-largest automotive group behind Toyota (T:7203) and Volkswagen (DE:VOWG_p). But – more importantly – it could also convince Nissan and Mitsubishi (T:8058) that there is no long-term alternative to deeper integration with Renault. That could enhance the efficiencies of scale still further.But as with so many of Marchionne’s grand designs, Fiat Chrysler’s move on Renault risks being bogged down by the details – and by the sheer number of moving parts in the deal.First, there is the promise of no plant closures. This comes after a six-month period in which – according to Bloomberg calculations – global carmakers have announced 38,000 job cuts. Of those, only 1,500 have come from FCA and none from Renault. The two companies are behind in the race to trim costs and this promise reduces their ability to extract the maximum benefit from the deal (although it’s conspicuous that there’s no promise about the safety of white-collar jobs)Second, there's the ownership question: the Financial Times has cited an unnamed French government official as saying the government isn’t opposed to the deal, but the French state’s stake would be diluted in a merged company, and it would only be the second largest shareholder behind Exor, the Agnelli family holding company now run by Johann Elkann. FCA has tried to address concerns of control by proposing an 11-member board with four members each from FCA and Renault, with one more from Nissan.Either way, markets have decided they like the idea, and have pushed Renault 13.7% higher on Monday morning, while FCA is up 9.9%.  Peugeot  (PA:PEUP), which could see its competitive position jeopardized, is down 2.6%. That’s helping the Italy lead Europe’s stock markets higher on a morning where the mood has been lifted by the reasonably strong showing of centrist parties in elections to the European parliament.The FTSE MIB is up 0.9%, while the French CAC 40 is up 0.3%. The benchmark Euro Stoxx 600, which includes a lot of U.K. stocks that aren’t trading today due to the local bank holiday, is up 0.4% at 377.32 as of 4.30 AM ET (0830 GMT)."
5,"May 22, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.12%,nan,"Investing.com – France stocks were lower after the close on Wednesday, as losses in the Utilities, Healthcare and Gas & Water sectors led shares lower.At the close in Paris, the CAC 40 fell 0.12%, while the SBF 120 index fell 0.12%.The best performers of the session on the CAC 40 were Atos SE (PA:ATOS), which rose 2.68% or 1.90 points to trade at 72.82 at the close. Meanwhile,  Worldline SA  (PA:WLN) added 2.05% or 1.050 points to end at 52.300 and Capgemini SE (PA:CAPP) was up 1.76% or 1.85 points to 106.70 in late trade.The worst performers of the session were TechnipFMC PLC (PA:FTI), which fell 2.70% or 0.57 points to trade at 20.57 at the close.  Credit Agricole  SA (PA:CAGR) declined 2.01% or 0.225 points to end at 10.980 and  Peugeot  SA (PA:PEUP) was down 1.97% or 0.42 points to 20.87.The top performers on the SBF 120 were  Neopost  SA (PA:NPOS) which rose 3.30% to 18.18,  Teleperformance  SE (PA:ROCH) which was up 3.20% to settle at 174.40 and Sopra Steria Group SA (PA:SOPR) which gained 3.11% to close at 109.40.The worst performers were  Vallourec  (PA:VLLP) which was down 5.94% to 2.312 in late trade, CGG SA (PA:GEPH) which lost 3.81% to settle at 1.567 and  Casino  Guichard Perrachon SA (PA:CASP) which was down 3.40% to 29.85 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 315 to 227 and 88 ended unchanged.Shares in Teleperformance SE (PA:ROCH) rose to all time highs; gaining 3.20% or 5.40 to 174.40. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.44% to 14.62.Gold Futures for June delivery was up 0.11% or 1.45 to $1274.65 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 3.10% or 1.96 to hit $61.17 a barrel, while the July Brent oil contract fell 2.13% or 1.54 to trade at $70.64 a barrel.EUR/USD was down 0.01% to 1.1157, while EUR/GBP rose 0.27% to 0.8803.The US Dollar Index Futures was up 0.01% at 97.903."
6,"May 13, 2019 04:18AM ET",StockBeat: Tariff Spotlight Shifts to European Automakers,nan,"By Geoffrey SmithInvesting.com -- The U.S. is now preparing to widen 25% tariffs on all imports from China. Will Europe be next?Autos aren’t the only sector faring badly after early trade Monday in Europe, but they’re clearly in the firing line after the U.S. demonstrated its willingness to use tariffs so forcefully over the weekend. A decision on whether to impose tariffs on European autos is due on Saturday and the signs aren’t good, with the U.S. administration's action against China over the weekend showing no sign of accepting conventional wisdom that tariffs choke growth and leave consumers worse off.“The reason autos are very important to our trade picture is about half of our trade deficit comes from the single product, automotive, and about the other half of our trade deficit comes from a geographic area and that’s called China,” U.S. Commerce Secretary Wilbur Ross told a press conference in Luxembourg on Friday.All of Europe’s big carmakers are down over 1% this morning, with  Daimler  (DE:DAIGn) down 2.8%, Volkswagen (DE:VOWG_p) down 1.4%,  Peugeot  (PA:PEUP) down 1.7%, Fiat Chrysler Automobiles (NYSE:FCAU) down 1.2% and BMW (DE:BMWG) down 1.1%.  Renault  (PA:RENA) is faring slightly better, down only 0.5% as a result of separate news of it making a formal merger proposal to Nissan (T:7201).The escalation of the trade war is hitting markets generally, with the benchmark Euro Stoxx 600 down 0.7% at 374.86 points, while the U.K. FTSE 100 is down 0.1%, Germany’s Dax is down 0.9% and the French CAC 40 is down 0.7%.The extent of the threat is best seen, however, in its impact throughout the supply chain. Parts maker  Valeo  (PA:VLOF) is at the bottom of the CAC 40, down 3.5%, tiremakers Continental (DE:CONG) and  Michelin  (PA:MICP) are also down sharply, and even chipmakers Infineon (DE:IFXGn) and STMicroelectronics (PA:STM) are being affected by the general malaise, due to their exposure to the auto sector.All that said, the sector may get a stay of execution. EU Trade Commissioner Cecilia Malmstrom said in an interview with the German newspaper Sueddeutsche Zeitung that “there are signs that (the deadline) could be extended because of the talks between the U.S. and China.”“We’re prepared for the worst,” she added, noting that the EU has drawn up a list of U.S. products that would also have tariffs imposed on them if the U.S. goes ahead with its threat"
7,"Apr 30, 2019 11:38AM ET","Lyft elevates GM first-quarter profit, pickups in driver's seat",nan,"By Nick Carey and Ben KlaymanDETROIT (Reuters) - General Motors Co (NYSE:GM) on Tuesday reported a higher-than-expected quarterly profit, lifted by revaluations of shares it holds in ride-hailing company  Lyft  Inc (NASDAQ:LYFT) and France's  Peugeot  SA (PA:PEUP). Excluding the benefits of those revaluations, GM delivered results in line with analyst predictions, driven mostly by highly lucrative pickup truck sales in the U.S. market. The No. 1 U.S. automaker's shares were down 2.7 percent in morning trading.The earnings came after a 7 percent decline in U.S. new-vehicle sales in the first quarter, in which smaller rival Fiat Chrysler Automobiles NV's pickup trucks outsold GM's. ""We remain concerned with the U.S. auto cycle, both from a pricing and volume perspective,"" Buckingham Research analyst Joseph Amaturo wrote in a client note. ""Moreover, specific to GM, we are concerned about recently monthly pick-up truck and market share stats.""GM's sales in China also dropped almost 20 percent and profit there declined 37 percent. Auto sales in China industrywide fell 2.8 percent last year and were down again in the first quarter.GM Chief Financial Officer Dhivya Suryadevara told reporters that the Chinese market remains ""volatile.""""From an economic standpoint, there are green shoots,"" she said. ""But we have yet to see that translate to vehicle demand.""GM will launch 20 new models in China in 2019, most of them in the second half of the year. In the United States, the automaker had around four months supply of its Chevrolet Silverado pickup truck on the ground as of the beginning of April, a high level in an auto market that overall is expected to decline in 2019.CFO Suryadevara said that the company's inventory would be brought down over the course of the year without use of heavy consumer discounts. She said that tariffs and higher commodity prices would cost GM around $1 billion in 2019.As recently as late last year, GM executives insisted the automaker's Cruise self-driving unit would launch a commercial ride-hailing service by the end of 2019. However, when asked several times on Tuesday when that service would launch, neither CFO Suryadevara nor Chief Executive Mary Barra would provide a date, repeatedly responding that GM's efforts would be ""gated by safety."" GM said it is ""bullish"" on pickup truck sales for the rest of 2019 as more versions of its new Silverado hit dealer showrooms and its heavy-duty trucks launch in the second half of the year. Last week, rival Ford Motor (NYSE:F) Co reported a higher-than-expected first-quarter profit on strong pickup truck sales in its core U.S. market and said it was confident its 2019 results would be better than those of last year.Ford said last week it will invest $500 million in U.S. electric vehicle startup Rivian Automotive LLC, joining Amazon.com Inc (NASDAQ:AMZN) in backing the potential rival to Silicon Valley's Tesla (NASDAQ:TSLA) Inc. According to sources, GM had previously been in talks with Rivian about a possible investment.GM CEO Barra told analysts on Tuesday the automaker will produce a full range of electric vehicles, including an all-electric pickup truck, but she did not provide details.General Motors has preferred shares in Peugeot from when it sold its German Opel unit to the Paris-based automaker in 2017. Lyft completed an initial public offering at the end of the first quarter and the value of GM's stake rose $300 million. The increased value of those stakes added 31 cents per share to GM's first-quarter profit.GM reported a first-quarter net profit of $2.2 billion, or $1.48 per share, up from $1.05 billion, or 72 cents per share, a year earlier. Excluding one-items, the company earned $1.41 per share. Analysts on average expected $1.11. The company's revenue for the quarter fell to $34.9 billion from $36.1 billion a year earlier. GM reiterated its full-year 2019 profit outlook for earnings per share of between $6.50 and $7.  /6938/FP_EN_site/FP_EN_TextNote 
"
8,"Apr 26, 2019 04:32AM ET","StockBeat: Daimler, Renault Cap a Miserable Quarter for Autos",nan,"By Geoffrey SmithOh Lord, won’t somebody buy a Mercedes-Benz?The troubles affecting Europe’s automakers are on full display Friday, as both Mercedes parent  Daimler  (DE:DAIGn) and France’s  Renault  (PA:RENA) reported falling sales in the first quarter.The German company sold 7% fewer vehicles in the first quarter than it did a year earlier, with declines in all three of its most important regions – China (3%), Europe (4%) and the U.S. (9%). Earnings before interest and tax slid 16% although, at 2.8 billion euros ($3.1 billion), they still beat consensus forecasts by nearly 10%.Even though outgoing Chief Executive Dieter Zetsche reaffirmed the company’s full-year outlook, the company’s shares were still down 0.3% on the news. That was lagging the local Dax index, which was broadly unchanged.The benchmark Euro Stoxx 600 index was also flat, losing 0.12 points – less than 0.1% to 390.02. The U.K. FTSE 100 was down 0.2%.Daimler is facing a steep rise in investment obligations as it migrates to electric vehicles, along with its German peers Volkswagen (DE:VOWG_p) and BMW (DE:BMWG). The three are all facing the prospect of fines from the European Commission for colluding to keep sub-optimal diesel engines on the road when they had better technology available to deploy.Renault has problems of a slightly different nature, most obviously in the enormous distraction created by the criminal charges against its long-time CEO Carlos Ghosn. The Wall Street Journal is reporting Friday that the French company is preparing to propose a merger with Nissan, its Japanese partner, hoping to restore a relationship that has been badly strained by the Ghosn affair.Renault's greater exposure to emerging markets such as Turkey and Argentina has hurt it in recent months, and like its European rivals it has had to abandon hopes of making money in Iran in the wake of President Donald Trump’s decision to tighten sanctions on the country.Renault’s sales were down 5.6%, although it eked out a 2% gain in Europe, its most important market. As a result, its shares outperformed the local CAC 40 index, rising 1.7%.Europe’s other carmakers such as Volvo (OTC:VLVLY) and  Peugeot  (PA:PEUP) have also reported weak first quarters."
9,"Apr 25, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.33%,nan,"Investing.com – France stocks were lower after the close on Thursday, as losses in the Oil & Gas, Utilities and Basic Materials sectors led shares lower.At the close in Paris, the CAC 40 declined 0.33%, while the SBF 120 index declined 0.42%.The best performers of the session on the CAC 40 were  Carrefour  SA (PA:CARR), which rose 3.55% or 0.59 points to trade at 17.35 at the close. Meanwhile, Atos SE (PA:ATOS) added 1.22% or 1.14 points to end at 94.70 and  Air Liquide  SA (PA:AIRP) was up 1.02% or 1.20 points to 119.00 in late trade.The worst performers of the session were  Peugeot  SA (PA:PEUP), which fell 3.05% or 0.74 points to trade at 23.55 at the close. ArcelorMittal SA (AS:MT) declined 1.81% or 0.364 points to end at 19.796 and STMicroelectronics NV (PA:STM) was down 1.66% or 0.280 points to 16.560.The top performers on the SBF 120 were Carrefour SA (PA:CARR) which rose 3.55% to 17.35, DBV Technologies (PA:DBV) which was up 2.60% to settle at 17.340 and  Mercialys  SA (PA:MERY) which gained 2.41% to close at 12.74.The worst performers were BIC (PA:BICP) which was down 7.89% to 76.50 in late trade,  Ipsen  SA (PA:IPN) which lost 4.95% to settle at 115.10 and  Aperam  SA (AS:APAM) which was down 4.20% to 27.85 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 348 to 224 and 83 ended unchanged.Shares in Air Liquide SA (PA:AIRP) rose to 3-years highs; gaining 1.02% or 1.20 to 119.00. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 2.79% to 13.23.Gold Futures for June delivery was up 0.03% or 0.35 to $1279.75 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June fell 0.21% or 0.14 to hit $65.75 a barrel, while the June Brent oil contract rose 0.39% or 0.29 to trade at $74.86 a barrel.EUR/USD was down 0.14% to 1.1136, while EUR/GBP fell 0.11% to 0.8632.The US Dollar Index Futures was up 0.01% at 97.865."
