,date,titre,texte,article
0,"Jun 21, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.13%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Foods & Drugs, Gas & Water and General Financial sectors led shares lower.At the close in Paris, the CAC 40 fell 0.13%, while the SBF 120 index declined 0.26%.The best performers of the session on the CAC 40 were  Renault  SA (PA:RENA), which rose 2.37% or 1.30 points to trade at 56.15 at the close. Meanwhile,  Societe Generale  SA (PA:SOGN) added 1.50% or 0.33 points to end at 22.05 and  Air Liquide  SA (PA:AIRP) was up 1.33% or 1.60 points to 122.35 in late trade.The worst performers of the session were  Publicis Groupe  SA (PA:PUBP), which fell 3.03% or 1.50 points to trade at 47.96 at the close. Dassault Systemes SE (PA:DAST) declined 2.46% or 3.50 points to end at 138.60 and  Vinci  SA (PA:SGEF) was down 1.77% or 1.64 points to 91.04.The top performers on the SBF 120 were  Elior  Group (PA:ELIOR) which rose 6.39% to 12.16,  Vallourec  (PA:VLLP) which was up 3.52% to settle at 2.528 and  Euronext  (PA:ENX) which gained 2.83% to close at 67.30.The worst performers were  Casino  Guichard Perrachon SA (PA:CASP) which was down 5.36% to 30.00 in late trade,  Neopost  SA (PA:NPOS) which lost 5.17% to settle at 18.71 and SES (PA:SESFd) which was down 4.86% to 13.22 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 349 to 220 and 90 ended unchanged.Shares in Air Liquide SA (PA:AIRP) rose to all time highs; gaining 1.33% or 1.60 to 122.35. Shares in Euronext (PA:ENX) rose to all time highs; up 2.83% or 1.85 to 67.30. Shares in SES (PA:SESFd) fell to 52-week lows; falling 4.86% or 0.68 to 13.22. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.26% to 13.24 a new 1-month low.Gold Futures for August delivery was up 0.08% or 1.05 to $1397.95 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in August rose 0.79% or 0.45 to hit $57.52 a barrel, while the August Brent oil contract rose 1.19% or 0.77 to trade at $65.22 a barrel.EUR/USD was up 0.44% to 1.1341, while EUR/GBP rose 0.43% to 0.8926.The US Dollar Index Futures was down 0.23% at 95.917."
1,"Jun 20, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.31%,nan,"Investing.com – France stocks were higher after the close on Thursday, as gains in the Foods & Drugs, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 added 0.31% to hit a new 1-month high, while the SBF 120 index gained 0.21%.The best performers of the session on the CAC 40 were TechnipFMC PLC (PA:FTI), which rose 3.35% or 0.71 points to trade at 21.89 at the close. Meanwhile, STMicroelectronics NV (PA:STM) added 2.40% or 0.355 points to end at 15.170 and Capgemini SE (PA:CAPP) was up 1.48% or 1.50 points to 103.00 in late trade.The worst performers of the session were  Credit Agricole  SA (PA:CAGR), which fell 2.93% or 0.315 points to trade at 10.435 at the close.  Publicis Groupe  SA (PA:PUBP) declined 2.48% or 1.26 points to end at 49.46 and  Carrefour  SA (PA:CARR) was down 2.41% or 0.41 points to 16.79.The top performers on the SBF 120 were  Vallourec  (PA:VLLP) which rose 6.82% to 2.442, CGG SA (PA:GEPH) which was up 4.25% to settle at 1.694 and TechnipFMC PLC (PA:FTI) which gained 3.35% to close at 21.89.The worst performers were  Natixis  (PA:CNAT) which was down 11.76% to 3.480 in late trade, Air France KLM SA (PA:AIRF) which lost 4.38% to settle at 7.550 and  Casino  Guichard Perrachon SA (PA:CASP) which was down 3.65% to 31.70 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 299 to 266 and 92 ended unchanged.Shares in Natixis (PA:CNAT) fell to 52-week lows; falling 11.76% or 0.464 to 3.480. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 0.22% to 13.68.Gold Futures for August delivery was up 3.21% or 43.30 to $1392.10 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in August rose 5.37% or 2.90 to hit $56.87 a barrel, while the August Brent oil contract rose 3.88% or 2.40 to trade at $64.22 a barrel.EUR/USD was up 0.60% to 1.1292, while EUR/GBP rose 0.11% to 0.8888.The US Dollar Index Futures was down 0.43% at 96.167."
2,"Jun 18, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 2.20%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Foods & Drugs, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 added 2.20% to hit a new 1-month high, while the SBF 120 index climbed 2.17%.The best performers of the session on the CAC 40 were ArcelorMittal SA (AS:MT), which rose 6.32% or 0.908 points to trade at 15.282 at the close. Meanwhile,  Accor  SA (PA:ACCP) added 4.91% or 1.70 points to end at 36.32 and Engie SA (PA:ENGIE) was up 4.72% or 0.60 points to 13.43 in late trade.The worst performers of the session were  Renault  SA (PA:RENA), which fell 2.60% or 1.46 points to trade at 54.73 at the close. Sodexo SA (PA:EXHO) added 0.05% or 0.05 points to end at 104.95 and  Publicis Groupe  SA (PA:PUBP) was up 0.08% or 0.04 points to 50.22.The top performers on the SBF 120 were CGG SA (PA:GEPH) which rose 8.10% to 1.661, ArcelorMittal SA (AS:MT) which was up 6.32% to settle at 15.282 and Spie SA (PA:SPIE) which gained 5.77% to close at 16.490.The worst performers were Renault SA (PA:RENA) which was down 2.60% to 54.73 in late trade, Sopra Steria Group SA (PA:SOPR) which lost 1.77% to settle at 96.85 and Genfit (PA:GNFT) which was down 0.71% to 18.170 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 386 to 183 and 86 ended unchanged.Shares in Sodexo SA (PA:EXHO) rose to 52-week highs; gaining 0.05% or 0.05 to 104.95. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 1.55% to 13.76 a new 1-month low.Gold Futures for August delivery was up 0.67% or 8.95 to $1351.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in August rose 3.68% or 1.92 to hit $54.09 a barrel, while the August Brent oil contract rose 2.13% or 1.30 to trade at $62.24 a barrel.EUR/USD was down 0.14% to 1.1201, while EUR/GBP fell 0.30% to 0.8922.The US Dollar Index Futures was up 0.06% at 97.113."
3,"Jun 03, 2019 02:10PM ET","In Chrysler, France May Be Served a Slice of Corporate Americana",nan,"(Bloomberg) -- Chrysler has bounced around between different owners for the better part of two decades. Next up: the French government.If a board meeting slated for Tuesday goes according to plan and seals the merger between Fiat Chrysler Automobiles NV and  Renault  SA (PA:RENA), the French government will end up owning a 7.5% sliver of the combined group. And while there are plenty of French companies owning U.S. household names -- think luxury house LVMH or advertising giant  Publicis Groupe  SA (PA:PUBP) -- the involvement of the state in a storied U.S. consumer brand is still an unusual corporate development.That the French government would ascend to a stakeholder in Chrysler is testament to the twists and turns that have characterized the U.S. carmaker’s winding corporate road, as well as France’s long history as a Renault shareholder. Founded in 1925, Chrysler ascended to the Big Three that dominated American roads for decades, though it’s long been the scrappy player trailing behind General Motors (NYSE:GM) and Ford Motor (NYSE:F).Germany’s  Daimler  AG (DE:DAIGn) bought the company in 1998, only to unceremoniously divest less than a decade later amid mounting losses. Following the global recession, Chrysler combined with Fiat SpA, which has managed to turn the business around.Among the company’s stable of products is the Jeep, which has a cult following among U.S. consumers and dates back to World War II, when the U.S. government solicited bids for a four-wheel drive vehicle to ferry soldiers over rugged European terrain. Chrysler’s lineup also includes Ram pickup trucks and Dodge Charger and Challenger muscle cars that have graces American garages for decades.In the past, Chrysler churned out oversize, gas-guzzling LeBaron sedans and Plymouth station wagons. In many ways, that history runs counter to France’s auto industry, which built a reputation for zippy and quirky cars like the Citroen DS, Renault R4 and Espace or the Peugeot 504, a rugged and boxy station wagon popular in far-flung places like Africa.Under the 34 billion-euro planned Franco-Italian deal, the French state’s 15% stake in Renault will be cut in half. While that might sound like a diminished role, French Finance Minister Bruno Le Maire is still pushing for guarantees on French jobs and factories, as well as future influence. Paris is also pressing for boardroom representation along with operational headquarters for the combined company in France and the nomination of Renault Chairman Jean-Dominique Senard as chief executive officer for four years, Bloomberg News has reported.U.S. President Donald Trump has been mum about the potential deal. The “America first” leader has been a cheerleader for Detroit’s carmakers, with the exception of when they’ve closed plants or plotted investments in Mexico. He cheered Fiat Chrysler earlier this year for adding jobs in Michigan, but the company continues to operate several factories south of the border and recently cut a shift of workers at a plant in Illinois.If the Renault board gives the green light to the deal, Jeep and Ram would become part of a broad mix of brands and nameplates, ranging from Italian marques Maserati and Alfa Romeo to the diminutive Fiat 500 and compact Renault Clio. Fiat’s founding shareholder, the Agnelli family’s holding company Exor NV, would be the single largest investor."
4,"May 07, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 1.60%,nan,"Investing.com – France stocks were lower after the close on Tuesday, as losses in the Oil & Gas, Consumer Goods and Consumer Services sectors led shares lower.At the close in Paris, the CAC 40 lost 1.60% to hit a new 1-month low, while the SBF 120 index fell 1.49%.The best performers of the session on the CAC 40 were  Carrefour  SA (PA:CARR), which rose 2.72% or 0.47 points to trade at 17.58 at the close. Meanwhile, Veolia Environnement VE SA (PA:VIE) added 1.84% or 0.390 points to end at 21.600 and  Publicis Groupe  SA (PA:PUBP) was up 0.42% or 0.22 points to 52.76 in late trade.The worst performers of the session were  Worldline SA  (PA:WLN), which fell 4.93% or 2.700 points to trade at 52.050 at the close.  Societe Generale  SA (PA:SOGN) declined 3.89% or 1.09 points to end at 27.09 and Atos SE (PA:ATOS) was down 3.75% or 2.58 points to 66.30.The top performers on the SBF 120 were  Iliad  (PA:ILD) which rose 4.75% to 98.82, Carrefour SA (PA:CARR) which was up 2.72% to settle at 17.58 and  Nexity  (PA:NEXI) which gained 2.02% to close at 41.48.The worst performers were  Imerys  SA (PA:IMTP) which was down 14.48% to 40.40 in late trade,  Solvay  SA (BR:SOLB) which lost 6.69% to settle at 96.72 and Worldline SA (PA:WLN) which was down 4.93% to 52.050 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 343 to 217 and 93 ended unchanged.Shares in Veolia Environnement VE SA (PA:VIE) rose to 52-week highs; rising 1.84% or 0.390 to 21.600. Shares in Imerys SA (PA:IMTP) fell to 5-year lows; losing 14.48% or 6.84 to 40.40. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 18.14% to 17.96 a new 3-months high.Gold Futures for June delivery was up 0.12% or 1.55 to $1285.35 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June fell 1.12% or 0.70 to hit $61.55 a barrel, while the July Brent oil contract fell 1.26% or 0.90 to trade at $70.34 a barrel.EUR/USD was down 0.20% to 1.1175, while EUR/GBP rose 0.12% to 0.8558.The US Dollar Index Futures was up 0.19% at 97.453."
5,"Apr 26, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.21%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Gas & Water, General Financial and Foods & Drugs sectors led shares higher.At the close in Paris, the CAC 40 gained 0.21%, while the SBF 120 index climbed 0.30%.The best performers of the session on the CAC 40 were  Valeo  SA (PA:VLOF), which rose 6.65% or 2.05 points to trade at 32.88 at the close. Meanwhile,  Publicis Groupe  SA (PA:PUBP) added 3.70% or 1.90 points to end at 53.24 and Sanofi SA (PA:SASY) was up 3.50% or 2.58 points to 76.20 in late trade.The worst performers of the session were Capgemini SE (PA:CAPP), which fell 5.04% or 5.75 points to trade at 108.25 at the close. STMicroelectronics NV (PA:STM) declined 2.08% or 0.345 points to end at 16.215 and ArcelorMittal SA (AS:MT) was down 2.00% or 0.396 points to 19.400.The top performers on the SBF 120 were  Ipsos  (PA:ISOS) which rose 14.10% to 26.30, Sopra Steria Group SA (PA:SOPR) which was up 7.59% to settle at 117.70 and SES (PA:SESFd) which gained 7.46% to close at 15.12.The worst performers were Technicolor (PA:TCH) which was down 8.92% to 1.072 in late trade,  Ipsen  SA (PA:IPN) which lost 8.51% to settle at 105.30 and  Casino  Guichard Perrachon SA (PA:CASP) which was down 5.68% to 35.53 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 328 to 253 and 84 ended unchanged.Shares in Ipsen SA (PA:IPN) fell to 52-week lows; down 8.51% or 9.80 to 105.30. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.64% to 12.75.Gold Futures for June delivery was up 0.82% or 10.55 to $1290.25 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June fell 3.97% or 2.59 to hit $62.62 a barrel, while the June Brent oil contract fell 4.06% or 3.02 to trade at $71.33 a barrel.EUR/USD was up 0.29% to 1.1162, while EUR/GBP rose 0.05% to 0.8631.The US Dollar Index Futures was down 0.28% at 97.643."
6,"Apr 19, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.31%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Industrials, Technology and Oil & Gas sectors led shares higher.At the close in Paris, the CAC 40 gained 0.31% to hit a new 6-months high, while the SBF 120 index gained 0.30%.The best performers of the session on the CAC 40 were Schneider Electric SE (PA:SCHN), which rose 2.72% or 2.04 points to trade at 77.00 at the close. Meanwhile,  Valeo  SA (PA:VLOF) added 2.43% or 0.77 points to end at 32.42 and  Publicis Groupe  SA (PA:PUBP) was up 1.54% or 0.78 points to 51.58 in late trade.The worst performers of the session were  Kering  SA (PA:PRTP), which fell 5.04% or 27.10 points to trade at 510.40 at the close. ArcelorMittal SA (AS:MT) declined 1.15% or 0.245 points to end at 21.040 and  Pernod Ricard  SA (PA:PERP) was down 1.06% or 1.65 points to 154.70.The top performers on the SBF 120 were  Soitec  SA (PA:SOIT) which rose 10.23% to 92.150,  Vicat  (PA:VCTP) which was up 5.63% to settle at 49.75 and  Groupe FNAC  (PA:FNAC) which gained 4.37% to close at 76.450.The worst performers were Kering SA (PA:PRTP) which was down 5.04% to 510.40 in late trade,  Ipsen  SA (PA:IPN) which lost 2.49% to settle at 117.60 and  Vallourec  (PA:VLLP) which was down 2.46% to 2.341 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 0 to 0.Shares in Soitec SA (PA:SOIT) rose to 5-year highs; up 10.23% or 8.550 to 92.150. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 2.94% to 11.38 a new 6-months low.Gold Futures for June delivery was down 0.01% or 0.01 to $1277.90 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May rose 0.38% or 0.24 to hit $64.00 a barrel, while the June Brent oil contract fell 0.04% or 0.03 to trade at $71.95 a barrel.EUR/USD was up 0.14% to 1.1244, while EUR/GBP rose 0.13% to 0.8649.The US Dollar Index Futures was up 0.49% at 97.132."
7,"Apr 18, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.31%,nan,"Investing.com – France stocks were higher after the close on Thursday, as gains in the Basic Materials, Consumer Goods and Oil & Gas sectors led shares higher.At the close in Paris, the CAC 40 added 0.31% to hit a new 6-months high, while the SBF 120 index climbed 0.30%.The best performers of the session on the CAC 40 were Schneider Electric SE (PA:SCHN), which rose 2.72% or 2.04 points to trade at 77.00 at the close. Meanwhile,  Valeo  SA (PA:VLOF) added 2.43% or 0.77 points to end at 32.42 and  Publicis Groupe  SA (PA:PUBP) was up 1.54% or 0.78 points to 51.58 in late trade.The worst performers of the session were  Kering  SA (PA:PRTP), which fell 5.04% or 27.10 points to trade at 510.40 at the close. ArcelorMittal SA (AS:MT) declined 1.15% or 0.245 points to end at 21.040 and  Pernod Ricard  SA (PA:PERP) was down 1.06% or 1.65 points to 154.70.The top performers on the SBF 120 were  Soitec  SA (PA:SOIT) which rose 10.23% to 92.150,  Vicat  (PA:VCTP) which was up 5.63% to settle at 49.75 and  Groupe FNAC  (PA:FNAC) which gained 4.37% to close at 76.450.The worst performers were Kering SA (PA:PRTP) which was down 5.04% to 510.40 in late trade,  Ipsen  SA (PA:IPN) which lost 2.49% to settle at 117.60 and  Vallourec  (PA:VLLP) which was down 2.46% to 2.341 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 306 to 269 and 93 ended unchanged.Shares in Soitec SA (PA:SOIT) rose to 5-year highs; up 10.23% or 8.550 to 92.150. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 2.94% to 11.38 a new 6-months low.Gold Futures for June delivery was down 0.10% or 1.25 to $1275.55 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May fell 0.19% or 0.12 to hit $63.64 a barrel, while the June Brent oil contract rose 0.07% or 0.05 to trade at $71.67 a barrel.EUR/USD was down 0.57% to 1.1229, while EUR/GBP fell 0.06% to 0.8651.The US Dollar Index Futures was up 0.51% at 97.150."
8,"Apr 16, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.36%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Utilities, Financials and Basic Materials sectors led shares higher.At the close in Paris, the CAC 40 added 0.36% to hit a new 6-months high, while the SBF 120 index gained 0.38%.The best performers of the session on the CAC 40 were  Publicis Groupe  SA (PA:PUBP), which rose 3.71% or 1.77 points to trade at 49.52 at the close. Meanwhile, STMicroelectronics NV (PA:STM) added 2.14% or 0.340 points to end at 16.205 and EssilorLuxottica SA (PA:ESLX) was up 2.12% or 2.15 points to 103.75 in late trade.The worst performers of the session were  Vivendi  SA (PA:VIV), which fell 2.05% or 0.54 points to trade at 25.83 at the close.  Pernod Ricard  SA (PA:PERP) declined 1.79% or 2.85 points to end at 156.10 and Atos SE (PA:ATOS) was down 1.31% or 1.22 points to 91.74.The top performers on the SBF 120 were  Eramet  SA (PA:ERMT) which rose 19.68% to 71.02, Publicis Groupe SA (PA:PUBP) which was up 3.71% to settle at 49.52 and  Euronext  (PA:ENX) which gained 3.07% to close at 60.40.The worst performers were CGG SA (PA:GEPH) which was down 2.62% to 1.655 in late trade, Technicolor (PA:TCH) which lost 2.36% to settle at 1.156 and  Biomerieux  SA (PA:BIOX) which was down 2.20% to 75.70 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 340 to 223 and 100 ended unchanged.Shares in Euronext (PA:ENX) rose to 52-week highs; gaining 3.07% or 1.80 to 60.40. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 1.79% to 11.82.Gold Futures for June delivery was down 1.12% or 14.45 to $1276.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May rose 0.41% or 0.26 to hit $63.66 a barrel, while the June Brent oil contract rose 0.25% or 0.18 to trade at $71.36 a barrel.EUR/USD was down 0.21% to 1.1283, while EUR/GBP rose 0.17% to 0.8645.The US Dollar Index Futures was up 0.14% at 96.688."
9,"Apr 15, 2019 08:42AM ET","Stocks - Goldman Sachs, Boeing Fall Premarket; Waste Management Rises",nan,Investing.com - Stocks in focus in premarket trading on Monday:
