,date,titre,texte,article
0,"2 hours ago (Jun 23, 2019 02:21PM ET)",Hamilton dominates in France on a dull day for F1,nan,"By Alan BaldwinLE CASTELLET, France (Reuters) - Lewis Hamilton put on a display of domination in a processional French Grand Prix on Sunday to go 36 points clear in the Formula One world championship and stretch Mercedes's winning run to 10 races.On a scorchingly hot afternoon at Le Castellet's Paul Ricard circuit, Hamilton put the rest of the field in the shade as he led from start to finish to take his fourth win in a row and sixth of the season.The Briton took the chequered flag 18 seconds ahead of Finnish team mate Valtteri Bottas, who was pushed hard at the end by Ferrari's Charles Leclerc in a short-lived moment of tension.While Mercedes celebrated their 50th one-two finish, fans around the world could be excused for stifling their yawns after a race that staked a solid claim for most boring of the year.""We are creating history together and I'm so proud to be part of this team,"" said Hamilton, who also won from pole last year at Le Castellet in a race where traffic gridlock on the roads outside proved more of a talking point.""It wasn't easy at all and everything is on the edge. I had quite big blisters on the front two tires - but this has been the best start of the year.""The five-times world champion now has 79 career wins, 12 short of Michael Schumacher's all-time record with 13 races remaining this season. He has 187 points to Bottas's 151. Ferrari's Sebastian Vettel, fifth on Sunday, is now 76 points behind Hamilton -- the equivalent to more than three race wins.Mercedes, heading for an unprecedented sixth straight constructors' and drivers' title double, have won all eight races this year as well as the last two of 2018 and look unstoppable.If they win in Austria next weekend, they will equal McLaren's achievement of 11 wins in a row in 1988 -- the longest sequence of success in the modern era.Statistics aside, the race was a forgettable one with the top four finishing in the order they started and an absence of controversy after a Canadian Grand Prix that stirred up plenty of heated debate.BROKEN BOLLARDUntil the closing laps, the main thrill was provided by a brave marshal who darted across the track to retrieve a broken bollard.Hamilton made a clean start, was 2.3 seconds clear of Bottas after six laps and continued to pull away despite complaining at one point that something had broken on his seat - a gripe undermined by the Briton lapping faster and faster.He was so far ahead by the time he pitted that he came out ahead of Vettel, who had yet to make his stop.Max Verstappen was fourth for Red Bull while Vettel, who had started seventh on the grid, pitted on the penultimate lap for fresh tires to snatch an extra point for fastest lap from Hamilton.""This weekend, the biggest aim was to close the gap as much as possible and we failed,"" said Vettel, who has not won for 16 races.""We have to understand why some of the bits we brought didn’t work and hopefully we can try again and the track layout in Austria next week will go our way.""Spaniard Carlos Sainz finished sixth for McLaren ahead of Daniel Ricciardo for  Renault  (PA:RENA).The Australian was later handed two five-second penalties for leaving the track, rejoining unsafely and gaining an advantage, dropping him to 11th and out of the points.Kimi Raikkonen moved up to seventh for Alfa Romeo with Renault's Nico Hulkenberg eighth and Lando Norris ninth for McLaren after losing three places on the last lap due to an hydraulics problem. The final point went to Red Bull's French driver Pierre Gasly. His compatriot Romain Grosjean, in a Haas, was the only retirement.   /6938/FP_EN_site/FP_EN_TextNote 
"
1,"Jun 22, 2019 03:05PM ET","Motor racing: Hamilton on pole in France, Vettel only seventh",nan,"By Alan BaldwinLE CASTELLET, France (Reuters) - Lewis Hamilton seized pole position for the French Grand Prix in track record time on Saturday as Mercedes, chasing their 10th successive win, swept the front row of the grid in dominant fashion.The Formula One world championship leader and last year's race winner was 0.286 seconds quicker than team mate Valtteri Bottas on another searingly hot afternoon at Le Castellet in the south of France.The front row lockout was the 63rd for Mercedes, a Formula One record. Ferrari's Charles Leclerc qualified third with team mate Sebastian Vettel a distant seventh on a distinctly off day for the German.The pole, won in a time of one minute 28.319 seconds, was a record-extending 86th of Hamilton's career and his third of the season. The time was 1.7 seconds faster than the lap he did last year to take the top slot.""The first lap was fantastic, really, really happy with it,"" said the five-times world champion.""The second run, I was on for one of the best laps I have done for a long time. And it’s crazy; it never gets old, it never gets easier and it’s always such a challenge, regardless of what position you are battling for.""Hamilton lost time at the end, a gust of wind blowing the back of his Mercedes out of shape, but he was still comfortably quickest.The Briton is 29 points clear of Bottas after seven races, all won by the pair. Hamilton also triumphed in the last two of 2018.Bottas was fastest in the first two phases of qualifying, after also leading final practice, but could not match Hamilton's sizzling pace when it mattered in the final top-10 shoot-out.""The wind changed direction and there was a couple of corners my line didn't work and I had to work it out but Lewis had a better lap,"" said the Finn.Mercedes have looked to be in a class of their own all weekend at a circuit suiting the characteristics of their car, with Hamilton or Bottas fastest in every practice session.Leclerc, rather than Vettel, has consistently been the best of the rest.Vettel struggled, backing out of his first hot lap and then failing to string together all the sectors smoothly on his second attempt.""I don't know what happened, I lost so much momentum there was no point to finish that lap,"" said the German, who starts behind the Renault-powered McLarens of British rookie Lando Norris (fifth) and Spaniard Carlos Sainz (sixth).""Some laps it felt good and others it didn't. I didn't get the best out of the car but it was difficult for me, some laps I didn't have he grip I had before.""Vettel's time of 1:29.799 was eighth tenths of a second slower than Leclerc's best.McLaren's performance was their best in qualifying since 2016, when now-retired Jenson Button qualified third in Australia. Leclerc, who starts with Red Bull's Max Verstappen alongside, asked the team over the radio to get Vettel to speed up, worried he might run out of time for a final quick lap.Australian Daniel Ricciardo starts eighth for  Renault  (PA:RENA) and Red Bull's Pierre Gasly lines up ninth -- outqualified by Verstappen for the seventh time this year -- for his home race.Italian Antonio Giovinazzi starts 10th for Alfa Romeo.   /6938/FP_EN_site/FP_EN_TextNote 
"
2,"Jun 21, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.13%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Foods & Drugs, Gas & Water and General Financial sectors led shares lower.At the close in Paris, the CAC 40 fell 0.13%, while the SBF 120 index declined 0.26%.The best performers of the session on the CAC 40 were  Renault  SA (PA:RENA), which rose 2.37% or 1.30 points to trade at 56.15 at the close. Meanwhile,  Societe Generale  SA (PA:SOGN) added 1.50% or 0.33 points to end at 22.05 and  Air Liquide  SA (PA:AIRP) was up 1.33% or 1.60 points to 122.35 in late trade.The worst performers of the session were  Publicis Groupe  SA (PA:PUBP), which fell 3.03% or 1.50 points to trade at 47.96 at the close. Dassault Systemes SE (PA:DAST) declined 2.46% or 3.50 points to end at 138.60 and  Vinci  SA (PA:SGEF) was down 1.77% or 1.64 points to 91.04.The top performers on the SBF 120 were  Elior  Group (PA:ELIOR) which rose 6.39% to 12.16,  Vallourec  (PA:VLLP) which was up 3.52% to settle at 2.528 and  Euronext  (PA:ENX) which gained 2.83% to close at 67.30.The worst performers were  Casino  Guichard Perrachon SA (PA:CASP) which was down 5.36% to 30.00 in late trade,  Neopost  SA (PA:NPOS) which lost 5.17% to settle at 18.71 and SES (PA:SESFd) which was down 4.86% to 13.22 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 349 to 220 and 90 ended unchanged.Shares in Air Liquide SA (PA:AIRP) rose to all time highs; gaining 1.33% or 1.60 to 122.35. Shares in Euronext (PA:ENX) rose to all time highs; up 2.83% or 1.85 to 67.30. Shares in SES (PA:SESFd) fell to 52-week lows; falling 4.86% or 0.68 to 13.22. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.26% to 13.24 a new 1-month low.Gold Futures for August delivery was up 0.08% or 1.05 to $1397.95 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in August rose 0.79% or 0.45 to hit $57.52 a barrel, while the August Brent oil contract rose 1.19% or 0.77 to trade at $65.22 a barrel.EUR/USD was up 0.44% to 1.1341, while EUR/GBP rose 0.43% to 0.8926.The US Dollar Index Futures was down 0.23% at 95.917."
3,"Jun 20, 2019 04:25PM ET",French car maker PSA opens $630 million Morocco plant,nan,"RABAT (Reuters) - French carmaker PSA on Friday opened its 555 million-euro($630 million) factory in Kenitra's Atlantic Free Zone, near Rabat.PSA will initially produce an annual 100,000 cars in 2020 increasing to 200,000 by 2023, Morocco's Industry Minister Moulay Hafid Elalamy said at an official inauguration ceremony.PSA's investment has encouraged the setting up of plants by 27 car part suppliers in Kenitra including Citic Dicastal, world leading aluminum wheels manufacturer.Automotive sector sales accounted for 27.1% of Morocco’s exports at 27.7 billion dirhams in the first four months of 2019, up 0.3% compared to the same period last year. The North African country is also home to production plants of French carmaker  Renault  (PA:RENA).The new plant is expected to boost Morocco’s exports as it struggles to curb a trade deficit that widened by 5% to 67.2 billion dirhams ($7 billion) in the first four months of 2019 compared with the same period last year.  /6938/FP_EN_site/FP_EN_TextNote 
"
4,"Jun 20, 2019 10:24AM ET",Renault will vote to back Nissan's move to give it boardroom seats,nan,"PARIS (Reuters) - French carmaker  Renault  (PA:RENA), which is looking to preserve and strengthen its alliance with Nissan, said it would vote in favor of a move by Nissan to grant Renault's representatives a seat on the committees of the Nissan board.""Groupe Renault welcomes Nissan's decision to grant Renault's representatives a seat on the committees of the Nissan board, which will be presented to the general shareholders' meeting on June 25,"" Renault said in a statement.""The agreement reached on Renault's presence in Nissan's new governance confirms the spirit of dialogue and mutual respect that exists within the Alliance,"" added Renault, whose merger talks with Fiat-Chrysler broke down this month.The French state has a 15% stake in Renault, while Renault itself owns 43.4% of Nissan.French ministers have consistently highlighted the importance of ensuring the Renault-Nissan alliance remains strong, before planning any further consolidation with the likes of Fiat-Chrysler.The 20-year-old partnership between Renault and Nissan has been strained since former leader Carlos Ghosn was arrested for suspected financial misconduct last year. Ghosn denies wrongdoing.  /6938/FP_EN_site/FP_EN_TextNote 
"
5,"Jun 20, 2019 04:26AM ET","Fed effect, Italy send European shares to 6-week highs",nan,"By Amy Caren Daniel and Medha Singh(Reuters) - Signs that Brussels will hold off on disciplinary action over Italy's budget helped European stocks hit six-week highs on Thursday, as the latest signals of potential new monetary stimulus from the world's big central banks boosted sentiment. Milan's main index rallied 0.74% and its banking index gained 0.36% after officials said the European Commission was unlikely to recommend further steps next week in disciplinary procedures over the country's rising debt. That was a small gesture in a process that investors worry may worsen Italy's already delicate economic and fiscal prospects, but was enough to outpace a roughly half percent rise in the pan-European STOXX 600 index.Traders said the dominant factor, however, was the Federal Reserve's signals late on Wednesday that a cut in interest rates as soon as July may be on the way, following up on a surprisingly strong speech from European Central Bank chief Mario Draghi earlier this week that more action was possible.Euro zone and German bond yields tumbled in response, pointing to more respite for European public and private sector borrowers, although interest rate sensitive banking stocks underperformed.""Falling bonds yields are signaling that the monetary policy for the time being is going to be slightly more accommodative and may even be more accommodative going forward,"" said Florian Hense, European economist at Berenberg Bank in London.""As we've seen inflation surprising on the downside this year, the Fed and the ECB can support expansion by cutting rates or at least signaling that it could be happening and investors like it if the message is slightly more dovish than they expected."" JUNE RECOVERYExpectations of policy easing by the two central banks has helped drive a near 5% gain for the STOXX 600 this month, helping the main index recoup almost all of a steep sell-off that made May the worst month in more than two years.Signs that the United States and China will return to the negotiating table over trade also bolstered sentiment, with tariff-sensitive auto and technology stocks gaining 1.1% and 1.4% respectively.French carmaker  Renault  (PA:RENA) rose 1.6% after its chief executive Thierry Bollore said cutting its stake in alliance partner Nissan was not on the agenda.London's FTSE 100 was a laggard as sterling gained against a broadly weaker dollar following the Fed's message, with a Bank of England policy statement at 1100 GMT expected to continue to point in the opposite direction on rates.Germany's DAX hit its highest level since May 3, helped by software company SAP advancing 1.5% after arch-rival Oracle (NYSE:ORCL) forecast current-quarter profit above estimates.German food delivery company Delivery Hero jumped 11.5%, the most among the benchmark index, after raising its full year revenue outlook by 200 million euros. One high-profile faller was  Deutsche Bank  AG (DE:DBKGn), which slipped 0.5 after a report U.S. federal authorities are investigating whether the German lender complied with laws meant to stop money laundering and other crimes.  /6938/FP_EN_site/FP_EN_TextNote 
"
6,"Jun 20, 2019 02:15AM ET","Renault, Nissan join Waymo in exploring driverless services in France, Japan",nan,"By Paul Lienert and Laurence FrostDETROIT/PARIS (Reuters) - French automaker  Renault  SA (PA:RENA), its Japanese partner Nissan Motor Co and tech giant Alphabet (NASDAQ:GOOGL) Inc's Waymo are exploring a partnership to develop and use self-driving vehicles to transport people and goods in France and Japan, the companies said on Thursday.The proposed venture could also be expanded to other markets, the companies said.If the partnership is realized, it will have ramifications for other alliances and other self-driving projects, most of which have yet to hit the road. Automakers across the world are re-thinking independent autonomous vehicle efforts, and instead looking for partners to share rising investment costs and regulatory risks.In Japan, a potential competitor to a Renault-Nissan-Waymo venture would be Monet Technologies, a self-driving project involving Toyota Motor Corp and Honda Motor Co and backed by SoftBank Group Corp. SoftBank and Honda also have invested in General Motors (NYSE:GM) Co's Cruise self-driving car unit.The initial agreement among Waymo, Renault and Nissan aims to ""develop a framework for deployment of mobility services at scale,"" according to Hadi Zablit, Renault-Nissan Alliance business development chief. Physical testing of vehicles and deployment of services would come in later phases.The two automakers will set up 50-50 joint ventures in France and Japan to develop the driverless transportation services. Zablit said a later Waymo investment is ""one of the options"" under consideration.With Waymo, they will also research commercial, legal and regulatory issues related to building automated transportation-as-a-service businesses in the two countries.The agreement is time-limited and exclusive in both countries, barring either side from working with competitors. Its duration was not disclosed.It is not clear how involving Waymo might affect the existing alliance between Renault and Nissan, which has been strained since the departure earlier this year of longtime chief executive Carlos Ghosn, or a proposed merger between Renault and Fiat Chrysler Automobiles.FCA and Renault reached a preliminary agreement in late May to pursue a $35 billion merger. But FCA Chairman John Elkann abruptly withdrew the offer on June 6 after the French government, Renault's biggest shareholder, blocked a board vote and demanded more time to win backing from Nissan.Waymo late last year began offering a self-driving service in Arizona called Waymo One, but with a human monitor on board.Waymo also has an existing partnership with FCA under which the automaker is supplying Chrysler Pacifica minivans for Waymo's fledgling self-driving fleet in the United States and eventually may buy self-driving systems from Waymo for its own vehicles.FCA also agreed in early June to partner with Aurora, the Silicon Valley startup co-founded by former Waymo chief Chris Urmson and funded in part by South Korean automaker Hyundai Motor Co. The alliance took an earlier step towards working with Alphabet last year, when it agreed to adopt the Google Android operating system in its future vehicles.  /6938/FP_EN_site/FP_EN_TextNote 
"
7,"Jun 19, 2019 11:00AM ET",Renault CEO Bollore has no plans to reduce Nissan stake,nan,"By Munsif VengattilNEW DELHI (Reuters) - Cutting its stake in alliance partner Nissan is not on Renault's agenda, the French carmaker's chief executive Thierry Bollore said on Wednesday after a global vehicle launch in New Delhi. Renault  (PA:RENA) and Fiat Chrysler (FCA) are looking for ways to resuscitate a failed merger plan and secure Nissan's approval, Reuters reported this month. As part of the fallout of the collapse of talks, Nissan is poised to urge Renault to significantly cut its 43.4% stake in the Japanese carmaker, two people told Reuters.""This is not at all our agenda,"" Bollore told reporters in New Delhi on Wednesday when asked if Renault would reduce its stake in Nissan to get a deal with FCA.""For us it is so important that we continuously improve our alliance. Not only for now, but also for the future and this is the mindset which we are in, and these are the discussions we have with our partners,"" Bollore said after the global launch of Renault's Triber multi-purpose vehicle.Bollore said the alliance partners planned to meet in early July and while he declined to disclose the agenda, he added that it would be ""massive"". The 20-year-old partnership between Nissan and Renault has been strained since the alliance's former chairman Carlos Ghosn was arrested for suspected financial misconduct in November. Ghosn denies any wrongdoing.The alliance was plunged further into crisis this month as Renault's demand for a greater say in Nissan's governance drew rare public censure by the Japanese automaker. Nissan is due to hold a shareholder meeting to vote on its overhauled governance structure on June 25. Bollore said Renault would participate, but the talks were private.Renault and FCA were in $35 billion merger talks until the Italian-American carmaker withdrew after the French government, Renault's biggest shareholder, blocked a vote by its board and demanded more time to win Nissan's backing.Bollore said there is no offer from FCA on the table and declined to comment on the role of the French government.  /6938/FP_EN_site/FP_EN_TextNote 
"
8,"Jun 19, 2019 09:40AM ET",Macron to discuss Renault-Nissan with Japan's Abe next week: Elysee official,nan,"PARIS (Reuters) - French President Emmanuel Macron will discuss the situation regarding the alliance between carmakers  Renault  (PA:RENA) and Nissan with Japanese Prime Minister Shinzo Abe next week, said an official at Macron's Elysee office.""There will certainly be a discussion during the meeting with Prime Minister Abe about questions regarding the relationship between Renault and Nissan,"" said the official.""It will be an opportunity for the President to reaffirm the strong attachment France has regarding the Renault-Nissan alliance, an attachment which was again emphasized during the recent talks that took place with Fiat,"" added the official.The French state has a 15% stake in Renault, and French ministers have consistently highlighted the importance of ensuring that the Renault-Nissan alliance remains strong, before planning any further consolidation with the likes of Fiat-Chrysler.The official in Macron's office added that Macron was not planning to discuss Fiat with Abe.  /6938/FP_EN_site/FP_EN_TextNote 
"
9,"Jun 18, 2019 06:00PM ET",Nissan considers seats for top two Renault executives in new committees: Nikkei,nan,"(Reuters) - Nissan Motor Co has plans to give multiple seats in its four proposed committees to alliance partner  Renault  (PA:RENA) SA's chief executive and chairman, Japan's Nikkei newspaper reported on Wednesday, citing sources.Reuters had reported last week that Nissan was considering having Renault executives as members of nomination, audit and compensation committees, after the French firm expressed discontent with Nissan's envisioned governance reform.Nissan is proposing an additional board committee possibly named ""strategy committee"", the Nikkei said.The 20-year-old partnership was plunged into a crisis earlier this month, as the French automaker's demand for a greater say in Nissan's new governance system drew rare public censure by the Japanese firm.On June 25, Nissan will be holding a shareholder meeting, which would see the company adopt an overhauled governance structure.Nissan was not immediately available for comment outside office hours.   /6938/FP_EN_site/FP_EN_TextNote 
"
