,date,titre,texte,article
0,"Jun 19, 2019 07:30AM ET",Electric planes start small as industry wrestles with emissions,nan,"By Laurence Frost and Alistair SmoutLE BOURGET (Reuters) - An all-electric commuter plane and a small Airbus-backed hybrid are among aircraft programs being touted at the Paris Airshow, as the industry tries to convince a skeptical public it can deliver on a pledge to halve carbon emissions by 2050.Israeli startup Eviation has wheeled out Alice, a battery-powered nine-seater due for its maiden flight later this year, while Airbus and suppliers  Safran  (PA:SAF) and Daher are showing a scale model of their planned EcoPulse, a similarly sized short-hopper that packs a fuel tank as well as batteries.The electric debuts come as European finance ministers are expected later this week to discuss ending aviation fuel tax exemptions in order to curb greenhouse emissions.The spread of social media posts ""flight-shaming"" air travel has also jangled executives' nerves and added pressure to electrify, following the auto industry's lead.Unlike cars, however, electric planes must heft their power packs aloft - a reality that limits them to small aircraft on the shortest routes, as even their proponents concede.""The impact of battery weight is an order of magnitude more severe for us,"" said Stephane Cueille, Safran's head of research, technology and innovation.The EcoPulse's engine drives a central propeller and a generator to recharge its batteries and power additional electric props spread along the wingspan, delivering 20-40% fuel savings on trips up to several hundred kilometers.Whereas the French plane is still on the drawing board, Alice's smooth contours can be seen on the tarmac at Le Bourget, north of Paris. Eviation is aiming for a first test-flight later this year and U.S. certification by 2022.On a single charge, Alice can fly 650 miles (1,046 kilometers) at 10,000 feet with a cruising speed of 276 miles per hour. Cape Air, a Massachusetts-based regional carrier, has taken an option to add a double-digit number of the $4 million planes to its fleet, Eviation disclosed at the show.FLYING BATTERYThe aircraft, with a flattened profile and propellers at its wing tips, was designed as an electric plane from the ground up, said Omer Bar-Yohay, Eviation's founder and CEO.""It's basically a huge battery with some plane painted on it,"" he told reporters.Among signs of growing interest from traditional players, engine maker Rolls-Royce (LON:RR) said on Tuesday it had bought the electric aerospace division of Germany's Siemens - which is also one of the suppliers of motors to Alice.Engineers see a bigger future for hybrids, which can combine lighter, downsized jet engines with an electric boost during take-off and climb, for a 30% fuel saving. The additional thrusters or e-propellers also help stability, allowing a more streamlined airframe to reduce drag and consumption further.""Then you're starting to get to the kind of economics and sustainability that's closer to a bus than it is to aviation historically,"" United Technologies (NYSE:UTX) Chief Technology Officer Paul Eremenko said during a panel discussion.UBS predicts demand for $178 billion in green aviation technologies by 2040 as they become more mainstream.""The consumer is probably going to demand an acceleration in this space,"" said Celine Fornaro, the Swiss bank's head of industrials research. ""It's starting to be more present in everyone's conscience.""Airbus is also looking at hybrid-electric technology for future passenger aircraft generations, but few would bet on its readiness to power the 200-seaters expected to replace the workhorse A320 jet family in the 2030s.Carbon emissions from commercial aviation account for about 2.5% of the global total but are set to expand in step with emerging middle classes, especially in Asia.To counter their impact, the industry is introducing the CORSIA program, which requires airlines to fund cuts to atmospheric carbon dioxide elsewhere, offsetting their emissions growth while awaiting hybrid planes and alternative fuels. 'DECADES AWAY'Reconciling airlines' growth ambitions with their promised 50% carbon emissions cut from 2005 levels will be no easy task.""We don't know how that's going to happen yet,"" said Greg Hyslop, Boeing's technology chief.But aerospace leaders are adamant that the answer cannot be fewer flights.""We've got to make aviation grow and be sustainable,"" Rolls-Royce CTO Paul Stein said during the same panel. ""Those who propose traveling less are heading for a darker place.""Brussels-based lobby group Airlines for Europe said ""taxing aviation is not a solution"", in a statement ahead of the EU ministerial meetings starting on Thursday in the Netherlands.But campaigners like Greenpeace transport specialist Sarah Fayolle say taxation and other regulation is warranted by the urgent need to slash emissions.""We're facing a climate emergency that cannot wait for uncertain technological solutions that are decades away,"" she said.  /6938/FP_EN_site/FP_EN_TextNote 
"
1,"Jun 18, 2019 03:35PM ET",Airbus seeks new partners to expand in U.S. space market,nan,"By Andrea ShalalPARIS (Reuters) - Airbus' defense division is looking for new partners to expand its presence in the growing U.S. space market, and could potentially build components for a lunar program there, Airbus Defense and Space Chief Executive Dirk Hoke told Reuters.Airbus is ramping up production of more than 640 refrigerator-sized satellites for start-up telecoms services provider OneWeb at a facility in Florida, that Hoke said would already give it some leverage in the U.S. market.The company could also produce components in the United States for its European Support Module, a critical part of NASA's Orion spacecraft, if that is modified as a module to access the moon, Hoke told Reuters at the Paris Airshow.""We're also looking for new partners, with whom we could expand our footprint in the U.S.,"" he said. ""We have some very good products and systems so it's worthwhile to look at what we can do beyond what we do currently in Europe.""Airbus's defense and space division has long hoped to expand operations in the U.S. market, but lost out to Boeing (NYSE:BA) Co on a lucrative U.S. Air Force refueling plane contract in 2011.The company, which builds satellites and works with France's  Safran  (PA:SAF) to build rocket launchers, now hopes the projected ""new space"" economy, which experts say could be worth $1 trillion a year, could give it another shot at a bigger U.S. role.Hoke faulted European leaders for failing to articulate a clear, unified vision for its ambitions in the space business, and said they were essentially ceding leadership to the United States and billionaire private investors, such as Elon Musk.""This is more than just a billionaire’s race to Mars. It is about having sovereign access to space, having access to resources in the long term, and of course, unfortunately, it is also a question of defense.""Failing to take action and jump start new research and development program would leave Europe ""in the second and third row position,"" he said, noting that it would also cause a brain drain of top talent.Rick Ambrose, head of U.S. arms maker Lockheed Martin's space division, the lead contractor on the Orion spacecraft, told Reuters his company was in preliminary discussions with Airbus about possibly the adapting the European Support Module to bring humans to the moon and back to an orbiting lunar station.Ambrose said no decisions had been made, but it was ""a logical conclusion"" that some of the items developed by Airbus for the Orion spacecraft could be used to achieve U.S. President Donald Trump's goal of putting humans back on the Moon by 2024.""Getting to the moon by 2024 means .... we're going to have to reuse everything we can reuse,"" he said at the air show.   /6938/FP_EN_site/FP_EN_TextNote 
"
2,"Jun 17, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.43%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Foods & Drugs, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 rose 0.43%, while the SBF 120 index gained 0.38%.The best performers of the session on the CAC 40 were Airbus Group SE (PA:AIR), which rose 2.11% or 2.58 points to trade at 125.00 at the close. Meanwhile, TechnipFMC PLC (PA:FTI) added 2.05% or 0.41 points to end at 20.45 and  Safran  SA (PA:SAF) was up 1.63% or 2.00 points to 124.90 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 1.36% or 0.198 points to trade at 14.374 at the close. Engie SA (PA:ENGIE) declined 1.00% or 0.13 points to end at 12.82 and WFD Unibail Rodamco NV (AS:URW) was down 0.92% or 1.25 points to 134.60.The top performers on the SBF 120 were  Maisons du Monde SAS  (PA:MDM) which rose 2.56% to 18.050,  Biomerieux  SA (PA:BIOX) which was up 2.47% to settle at 76.65 and  Thales  (PA:TCFP) which gained 2.42% to close at 108.00.The worst performers were  Rubis  SCA (PA:RUBF) which was down 4.86% to 46.62 in late trade, Air France KLM SA (PA:AIRF) which lost 4.27% to settle at 7.886 and Sopra Steria Group SA (PA:SOPR) which was down 3.33% to 98.60 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 291 to 280 and 91 ended unchanged.Shares in Airbus Group SE (PA:AIR) rose to all time highs; rising 2.11% or 2.58 to 125.00. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 4.14% to 13.97 a new 1-month low.Gold Futures for August delivery was down 0.08% or 1.05 to $1343.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 0.50% or 0.26 to hit $52.25 a barrel, while the August Brent oil contract fell 0.97% or 0.60 to trade at $61.41 a barrel.EUR/USD was up 0.18% to 1.1227, while EUR/GBP rose 0.48% to 0.8941.The US Dollar Index Futures was down 0.09% at 96.975."
3,"Jun 17, 2019 09:20AM ET",Budget Airline IndiGo Orders 280 Jet Engines in $20 Billion Deal,nan,"(Bloomberg) -- Indian budget carrier IndiGo is ordering jet engines worth $20 billion from a joint venture of  General Electric  (NYSE:GE) Co. and France’s  Safran  (PA:SAF) SA, a sign that the biggest buyer of Airbus SE A320neo planes is moving away from a rival engine by Pratt & Whitney following a series of glitches.The order by IndiGo, operated by  Interglobe Aviation Ltd  (NS:INGL), for 280 engines to power Airbus A320neo and A321neo aircraft will include service and maintenance, the airline statement said. CFM International, the GE-Safran venture, will deliver the first engine by 2020.The order is a blow to Pratt, a division of United Technologies Corp (NYSE:UTX)., which has grappled with delivery delays and groundings in India after spending $10 billion to develop its fuel-efficient geared turbofan for single-aisle jets. The deal strengthens CFM’s presence in India, the world’s fastest growing aviation market last year, with the local affiliate of Singapore Airlines Ltd. and state-run Air India Ltd. already using its turbines.A move by IndiGo, Asia’s biggest budget carrier by market value, to CFM “would be a key reputational negative” for Pratt’s geared turbofan and could hurt future sales campaigns, Cowen & Co. analyst Cai von Rumohr said in a note to clients on May 30.IndiGo, which controls almost half of the local market in India, had ordered 430 A320neo-family jets, and chose Pratt to supply turbines for the first 150 of them. The airline, founded by billionaires Rakesh Gangwal and Rahul Bhatia, is in talks with Airbus to place another “large” order to fuel an ambitious growth plan beyond the subcontinent, Chief Executive Officer Ronojoy Dutta said in an interview last month."
4,"Jun 17, 2019 06:15AM ET",Spain joins France and Germany in race to build Europe's next fighter jet,nan,"By Michel RosePARIS (Reuters) - Spain on Monday joined a Franco-German project to design a next-generation fighter jet, an initiative touted as key to ensuring Europe can defend itself without depending on allies in an increasingly uncertain world.Dassault Aviation and Airbus will build the warplane which is expected to be operational from 2040, with a view to replacing Dassault's Rafale and Germany's Eurofighter over time.The defense ministers of France, Germany and Spain signed an accord launching a trilateral framework of cooperation at the Paris Airshow, sat in front of a mock-up of the jet and with French President Emmanuel Macron applauding behind them. France's  Safran  (PA:SAF) and Germany's MTU Aero Engines will jointly develop the new warplane's engine.Dassault and Airbus have delivered a joint industrial proposal to the governments of France and Germany. ""The first demonstrator phase marks another decisive step,"" they said in a joint statement. France had explored working with Britain on the project, bringing together Europe's two biggest military powers. But in July 2017, Macron and German Chancellor Angela Merkel announced plans for the new Future Combat Air System (SCAF), including a fighter jet and a range of associated weapons such as drones.Britain launched its own new fighter jet plan last July, laying bare European divisions and deepening scepticism about the future of European defense cooperation.The French and German governments expect to invest an initial 4 billion euros ($4.5 billion) in the combat jet by 2025, with France, the project leader, contributing 2.5 billion euros, according to the French defense ministry.Paris and Berlin target the first flight of a prototype around 2026.  /6938/FP_EN_site/FP_EN_TextNote 
"
5,"Jun 12, 2019 06:25PM ET",CFM wins blockbuster jet engine order from IndiGo: sources,nan,"PARIS (Reuters) - Engine maker CFM International is poised to announce one of the world's largest jet engine orders with a deal for more than 600 engines from India's IndiGo, industry sources said.The French-U.S. engine maker, owned by  General Electric  (NYSE:GE) and France's  Safran  (PA:SAF), has been competing with the airline's existing engine supplier, Pratt & Whitney, to provide the power for 280 twin-engine A320-family jetliners already on order from Airbus by the Delhi-based budget carrier.The airline has selected CFM for the order, which is expected to rise above 600 engines including spares, the sources said. It was unclear if this includes previous options.The two sides are putting finishing touches to the deal in time for an announcement at next week's Paris Airshow, they added. CFM International and IndiGo declined to comment.  /6938/FP_EN_site/FP_EN_TextNote 
"
6,"Jun 06, 2019 04:30PM ET","As Trade Troubles Brew, Defense Stocks Guard Industrial Fort",nan,"(Bloomberg) -- U.S. aerospace and defense stocks kicked off this year under a cloud of uncertainty, amid concerns around a possible peak in spending and a prolonged government shutdown, yet nearly half way through, they are raking in the biggest returns among industrial companies.The S&P 500 Aerospace & Defense Industry Index has risen over 20% so far in 2019, exceeding the 16% gain in the broader industrials sector group. The biggest gainers on the defense index this year include L3 Technologies Inc. and Harris Corp (NYSE:HRS)., each up more than 46%, as well as TransDigm Group Inc., with its 38% advance.“Defense stocks have been winners this year with geopolitical tensions, trade wars, and a renewed focus by the Trump administration to prioritize defense spending,” said Rohan Reddy, an analyst at Global X ETFs. The analyst via email said that he expected the strength in defense stocks and domestically focused industrial companies to continue if trade negotiations keep getting dragged out.The back and forth on trade has continued, with latest reports suggesting the U.S. was considering delaying the threatened Mexico tariffs as talks over the flow of undocumented migrants and illegal drugs from Central America were ongoing.While the U.S. government has opened trade wars on multiple fronts, impacting companies across industries such as automotive, manufacturing and transportation, it has also worked on a major arms deal with Taiwan, and stepped up its involvement regarding Iran. Last month, President Donald Trump agreed to send more troops to the region after the U.S. blamed Iran for attacks on Saudi oil installations as well as four ships.In a note published earlier this week, Buckingham analyst Richard  Safran  (PA:SAF) said the market might be ignoring macro factors that favor the defense sector, which include a continued demand for defense products that is driving government spending beyond expectations, a declining 10-year yield making corporate dividends seem more attractive, and lastly, tariff-related fears sparking a flight-to-safety trade.Meanwhile, transports have languished. Airlines have been beaten down the most, amid rapidly fluctuating oil prices, slowing domestic demand and the fallout from the twin fatal crashes that led to the grounding of Boeing (NYSE:BA) Co.’s 737 Max jets. However, railroad companies and truckers have not been spared either, with demand softening and the possibility of a Mexico tariff creating further uncertainties.“Transport stocks are a high risk/reward investment in today’s environment,” Global X’s Reddy said, adding that such companies will continue to be volatile as trade negotiations take place. “Airlines are likely to face challenges in the near term” as margins keep compressing, “although lower commodity prices may provide temporary relief,” Reddy added.The S&P 500 Airlines Industry Index has risen just 4% this year, with American Airlines Group Inc. and United Continental Holdings lagging the most.(Updates with share closing in paragraph two, adds trade update in paragraph four.)"
7,"May 28, 2019 01:02PM ET",France stocks lower at close of trade; CAC 40 down 0.44%,nan,"Investing.com – France stocks were lower after the close on Tuesday, as losses in the Gas & Water, General Financial and Foods & Drugs sectors led shares lower.At the close in Paris, the CAC 40 declined 0.44%, while the SBF 120 index fell 0.37%.The best performers of the session on the CAC 40 were  Peugeot  SA (PA:PEUP), which rose 4.62% or 0.92 points to trade at 20.84 at the close. Meanwhile,  Worldline SA  (PA:WLN) added 2.52% or 1.300 points to end at 52.800 and LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH) was up 1.17% or 3.95 points to 342.60 in late trade.The worst performers of the session were  Safran  SA (PA:SAF), which fell 2.09% or 2.55 points to trade at 119.25 at the close. EssilorLuxottica SA (PA:ESLX) declined 2.07% or 2.20 points to end at 104.00 and  Societe Generale  SA (PA:SOGN) was down 1.95% or 0.45 points to 22.59.The top performers on the SBF 120 were  Neopost  SA (PA:NPOS) which rose 9.26% to 20.30, Peugeot SA (PA:PEUP) which was up 4.62% to settle at 20.84 and  Casino  Guichard Perrachon SA (PA:CASP) which gained 3.58% to close at 32.43.The worst performers were Rothschild & Co SCA (PA:ROTH) which was down 3.04% to 27.150 in late trade, SES (PA:SESFd) which lost 2.39% to settle at 13.70 and Metropole Television SA (PA:MMTP) which was down 2.16% to 15.84 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 285 to 256 and 96 ended unchanged.Shares in Societe Generale SA (PA:SOGN) fell to 5-year lows; losing 1.95% or 0.45 to 22.59. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 1.04% to 15.75.Gold Futures for June delivery was down 0.50% or 6.45 to $1277.15 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.96% or 0.56 to hit $59.19 a barrel, while the August Brent oil contract fell 0.10% or 0.07 to trade at $68.70 a barrel.EUR/USD was down 0.28% to 1.1164, while EUR/GBP fell 0.14% to 0.8817.The US Dollar Index Futures was up 0.38% at 97.843."
8,"May 24, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.67%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Gas & Water, General Financial and Foods & Drugs sectors led shares higher.At the close in Paris, the CAC 40 added 0.67%, while the SBF 120 index gained 0.66%.The best performers of the session on the CAC 40 were  Worldline SA  (PA:WLN), which rose 2.79% or 1.400 points to trade at 51.500 at the close. Meanwhile, Schneider Electric SE (PA:SCHN) added 2.78% or 2.00 points to end at 73.90 and  Safran  SA (PA:SAF) was up 2.14% or 2.55 points to 121.90 in late trade.The worst performers of the session were  Credit Agricole  SA (PA:CAGR), which fell 4.59% or 0.490 points to trade at 10.185 at the close.  Kering  SA (PA:PRTP) declined 1.73% or 8.50 points to end at 482.70 and  Carrefour  SA (PA:CARR) was down 1.07% or 0.18 points to 16.68.The top performers on the SBF 120 were  Casino  Guichard Perrachon SA (PA:CASP) which rose 7.48% to 30.03,  Eramet  SA (PA:ERMT) which was up 3.97% to settle at 51.88 and Genfit (PA:GNFT) which gained 3.43% to close at 21.720.The worst performers were Credit Agricole SA (PA:CAGR) which was down 4.59% to 10.185 in late trade,  Amundi SA  (PA:AMUN) which lost 3.85% to settle at 57.45 and  Rexel  (PA:RXL) which was down 3.84% to 10.01 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 353 to 205 and 79 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 6.76% to 16.20.Gold Futures for June delivery was down 0.11% or 1.45 to $1283.95 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.62% or 0.36 to hit $58.27 a barrel, while the July Brent oil contract rose 0.72% or 0.49 to trade at $68.25 a barrel.EUR/USD was up 0.22% to 1.1205, while EUR/GBP fell 0.22% to 0.8813.The US Dollar Index Futures was down 0.26% at 97.472."
9,"May 21, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.50%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Oil & Gas, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 rose 0.50%, while the SBF 120 index added 0.53%.The best performers of the session on the CAC 40 were STMicroelectronics NV (PA:STM), which rose 4.16% or 0.590 points to trade at 14.760 at the close. Meanwhile, ArcelorMittal SA (AS:MT) added 3.65% or 0.526 points to end at 14.952 and TechnipFMC PLC (PA:FTI) was up 3.53% or 0.72 points to 21.14 in late trade.The worst performers of the session were Engie SA (PA:ENGIE), which fell 5.31% or 0.72 points to trade at 12.84 at the close. Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP) declined 1.99% or 2.15 points to end at 105.85 and  Safran  SA (PA:SAF) was down 1.32% or 1.65 points to 123.15.The top performers on the SBF 120 were DBV Technologies (PA:DBV) which rose 4.27% to 16.850, STMicroelectronics NV (PA:STM) which was up 4.16% to settle at 14.760 and ArcelorMittal SA (AS:MT) which gained 3.65% to close at 14.952.The worst performers were Engie SA (PA:ENGIE) which was down 5.31% to 12.84 in late trade, JC Decaux SA (PA:JCDX) which lost 3.96% to settle at 25.74 and  Wendel  (PA:MWDP) which was down 2.12% to 115.40 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 339 to 211 and 82 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 7.55% to 15.14.Gold Futures for June delivery was down 0.34% or 4.35 to $1272.95 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 0.19% or 0.12 to hit $63.09 a barrel, while the July Brent oil contract fell 0.13% or 0.09 to trade at $71.88 a barrel.EUR/USD was down 0.08% to 1.1161, while EUR/GBP fell 0.08% to 0.8767.The US Dollar Index Futures was up 0.13% at 97.893."
