,date,titre,texte,article
0,"Jun 11, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.48%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Utilities, Technology and Consumer Services sectors led shares higher.At the close in Paris, the CAC 40 gained 0.48%, while the SBF 120 index gained 0.48%.The best performers of the session on the CAC 40 were ArcelorMittal SA (AS:MT), which rose 6.59% or 0.928 points to trade at 15.014 at the close. Meanwhile, Compagnie de Saint Gobain SA (PA:SGOB) added 2.68% or 0.88 points to end at 33.48 and Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP) was up 2.57% or 2.70 points to 107.85 in late trade.The worst performers of the session were Sanofi SA (PA:SASY), which fell 1.55% or 1.20 points to trade at 76.10 at the close.  Vivendi  SA (PA:VIV) declined 1.43% or 0.35 points to end at 24.20 and Veolia Environnement VE SA (PA:VIE) was down 0.85% or 0.180 points to 21.110.The top performers on the SBF 120 were ArcelorMittal SA (AS:MT) which rose 6.59% to 15.014, CGG SA (PA:GEPH) which was up 5.84% to settle at 1.558 and  Imerys  SA (PA:IMTP) which gained 4.47% to close at 42.04.The worst performers were Genfit (PA:GNFT) which was down 16.49% to 17.820 in late trade, Korian Medica SA (PA:KORI) which lost 4.07% to settle at 35.360 and DBV Technologies (PA:DBV) which was down 4.05% to 15.880 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 304 to 277 and 79 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 1.61% to 14.38.Gold Futures for August delivery was up 0.25% or 3.35 to $1332.65 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 0.04% or 0.02 to hit $53.24 a barrel, while the August Brent oil contract fell 0.27% or 0.17 to trade at $62.12 a barrel.EUR/USD was up 0.16% to 1.1330, while EUR/GBP fell 0.16% to 0.8902.The US Dollar Index Futures was down 0.06% at 96.650."
1,"Jun 10, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.34%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Healthcare, Utilities and Basic Materials sectors led shares higher.At the close in Paris, the CAC 40 added 0.34%, while the SBF 120 index added 0.36%.The best performers of the session on the CAC 40 were ArcelorMittal SA (AS:MT), which rose 4.46% or 0.602 points to trade at 14.086 at the close. Meanwhile, TechnipFMC PLC (PA:FTI) added 3.11% or 0.61 points to end at 20.22 and  Renault  SA (PA:RENA) was up 2.59% or 1.39 points to 55.08 in late trade.The worst performers of the session were Compagnie de Saint Gobain SA (PA:SGOB), which fell 2.86% or 0.96 points to trade at 32.60 at the close. Sanofi SA (PA:SASY) declined 1.30% or 1.02 points to end at 77.30 and Engie SA (PA:ENGIE) was down 0.87% or 0.12 points to 13.10.The top performers on the SBF 120 were ArcelorMittal SA (AS:MT) which rose 4.46% to 14.086,  Vallourec  (PA:VLLP) which was up 4.14% to settle at 2.312 and  Faurecia  (PA:EPED) which gained 3.44% to close at 36.07.The worst performers were Eurofins Scientific SE (PA:EUFI) which was down 3.26% to 356.60 in late trade, Compagnie de Saint Gobain SA (PA:SGOB) which lost 2.86% to settle at 32.60 and BIC (PA:BICP) which was down 2.00% to 68.65 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 374 to 195 and 95 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 0.36% to 14.61.Gold Futures for August delivery was down 1.10% or 14.85 to $1331.25 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 0.20% or 0.11 to hit $53.88 a barrel, while the August Brent oil contract fell 0.79% or 0.50 to trade at $62.79 a barrel.EUR/USD was down 0.11% to 1.1319, while EUR/GBP fell 0.03% to 0.8914.The US Dollar Index Futures was up 0.22% at 96.705."
2,"Apr 03, 2019 12:35PM ET",France stocks higher at close of trade; CAC 40 up 0.84%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Financials, Consumer Services and Utilities sectors led shares higher.At the close in Paris, the CAC 40 rose 0.84% to hit a new 6-months high, while the SBF 120 index climbed 0.92%.The best performers of the session on the CAC 40 were STMicroelectronics NV (PA:STM), which rose 5.67% or 0.800 points to trade at 14.905 at the close. Meanwhile, Sodexo SA (PA:EXHO) added 3.04% or 3.01 points to end at 101.95 and Compagnie de Saint Gobain SA (PA:SGOB) was up 2.82% or 0.94 points to 34.48 in late trade.The worst performers of the session were TechnipFMC PLC (PA:FTI), which fell 0.97% or 0.21 points to trade at 21.39 at the close. Sanofi SA (PA:SASY) declined 0.67% or 0.53 points to end at 78.71 and  Kering  SA (PA:PRTP) was down 0.42% or 2.20 points to 524.20.The top performers on the SBF 120 were  Maisons du Monde SAS  (PA:MDM) which rose 8.16% to 18.950,  GTT  (PA:GTT) which was up 6.78% to settle at 88.20 and STMicroelectronics NV (PA:STM) which gained 5.67% to close at 14.905.The worst performers were  Casino  Guichard Perrachon SA (PA:CASP) which was down 3.04% to 39.27 in late trade,  Vallourec  (PA:VLLP) which lost 1.28% to settle at 2.167 and BIC (PA:BICP) which was down 1.02% to 77.95 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 351 to 208 and 104 ended unchanged.Shares in Sodexo SA (PA:EXHO) rose to 52-week highs; rising 3.04% or 3.01 to 101.95. Shares in GTT (PA:GTT) rose to all time highs; rising 6.78% or 5.60 to 88.20. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 5.32% to 13.69.Gold Futures for June delivery was up 0.05% or 0.65 to $1296.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May fell 0.13% or 0.08 to hit $62.50 a barrel, while the June Brent oil contract fell 0.43% or 0.30 to trade at $69.07 a barrel.EUR/USD was up 0.40% to 1.1246, while EUR/GBP rose 0.11% to 0.8538.The US Dollar Index Futures was down 0.36% at 96.578."
3,"Mar 27, 2019 02:35PM ET",France stocks lower at close of trade; CAC 40 down 0.12%,nan,"Investing.com – France stocks were lower after the close on Wednesday, as losses in the Utilities, Gas & Water and General Financial sectors led shares lower.At the close in Paris, the CAC 40 fell 0.12%, while the SBF 120 index lost 0.14%.The best performers of the session on the CAC 40 were  Credit Agricole  SA (PA:CAGR), which rose 3.56% or 0.374 points to trade at 10.866 at the close. Meanwhile, Compagnie de Saint Gobain SA (PA:SGOB) added 3.09% or 0.96 points to end at 32.04 and  Renault  SA (PA:RENA) was up 2.83% or 1.61 points to 58.49 in late trade.The worst performers of the session were STMicroelectronics NV (PA:STM), which fell 6.62% or 0.935 points to trade at 13.195 at the close. WFD Unibail Rodamco NV (AS:URW) declined 3.29% or 5.04 points to end at 147.96 and Dassault Systemes SE (PA:DAST) was down 2.94% or 3.90 points to 128.55.The top performers on the SBF 120 were  Trigano  SA (PA:TRIA) which rose 3.85% to 70.10,  Tarkett  (PA:TKTT) which was up 3.68% to settle at 19.70 and Credit Agricole SA (PA:CAGR) which gained 3.56% to close at 10.866.The worst performers were Genfit (PA:GNFT) which was down 8.95% to 19.940 in late trade, STMicroelectronics NV (PA:STM) which lost 6.62% to settle at 13.195 and  Europcar Groupe SA  (PA:EUCAR) which was down 4.01% to 7.18 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 283 to 275 and 103 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 3.92% to 16.04.Gold Futures for June delivery was down 0.40% or 5.25 to $1316.15 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May fell 1.00% or 0.60 to hit $59.34 a barrel, while the June Brent oil contract fell 0.39% or 0.26 to trade at $67.17 a barrel.EUR/USD was down 0.07% to 1.1257, while EUR/GBP fell 0.23% to 0.8506.The US Dollar Index Futures was up 0.14% at 96.357."
4,"Mar 22, 2019 02:35PM ET",France stocks lower at close of trade; CAC 40 down 2.02%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Healthcare, Financials and Consumer Services sectors led shares lower.At the close in Paris, the CAC 40 declined 2.02%, while the SBF 120 index fell 2.01%.The best performers of the session on the CAC 40 were WFD Unibail Rodamco NV (AS:URW), which rose 0.14% or 0.22 points to trade at 152.14 at the close. Meanwhile, EssilorLuxottica SA (PA:ESLX) fell 0.16% or 0.16 points to end at 97.96 and  Carrefour  SA (PA:CARR) was down 0.62% or 0.10 points to 16.90 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 5.41% or 1.050 points to trade at 18.368 at the close.  Societe Generale  SA (PA:SOGN) declined 3.95% or 1.05 points to end at 25.52 and Compagnie de Saint Gobain SA (PA:SGOB) was down 3.82% or 1.24 points to 31.13.The top performers on the SBF 120 were  Elior  Group (PA:ELIOR) which rose 2.16% to 12.31,  Soitec  SA (PA:SOIT) which was up 1.26% to settle at 72.450 and Korian Medica SA (PA:KORI) which gained 0.69% to close at 34.800.The worst performers were  Aperam  SA (AS:APAM) which was down 8.00% to 25.86 in late trade,  Eramet  SA (PA:ERMT) which lost 6.65% to settle at 48.68 and  Imerys  SA (PA:IMTP) which was down 6.48% to 45.04 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 460 to 121 and 84 ended unchanged.Shares in EssilorLuxottica SA (PA:ESLX) fell to 52-week lows; losing 0.16% or 0.16 to 97.96. Shares in Eramet SA (PA:ERMT) fell to 52-week lows; losing 6.65% or 3.47 to 48.68. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 10.03% to 16.90 a new 1-month high.Gold Futures for April delivery was up 0.34% or 4.45 to $1311.75 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May fell 1.73% or 1.04 to hit $58.94 a barrel, while the May Brent oil contract fell 1.40% or 0.95 to trade at $66.91 a barrel.EUR/USD was down 0.75% to 1.1287, while EUR/GBP fell 1.44% to 0.8549.The US Dollar Index Futures was up 0.21% at 96.185."
5,"Mar 12, 2019 02:35PM ET",France stocks higher at close of trade; CAC 40 up 0.08%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Basic Materials, Oil & Gas and Healthcare sectors led shares higher.At the close in Paris, the CAC 40 gained 0.08%, while the SBF 120 index added 0.13%.The best performers of the session on the CAC 40 were Compagnie de Saint Gobain SA (PA:SGOB), which rose 1.72% or 0.54 points to trade at 31.92 at the close. Meanwhile, ArcelorMittal SA (AS:MT) added 1.48% or 0.280 points to end at 19.250 and Airbus Group SE (PA:AIR) was up 1.43% or 1.62 points to 114.58 in late trade.The worst performers of the session were WFD Unibail Rodamco NV (AS:URW), which fell 0.93% or 1.36 points to trade at 144.64 at the close.  Vinci  SA (PA:SGEF) declined 0.92% or 0.78 points to end at 84.04 and Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP) was down 0.84% or 0.85 points to 100.70.The top performers on the SBF 120 were Spie SA (PA:SPIE) which rose 8.60% to 15.280,  Tarkett  (PA:TKTT) which was up 5.82% to settle at 18.54 and CGG SA (PA:GEPH) which gained 4.76% to close at 1.627.The worst performers were Sopra Steria Group SA (PA:SOPR) which was down 2.62% to 104.00 in late trade, Rothschild & Co SCA (PA:ROTH) which lost 2.11% to settle at 30.150 and Eutelsat Communications SA (PA:ETL) which was down 1.77% to 16.66 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 293 to 265 and 106 ended unchanged.Shares in Airbus Group SE (PA:AIR) rose to all time highs; gaining 1.43% or 1.62 to 114.58. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 0.26% to 13.19.Gold Futures for April delivery was up 0.71% or 9.15 to $1300.25 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in April rose 0.23% or 0.13 to hit $56.92 a barrel, while the May Brent oil contract rose 0.17% or 0.11 to trade at $66.69 a barrel.EUR/USD was up 0.47% to 1.1300, while EUR/GBP rose 1.05% to 0.8640.The US Dollar Index Futures was down 0.30% at 96.887."
6,"Mar 04, 2019 02:35PM ET",France stocks higher at close of trade; CAC 40 up 0.41%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Consumer Services, Technology and Consumer Goods sectors led shares higher.At the close in Paris, the CAC 40 gained 0.41% to hit a new 3-months high, while the SBF 120 index added 0.40%.The best performers of the session on the CAC 40 were Compagnie de Saint Gobain SA (PA:SGOB), which rose 1.56% or 0.49 points to trade at 31.82 at the close. Meanwhile, Sanofi SA (PA:SASY) added 1.39% or 1.03 points to end at 75.03 and WFD Unibail Rodamco NV (AS:URW) was up 1.37% or 1.94 points to 143.74 in late trade.The worst performers of the session were  Carrefour  SA (PA:CARR), which fell 1.92% or 0.34 points to trade at 17.37 at the close. Engie SA (PA:ENGIE) declined 1.05% or 0.14 points to end at 13.20 and  Bouygues  SA (PA:BOUY) was down 1.02% or 0.34 points to 32.84.The top performers on the SBF 120 were Technicolor (PA:TCH) which rose 14.62% to 1.121, DBV Technologies (PA:DBV) which was up 5.71% to settle at 15.190 and Eurofins Scientific SE (PA:EUFI) which gained 4.24% to close at 398.20.The worst performers were  Elior  Group (PA:ELIOR) which was down 3.56% to 12.73 in late trade, Air France KLM SA (PA:AIRF) which lost 3.19% to settle at 11.080 and  Gecina  SA (PA:GFCP) which was down 2.52% to 127.90 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 345 to 244 and 91 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 0.86% to 12.77.Gold Futures for April delivery was down 0.79% or 10.30 to $1288.90 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in April rose 1.22% or 0.68 to hit $56.48 a barrel, while the May Brent oil contract rose 0.75% or 0.49 to trade at $65.56 a barrel.EUR/USD was down 0.40% to 1.1328, while EUR/GBP fell 0.10% to 0.8603.The US Dollar Index Futures was up 0.19% at 96.632."
7,"Mar 01, 2019 01:35PM ET",France stocks higher at close of trade; CAC 40 up 0.47%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Consumer Services, Financials and Industrials sectors led shares higher.At the close in Paris, the CAC 40 added 0.47% to hit a new 3-months high, while the SBF 120 index climbed 0.60%.The best performers of the session on the CAC 40 were  Valeo  SA (PA:VLOF), which rose 4.18% or 1.16 points to trade at 28.91 at the close. Meanwhile,  Kering  SA (PA:PRTP) added 3.21% or 15.40 points to end at 495.50 and STMicroelectronics NV (PA:STM) was up 2.26% or 0.325 points to 14.695 in late trade.The worst performers of the session were  Carrefour  SA (PA:CARR), which fell 1.61% or 0.29 points to trade at 17.71 at the close. Compagnie de Saint Gobain SA (PA:SGOB) declined 1.03% or 0.33 points to end at 31.34 and  Vinci  SA (PA:SGEF) was down 0.91% or 0.76 points to 83.16.The top performers on the SBF 120 were Air France KLM SA (PA:AIRF) which rose 5.44% to 11.445,  Faurecia  (PA:EPED) which was up 5.10% to settle at 44.08 and  Teleperformance  SE (PA:ROCH) which gained 5.10% to close at 165.00.The worst performers were Dassault Aviation SA (PA:AVMD) which was down 3.45% to 1429.00 in late trade,  Ipsos  (PA:ISOS) which lost 1.64% to settle at 22.82 and Carrefour SA (PA:CARR) which was down 1.61% to 17.71 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 365 to 216 and 77 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 7.25% to 12.66 a new 3-months low.Gold Futures for April delivery was down 1.34% or 17.65 to $1298.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in April fell 2.20% or 1.26 to hit $55.96 a barrel, while the May Brent oil contract fell 1.99% or 1.32 to trade at $64.99 a barrel.EUR/USD was down 0.03% to 1.1366, while EUR/GBP rose 0.43% to 0.8608.The US Dollar Index Futures was up 0.34% at 96.368."
8,"Feb 22, 2019 01:35PM ET",France stocks higher at close of trade; CAC 40 up 0.38%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Industrials, Consumer Goods and Consumer Services sectors led shares higher.At the close in Paris, the CAC 40 rose 0.38% to hit a new 3-months high, while the SBF 120 index added 0.39%.The best performers of the session on the CAC 40 were Atos SE (PA:ATOS), which rose 3.32% or 2.76 points to trade at 85.80 at the close. Meanwhile, Airbus Group SE (PA:AIR) added 2.10% or 2.34 points to end at 113.70 and  Safran  SA (PA:SAF) was up 1.48% or 1.75 points to 120.00 in late trade.The worst performers of the session were  Accor  SA (PA:ACCP), which fell 1.66% or 0.64 points to trade at 37.94 at the close. Compagnie de Saint Gobain SA (PA:SGOB) declined 1.64% or 0.54 points to end at 32.41 and WFD Unibail Rodamco NV (AS:URW) was down 0.95% or 1.36 points to 142.42.The top performers on the SBF 120 were Sopra Steria Group SA (PA:SOPR) which rose 17.80% to 106.90,  Edenred  (PA:EDEN) which was up 5.24% to settle at 39.80 and Television Francaise 1 SA (PA:TFFP) which gained 3.48% to close at 8.315.The worst performers were  Europcar Groupe SA  (PA:EUCAR) which was down 7.98% to 7.14 in late trade,  Eramet  SA (PA:ERMT) which lost 5.10% to settle at 49.16 and Eutelsat Communications SA (PA:ETL) which was down 4.73% to 18.22 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 286 to 285 and 99 ended unchanged.Shares in Airbus Group SE (PA:AIR) rose to all time highs; gaining 2.10% or 2.34 to 113.70. Shares in Edenred (PA:EDEN) rose to all time highs; up 5.24% or 1.98 to 39.80. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 1.29% to 14.16.Gold Futures for April delivery was up 0.36% or 4.75 to $1332.55 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in April rose 0.60% or 0.34 to hit $57.30 a barrel, while the April Brent oil contract rose 0.07% or 0.05 to trade at $67.12 a barrel.EUR/USD was up 0.12% to 1.1347, while EUR/GBP fell 0.01% to 0.8681.The US Dollar Index Futures was down 0.16% at 96.312."
9,"Feb 22, 2019 03:45AM ET","European shares flat, results from Elekta, Sika, Sopra Steria drive big swings",nan,"LONDON (Reuters) - Europe's main stock markets barely budged on Friday but results from companies including Sweden's Elekta, Switzerland's Sika, and France's Sopra Steria kept trading lively while investors waited with bated breath for news from crucial U.S.-China trade talks.The STOXX 600 and Germany's DAX were both flat by 0830 GMT, with the main action at the stock level.Shares in Sopra Steria topped the STOXX 600 with a 17 percent gain after the French IT services and consulting firm reported full-year results.Chipmaker ASM International jumped 6.3 percent after it said fourth-quarter order intake hit a record high of 301.6 million euros, well above its forecast.In other strong results, Swiss construction chemicals maker Sika rose 4.6 percent after full-year profit beat expectations.Meanwhile Elekta brought up the rear with a 10.6 percent slide after the Swedish radiation therapy equipment maker reported third-quarter earnings well below market expectations, and cut its full-year margin forecast.The food and beverage sector was the worst-performing, down 0.6 percent, after U.S.-based Kraft Heinz (NASDAQ:KHC) reported weak results, sending its shares down 20 percent in after-hours Wall Street trade.AB Inbev fell 2.3 percent, Nestle lost 0.6 percent and Danone dipped 0.4 percent.  Unilever  (LON:ULVR) also dropped 0.9 percent. Saint Gobain (PA:SGOB) shares fell 3.1 percent after the company reported a slump in annual net profit, blaming asset impairments amid uncertainty over the economy.Shares in car parts maker  Valeo  (PA:VLOF) see-sawed in early deals after its results, up just 0.7 percent by 0830 GMT.In the UK, M&A livened up trading. Dairy Crest shares surged 12.9 percent after Canada's Saputo bought Britain's largest dairy food company for about 975 million pounds ($1.3 billion).  /6938/FP_EN_site/FP_EN_TextNote 
"
