,date,titre,texte,article
0,"Jun 20, 2019 04:20AM ET",GSK offers concessions to address EU concerns over Pfizer deal,nan,"BRUSSELS (Reuters) - GlaxoSmithKline has offered concessions to address EU antitrust concerns over its planned joint venture with Pfizer's consumer health business, the European Commission said on Thursday.The EU competition enforcer will decide by July 10 whether to accept the proposal, demand more or open a full-scale investigation, according to a filing on its site.GSK announced the deal in December last year, a move which will put it ahead of rivals Johnson & Johnson (NYSE:JNJ), Bayer (DE:BAYGN) and Sanofi (PA:SASY).  /6938/FP_EN_site/FP_EN_TextNote 
"
1,"Jun 18, 2019 01:30AM ET","French drugmaker Sanofi, Google to use data tech for innovations",nan,"PARIS (Reuters) - French healthcare company Sanofi (PA:SASY) has teamed up with Google (NASDAQ:GOOGL) to work on innovations, aimed at using emerging data technologies to change how medicines and health services will be delivered in future.Sanofi and Google will use data sets to improve their understanding of key diseases and extract patients' insights and feedback, the companies said in a joint statement. ""Combining Sanofi's biologic innovations and scientific data with Google's industry-leading capabilities, from cloud computing to state-of-the-art artificial intelligence, we aspire to give people more control over their health and accelerate the discovery of new therapies,"" said Ameet Nathwani, chief medical officer and executive vice-president, Sanofi. This would enable Sanofi to research and develop a more personalized approach to treatment and identify accompanying technologies to improve results, the statement said.  /6938/FP_EN_site/FP_EN_TextNote 
"
2,"Jun 11, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.48%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Utilities, Technology and Consumer Services sectors led shares higher.At the close in Paris, the CAC 40 gained 0.48%, while the SBF 120 index gained 0.48%.The best performers of the session on the CAC 40 were ArcelorMittal SA (AS:MT), which rose 6.59% or 0.928 points to trade at 15.014 at the close. Meanwhile, Compagnie de Saint Gobain SA (PA:SGOB) added 2.68% or 0.88 points to end at 33.48 and Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP) was up 2.57% or 2.70 points to 107.85 in late trade.The worst performers of the session were Sanofi SA (PA:SASY), which fell 1.55% or 1.20 points to trade at 76.10 at the close.  Vivendi  SA (PA:VIV) declined 1.43% or 0.35 points to end at 24.20 and Veolia Environnement VE SA (PA:VIE) was down 0.85% or 0.180 points to 21.110.The top performers on the SBF 120 were ArcelorMittal SA (AS:MT) which rose 6.59% to 15.014, CGG SA (PA:GEPH) which was up 5.84% to settle at 1.558 and  Imerys  SA (PA:IMTP) which gained 4.47% to close at 42.04.The worst performers were Genfit (PA:GNFT) which was down 16.49% to 17.820 in late trade, Korian Medica SA (PA:KORI) which lost 4.07% to settle at 35.360 and DBV Technologies (PA:DBV) which was down 4.05% to 15.880 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 304 to 277 and 79 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 1.61% to 14.38.Gold Futures for August delivery was up 0.25% or 3.35 to $1332.65 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 0.04% or 0.02 to hit $53.24 a barrel, while the August Brent oil contract fell 0.27% or 0.17 to trade at $62.12 a barrel.EUR/USD was up 0.16% to 1.1330, while EUR/GBP fell 0.16% to 0.8902.The US Dollar Index Futures was down 0.06% at 96.650."
3,"Jun 10, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.34%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Healthcare, Utilities and Basic Materials sectors led shares higher.At the close in Paris, the CAC 40 added 0.34%, while the SBF 120 index added 0.36%.The best performers of the session on the CAC 40 were ArcelorMittal SA (AS:MT), which rose 4.46% or 0.602 points to trade at 14.086 at the close. Meanwhile, TechnipFMC PLC (PA:FTI) added 3.11% or 0.61 points to end at 20.22 and  Renault  SA (PA:RENA) was up 2.59% or 1.39 points to 55.08 in late trade.The worst performers of the session were Compagnie de Saint Gobain SA (PA:SGOB), which fell 2.86% or 0.96 points to trade at 32.60 at the close. Sanofi SA (PA:SASY) declined 1.30% or 1.02 points to end at 77.30 and Engie SA (PA:ENGIE) was down 0.87% or 0.12 points to 13.10.The top performers on the SBF 120 were ArcelorMittal SA (AS:MT) which rose 4.46% to 14.086,  Vallourec  (PA:VLLP) which was up 4.14% to settle at 2.312 and  Faurecia  (PA:EPED) which gained 3.44% to close at 36.07.The worst performers were Eurofins Scientific SE (PA:EUFI) which was down 3.26% to 356.60 in late trade, Compagnie de Saint Gobain SA (PA:SGOB) which lost 2.86% to settle at 32.60 and BIC (PA:BICP) which was down 2.00% to 68.65 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 374 to 195 and 95 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 0.36% to 14.61.Gold Futures for August delivery was down 1.10% or 14.85 to $1331.25 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 0.20% or 0.11 to hit $53.88 a barrel, while the August Brent oil contract fell 0.79% or 0.50 to trade at $62.79 a barrel.EUR/USD was down 0.11% to 1.1319, while EUR/GBP fell 0.03% to 0.8914.The US Dollar Index Futures was up 0.22% at 96.705."
4,"Jun 07, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 1.62%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Oil & Gas, Healthcare and Gas & Water sectors led shares higher.At the close in Paris, the CAC 40 added 1.62%, while the SBF 120 index gained 1.61%.The best performers of the session on the CAC 40 were Sanofi SA (PA:SASY), which rose 4.40% or 3.30 points to trade at 78.32 at the close. Meanwhile,  Worldline SA  (PA:WLN) added 3.43% or 1.950 points to end at 58.850 and Dassault Systemes SE (PA:DAST) was up 2.65% or 3.50 points to 135.35 in late trade.The worst performers of the session were  Societe Generale  SA (PA:SOGN), which fell 0.90% or 0.20 points to trade at 22.11 at the close.  BNP Paribas  SA (PA:BNPP) declined 0.46% or 0.19 points to end at 40.81 and  Peugeot  SA (PA:PEUP) was down 0.29% or 0.06 points to 20.54.The top performers on the SBF 120 were  Soitec  SA (PA:SOIT) which rose 8.48% to 83.800,  Vallourec  (PA:VLLP) which was up 5.51% to settle at 2.220 and  Mercialys  SA (PA:MERY) which gained 4.48% to close at 11.65.The worst performers were DBV Technologies (PA:DBV) which was down 2.05% to 16.280 in late trade, Genfit (PA:GNFT) which lost 2.00% to settle at 21.520 and Air France KLM SA (PA:AIRF) which was down 1.08% to 8.064 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 385 to 173 and 96 ended unchanged.Shares in Societe Generale SA (PA:SOGN) fell to 5-year lows; down 0.90% or 0.20 to 22.11. Shares in Worldline SA (PA:WLN) rose to all time highs; gaining 3.43% or 1.950 to 58.850. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 4.76% to 14.56.Gold Futures for August delivery was up 0.38% or 5.15 to $1347.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 2.22% or 1.17 to hit $53.76 a barrel, while the August Brent oil contract rose 2.19% or 1.35 to trade at $63.02 a barrel.EUR/USD was up 0.60% to 1.1341, while EUR/GBP rose 0.24% to 0.8896.The US Dollar Index Futures was down 0.56% at 96.458."
5,"Jun 07, 2019 10:20AM ET",France's Sanofi bets on new CEO to drive sluggish drug sales,nan,"By John MillerZURICH (Reuters) - In veteran drug salesman Paul Hudson, Sanofi's 100,000-plus employees are getting a new chief executive who relishes a good commercial fight.The French firm said on Friday it had poached 51-year-old Hudson from Novartis, betting on him to rejuvenate a business hit by sluggish cholesterol drug sales and a diabetes unit facing growing competition for its top seller. Hudson, the latest of several Novartis executives to exit the Swiss firm, has nearly 30 years of industry experience, including a stint as AstraZeneca's top U.S. manager.The Englishman, a skilled public speaker and fan of his hometown soccer team Manchester United, will replace Olivier Brandicourt, 63, who is retiring in September.At Novartis, Hudson kick-started sales of heart failure medicine Entresto that the firm expected to generate $5 billion but whose sales began at a glacial pace after its 2015 launch.After heavy marketing investment and a sales push, Hudson turned the drug into a Novartis blockbuster.""We're now starting to see the fruits of all the effort we put in,"" Hudson told analysts on a Novartis call in April. ""Will it continue? We believe it does continue.""At Sanofi (PA:SASY), one of Hudson's challenges will be to turn around the fortunes of Praluent, a cholesterol medicine that has failed to meet original expectations due to concerns about its price and a bitter patent dispute with rival Amgen (NASDAQ:AMGN).""The departure of Paul Hudson is regrettable for Novartis, due to his industry experience in the United States,"" said Michael Nawrath from Zuercher Kantonalbank.But his knowledge of the world's biggest drugs market will be Sanofi's gain. Hudson, awarded an honorary doctorate at his alma mater Manchester Metropolitan University, also has to defend Sanofi's patent-expired insulin Lantus, a top earner at 3.6 billion euros ($4 billion) even after a 20 percent drop in sales.Competition will come from Mylan's generics and even Novartis, which in 2018 signed a deal with China's Gan & Lee to make Lantus copies.Hudson has proved a tenacious salesman at Novartis, winning approval for the world's costliest medicine, gene therapy Zolgensma for spinal muscular atrophy, at $2.1 million per patient.Novartis said Hudson's replacement would be Marie-France Tschudin, 48, who has led the Swiss firm's European cancer unit after joining the company in 2017. She previously worked at Celgene's cancer business.It marks another change at the top of Novartis, where most of its executive committee was appointed in the last two years.""The turn-over at the Novartis executive committee continues at high speed,"" Bank Vontobel analyst Stefan Schneider said.This week, Samit Hirawat, head of oncology drug development, left for Bristol-Myers Squibb (NYSE:BMY), while Novartis's cancer chief, Susanne Schaffert, has only been in her post since January. In March, the Swiss firm hired a new generics head, Richard Saynor, from GlaxoSmithKline.A Novartis spokesman said Novartis had a deep bench of global experts to fill talent gaps left by Hudson and others.  /6938/FP_EN_site/FP_EN_TextNote 
"
6,"Jun 07, 2019 05:38AM ET",Top 5 Things to Know in the Market on Friday,nan,"Investing.com - Here are the top five things you need to know in financial markets on Friday, June 7:1. Jobs report on watch for impact on ratesThe U.S. Labor Department will publish its monthly employment report for May at 8:30 AM ET (12:30 GMT) Friday.Analysts forecast that the U.S. economy created about 185,000 jobs in May, while the unemployment rate is expected to remain steady at 3.6%.Investors will keep a close eye on the data as Wednesday’s ADP release showed that job creation hit a nine-year low in May. Despite the worse-than-expected number, markets cheered the “bad news” as fuel for the Federal Reserve to embark on policy easing.2. Pence confirms tariffs on Mexico will go into effect ahead of further talksTalks between the U.S. and Mexico over the border issue will continue in Washington on Friday after Mexican Foreign Minister Marcelo Ebrard confirmed that his country will deploy 6,000 National Guardsmen to its southern border with Guatemala in an attempt to stop the flow of immigrants from Central America.U.S. Vice President Mike Pence said that he was “encouraged” by the efforts but that the 5% tariff increase scheduled for Monday was still on the table.“At this point the tariffs are going to be imposed on Monday,” Pence said, adding that the final decision would depend on U.S. President Donald Trump.3. Global stocks extend rally on hopes for U.S.-Mexico negotiationsGlobal stocks traded higher on Friday, extending a rally on hopes that negotiations between the U.S. and Mexico could avoid escalating tariffs.With stock markets in China and Hong Kong closed for a holiday, Asian shares ended higher on expectations global central banks will soon embark on an easing cycle to combat the slowdown in the global economy.France’s CAC 40 led gains in European bourses as investors cheered news that Sanofi (PA:SASY) had appointed Swiss rival Novartis' executive Paul Hudson as its new boss.While investors looked ahead to trade negotiations and jobs data, U.S. futures pointed to a higher open. Dow futures gained 83 points, or 0.3%, S&P 500 futures rose 9 points, or 0.3%, while Nasdaq 100 futures traded up 31 points, or 0.4%.Read more: Can The Market Rally Without FAANG? - Jeff Miller4. Blackout period to see Fed officials debate rate cutsWith the blackout period ahead of the Fed’s June 18-19 policy meeting set to kick off on Saturday, markets will brace for a lack of further comments from officials on the possibility of interest rate cuts.The June meeting will include updated economic projections that will reveal policymakers’ outlook on the economy and interest rates in the face of escalating trade tensions.After Fed Chair Jerome Powell indicated a willingness to “act as appropriate to sustain the expansion”, markets are pricing in a 70% chance that rates are a quarter point lower after the July meeting and a more-than-50% chance that rates will be a half point lower following the September decision, according to Investing.com’s Fed Rate Monitor Tool.5. Yuan drops as China’s central bank promises willingness to ease policyThe offshore yuan fell the most in more than three weeks against the U.S. dollar, as People’s Bank of China Governor Yi Gang hinted that there is no lower bound for the currency and indicated he was prepared to embark on further policy easing to combat economic fallout from the trade dispute with the U.S.The Chinese currency fell as much as 0.5% against the dollar. Its biggest drop since May 13 took it to lows not seen since mid-November."
7,"Jun 07, 2019 04:53AM ET","European stocks head for best week in 2 months, Sanofi jumps",nan,"By Sruthi Shankar and Medha Singh(Reuters) - European stocks were on course to notch their best weekly performance in two months on Friday as a jump in shares of French pharma giant Sanofi (PA:SASY) added to the positive mood created by expectations of more moves by central banks to stir growth.France's CAC 40 outperformed its peers with a 1.2% rise, helped by a 4.5% jump in Sanofi after the company appointed Swiss rival Novartis' executive Paul Hudson as its new boss.The stock was on track to post its best day in more than seven months, helping the healthcare sector rise 0.5%.""Hudson's immediate challenges will be working with the new CFO to improve cost efficiency in the business,"" analysts at Liberum Capital said in a note. ""As an external, and non-French hire Hudson will be seen as a step in the right direction."" Investors have largely favored defensive sectors such as utilities and healthcare in a week that has seen stock markets globally gain despite uncertainties over trade and monetary policy.Signals from the U.S. Federal Reserve that interest rate cuts are on the cards have been at the heart of those moves, and monthly U.S. non-farm payrolls on Friday are likely to set the tone for the next week. European stocks, however, were hit by a stronger euro on Thursday after the European Central Bank refrained from providing as dovish an outlook as hoped.""Major central banks are prepared to do what is necessary, should the situation warrant it. That reassurance is what has been holding equities up this week,"" said Ken Odeluga, market analyst at London-based City Index.In fresh evidence that the trade friction and uncertainty over Britain's chaotic Brexit process were taking a toll, data showed German industrial output fell more than expected in April.However, the broader recovery in the region helped Germany's DAX rise 0.6%.Automakers, sensitive to trade headlines, gained 0.2% after a report that U.S. President Donald Trump could delay the tariffs he had threatened to put on Mexican goods as soon as this coming Monday.A 4.3% fall in German car parts maker Hella after a downgrade by brokerage BHF kept gains in check for the sector.The energy sector was the biggest gainer among the major subsectors with oil majors Total and  BP  (LON:BP) PLC up more than 1% as crude prices jumped. [O/R]Shares in Danish chemicals firm Novozymes slumped 7.2% to become the top decliner on the STOXX after it cut its 2019 sales outlook for the second time in less than two months on the back of weak U.S. ethanol production.Dutch insurer ASR rose 5.5%, top performer on STOXX 600 after rival Vivat, for which ASR previously made an offer, agreed to be bought out by private European life insurer Athora.  /6938/FP_EN_site/FP_EN_TextNote 
"
8,"Jun 07, 2019 03:34AM ET",Drugmaker Sanofi appoints Novartis' Hudson as CEO,nan,"By Matthias BlamontPARIS (Reuters) - Sanofi (PA:SASY) has appointed Novartis executive Paul Hudson to replace CEO Olivier Brandicourt who will retire in September, France's biggest drugmaker said on Friday.Hudson will take over on Sept. 1, Sanofi said, confirming a Reuters report published on Thursday and marking the latest transfer of a Novartis executive to a competitor.UK-born Hudson, 51, has been CEO of the Novartis Pharmaceuticals, one of the Swiss company's three main divisions, since 2016.Earlier, he worked at Schering Plough and AstraZeneca. Novartis named Marie-France Tschudin, president of Novartis unit Advanced Accelerator Applications (AAA), to replace Hudson with immediate effect.""Hudson has been chosen because of his reputation. He is known as a solid manager and has digital expertise relating to pharmaceuticals,"" a Sanofi source said on Thursday.Brandicourt was hired in 2015 to help to revive the fortunes of Sanofi and has been actively reshaping the business.Under his tenure, the company swapped its animal health unit with Boehringer Ingelheim for the German company's consumer healthcare operations in a $20 billion deal. Sanofi also sold its European generics arm for 1.9 billion euros ($2.1 billion) to private equity firm Advent International.New launches such as eczema treatment Dupixent, cost-cutting measures and new priorities in research and development enabled Sanofi to return to profit in the second half of last year after a series of disappointing quarters.Brandicourt's teams, however, failed to land two strategic acquisitions, losing out to  Pfizer  (NYSE:PFE) on buying California-based cancer specialist Medivation in 2016 and failing to acquire Swiss biotech company Actelion, which was bought by Johnson & Johnson (NYSE:JNJ) in 2017.NEW MEDICINESAt Novartis, Tschudin takes over a main drugs business with $35 billion in annual sales and a stable of medicines including newly approved $2.1 million-per-patient gene therapy Zolgensma, the world's most expensive one-time therapy, for children with spinal muscular atrophy.Hudson's departure follows the exit of Samit Hirawat, head of oncology drug development, who is to become chief medical officer at Bristol-Myers Squibb (NYSE:BMY) in a move announced on Wednesday.Novartis is being watched for how successfully it can roll out Zolgensma as well as several other new medicines including Mayzent in a crowded multiple sclerosis field.Tschudin, a Swiss citizen who speaks six languages, joined Novartis in 2017 after working at Celgene (NASDAQ:CELG) where she ran its Hematology-Oncology business for Europe, Middle East and Africa.Answering to Chief Executive Vas Narasimhan, Tschudin's brief will be continuing the Swiss drugmakers' push into cell and gene therapy for rare diseases, while also building out a diverse portfolio of medicines for heart disease, immunology, liver disease, neuroscience and respiratory ailments.""Marie-France has a strong record of accomplishments in driving commercial excellence and a culture of inclusiveness and integrity,"" Narasimhan said.  /6938/FP_EN_site/FP_EN_TextNote 
"
9,"Jun 07, 2019 03:20AM ET",StockBeat: Markets Rise as Miserable German Data Boost QE Hopes,nan,"By Geoffrey SmithInvesting.com -- Europe’s stock markets opened higher on Friday after data showing that German economic weakness continued into the second quarter encouraged speculation that the European Central Bank may have to follow through on its hints of resuming its bond-buying program to keep the economy on track.Germany’s statistics office Destatis said exports fell by 3.7% on the month in April, while industrial production fell 1.9% - the most in over two years - and manufacturing output fell 2.5%.At 03:20 AM ET (0720 GMT), the benchmark Euro Stoxx 600 was up 2.1 points, or 0.6% at a two-week high of 376.12.“This is a horrible start to the second quarter for German industry, as global trade tensions as well as temporary problems in the automotive sector and chemical industry have left their marks,” said Carsten Brzeski, an economist with ING in Frankfurt.Separately, the Deutsche Bundesbank, Germany’s central bank, slashed its growth forecast for 2019 to 0.6% from 1.6%.Germany’s automakers, in particular, are bracing for further trouble ahead as the U.S. prepares to levy its first import tariffs on Mexico over its perceived unwillingness to stop illegal immigration into the U.S. All of the big three names have either assembly plants on Mexico, or vital suppliers to their factories in the U.S.U.S. Vice President Mike Pence said overnight that the U.S. still intends to impose a tariff of 5% on Mexican goods on Monday, despite an offer from Mexico to assign 6,000 police to the issue. The proposed tariffs, which have taken some 3% off the peso in little more than a week, also have negative implications for Spain’s largest banks,  Banco Santander  (MC:SAN) and BBVA (MC:BBVA), which have large operations there.Elsewhere, French pharma giant Sanofi (PA:SASY) rose 3.8% on news that it has chosen Novartis’ Paul Hudson to replace Olivier Brandicourt. Hudson has been CEO of  Novartis  '(SIX:NOVN) pharmaceuticals unit since 2016. That helped the CAC 40 to outperform with a 0.9% rise, while Germany’s Dax and the U.K. FTSE both gained 0.6%."
