,date,titre,texte,article
0,"Jun 18, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 2.20%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Foods & Drugs, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 added 2.20% to hit a new 1-month high, while the SBF 120 index climbed 2.17%.The best performers of the session on the CAC 40 were ArcelorMittal SA (AS:MT), which rose 6.32% or 0.908 points to trade at 15.282 at the close. Meanwhile,  Accor  SA (PA:ACCP) added 4.91% or 1.70 points to end at 36.32 and Engie SA (PA:ENGIE) was up 4.72% or 0.60 points to 13.43 in late trade.The worst performers of the session were  Renault  SA (PA:RENA), which fell 2.60% or 1.46 points to trade at 54.73 at the close. Sodexo SA (PA:EXHO) added 0.05% or 0.05 points to end at 104.95 and  Publicis Groupe  SA (PA:PUBP) was up 0.08% or 0.04 points to 50.22.The top performers on the SBF 120 were CGG SA (PA:GEPH) which rose 8.10% to 1.661, ArcelorMittal SA (AS:MT) which was up 6.32% to settle at 15.282 and Spie SA (PA:SPIE) which gained 5.77% to close at 16.490.The worst performers were Renault SA (PA:RENA) which was down 2.60% to 54.73 in late trade, Sopra Steria Group SA (PA:SOPR) which lost 1.77% to settle at 96.85 and Genfit (PA:GNFT) which was down 0.71% to 18.170 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 386 to 183 and 86 ended unchanged.Shares in Sodexo SA (PA:EXHO) rose to 52-week highs; gaining 0.05% or 0.05 to 104.95. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 1.55% to 13.76 a new 1-month low.Gold Futures for August delivery was up 0.67% or 8.95 to $1351.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in August rose 3.68% or 1.92 to hit $54.09 a barrel, while the August Brent oil contract rose 2.13% or 1.30 to trade at $62.24 a barrel.EUR/USD was down 0.14% to 1.1201, while EUR/GBP fell 0.30% to 0.8922.The US Dollar Index Futures was up 0.06% at 97.113."
1,"May 23, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 1.81%,nan,"Investing.com – France stocks were lower after the close on Thursday, as losses in the Oil & Gas, Financials and Utilities sectors led shares lower.At the close in Paris, the CAC 40 fell 1.81%, while the SBF 120 index declined 1.85%.The best performers of the session on the CAC 40 were Sodexo SA (PA:EXHO), which rose 0.39% or 0.40 points to trade at 102.00 at the close. Meanwhile, Sanofi SA (PA:SASY) unchanged 0.00% or 0.00 points to end at 74.90 and  Pernod Ricard  SA (PA:PERP) was down 0.09% or 0.15 points to 161.75 in late trade.The worst performers of the session were STMicroelectronics NV (PA:STM), which fell 5.67% or 0.825 points to trade at 13.730 at the close. TechnipFMC PLC (PA:FTI) declined 4.47% or 0.92 points to end at 19.65 and ArcelorMittal SA (AS:MT) was down 4.45% or 0.652 points to 14.010.The top performers on the SBF 120 were Air France KLM SA (PA:AIRF) which rose 2.13% to 7.966, ALD SA (PA:ALDA) which was up 1.23% to settle at 13.22 and Rothschild & Co SCA (PA:ROTH) which gained 0.54% to close at 27.700.The worst performers were CGG SA (PA:GEPH) which was down 7.50% to 1.449 in late trade,  Casino  Guichard Perrachon SA (PA:CASP) which lost 6.40% to settle at 27.94 and STMicroelectronics NV (PA:STM) which was down 5.67% to 13.730 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 457 to 89 and 84 ended unchanged.Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; down 4.45% or 0.652 to 14.010. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 18.88% to 17.38.Gold Futures for June delivery was up 0.88% or 11.25 to $1285.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 5.99% or 3.68 to hit $57.74 a barrel, while the July Brent oil contract fell 5.23% or 3.71 to trade at $67.28 a barrel.EUR/USD was up 0.27% to 1.1182, while EUR/GBP rose 0.16% to 0.8821.The US Dollar Index Futures was down 0.19% at 97.697."
2,"May 17, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.18%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Gas & Water, General Financial and Foods & Drugs sectors led shares lower.At the close in Paris, the CAC 40 fell 0.18%, while the SBF 120 index lost 0.23%.The best performers of the session on the CAC 40 were Dassault Systemes SE (PA:DAST), which rose 1.91% or 2.65 points to trade at 141.30 at the close. Meanwhile, Sodexo SA (PA:EXHO) added 1.24% or 1.25 points to end at 101.95 and  Total  SA (PA:TOTF) was up 1.16% or 0.56 points to 49.17 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 3.84% or 0.584 points to trade at 14.622 at the close.  Worldline SA  (PA:WLN) declined 1.90% or 1.000 points to end at 51.500 and Engie SA (PA:ENGIE) was down 1.74% or 0.24 points to 13.58.The top performers on the SBF 120 were  Vallourec  (PA:VLLP) which rose 8.44% to 2.440, Korian Medica SA (PA:KORI) which was up 3.44% to settle at 36.080 and Dassault Systemes SE (PA:DAST) which gained 1.91% to close at 141.30.The worst performers were  Nexans  SA (PA:NEXS) which was down 3.99% to 28.38 in late trade, ArcelorMittal SA (AS:MT) which lost 3.84% to settle at 14.622 and  Iliad  (PA:ILD) which was down 3.12% to 104.10 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 318 to 242 and 76 ended unchanged.Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; losing 3.84% or 0.584 to 14.622. Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; losing 3.84% or 0.584 to 14.622. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 0.78% to 14.03.Gold Futures for June delivery was down 0.83% or 10.65 to $1275.55 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June fell 0.06% or 0.04 to hit $62.83 a barrel, while the July Brent oil contract fell 0.77% or 0.56 to trade at $72.06 a barrel.EUR/USD was down 0.07% to 1.1164, while EUR/GBP rose 0.46% to 0.8769.The US Dollar Index Futures was up 0.11% at 97.782."
3,"May 09, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 1.93%,nan,"Investing.com – France stocks were lower after the close on Thursday, as losses in the Utilities, Basic Materials and Financials sectors led shares lower.At the close in Paris, the CAC 40 lost 1.93% to hit a new 1-month low, while the SBF 120 index fell 1.95%.The best performers of the session on the CAC 40 were Sodexo SA (PA:EXHO), which rose 0.05% or 0.05 points to trade at 100.30 at the close. Meanwhile, Orange SA (PA:ORAN) fell 0.47% or 0.07 points to end at 13.88 and  Carrefour  SA (PA:CARR) was down 0.65% or 0.12 points to 17.50 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 6.09% or 1.082 points to trade at 16.688 at the close. STMicroelectronics NV (PA:STM) declined 5.01% or 0.780 points to end at 14.780 and  Credit Agricole  SA (PA:CAGR) was down 4.54% or 0.550 points to 11.565.The top performers on the SBF 120 were Eutelsat Communications SA (PA:ETL) which rose 1.69% to 15.96, Eurofins Scientific SE (PA:EUFI) which was up 0.56% to settle at 395.80 and SES (PA:SESFd) which gained 0.46% to close at 15.21.The worst performers were  Casino  Guichard Perrachon SA (PA:CASP) which was down 6.76% to 33.63 in late trade, ArcelorMittal SA (AS:MT) which lost 6.09% to settle at 16.688 and Eurazeo (PA:EURA) which was down 6.04% to 64.55 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 483 to 92 and 77 ended unchanged.Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; down 6.09% or 1.082 to 16.688. Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; falling 6.09% or 1.082 to 16.688. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 12.36% to 18.81 a new 3-months high.Gold Futures for June delivery was up 0.24% or 3.05 to $1284.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June fell 0.52% or 0.32 to hit $61.80 a barrel, while the July Brent oil contract fell 0.10% or 0.07 to trade at $70.30 a barrel.EUR/USD was up 0.23% to 1.1217, while EUR/GBP rose 0.13% to 0.8612.The US Dollar Index Futures was down 0.16% at 97.232."
4,"May 08, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.40%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Utilities, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 added 0.40%, while the SBF 120 index climbed 0.36%.The best performers of the session on the CAC 40 were Atos SE (PA:ATOS), which rose 2.93% or 1.94 points to trade at 68.24 at the close. Meanwhile,  Kering  SA (PA:PRTP) added 1.68% or 8.50 points to end at 515.70 and TechnipFMC PLC (PA:FTI) was up 1.58% or 0.32 points to 20.58 in late trade.The worst performers of the session were Veolia Environnement VE SA (PA:VIE), which fell 2.45% or 0.530 points to trade at 21.070 at the close. Sodexo SA (PA:EXHO) declined 1.72% or 1.75 points to end at 100.25 and WFD Unibail Rodamco NV (AS:URW) was down 0.94% or 1.40 points to 148.15.The top performers on the SBF 120 were  Iliad  (PA:ILD) which rose 4.69% to 103.45, Atos SE (PA:ATOS) which was up 2.93% to settle at 68.24 and  Ubisoft  Entertainment (PA:UBIP) which gained 2.59% to close at 83.200.The worst performers were Air France KLM SA (PA:AIRF) which was down 2.77% to 8.974 in late trade, Veolia Environnement VE SA (PA:VIE) which lost 2.45% to settle at 21.070 and  Solvay  SA (BR:SOLB) which was down 2.34% to 94.46 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 302 to 250 and 96 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 6.76% to 16.74.Gold Futures for June delivery was down 0.35% or 4.55 to $1281.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 0.94% or 0.58 to hit $61.98 a barrel, while the July Brent oil contract rose 0.64% or 0.45 to trade at $70.33 a barrel.EUR/USD was down 0.02% to 1.1188, while EUR/GBP rose 0.54% to 0.8603.The US Dollar Index Futures was up 0.00% at 97.403."
5,"Apr 29, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.21%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Healthcare, Utilities and Industrials sectors led shares higher.At the close in Paris, the CAC 40 added 0.21%, while the SBF 120 index gained 0.25%.The best performers of the session on the CAC 40 were TechnipFMC PLC (PA:FTI), which rose 2.68% or 0.59 points to trade at 22.59 at the close. Meanwhile,  Societe Generale  SA (PA:SOGN) added 2.64% or 0.73 points to end at 28.43 and  Credit Agricole  SA (PA:CAGR) was up 2.19% or 0.265 points to 12.390 in late trade.The worst performers of the session were  Total  SA (PA:TOTF), which fell 1.52% or 0.75 points to trade at 48.59 at the close. Sodexo SA (PA:EXHO) declined 1.20% or 1.25 points to end at 102.65 and WFD Unibail Rodamco NV (AS:URW) was down 0.96% or 1.50 points to 154.45.The top performers on the SBF 120 were  Trigano  SA (PA:TRIA) which rose 4.11% to 84.80, TechnipFMC PLC (PA:FTI) which was up 2.68% to settle at 22.59 and Societe Generale SA (PA:SOGN) which gained 2.64% to close at 28.43.The worst performers were  Mercialys  SA (PA:MERY) which was down 4.21% to 12.07 in late trade,  Elior  Group (PA:ELIOR) which lost 2.46% to settle at 12.28 and CGG SA (PA:GEPH) which was down 2.00% to 1.668 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 301 to 268 and 99 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 2.51% to 13.07.Gold Futures for June delivery was down 0.62% or 8.05 to $1280.75 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 0.43% or 0.27 to hit $63.57 a barrel, while the July Brent oil contract rose 0.40% or 0.29 to trade at $71.92 a barrel.EUR/USD was up 0.29% to 1.1180, while EUR/GBP rose 0.23% to 0.8647.The US Dollar Index Futures was down 0.13% at 97.602."
6,"Apr 18, 2019 06:15AM ET",European shares little changed as earnings boost offsets tepid PMIs,nan,"By Medha Singh(Reuters) - European shares were little changed on Thursday as strong quarterly results from  Unilever  (LON:ULVR) and Nestle tempered data showing euro zone businesses unexpectedly slowed this month. The pan-European STOXX 600 index rose 0.01 percent by 0940 GMT, retreating from an eight-month high and set to snap a six-day winning streak ahead of the Easter holiday. Losses in bank-heavy Milan and Madrid indexes led declines, while Germany's DAX edged higher.The yield on the German 10-year bund fell further after flash Purchasing Managers' Index (PMI) data unexpectedly fell to 51.3, a downturn led again by the bloc's manufacturing industry.The data came on the heels of the German government lowering its forecast for 2019 economic growth on Wednesday, which was overshadowed by better-than-expected economic data out of China. ""We ... have confirmation that we are in a bit of a weak spot in Europe, if you look at the services sector and the composite PMI, and this is the reason why you're seeing stock markets in Europe soften,"" said Ken Odeluga, market analyst at CityIndex.""But I think the PMI data is the wrong data at the right time. We are coming to the end of a very short week,"" Odeluga added.Also due are retail sales data and flash PMIs from the United States.Bank stocks fell 0.7 percent, their steepest loss in three weeks.Shares in Osram were among the biggest percentage losers on the STOXX 600 after a German magazine reported that private equity groups Bain and Carlyle were losing confidence in their bid for the lighting group.SIGNS OF SLOWDOWN Kering  (PA:PRTP) dropped 3.6 percent and weighed heavily on France's CAC 40 after signs of a slowdown at the French fashion company's Gucci brand, particularly in the United States.Top gainer in Germany's DAX was  Deutsche Post  (DE:DPWGn), after the Federal Network Agency cleared the way for the postal company to significantly increase the cost of sending letters after the company pledged to hire an extra 5,000 delivery workers.Not all earnings were disappointing. The food and beverage sector raked in a 1 percent rise, the most among European sectors, lifted by upbeat earnings from Nestle.The food group's shares advanced after it maintained its full-year forecast after good momentum in the United States and China.London and Amsterdam-listed shares of Unilever topped the STOXX 600 after the consumer goods group reported stronger than expected quarterly underlying sales growth, helped by increased prices and volume.Schneider Electric (PA:SCHN) rose after the French company beat first-quarter revenue estimates.Lab equipment maker Sartorius Stedim Biotech rose 3 percent after it maintained full-year guidance as first-quarter revenue rose. French vouchers and card provider  Edenred  (PA:EDEN) gained 2.3 percent after keeping its outlook for 2019 unchanged. Rival Sodexo (PA:EXHO) was up 0.5 percent.  /6938/FP_EN_site/FP_EN_TextNote 
"
7,"Apr 15, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.11%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Financials, Basic Materials and Technology sectors led shares higher.At the close in Paris, the CAC 40 rose 0.11% to hit a new 6-months high, while the SBF 120 index added 0.15%.The best performers of the session on the CAC 40 were Atos SE (PA:ATOS), which rose 2.99% or 2.70 points to trade at 92.96 at the close. Meanwhile,  Credit Agricole  SA (PA:CAGR) added 2.18% or 0.260 points to end at 12.200 and  Bouygues  SA (PA:BOUY) was up 1.44% or 0.49 points to 34.49 in late trade.The worst performers of the session were Sodexo SA (PA:EXHO), which fell 1.87% or 1.95 points to trade at 102.60 at the close. STMicroelectronics NV (PA:STM) declined 1.18% or 0.190 points to end at 15.865 and TechnipFMC PLC (PA:FTI) was down 1.18% or 0.26 points to 21.77.The top performers on the SBF 120 were Altran Technologies SA (PA:ALTT) which rose 3.41% to 10.770, Electricite de France SA (PA:EDF) which was up 3.01% to settle at 12.48 and Atos SE (PA:ATOS) which gained 2.99% to close at 92.96.The worst performers were CGG SA (PA:GEPH) which was down 2.58% to 1.700 in late trade,  Maisons du Monde SAS  (PA:MDM) which lost 2.19% to settle at 18.290 and SES (PA:SESFd) which was down 2.07% to 14.88 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 338 to 235 and 94 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 5.12% to 11.61 a new 6-months low.Gold Futures for June delivery was down 0.21% or 2.75 to $1292.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May fell 0.91% or 0.58 to hit $63.31 a barrel, while the June Brent oil contract fell 0.61% or 0.44 to trade at $71.11 a barrel.EUR/USD was up 0.06% to 1.1307, while EUR/GBP fell 0.21% to 0.8627.The US Dollar Index Futures was down 0.09% at 96.510."
8,"Apr 11, 2019 04:45AM ET","European shares dip as growth fears weigh, LVMH, Sodexo buoy France",nan,"(Reuters) - European shares slipped on Thursday as investor sentiment was dented by global growth slowdown fears but gains in France thanks to strong earnings helped set a lower limit to the broader decline.The U.S. Federal Reserve maintained its patient stance on Wednesday citing risks from a cooling global economy and an unresolved trade dispute with China and potentially the European Union, which came shortly after the European Central Bank had also maintained its dovish stance. The pan-European STOXX 600 index dipped 0.1 percent at 0716 GMT, with only Paris in the positve territory, up 0.3 percent. Ireland's Brexit-sensitive ISEQ stock index was flat after the European Union gave British Prime Minister Theresa May until October to leave the bloc, but the lack of clarity on when, how or even if Brexit will happen, kept a lid on gains.Louis Vuitton owner LVMH rose 3.2 percent after sales growth at the luxury goods conglomerate picked up pace in the first quarter.Christian Dior, Italian luxury outerwear maker Moncler and Burberry also climbed on the back of LVMH's results taking the Europe's personal and household goods sector 0.3 percent higher after four straight sessions of losses. Sodexo (PA:EXHO) jumped 3.4 percent after the French food services group posted a stronger-than-expected rise in first-half revenues as growth accelerated in north America during the second quarter.  Deutsche Bank  (DE:DBKGn) ticked 0.7 percent higher after a German newspaper reported its Chief Executive Christian Sewing has told his counterpart at Commerzbank (DE:CBKG) that he wants more time to consider a merger. Commerzbank rose more than 1 percent.Prysmian shed more than 6 percent and was among the biggest percentage decliners on STOXX 600 as the Italian cable maker said would review its financial results for last year. Sunrise Communications' slipped 0.5 percent as a top shareholder blocked plans to extend the company's right to issue fresh capital to 2021, complicating its bid to buy Liberty Global's Swiss UPC cable business for $6.3 billion.Ted Baker said rose 1.7 percent as it ended an independent investigation into allegations of misconduct involving its founder Ray Kelvin and the fashion retailer's policies and handling of employee grievances.ASML was among the biggest drags to the pan-region index on a media report that said Chinese employees stole corporate secrets from Dutch semi-conductor equipment maker, resulting in hundreds of millions of euros (dollars) in losses.   /6938/FP_EN_site/FP_EN_TextNote 
"
9,"Apr 05, 2019 12:35PM ET",France stocks higher at close of trade; CAC 40 up 0.23%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Financials, Consumer Goods and Gas & Water sectors led shares higher.At the close in Paris, the CAC 40 rose 0.23% to hit a new 6-months high, while the SBF 120 index climbed 0.24%.The best performers of the session on the CAC 40 were TechnipFMC PLC (PA:FTI), which rose 3.93% or 0.84 points to trade at 22.21 at the close. Meanwhile, STMicroelectronics NV (PA:STM) added 2.81% or 0.425 points to end at 15.560 and Sodexo SA (PA:EXHO) was up 1.89% or 1.89 points to 101.75 in late trade.The worst performers of the session were  Societe Generale  SA (PA:SOGN), which fell 1.22% or 0.33 points to trade at 26.65 at the close. EssilorLuxottica SA (PA:ESLX) declined 1.17% or 1.14 points to end at 96.10 and  Credit Agricole  SA (PA:CAGR) was down 1.13% or 0.130 points to 11.340.The top performers on the SBF 120 were SES (PA:SESFd) which rose 5.77% to 15.21, TechnipFMC PLC (PA:FTI) which was up 3.93% to settle at 22.21 and Compagnie  Plastic Omnium  SA (PA:PLOF) which gained 3.43% to close at 27.16.The worst performers were  Maisons du Monde SAS  (PA:MDM) which was down 2.81% to 18.700 in late trade,  Iliad  (PA:ILD) which lost 2.53% to settle at 96.34 and  Groupe FNAC  (PA:FNAC) which was down 2.02% to 68.050 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 298 to 283 and 103 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 0.27% to 13.50.Gold Futures for June delivery was up 0.15% or 1.95 to $1296.25 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May rose 0.87% or 0.54 to hit $62.64 a barrel, while the June Brent oil contract rose 0.71% or 0.49 to trade at $69.89 a barrel.EUR/USD was down 0.04% to 1.1216, while EUR/GBP rose 0.43% to 0.8616.The US Dollar Index Futures was up 0.10% at 97.018."
