,date,titre,texte,article
0,"Jun 20, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.31%,nan,"Investing.com – France stocks were higher after the close on Thursday, as gains in the Foods & Drugs, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 added 0.31% to hit a new 1-month high, while the SBF 120 index gained 0.21%.The best performers of the session on the CAC 40 were TechnipFMC PLC (PA:FTI), which rose 3.35% or 0.71 points to trade at 21.89 at the close. Meanwhile, STMicroelectronics NV (PA:STM) added 2.40% or 0.355 points to end at 15.170 and Capgemini SE (PA:CAPP) was up 1.48% or 1.50 points to 103.00 in late trade.The worst performers of the session were  Credit Agricole  SA (PA:CAGR), which fell 2.93% or 0.315 points to trade at 10.435 at the close.  Publicis Groupe  SA (PA:PUBP) declined 2.48% or 1.26 points to end at 49.46 and  Carrefour  SA (PA:CARR) was down 2.41% or 0.41 points to 16.79.The top performers on the SBF 120 were  Vallourec  (PA:VLLP) which rose 6.82% to 2.442, CGG SA (PA:GEPH) which was up 4.25% to settle at 1.694 and TechnipFMC PLC (PA:FTI) which gained 3.35% to close at 21.89.The worst performers were  Natixis  (PA:CNAT) which was down 11.76% to 3.480 in late trade, Air France KLM SA (PA:AIRF) which lost 4.38% to settle at 7.550 and  Casino  Guichard Perrachon SA (PA:CASP) which was down 3.65% to 31.70 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 299 to 266 and 92 ended unchanged.Shares in Natixis (PA:CNAT) fell to 52-week lows; falling 11.76% or 0.464 to 3.480. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 0.22% to 13.68.Gold Futures for August delivery was up 3.21% or 43.30 to $1392.10 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in August rose 5.37% or 2.90 to hit $56.87 a barrel, while the August Brent oil contract rose 3.88% or 2.40 to trade at $64.22 a barrel.EUR/USD was up 0.60% to 1.1292, while EUR/GBP rose 0.11% to 0.8888.The US Dollar Index Futures was down 0.43% at 96.167."
1,"Jun 14, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.15%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Utilities, Healthcare and Consumer Goods sectors led shares lower.At the close in Paris, the CAC 40 fell 0.15%, while the SBF 120 index declined 0.23%.The best performers of the session on the CAC 40 were EssilorLuxottica SA (PA:ESLX), which rose 1.67% or 1.75 points to trade at 106.40 at the close. Meanwhile, Engie SA (PA:ENGIE) added 1.13% or 0.14 points to end at 12.96 and  Total  SA (PA:TOTF) was up 0.57% or 0.27 points to 47.25 in late trade.The worst performers of the session were STMicroelectronics NV (PA:STM), which fell 3.22% or 0.470 points to trade at 14.140 at the close. Capgemini SE (PA:CAPP) declined 2.70% or 2.70 points to end at 97.16 and ArcelorMittal SA (AS:MT) was down 2.38% or 0.356 points to 14.572.The top performers on the SBF 120 were  Rubis  SCA (PA:RUBF) which rose 2.34% to 49.00,  Neopost  SA (PA:NPOS) which was up 2.01% to settle at 19.78 and  Elis Services SA  (PA:ELIS) which gained 1.86% to close at 15.33.The worst performers were  Groupe FNAC  (PA:FNAC) which was down 6.13% to 64.300 in late trade,  Iliad  (PA:ILD) which lost 3.97% to settle at 101.50 and Sopra Steria Group SA (PA:SOPR) which was down 3.68% to 102.00 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 330 to 229 and 97 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 2.73% to 14.58.Gold Futures for August delivery was up 0.52% or 7.05 to $1350.75 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.92% or 0.48 to hit $52.76 a barrel, while the August Brent oil contract rose 1.32% or 0.81 to trade at $62.12 a barrel.EUR/USD was down 0.59% to 1.1208, while EUR/GBP rose 0.05% to 0.8899.The US Dollar Index Futures was up 0.56% at 97.542."
2,"Jun 14, 2019 05:39AM ET",Top 5 Things to Know in the Market on Friday,nan,"Investing.com - Here are the top five things you need to know in financial markets on Friday, June 14:1. Broadcom tumbles as U.S.-China trade dispute causes chip demand slowdownShares in Broadcom (NASDAQ:AVGO) tumbled around 9% in premarket trade Friday as the company forecast a slowdown in demand for chips, blaming the trade dispute between the U.S. and China as well as the export ban on Huawei.""It is clear that the U.S.-China trade conflict including the Huawei export ban is creating economic and political uncertainty and reducing visibility,"" Chief Executive Officer Hock Tan said on a conference call with analysts.The warning caused waves across the sector dragging down European chipmakers such as Infineon (DE:IFXGn), ASML (AS:ASML) and STMicroelectronics (PA:STM) during their regular session, while other U.S. rivals - like Qualcomm (NASDAQ:QCOM), Texas Instruments (NASDAQ:TXN) and Skyworks (NASDAQ:SWKS) - also fell in premarket trade.2. China industrial output growth hits 17-year low amid trade conflictChina's industrial output growth unexpectedly slowed to its slowest rate in over 17 years in May, the latest sign of weakening demand in the world's second-largest economy as the U.S. ramps up trade pressure.Although hopes remain that some type of deal could be reached at an expected meeting between U.S. President Donald Trump and Chinese Premier Xi Jinping at the G20 summit in two weeks, both sides show little sign of backing down.China said on Friday it was raising anti-dumping duties on certain alloy-steel seamless tubes and pipes used at utilities and imported from the United States and the European Union.3. Oil prices correct after tanker attack surge as IEA increases output forecastOil prices dropped on Friday after suspected attacks on tankers in the Gulf of Oman sent crude soaring a day earlier.The U.S. government showed a video of the attacks and laid the blame on Iran, although Tehran denied involvement.G20 ministers plan to hold a meeting to discuss the attacks ahead of their summit at the end of the month.Also putting downward pressure on oil, the International Energy Agency said in its monthly report that non-OPEC production was expected to surge by 2.3 million barrels per day (bpd) in 2020 while OPEC members sit on 3.2 million bpd of spare capacity.4. Retail sales, consumer sentiment data aheadOn Friday’s economic calendar, market focus will be on the state of the American consumer.The Commerce Department will release retail sales for May at 8:30 AM ET (1230 GMT), while the University of Michigan will publish its preliminary data on consumer sentiment for June at 10:00 AM ET (14:00 GMT).Although the Fed is not expected to make any changes to interest rates at the June 18-19 policy meeting, weak numbers would support market conviction that the U.S. central bank could begin cutting rates as early as July. Fed funds futures price in the probability at 88%.5. U.S. futures dip on China worries, Chewy rounds off strong week for IPOsThe double-whammy of weak Chinese industrial production and Broadcom’s warning sent U.S. futures lower on Friday, with particular pressure on the tech sector. Dow futures dropped 30 points, or 0.1% by 5:37 AM ET (9:37 GMT), S&P 500 futures fell 6 points, or 0.2%, while Nasdaq 100 futures traded down 47 points, or 0.6%.Outside of trade developments and economic data, traders will pay attention to the stock market debut of Petsmart’s Chewy (NYSE:CHWY), which priced its IPO above the high end of the marketing range at $22 a share.It's been a strong week for IPOs despite the steady drumbeat of negative news. Cybersecurity company Crowdstrike (NASDAQ:CRWD) has doubled since its debut on Wednesday, while gig economy company Fiverr (NYSE:FVRR) rose 90% Thursday on its debut.Read more: Pressure Is Piling Up On Bank Stocks: Is It Time To Bail Out? - Haris Anwar-- Reuters contributed to this report."
3,"May 31, 2019 01:06PM ET",France stocks lower at close of trade; CAC 40 down 0.79%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Utilities, Gas & Water and General Financial sectors led shares lower.At the close in Paris, the CAC 40 fell 0.79% to hit a new 3-months low, while the SBF 120 index declined 0.72%.The best performers of the session on the CAC 40 were  Worldline SA  (PA:WLN), which rose 1.41% or 0.750 points to trade at 53.900 at the close. Meanwhile, Veolia Environnement VE SA (PA:VIE) added 0.93% or 0.190 points to end at 20.710 and STMicroelectronics NV (PA:STM) was up 0.81% or 0.110 points to 13.695 in late trade.The worst performers of the session were  Renault  SA (PA:RENA), which fell 4.55% or 2.57 points to trade at 53.92 at the close. TechnipFMC PLC (PA:FTI) declined 2.54% or 0.49 points to end at 18.80 and  Pernod Ricard  SA (PA:PERP) was down 2.47% or 4.00 points to 157.80.The top performers on the SBF 120 were  Casino  Guichard Perrachon SA (PA:CASP) which rose 3.02% to 34.07, Electricite de France SA (PA:EDF) which was up 2.24% to settle at 12.56 and  Groupe FNAC  (PA:FNAC) which gained 1.79% to close at 68.200.The worst performers were  Natixis  (PA:CNAT) which was down 15.94% to 4.109 in late trade,  Faurecia  (PA:EPED) which lost 6.98% to settle at 33.07 and  Eramet  SA (PA:ERMT) which was down 4.71% to 50.62 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 344 to 213 and 84 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 4.62% to 16.95.Gold Futures for June delivery was up 1.31% or 16.80 to $1303.90 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 3.34% or 1.89 to hit $54.70 a barrel, while the August Brent oil contract fell 3.40% or 2.22 to trade at $63.11 a barrel.EUR/USD was up 0.27% to 1.1159, while EUR/GBP rose 0.13% to 0.8838.The US Dollar Index Futures was down 0.30% at 97.762."
4,"May 31, 2019 01:06PM ET",France stocks lower at close of trade; CAC 40 down 0.79%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Utilities, Gas & Water and General Financial sectors led shares lower.At the close in Paris, the CAC 40 lost 0.79% to hit a new 3-months low, while the SBF 120 index lost 0.72%.The best performers of the session on the CAC 40 were  Worldline SA  (PA:WLN), which rose 1.41% or 0.750 points to trade at 53.900 at the close. Meanwhile, Veolia Environnement VE SA (PA:VIE) added 0.93% or 0.190 points to end at 20.710 and STMicroelectronics NV (PA:STM) was up 0.81% or 0.110 points to 13.695 in late trade.The worst performers of the session were  Renault  SA (PA:RENA), which fell 4.55% or 2.57 points to trade at 53.92 at the close. TechnipFMC PLC (PA:FTI) declined 2.54% or 0.49 points to end at 18.80 and  Pernod Ricard  SA (PA:PERP) was down 2.47% or 4.00 points to 157.80.The top performers on the SBF 120 were  Casino  Guichard Perrachon SA (PA:CASP) which rose 3.02% to 34.07, Electricite de France SA (PA:EDF) which was up 2.24% to settle at 12.56 and  Groupe FNAC  (PA:FNAC) which gained 1.79% to close at 68.200.The worst performers were  Natixis  (PA:CNAT) which was down 15.94% to 4.109 in late trade,  Faurecia  (PA:EPED) which lost 6.98% to settle at 33.07 and  Eramet  SA (PA:ERMT) which was down 4.71% to 50.62 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 344 to 213 and 84 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 4.62% to 16.95.Gold Futures for June delivery was up 1.31% or 16.80 to $1303.90 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 3.34% or 1.89 to hit $54.70 a barrel, while the August Brent oil contract fell 3.40% or 2.22 to trade at $63.11 a barrel.EUR/USD was up 0.27% to 1.1159, while EUR/GBP rose 0.13% to 0.8838.The US Dollar Index Futures was down 0.30% at 97.762."
5,"May 23, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 1.81%,nan,"Investing.com – France stocks were lower after the close on Thursday, as losses in the Oil & Gas, Financials and Utilities sectors led shares lower.At the close in Paris, the CAC 40 fell 1.81%, while the SBF 120 index declined 1.85%.The best performers of the session on the CAC 40 were Sodexo SA (PA:EXHO), which rose 0.39% or 0.40 points to trade at 102.00 at the close. Meanwhile, Sanofi SA (PA:SASY) unchanged 0.00% or 0.00 points to end at 74.90 and  Pernod Ricard  SA (PA:PERP) was down 0.09% or 0.15 points to 161.75 in late trade.The worst performers of the session were STMicroelectronics NV (PA:STM), which fell 5.67% or 0.825 points to trade at 13.730 at the close. TechnipFMC PLC (PA:FTI) declined 4.47% or 0.92 points to end at 19.65 and ArcelorMittal SA (AS:MT) was down 4.45% or 0.652 points to 14.010.The top performers on the SBF 120 were Air France KLM SA (PA:AIRF) which rose 2.13% to 7.966, ALD SA (PA:ALDA) which was up 1.23% to settle at 13.22 and Rothschild & Co SCA (PA:ROTH) which gained 0.54% to close at 27.700.The worst performers were CGG SA (PA:GEPH) which was down 7.50% to 1.449 in late trade,  Casino  Guichard Perrachon SA (PA:CASP) which lost 6.40% to settle at 27.94 and STMicroelectronics NV (PA:STM) which was down 5.67% to 13.730 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 457 to 89 and 84 ended unchanged.Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; down 4.45% or 0.652 to 14.010. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 18.88% to 17.38.Gold Futures for June delivery was up 0.88% or 11.25 to $1285.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 5.99% or 3.68 to hit $57.74 a barrel, while the July Brent oil contract fell 5.23% or 3.71 to trade at $67.28 a barrel.EUR/USD was up 0.27% to 1.1182, while EUR/GBP rose 0.16% to 0.8821.The US Dollar Index Futures was down 0.19% at 97.697."
6,"May 21, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.50%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Oil & Gas, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 rose 0.50%, while the SBF 120 index added 0.53%.The best performers of the session on the CAC 40 were STMicroelectronics NV (PA:STM), which rose 4.16% or 0.590 points to trade at 14.760 at the close. Meanwhile, ArcelorMittal SA (AS:MT) added 3.65% or 0.526 points to end at 14.952 and TechnipFMC PLC (PA:FTI) was up 3.53% or 0.72 points to 21.14 in late trade.The worst performers of the session were Engie SA (PA:ENGIE), which fell 5.31% or 0.72 points to trade at 12.84 at the close. Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP) declined 1.99% or 2.15 points to end at 105.85 and  Safran  SA (PA:SAF) was down 1.32% or 1.65 points to 123.15.The top performers on the SBF 120 were DBV Technologies (PA:DBV) which rose 4.27% to 16.850, STMicroelectronics NV (PA:STM) which was up 4.16% to settle at 14.760 and ArcelorMittal SA (AS:MT) which gained 3.65% to close at 14.952.The worst performers were Engie SA (PA:ENGIE) which was down 5.31% to 12.84 in late trade, JC Decaux SA (PA:JCDX) which lost 3.96% to settle at 25.74 and  Wendel  (PA:MWDP) which was down 2.12% to 115.40 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 339 to 211 and 82 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 7.55% to 15.14.Gold Futures for June delivery was down 0.34% or 4.35 to $1272.95 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 0.19% or 0.12 to hit $63.09 a barrel, while the July Brent oil contract fell 0.13% or 0.09 to trade at $71.88 a barrel.EUR/USD was down 0.08% to 1.1161, while EUR/GBP fell 0.08% to 0.8767.The US Dollar Index Futures was up 0.13% at 97.893."
7,"May 20, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 1.46%,nan,"Investing.com – France stocks were lower after the close on Monday, as losses in the Basic Materials, Financials and Utilities sectors led shares lower.At the close in Paris, the CAC 40 fell 1.46%, while the SBF 120 index fell 1.50%.The best performers of the session on the CAC 40 were Orange SA (PA:ORAN), which rose 0.98% or 0.14 points to trade at 13.96 at the close. Meanwhile,  Total  SA (PA:TOTF) added 0.11% or 0.06 points to end at 49.23 and Engie SA (PA:ENGIE) was down 0.18% or 0.03 points to 13.55 in late trade.The worst performers of the session were STMicroelectronics NV (PA:STM), which fell 9.08% or 1.415 points to trade at 14.170 at the close.  Air Liquide  SA (PA:AIRP) declined 4.19% or 4.95 points to end at 113.15 and  Kering  SA (PA:PRTP) was down 3.60% or 18.80 points to 503.20.The top performers on the SBF 120 were  Ipsen  SA (PA:IPN) which rose 1.56% to 110.80, Orange SA (PA:ORAN) which was up 0.98% to settle at 13.96 and Dassault Aviation SA (PA:AVMD) which gained 0.56% to close at 1263.00.The worst performers were STMicroelectronics NV (PA:STM) which was down 9.08% to 14.170 in late trade,  Soitec  SA (PA:SOIT) which lost 7.56% to settle at 78.300 and  Imerys  SA (PA:IMTP) which was down 5.67% to 39.58 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 439 to 130 and 75 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 16.71% to 16.38.Gold Futures for June delivery was up 0.01% or 0.15 to $1275.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.30% or 0.19 to hit $63.11 a barrel, while the July Brent oil contract fell 0.12% or 0.09 to trade at $72.12 a barrel.EUR/USD was up 0.12% to 1.1169, while EUR/GBP rose 0.11% to 0.8779.The US Dollar Index Futures was down 0.06% at 97.762."
8,"May 20, 2019 04:16AM ET","StockBeat - Infineon, STMicro Fall as Huawei Ban Roils Chip Market",nan,"By Geoffrey SmithInvesting.com -- When the elephants fight, it’s the ants that get trampled.Europe’s biggest chipmakers Infineon Technologies (DE:IFXGn) and STMicroelectronics (PA:STM) – elephants in their own backyard – are getting a taste of life as an ant this morning as the trade dispute between China and the U.S. threatens to spiral out of control.The two companies have been put in an awkward place by last week’s executive order from the U.S. effectively banning U.S. companies dealing directly with telecoms giant Huawei without a government license. Reports over the weekend suggested that companies from Alphabet (NASDAQ:GOOGL) to Qualcomm (NASDAQ:QCOM) and Broadcom (NASDAQ:AVGO) had already stopped selling to the Chinese giant.According to a report by Japan’s Nikkei Asian Review, Germany’s Infineon has suspended sales to Huawei for fear of causing itself legal trouble in the U.S., while French-based STMicro (PA:STM) has scheduled meetings with the Chinese company for later this week to clarify its situation.As of 4 AM ET (0800 GMT), Infineon was down 3.1%, while STMicro was down 3.8%, both at the bottom of their respective indexes. Germany’s Dax and the CAC 40 were both down a little less than 0.1%, while the benchmark Euro Stoxx 600 opened the week effectively flat at 381.60.According to Nikkei, Infineon’s direct sales to Huawei are minimal – less than $100 million a year (compared to annual revenue of .7.94 billion euros. For STMicro, the direct impact would be larger as Huawei is one of its 10 biggest clients, according to regulatory filings cited by Reuters.However, it isn’t just the direct effects that the two companies need to worry about. Restrictions on sales to China, the world’s biggest market for semiconductors, will create yet more overcapacity headaches for the industry outside China, putting more pressure on prices and margins.It’s less than two months since Infineon was forced to cut its outlook for both revenue and profit this year due to “continued sluggishness in end markets”, while STMicro kept its guidance, but trimmed its planned capital expenditure.Even if demand does pick up, the German company said it would only slowly feed through to the bottom line because global inventories are already at high levels. Huawei has been stockpiling for months to protect itself against being cut off from western suppliers, according to various reports."
9,"May 15, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.62%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Technology, Industrials and Consumer Services sectors led shares higher.At the close in Paris, the CAC 40 gained 0.62%, while the SBF 120 index added 0.59%.The best performers of the session on the CAC 40 were STMicroelectronics NV (PA:STM), which rose 3.61% or 0.545 points to trade at 15.635 at the close. Meanwhile, Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP) added 2.88% or 3.15 points to end at 112.40 and  Bouygues  SA (PA:BOUY) was up 2.40% or 0.77 points to 32.92 in late trade.The worst performers of the session were  Credit Agricole  SA (PA:CAGR), which fell 2.60% or 0.295 points to trade at 11.070 at the close. Capgemini SE (PA:CAPP) declined 1.93% or 2.05 points to end at 104.35 and  Renault  SA (PA:RENA) was down 0.98% or 0.52 points to 52.59.The top performers on the SBF 120 were  Faurecia  (PA:EPED) which rose 4.52% to 38.85,  Eiffage  SA (PA:FOUG) which was up 4.33% to settle at 90.66 and  Ipsen  SA (PA:IPN) which gained 3.71% to close at 109.00.The worst performers were Eutelsat Communications SA (PA:ETL) which was down 6.33% to 15.31 in late trade, Metropole Television SA (PA:MMTP) which lost 4.09% to settle at 16.66 and  Trigano  SA (PA:TRIA) which was down 3.38% to 72.80 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 306 to 248 and 81 ended unchanged.Shares in Renault SA (PA:RENA) fell to 3-years lows; losing 0.98% or 0.52 to 52.59. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 9.18% to 15.23.Gold Futures for June delivery was up 0.20% or 2.55 to $1298.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 0.37% or 0.23 to hit $62.01 a barrel, while the July Brent oil contract rose 0.83% or 0.59 to trade at $71.83 a barrel.EUR/USD was up 0.02% to 1.1205, while EUR/GBP rose 0.32% to 0.8711.The US Dollar Index Futures was up 0.01% at 97.333."
