,date,titre,texte,article
0,"Jun 20, 2019 02:15PM ET",Netherlands stocks higher at close of trade; AEX up 0.40%,nan,"Investing.com – Netherlands stocks were higher after the close on Thursday, as gains in the Healthcare, Financials and Consumer Services sectors led shares higher.At the close in Amsterdam, the AEX rose 0.40% to hit a new 1-month high.The best performers of the session on the AEX were  Galapagos  NV (AS:GLPG), which rose 2.02% or 2.250 points to trade at 113.550 at the close. Meanwhile, ASML Holding NV (AS:ASML) added 1.94% or 3.40 points to end at 178.38 and Koninklijke  Vopak  NV (AS:VOPA) was up 1.46% or 0.58 points to 40.33 in late trade.The worst performers of the session were  ING Groep  NV (AS:INGA), which fell 2.80% or 0.287 points to trade at 9.951 at the close. WFD Unibail Rodamco NV (AS:URW) declined 2.16% or 2.95 points to end at 133.85 and  ABN AMRO Group NV  (AS:ABNd) was down 1.53% or 0.29 points to 19.05.Rising stocks outnumbered declining ones on the Amsterdam Stock Exchange by 69 to 57 and 13 ended unchanged.Shares in Galapagos NV (AS:GLPG) rose to all time highs; up 2.02% or 2.250 to 113.550. The AEX Volatility, which measures the implied volatility of AEX options, was down 1.73% to 12.06 a new 1-month low.Crude oil for August delivery was up 5.56% or 3.00 to $56.97 a barrel. Elsewhere in commodities trading, Brent oil for delivery in August rose 4.16% or 2.57 to hit $64.39 a barrel, while the August Gold Futures contract rose 3.27% or 44.05 to trade at $1392.85 a troy ounce.EUR/USD was up 0.61% to 1.1292, while EUR/GBP rose 0.12% to 0.8889.The US Dollar Index Futures was down 0.43% at 96.170."
1,"Jun 17, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.43%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Foods & Drugs, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 rose 0.43%, while the SBF 120 index gained 0.38%.The best performers of the session on the CAC 40 were Airbus Group SE (PA:AIR), which rose 2.11% or 2.58 points to trade at 125.00 at the close. Meanwhile, TechnipFMC PLC (PA:FTI) added 2.05% or 0.41 points to end at 20.45 and  Safran  SA (PA:SAF) was up 1.63% or 2.00 points to 124.90 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 1.36% or 0.198 points to trade at 14.374 at the close. Engie SA (PA:ENGIE) declined 1.00% or 0.13 points to end at 12.82 and WFD Unibail Rodamco NV (AS:URW) was down 0.92% or 1.25 points to 134.60.The top performers on the SBF 120 were  Maisons du Monde SAS  (PA:MDM) which rose 2.56% to 18.050,  Biomerieux  SA (PA:BIOX) which was up 2.47% to settle at 76.65 and  Thales  (PA:TCFP) which gained 2.42% to close at 108.00.The worst performers were  Rubis  SCA (PA:RUBF) which was down 4.86% to 46.62 in late trade, Air France KLM SA (PA:AIRF) which lost 4.27% to settle at 7.886 and Sopra Steria Group SA (PA:SOPR) which was down 3.33% to 98.60 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 291 to 280 and 91 ended unchanged.Shares in Airbus Group SE (PA:AIR) rose to all time highs; rising 2.11% or 2.58 to 125.00. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 4.14% to 13.97 a new 1-month low.Gold Futures for August delivery was down 0.08% or 1.05 to $1343.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 0.50% or 0.26 to hit $52.25 a barrel, while the August Brent oil contract fell 0.97% or 0.60 to trade at $61.41 a barrel.EUR/USD was up 0.18% to 1.1227, while EUR/GBP rose 0.48% to 0.8941.The US Dollar Index Futures was down 0.09% at 96.975."
2,"Jun 11, 2019 02:15PM ET",Netherlands stocks higher at close of trade; AEX up 0.69%,nan,"Investing.com – Netherlands stocks were higher after the close on Tuesday, as gains in the Healthcare, Basic Materials and Financials sectors led shares higher.At the close in Amsterdam, the AEX rose 0.69%.The best performers of the session on the AEX were ArcelorMittal SA (AS:MT), which rose 6.59% or 0.928 points to trade at 15.014 at the close. Meanwhile,  Randstad  NV (AS:RAND) added 2.05% or 0.97 points to end at 48.33 and  Galapagos  NV (AS:GLPG) was up 1.91% or 2.050 points to 109.500 in late trade.The worst performers of the session were  Adyen  NV (AS:ADYEN), which fell 0.67% or 4.80 points to trade at 709.20 at the close. Koninklijke KPN NV (AS:KPN) declined 0.42% or 0.012 points to end at 2.843 and WFD Unibail Rodamco NV (AS:URW) was down 0.36% or 0.50 points to 137.35.Rising stocks outnumbered declining ones on the Amsterdam Stock Exchange by 97 to 36 and 4 ended unchanged.The AEX Volatility, which measures the implied volatility of AEX options, was down 2.32% to 13.15.Crude oil for July delivery was up 0.08% or 0.04 to $53.30 a barrel. Elsewhere in commodities trading, Brent oil for delivery in August rose 0.26% or 0.16 to hit $62.45 a barrel, while the August Gold Futures contract rose 0.17% or 2.30 to trade at $1331.60 a troy ounce.EUR/USD was up 0.18% to 1.1332, while EUR/GBP fell 0.14% to 0.8903.The US Dollar Index Futures was down 0.08% at 96.632."
3,"Jun 06, 2019 02:15PM ET",Netherlands stocks higher at close of trade; AEX up 0.13%,nan,"Investing.com – Netherlands stocks were higher after the close on Thursday, as gains in the Telecoms, Industrials and Consumer Services sectors led shares higher.At the close in Amsterdam, the AEX added 0.13%.The best performers of the session on the AEX were Royal Dutch Shell PLC Class A (AS:RDSa), which rose 1.06% or 0.295 points to trade at 28.115 at the close. Meanwhile,  Wolters Kluwer  (AS:WLSNc) added 0.98% or 0.62 points to end at 63.58 and Koninklijke DSM NV (AS:DSMN) was up 0.93% or 0.95 points to 103.10 in late trade.The worst performers of the session were WFD Unibail Rodamco NV (AS:URW), which fell 2.39% or 3.30 points to trade at 135.00 at the close. ArcelorMittal SA (AS:MT) declined 1.81% or 0.244 points to end at 13.266 and  ABN AMRO Group NV  (AS:ABNd) was down 1.27% or 0.24 points to 19.07.Falling stocks outnumbered advancing ones on the Amsterdam Stock Exchange by 63 to 62 and 12 ended unchanged.Shares in Wolters Kluwer (AS:WLSNc) rose to all time highs; up 0.98% or 0.62 to 63.58. The AEX Volatility, which measures the implied volatility of AEX options, was down 2.28% to 14.24.Crude oil for July delivery was up 0.35% or 0.18 to $51.86 a barrel. Elsewhere in commodities trading, Brent oil for delivery in August rose 0.41% or 0.25 to hit $60.88 a barrel, while the August Gold Futures contract rose 0.58% or 7.75 to trade at $1341.35 a troy ounce.EUR/USD was up 0.58% to 1.1284, while EUR/GBP rose 0.49% to 0.8885.The US Dollar Index Futures was down 0.36% at 96.898."
4,"Jun 06, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.26%,nan,"Investing.com – France stocks were lower after the close on Thursday, as losses in the Oil & Gas, Basic Materials and Financials sectors led shares lower.At the close in Paris, the CAC 40 lost 0.26%, while the SBF 120 index declined 0.34%.The best performers of the session on the CAC 40 were TechnipFMC PLC (PA:FTI), which rose 2.52% or 0.47 points to trade at 19.30 at the close. Meanwhile, Sanofi SA (PA:SASY) added 1.78% or 1.31 points to end at 75.02 and  Total  SA (PA:TOTF) was up 0.78% or 0.36 points to 47.24 in late trade.The worst performers of the session were  Renault  SA (PA:RENA), which fell 6.41% or 3.60 points to trade at 52.60 at the close. WFD Unibail Rodamco NV (AS:URW) declined 2.39% or 3.30 points to end at 135.00 and  Carrefour  SA (PA:CARR) was down 2.28% or 0.39 points to 16.52.The top performers on the SBF 120 were TechnipFMC PLC (PA:FTI) which rose 2.52% to 19.30,  Elior  Group (PA:ELIOR) which was up 2.52% to settle at 10.98 and Sanofi SA (PA:SASY) which gained 1.78% to close at 75.02.The worst performers were Renault SA (PA:RENA) which was down 6.41% to 52.60 in late trade,  Klepierre  SA (PA:LOIM) which lost 5.41% to settle at 29.19 and Eurofins Scientific SE (PA:EUFI) which was down 3.71% to 368.80 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 298 to 238 and 114 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 2.96% to 15.29.Gold Futures for August delivery was up 0.74% or 9.85 to $1343.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 0.17% or 0.09 to hit $51.59 a barrel, while the August Brent oil contract fell 0.07% or 0.04 to trade at $60.59 a barrel.EUR/USD was up 0.67% to 1.1294, while EUR/GBP rose 0.49% to 0.8885.The US Dollar Index Futures was down 0.45% at 96.817."
5,"May 31, 2019 02:15PM ET",Netherlands stocks lower at close of trade; AEX down 0.91%,nan,"Investing.com – Netherlands stocks were lower after the close on Friday, as losses in the Software & Computer Services, Technology Hardware & Equipment and Construction & Materials sectors led shares lower.At the close in Amsterdam, the AEX fell 0.91% to hit a new 1-month low.The best performers of the session on the AEX were Koninklijke KPN NV (AS:KPN), which rose 0.85% or 0.023 points to trade at 2.738 at the close. Meanwhile, Koninklijke  Vopak  NV (AS:VOPA) added 0.55% or 0.20 points to end at 36.70 and WFD Unibail Rodamco NV (AS:URW) was up 0.30% or 0.40 points to 135.35 in late trade.The worst performers of the session were  NN Group  NV (AS:NN), which fell 5.89% or 2.13 points to trade at 34.02 at the close.  Heineken  (AS:HEIN) declined 2.97% or 2.88 points to end at 94.02 and ArcelorMittal SA (AS:MT) was down 1.95% or 0.264 points to 13.260.Falling stocks outnumbered advancing ones on the Amsterdam Stock Exchange by 98 to 24 and 11 ended unchanged.Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; losing 1.95% or 0.264 to 13.260. The AEX Volatility, which measures the implied volatility of AEX options, was up 3.96% to 15.81.Crude oil for July delivery was down 4.38% or 2.48 to $54.11 a barrel. Elsewhere in commodities trading, Brent oil for delivery in August fell 4.52% or 2.95 to hit $62.38 a barrel, while the June Gold Futures contract rose 1.43% or 18.40 to trade at $1305.50 a troy ounce.EUR/USD was up 0.39% to 1.1174, while EUR/GBP rose 0.19% to 0.8843.The US Dollar Index Futures was down 0.40% at 97.662."
6,"May 30, 2019 02:15PM ET",Netherlands stocks higher at close of trade; AEX up 0.84%,nan,"Investing.com – Netherlands stocks were higher after the close on Thursday, as gains in the Financials, Software & Computer Services and Construction & Materials sectors led shares higher.At the close in Amsterdam, the AEX gained 0.84%.The best performers of the session on the AEX were  Adyen  NV (AS:ADYEN), which rose 3.30% or 23.00 points to trade at 719.00 at the close. Meanwhile, Relx PLC (AS:REL) added 2.05% or 0.420 points to end at 20.950 and  NN Group  NV (AS:NN) was up 1.69% or 0.60 points to 36.15 in late trade.The worst performers of the session were WFD Unibail Rodamco NV (AS:URW), which fell 1.03% or 1.40 points to trade at 134.95 at the close. Koninklijke Ahold Delhaize NV (AS:AD) declined 0.30% or 0.060 points to end at 20.230 and ArcelorMittal SA (AS:MT) was down 0.09% or 0.012 points to 13.524.Rising stocks outnumbered declining ones on the Amsterdam Stock Exchange by 89 to 38 and 8 ended unchanged.Shares in Relx PLC (AS:REL) rose to 5-year highs; rising 2.05% or 0.420 to 20.950. Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; losing 0.09% or 0.012 to 13.524. The AEX Volatility, which measures the implied volatility of AEX options, was down 5.01% to 15.20.Crude oil for July delivery was down 3.25% or 1.91 to $56.90 a barrel. Elsewhere in commodities trading, Brent oil for delivery in August fell 3.29% or 2.23 to hit $65.64 a barrel, while the June Gold Futures contract rose 0.49% or 6.30 to trade at $1287.30 a troy ounce.EUR/USD was up 0.06% to 1.1136, while EUR/GBP rose 0.20% to 0.8830.The US Dollar Index Futures was up 0.01% at 98.042."
7,"May 30, 2019 01:03PM ET",France stocks mixed at close of trade; CAC 40 up 0.51%,nan,"Investing.com – France stocks were mixed after the close on Thursday, as gains in the Utilities, Gas & Water and General Financial sectors led shares higher while losses in the Financials, Consumer Services and Basic Materials sectors led shares lower.At the close in Paris, the CAC 40 rose 0.51%, while the SBF 120 index fell 1.66%.The best performers of the session on the CAC 40 were  Kering  SA (PA:PRTP), which rose 2.92% or 13.45 points to trade at 474.55 at the close. Meanwhile,  Vivendi  SA (PA:VIV) added 1.90% or 0.45 points to end at 24.10 and  Worldline SA  (PA:WLN) was up 1.33% or 0.700 points to 53.150 in late trade.The worst performers of the session were  Valeo  SA (PA:VLOF), which fell 5.36% or 1.37 points to trade at 24.19 at the close.  Peugeot  SA (PA:PEUP) declined 1.13% or 0.23 points to end at 20.10 and WFD Unibail Rodamco NV (AS:URW) was down 1.03% or 1.40 points to 134.95.The top performers on the SBF 120 were  Casino  Guichard Perrachon SA (PA:CASP) which rose 6.23% to 33.07,  Eramet  SA (PA:ERMT) which was up 5.23% to settle at 53.12 and  Remy Cointreau  (PA:RCOP) which gained 3.86% to close at 123.70.The worst performers were Valeo SA (PA:VLOF) which was down 5.36% to 24.19 in late trade,  Trigano  SA (PA:TRIA) which lost 3.24% to settle at 68.60 and CGG SA (PA:GEPH) which was down 1.76% to 1.369 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 314 to 213 and 97 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 4.68% to 16.20.Gold Futures for June delivery was up 0.42% or 5.40 to $1286.40 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 1.84% or 1.08 to hit $57.73 a barrel, while the August Brent oil contract fell 2.48% or 1.68 to trade at $66.19 a barrel.EUR/USD was up 0.08% to 1.1138, while EUR/GBP rose 0.20% to 0.8830.The US Dollar Index Futures was up 0.01% at 98.047."
8,"May 24, 2019 02:15PM ET",Netherlands stocks higher at close of trade; AEX up 0.64%,nan,"Investing.com – Netherlands stocks were higher after the close on Friday, as gains in the Financials, Technology Hardware & Equipment and Construction & Materials sectors led shares higher.At the close in Amsterdam, the AEX gained 0.64%.The best performers of the session on the AEX were WFD Unibail Rodamco NV (AS:URW), which rose 2.06% or 2.80 points to trade at 138.40 at the close. Meanwhile,  Adyen  NV (AS:ADYEN) added 1.81% or 12.80 points to end at 721.00 and  NN Group  NV (AS:NN) was up 1.46% or 0.52 points to 36.13 in late trade.The worst performers of the session were  ASR Nederland NV  (AS:ASRNL), which fell 2.57% or 0.92 points to trade at 34.87 at the close. Koninklijke  Vopak  NV (AS:VOPA) declined 0.92% or 0.34 points to end at 36.79 and  Akzo Nobel  NV (AS:AKZO) was down 0.29% or 0.22 points to 76.08.Rising stocks outnumbered declining ones on the Amsterdam Stock Exchange by 96 to 38 and 8 ended unchanged.Shares in Koninklijke Vopak NV (AS:VOPA) fell to 52-week lows; losing 0.92% or 0.34 to 36.79. The AEX Volatility, which measures the implied volatility of AEX options, was down 6.88% to 14.98.Crude oil for July delivery was up 0.55% or 0.32 to $58.23 a barrel. Elsewhere in commodities trading, Brent oil for delivery in July rose 0.72% or 0.49 to hit $68.25 a barrel, while the June Gold Futures contract fell 0.13% or 1.65 to trade at $1283.75 a troy ounce.EUR/USD was up 0.24% to 1.1206, while EUR/GBP fell 0.17% to 0.8817.The US Dollar Index Futures was down 0.27% at 97.458."
9,"May 10, 2019 02:15PM ET",Netherlands stocks higher at close of trade; AEX up 0.23%,nan,"Investing.com – Netherlands stocks were higher after the close on Friday, as gains in the Financials, Software & Computer Services and Construction & Materials sectors led shares higher.At the close in Amsterdam, the AEX gained 0.23%.The best performers of the session on the AEX were  IMCD  NV (AS:IMCD), which rose 2.74% or 1.95 points to trade at 73.20 at the close. Meanwhile, Koninklijke  Vopak  NV (AS:VOPA) added 2.04% or 0.76 points to end at 38.06 and  Akzo Nobel  NV (AS:AKZO) was up 1.55% or 1.14 points to 74.82 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 2.68% or 0.448 points to trade at 16.240 at the close. Koninklijke Ahold Delhaize NV (AS:AD) declined 1.67% or 0.350 points to end at 20.580 and WFD Unibail Rodamco NV (AS:URW) was down 1.13% or 1.66 points to 144.94.Rising stocks outnumbered declining ones on the Amsterdam Stock Exchange by 97 to 40 and 4 ended unchanged.Shares in IMCD NV (AS:IMCD) rose to all time highs; rising 2.74% or 1.95 to 73.20. Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; down 2.68% or 0.448 to 16.240. The AEX Volatility, which measures the implied volatility of AEX options, was down 10.18% to 16.48.Crude oil for June delivery was down 0.05% or 0.03 to $61.67 a barrel. Elsewhere in commodities trading, Brent oil for delivery in July rose 0.40% or 0.28 to hit $70.67 a barrel, while the June Gold Futures contract rose 0.17% or 2.15 to trade at $1287.35 a troy ounce.EUR/USD was up 0.14% to 1.1236, while EUR/GBP rose 0.18% to 0.8633.The US Dollar Index Futures was down 0.06% at 97.102."
