,date,titre,texte,article
0,"Jun 19, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.16%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Foods & Drugs, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 added 0.16% to hit a new 1-month high, while the SBF 120 index climbed 0.17%.The best performers of the session on the CAC 40 were  Valeo  SA (PA:VLOF), which rose 3.37% or 0.85 points to trade at 26.09 at the close. Meanwhile,  Credit Agricole  SA (PA:CAGR) added 2.28% or 0.240 points to end at 10.750 and  Societe Generale  SA (PA:SOGN) was up 2.23% or 0.48 points to 22.05 in late trade.The worst performers of the session were Airbus Group SE (PA:AIR), which fell 1.96% or 2.46 points to trade at 123.00 at the close.  Kering  SA (PA:PRTP) declined 1.17% or 6.00 points to end at 508.20 and  Vivendi  SA (PA:VIV) was down 0.89% or 0.22 points to 24.55.The top performers on the SBF 120 were  Tarkett  (PA:TKTT) which rose 4.75% to 21.60, Compagnie  Plastic Omnium  SA (PA:PLOF) which was up 3.92% to settle at 22.29 and  Faurecia  (PA:EPED) which gained 3.64% to close at 38.40.The worst performers were Air France KLM SA (PA:AIRF) which was down 3.57% to 7.896 in late trade,  Casino  Guichard Perrachon SA (PA:CASP) which lost 2.69% to settle at 32.90 and CGG SA (PA:GEPH) which was down 2.17% to 1.625 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 293 to 275 and 87 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 0.78% to 13.65 a new 1-month low.Gold Futures for August delivery was down 0.05% or 0.65 to $1350.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in August fell 0.43% or 0.23 to hit $53.88 a barrel, while the August Brent oil contract fell 0.21% or 0.13 to trade at $62.01 a barrel.EUR/USD was up 0.22% to 1.1216, while EUR/GBP fell 0.38% to 0.8878.The US Dollar Index Futures was down 0.24% at 96.915."
1,"Jun 13, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.01%,nan,"Investing.com – France stocks were higher after the close on Thursday, as gains in the Healthcare, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 added 0.01%, while the SBF 120 index added 0.03%.The best performers of the session on the CAC 40 were Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP), which rose 2.70% or 2.90 points to trade at 110.25 at the close. Meanwhile, ArcelorMittal SA (AS:MT) added 2.30% or 0.336 points to end at 14.928 and TechnipFMC PLC (PA:FTI) was up 2.09% or 0.41 points to 20.05 in late trade.The worst performers of the session were  Societe Generale  SA (PA:SOGN), which fell 1.67% or 0.36 points to trade at 21.48 at the close. Engie SA (PA:ENGIE) declined 1.50% or 0.20 points to end at 12.81 and  Valeo  SA (PA:VLOF) was down 1.15% or 0.29 points to 24.89.The top performers on the SBF 120 were Television Francaise 1 SA (PA:TFFP) which rose 4.59% to 9.345,  Soitec  SA (PA:SOIT) which was up 4.41% to settle at 91.200 and Compagnie Generale des Etablissements Michelin SCA (PA:MICP) which gained 2.70% to close at 110.25.The worst performers were  Remy Cointreau  (PA:RCOP) which was down 2.24% to 113.60 in late trade, Compagnie  Plastic Omnium  SA (PA:PLOF) which lost 2.01% to settle at 21.41 and Getlink SE (PA:GETP) which was down 1.99% to 13.780 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 286 to 275 and 98 ended unchanged.Shares in Societe Generale SA (PA:SOGN) fell to 5-year lows; down 1.67% or 0.36 to 21.48. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 2.47% to 14.19.Gold Futures for August delivery was up 0.49% or 6.55 to $1343.35 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 2.13% or 1.09 to hit $52.23 a barrel, while the August Brent oil contract rose 1.92% or 1.15 to trade at $61.12 a barrel.EUR/USD was down 0.09% to 1.1277, while EUR/GBP fell 0.02% to 0.8892.The US Dollar Index Futures was up 0.06% at 97.032."
2,"Jun 12, 2019 01:05PM ET","Patent guidelines put tech firms, carmakers on collision course",nan,"BRUSSELS (Reuters) - Rival proposals for European patent guidelines covering technology vital for building self-driving cars and internet-linked vehicles have set tech firms and carmakers on a collision course.The differences between firms such as Qualcomm (NASDAQ:QCOM) and Nokia (HE:NOKIA) and vehicle manufacturers like BMW and Daimler over patent terms raises the prospect of legal challenges and antitrust suits, which have emerged in other industries that depend on access to technology.In May, a U.S. court told Qualcomm to overhaul its business practices for illegally suppressing competition in the smartphone chip market by threatening to cut off supplies and extracting excessive licensing fees. Tech firms and carmakers have outlined their positions in two diverging sets of guidelines relating to the way licensing fees are calculated and the terms for using patented technology.Both sets of guidelines have support from the European Committee for Standardization (CEN) and the European Committee for Electrotechnical Standardization (CENELEC).Although any guidelines are voluntary, the lack of broad agreement can mean disputes quickly escalate.IP Europe, a lobby group which includes Nokia and other European telecoms firms such as Ericsson (BS:ERICAs) and Orange, said its new guidelines would support small and medium-size enterprises (SMEs) as they develop technology.""I believe these principles and guidance will help SMEs better understand the cellular licensing process, making it easier for them to participate in cellular standards development and licensing,"" IP Europe SME Chair Ruben Bonet said.Rival guidelines have been put forward with the backing of 56 organizations that include Daimler, BMW,  Renault  (PA:RENA) and Honda.They have proposed a code that sets out six principles for assessing whether licensing fees for essential patents are fair, reasonable and non-discriminatory.""Companies can look at both guidelines and make their decisions,"" said Michael Sax, chairman of The App Association.Carmaker Daimler, automotive supplier Continental and auto parts firm  Valeo  (PA:VLOF) have all complained to the European Union antitrust regulators in the past about Nokia's codes covering use of the telecom equipment maker's patents that are vital for developing ""smart"" cars and self-driving vehicles.  /6938/FP_EN_site/FP_EN_TextNote 
"
3,"Jun 04, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.51%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Healthcare, Utilities and Basic Materials sectors led shares higher.At the close in Paris, the CAC 40 added 0.51%, while the SBF 120 index gained 0.49%.The best performers of the session on the CAC 40 were  Renault  SA (PA:RENA), which rose 4.28% or 2.32 points to trade at 56.57 at the close. Meanwhile, ArcelorMittal SA (AS:MT) added 4.05% or 0.540 points to end at 13.858 and  Valeo  SA (PA:VLOF) was up 3.66% or 0.87 points to 24.63 in late trade.The worst performers of the session were Dassault Systemes SE (PA:DAST), which fell 2.92% or 3.90 points to trade at 129.60 at the close. Orange SA (PA:ORAN) declined 2.40% or 0.34 points to end at 13.81 and  Pernod Ricard  SA (PA:PERP) was down 1.70% or 2.70 points to 156.30.The top performers on the SBF 120 were CGG SA (PA:GEPH) which rose 13.45% to 1.468,  Faurecia  (PA:EPED) which was up 6.64% to settle at 35.32 and Television Francaise 1 SA (PA:TFFP) which gained 5.15% to close at 8.675.The worst performers were  Ubisoft  Entertainment (PA:UBIP) which was down 3.27% to 71.080 in late trade,  Casino  Guichard Perrachon SA (PA:CASP) which lost 2.95% to settle at 32.86 and Dassault Systemes SE (PA:DAST) which was down 2.92% to 129.60 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 347 to 212 and 100 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.64% to 15.78.Gold Futures for August delivery was up 0.01% or 0.15 to $1328.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.53% or 0.28 to hit $53.53 a barrel, while the August Brent oil contract rose 0.96% or 0.59 to trade at $61.87 a barrel.EUR/USD was up 0.04% to 1.1245, while EUR/GBP fell 0.13% to 0.8862.The US Dollar Index Futures was up 0.07% at 97.127."
4,"May 30, 2019 01:03PM ET",France stocks mixed at close of trade; CAC 40 up 0.51%,nan,"Investing.com – France stocks were mixed after the close on Thursday, as gains in the Utilities, Gas & Water and General Financial sectors led shares higher while losses in the Financials, Consumer Services and Basic Materials sectors led shares lower.At the close in Paris, the CAC 40 rose 0.51%, while the SBF 120 index fell 1.66%.The best performers of the session on the CAC 40 were  Kering  SA (PA:PRTP), which rose 2.92% or 13.45 points to trade at 474.55 at the close. Meanwhile,  Vivendi  SA (PA:VIV) added 1.90% or 0.45 points to end at 24.10 and  Worldline SA  (PA:WLN) was up 1.33% or 0.700 points to 53.150 in late trade.The worst performers of the session were  Valeo  SA (PA:VLOF), which fell 5.36% or 1.37 points to trade at 24.19 at the close.  Peugeot  SA (PA:PEUP) declined 1.13% or 0.23 points to end at 20.10 and WFD Unibail Rodamco NV (AS:URW) was down 1.03% or 1.40 points to 134.95.The top performers on the SBF 120 were  Casino  Guichard Perrachon SA (PA:CASP) which rose 6.23% to 33.07,  Eramet  SA (PA:ERMT) which was up 5.23% to settle at 53.12 and  Remy Cointreau  (PA:RCOP) which gained 3.86% to close at 123.70.The worst performers were Valeo SA (PA:VLOF) which was down 5.36% to 24.19 in late trade,  Trigano  SA (PA:TRIA) which lost 3.24% to settle at 68.60 and CGG SA (PA:GEPH) which was down 1.76% to 1.369 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 314 to 213 and 97 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 4.68% to 16.20.Gold Futures for June delivery was up 0.42% or 5.40 to $1286.40 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 1.84% or 1.08 to hit $57.73 a barrel, while the August Brent oil contract fell 2.48% or 1.68 to trade at $66.19 a barrel.EUR/USD was up 0.08% to 1.1138, while EUR/GBP rose 0.20% to 0.8830.The US Dollar Index Futures was up 0.01% at 98.047."
5,"May 29, 2019 01:03PM ET",France stocks lower at close of trade; CAC 40 down 1.70%,nan,"Investing.com – France stocks were lower after the close on Wednesday, as losses in the Healthcare, Technology and Basic Materials sectors led shares lower.At the close in Paris, the CAC 40 declined 1.70% to hit a new 3-months low, while the SBF 120 index lost 1.66%.The best performers of the session on the CAC 40 were  Renault  SA (PA:RENA), which rose 0.62% or 0.35 points to trade at 56.85 at the close. Meanwhile,  Bouygues  SA (PA:BOUY) added 0.16% or 0.05 points to end at 31.50 and  Vivendi  SA (PA:VIV) was up 0.08% or 0.02 points to 23.65 in late trade.The worst performers of the session were  BNP Paribas  SA (PA:BNPP), which fell 6.68% or 2.96 points to trade at 41.33 at the close.  Valeo  SA (PA:VLOF) declined 4.23% or 1.13 points to end at 25.56 and ArcelorMittal SA (AS:MT) was down 4.16% or 0.588 points to 13.536.The top performers on the SBF 120 were Electricite de France SA (PA:EDF) which rose 2.66% to 12.34,  Trigano  SA (PA:TRIA) which was up 0.85% to settle at 70.90 and Lagardere SCA (PA:LAGA) which gained 0.65% to close at 21.60.The worst performers were BNP Paribas SA (PA:BNPP) which was down 6.68% to 41.33 in late trade, Spie SA (PA:SPIE) which lost 5.26% to settle at 15.680 and  Ipsos  (PA:ISOS) which was down 4.99% to 23.80 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 389 to 159 and 87 ended unchanged.Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; falling 4.16% or 0.588 to 13.536. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 7.96% to 17.00.Gold Futures for June delivery was up 0.29% or 3.70 to $1280.80 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 1.54% or 0.91 to hit $58.23 a barrel, while the August Brent oil contract fell 1.72% or 1.18 to trade at $67.49 a barrel.EUR/USD was down 0.25% to 1.1133, while EUR/GBP rose 0.02% to 0.8821.The US Dollar Index Futures was up 0.20% at 98.042."
6,"May 28, 2019 05:05AM ET",European shares' retreat led by banks on Italian budget woes,nan,"By Medha Singh(Reuters) - European shares dipped on Tuesday, dragged down by concerns about the budget deficit in Italy, while London markets were lifted by gains for mining shares.By 0814 GMT, the pan-region STOXX 600 was down 0.2%, while Milan's FTMIB index fell 1%, weighed down by banks, who would take the brunt of any new leg in the euro zone's long-running sovereign debt crisis.Italian bond yields rose sharply for a second day as its deputy prime minister hit back over what he said were European Union plans to impose a 3 billion euro fine on the country for spending too much.The European banking index was the biggest drag on the index overall and Italian banks fell more than 2% to near four-month lows.""For Italy, the potential for a doom loop is still looming in the background where you have an undesirable connection between the debt possession of the state and the banks,"" said Teeuwe Mevissen, senior eurozone market economist, at Rabobank.""Surely it will have an effect for Italy itself but for now the panic is not to the extent that the whole eurozone suffers.""London's FTSE 100, reopening after a long weekend, inched 0.1% higher, with BHP and  Rio Tinto  (LON:RIO) up 1 and 3% respectively as Chinese iron ore prices rose.The exporter-heavy index also benefited from a weak pound as traders worried that the risk of a no-deal Brexit had grown after a stunning defeat for the governing Conservative Party in last week's European elections. (L)As well as the mining gains, carmakers were a bright spot, with traders citing a report that China's prosperous southern province Guangdong has launched stimulus measures to boost car sales.Peugeot and  Valeo  (PA:VLOF) were top performers on the index. Shares in Fiat-Chrysler and  Renault  (PA:RENA), who confirmed at the weekend they were in talks about a merger that would create the world's third biggest automaker, both turned negative after some initial gains.   /6938/FP_EN_site/FP_EN_TextNote 
"
7,"May 27, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.37%,nan,"Investing.com – France stocks were higher after the close on Monday, as gains in the Industrials, Basic Materials and Utilities sectors led shares higher.At the close in Paris, the CAC 40 rose 0.37%, while the SBF 120 index gained 0.35%.The best performers of the session on the CAC 40 were  Renault  SA (PA:RENA), which rose 12.09% or 6.04 points to trade at 56.03 at the close. Meanwhile,  Valeo  SA (PA:VLOF) added 1.88% or 0.49 points to end at 26.52 and  Credit Agricole  SA (PA:CAGR) was up 1.62% or 0.165 points to 10.350 in late trade.The worst performers of the session were  Societe Generale  SA (PA:SOGN), which fell 6.53% or 1.61 points to trade at 23.05 at the close.  Peugeot  SA (PA:PEUP) declined 3.25% or 0.67 points to end at 19.92 and  Vivendi  SA (PA:VIV) was down 0.85% or 0.20 points to 23.40.The top performers on the SBF 120 were Renault SA (PA:RENA) which rose 12.09% to 56.03, DBV Technologies (PA:DBV) which was up 4.76% to settle at 17.150 and  Casino  Guichard Perrachon SA (PA:CASP) which gained 4.26% to close at 31.31.The worst performers were Societe Generale SA (PA:SOGN) which was down 6.53% to 23.05 in late trade,  Nexity  (PA:NEXI) which lost 5.36% to settle at 38.84 and Peugeot SA (PA:PEUP) which was down 3.25% to 19.92 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 311 to 232 and 87 ended unchanged.Shares in Societe Generale SA (PA:SOGN) fell to 5-year lows; falling 6.53% or 1.61 to 23.05. Shares in Societe Generale SA (PA:SOGN) fell to 5-year lows; losing 6.53% or 1.61 to 23.05. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.81% to 15.59.Gold Futures for June delivery was up 0.06% or 0.80 to $1284.40 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 1.06% or 0.62 to hit $59.25 a barrel, while the August Brent oil contract rose 1.99% or 1.34 to trade at $68.81 a barrel.EUR/USD was down 0.02% to 1.1200, while EUR/GBP rose 0.37% to 0.8830.The US Dollar Index Futures was up 0.15% at 97.625."
8,"May 16, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 1.37%,nan,"Investing.com – France stocks were higher after the close on Thursday, as gains in the Industrials, Utilities and Consumer Goods sectors led shares higher.At the close in Paris, the CAC 40 gained 1.37%, while the SBF 120 index gained 1.30%.The best performers of the session on the CAC 40 were Dassault Systemes SE (PA:DAST), which rose 3.35% or 4.50 points to trade at 138.65 at the close. Meanwhile,  Air Liquide  SA (PA:AIRP) added 2.78% or 3.20 points to end at 118.20 and Capgemini SE (PA:CAPP) was up 2.59% or 2.70 points to 107.05 in late trade.The worst performers of the session were  Valeo  SA (PA:VLOF), which fell 2.71% or 0.77 points to trade at 27.61 at the close.  Renault  SA (PA:RENA) declined 1.12% or 0.59 points to end at 52.00 and Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP) was down 0.93% or 1.05 points to 111.35.The top performers on the SBF 120 were Eutelsat Communications SA (PA:ETL) which rose 4.31% to 15.97,  Euronext  (PA:ENX) which was up 4.17% to settle at 63.70 and ALD SA (PA:ALDA) which gained 3.94% to close at 13.20.The worst performers were  Ubisoft  Entertainment (PA:UBIP) which was down 12.65% to 72.060 in late trade, Valeo SA (PA:VLOF) which lost 2.71% to settle at 27.61 and  Faurecia  (PA:EPED) which was down 2.32% to 37.95 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 339 to 213 and 86 ended unchanged.Shares in Renault SA (PA:RENA) fell to 3-years lows; falling 1.12% or 0.59 to 52.00. Shares in Euronext (PA:ENX) rose to all time highs; gaining 4.17% or 2.55 to 63.70. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 8.60% to 13.92.Gold Futures for June delivery was down 0.90% or 11.65 to $1286.15 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 1.60% or 0.99 to hit $63.01 a barrel, while the July Brent oil contract rose 1.63% or 1.17 to trade at $72.94 a barrel.EUR/USD was down 0.21% to 1.1176, while EUR/GBP rose 0.25% to 0.8736.The US Dollar Index Futures was up 0.26% at 97.632."
9,"May 13, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 1.22%,nan,"Investing.com – France stocks were lower after the close on Monday, as losses in the Basic Materials, Gas & Water and General Financial sectors led shares lower.At the close in Paris, the CAC 40 lost 1.22% to hit a new 1-month low, while the SBF 120 index declined 1.32%.The best performers of the session on the CAC 40 were Veolia Environnement VE SA (PA:VIE), which rose 0.58% or 0.120 points to trade at 20.820 at the close. Meanwhile, Engie SA (PA:ENGIE) added 0.57% or 0.07 points to end at 13.20 and Sanofi SA (PA:SASY) was up 0.33% or 0.24 points to 72.96 in late trade.The worst performers of the session were  Valeo  SA (PA:VLOF), which fell 5.25% or 1.50 points to trade at 27.05 at the close. ArcelorMittal SA (AS:MT) declined 5.17% or 0.840 points to end at 15.400 and STMicroelectronics NV (PA:STM) was down 4.99% or 0.745 points to 14.170.The top performers on the SBF 120 were Aeroports de Paris SA (PA:ADP) which rose 1.96% to 156.00, CGG SA (PA:GEPH) which was up 1.67% to settle at 1.550 and  Ipsen  SA (PA:IPN) which gained 1.41% to close at 100.90.The worst performers were Television Francaise 1 SA (PA:TFFP) which was down 5.77% to 9.230 in late trade,  Faurecia  (PA:EPED) which lost 5.65% to settle at 37.25 and Covivio SA (PA:FDR) which was down 5.59% to 92.05 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 455 to 123 and 68 ended unchanged.Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; falling 5.17% or 0.840 to 15.400. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 9.51% to 18.66.Gold Futures for June delivery was up 1.10% or 14.10 to $1301.50 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June fell 1.61% or 0.99 to hit $60.67 a barrel, while the July Brent oil contract fell 1.25% or 0.88 to trade at $69.74 a barrel.EUR/USD was up 0.02% to 1.1236, while EUR/GBP rose 0.39% to 0.8678.The US Dollar Index Futures was down 0.03% at 97.097."
