,date,titre,texte,article
0,"Jun 11, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.48%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Utilities, Technology and Consumer Services sectors led shares higher.At the close in Paris, the CAC 40 gained 0.48%, while the SBF 120 index gained 0.48%.The best performers of the session on the CAC 40 were ArcelorMittal SA (AS:MT), which rose 6.59% or 0.928 points to trade at 15.014 at the close. Meanwhile, Compagnie de Saint Gobain SA (PA:SGOB) added 2.68% or 0.88 points to end at 33.48 and Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP) was up 2.57% or 2.70 points to 107.85 in late trade.The worst performers of the session were Sanofi SA (PA:SASY), which fell 1.55% or 1.20 points to trade at 76.10 at the close.  Vivendi  SA (PA:VIV) declined 1.43% or 0.35 points to end at 24.20 and Veolia Environnement VE SA (PA:VIE) was down 0.85% or 0.180 points to 21.110.The top performers on the SBF 120 were ArcelorMittal SA (AS:MT) which rose 6.59% to 15.014, CGG SA (PA:GEPH) which was up 5.84% to settle at 1.558 and  Imerys  SA (PA:IMTP) which gained 4.47% to close at 42.04.The worst performers were Genfit (PA:GNFT) which was down 16.49% to 17.820 in late trade, Korian Medica SA (PA:KORI) which lost 4.07% to settle at 35.360 and DBV Technologies (PA:DBV) which was down 4.05% to 15.880 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 304 to 277 and 79 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 1.61% to 14.38.Gold Futures for August delivery was up 0.25% or 3.35 to $1332.65 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 0.04% or 0.02 to hit $53.24 a barrel, while the August Brent oil contract fell 0.27% or 0.17 to trade at $62.12 a barrel.EUR/USD was up 0.16% to 1.1330, while EUR/GBP fell 0.16% to 0.8902.The US Dollar Index Futures was down 0.06% at 96.650."
1,"May 31, 2019 01:06PM ET",France stocks lower at close of trade; CAC 40 down 0.79%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Utilities, Gas & Water and General Financial sectors led shares lower.At the close in Paris, the CAC 40 lost 0.79% to hit a new 3-months low, while the SBF 120 index lost 0.72%.The best performers of the session on the CAC 40 were  Worldline SA  (PA:WLN), which rose 1.41% or 0.750 points to trade at 53.900 at the close. Meanwhile, Veolia Environnement VE SA (PA:VIE) added 0.93% or 0.190 points to end at 20.710 and STMicroelectronics NV (PA:STM) was up 0.81% or 0.110 points to 13.695 in late trade.The worst performers of the session were  Renault  SA (PA:RENA), which fell 4.55% or 2.57 points to trade at 53.92 at the close. TechnipFMC PLC (PA:FTI) declined 2.54% or 0.49 points to end at 18.80 and  Pernod Ricard  SA (PA:PERP) was down 2.47% or 4.00 points to 157.80.The top performers on the SBF 120 were  Casino  Guichard Perrachon SA (PA:CASP) which rose 3.02% to 34.07, Electricite de France SA (PA:EDF) which was up 2.24% to settle at 12.56 and  Groupe FNAC  (PA:FNAC) which gained 1.79% to close at 68.200.The worst performers were  Natixis  (PA:CNAT) which was down 15.94% to 4.109 in late trade,  Faurecia  (PA:EPED) which lost 6.98% to settle at 33.07 and  Eramet  SA (PA:ERMT) which was down 4.71% to 50.62 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 344 to 213 and 84 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 4.62% to 16.95.Gold Futures for June delivery was up 1.31% or 16.80 to $1303.90 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 3.34% or 1.89 to hit $54.70 a barrel, while the August Brent oil contract fell 3.40% or 2.22 to trade at $63.11 a barrel.EUR/USD was up 0.27% to 1.1159, while EUR/GBP rose 0.13% to 0.8838.The US Dollar Index Futures was down 0.30% at 97.762."
2,"May 31, 2019 01:06PM ET",France stocks lower at close of trade; CAC 40 down 0.79%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Utilities, Gas & Water and General Financial sectors led shares lower.At the close in Paris, the CAC 40 fell 0.79% to hit a new 3-months low, while the SBF 120 index declined 0.72%.The best performers of the session on the CAC 40 were  Worldline SA  (PA:WLN), which rose 1.41% or 0.750 points to trade at 53.900 at the close. Meanwhile, Veolia Environnement VE SA (PA:VIE) added 0.93% or 0.190 points to end at 20.710 and STMicroelectronics NV (PA:STM) was up 0.81% or 0.110 points to 13.695 in late trade.The worst performers of the session were  Renault  SA (PA:RENA), which fell 4.55% or 2.57 points to trade at 53.92 at the close. TechnipFMC PLC (PA:FTI) declined 2.54% or 0.49 points to end at 18.80 and  Pernod Ricard  SA (PA:PERP) was down 2.47% or 4.00 points to 157.80.The top performers on the SBF 120 were  Casino  Guichard Perrachon SA (PA:CASP) which rose 3.02% to 34.07, Electricite de France SA (PA:EDF) which was up 2.24% to settle at 12.56 and  Groupe FNAC  (PA:FNAC) which gained 1.79% to close at 68.200.The worst performers were  Natixis  (PA:CNAT) which was down 15.94% to 4.109 in late trade,  Faurecia  (PA:EPED) which lost 6.98% to settle at 33.07 and  Eramet  SA (PA:ERMT) which was down 4.71% to 50.62 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 344 to 213 and 84 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 4.62% to 16.95.Gold Futures for June delivery was up 1.31% or 16.80 to $1303.90 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 3.34% or 1.89 to hit $54.70 a barrel, while the August Brent oil contract fell 3.40% or 2.22 to trade at $63.11 a barrel.EUR/USD was up 0.27% to 1.1159, while EUR/GBP rose 0.13% to 0.8838.The US Dollar Index Futures was down 0.30% at 97.762."
3,"May 14, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 1.50%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Utilities, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 rose 1.50%, while the SBF 120 index climbed 1.50%.The best performers of the session on the CAC 40 were STMicroelectronics NV (PA:STM), which rose 6.49% or 0.920 points to trade at 15.090 at the close. Meanwhile, Atos SE (PA:ATOS) added 3.66% or 2.48 points to end at 70.26 and  Kering  SA (PA:PRTP) was up 3.56% or 17.50 points to 508.50 in late trade.The worst performers of the session were Veolia Environnement VE SA (PA:VIE), which fell 4.03% or 0.840 points to trade at 19.980 at the close.  Renault  SA (PA:RENA) declined 2.32% or 1.26 points to end at 53.11 and EssilorLuxottica SA (PA:ESLX) was down 1.22% or 1.35 points to 109.00.The top performers on the SBF 120 were STMicroelectronics NV (PA:STM) which rose 6.49% to 15.090,  Imerys  SA (PA:IMTP) which was up 6.46% to settle at 41.20 and  Maisons du Monde SAS  (PA:MDM) which gained 6.00% to close at 18.550.The worst performers were Lagardere SCA (PA:LAGA) which was down 5.94% to 22.16 in late trade, Veolia Environnement VE SA (PA:VIE) which lost 4.03% to settle at 19.980 and  Trigano  SA (PA:TRIA) which was down 2.90% to 75.35 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 377 to 175 and 91 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 10.10% to 16.77.Gold Futures for June delivery was down 0.42% or 5.45 to $1296.35 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 1.43% or 0.87 to hit $61.91 a barrel, while the July Brent oil contract rose 1.77% or 1.24 to trade at $71.47 a barrel.EUR/USD was down 0.11% to 1.1211, while EUR/GBP rose 0.23% to 0.8680.The US Dollar Index Futures was up 0.20% at 97.315."
4,"May 13, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 1.22%,nan,"Investing.com – France stocks were lower after the close on Monday, as losses in the Basic Materials, Gas & Water and General Financial sectors led shares lower.At the close in Paris, the CAC 40 lost 1.22% to hit a new 1-month low, while the SBF 120 index declined 1.32%.The best performers of the session on the CAC 40 were Veolia Environnement VE SA (PA:VIE), which rose 0.58% or 0.120 points to trade at 20.820 at the close. Meanwhile, Engie SA (PA:ENGIE) added 0.57% or 0.07 points to end at 13.20 and Sanofi SA (PA:SASY) was up 0.33% or 0.24 points to 72.96 in late trade.The worst performers of the session were  Valeo  SA (PA:VLOF), which fell 5.25% or 1.50 points to trade at 27.05 at the close. ArcelorMittal SA (AS:MT) declined 5.17% or 0.840 points to end at 15.400 and STMicroelectronics NV (PA:STM) was down 4.99% or 0.745 points to 14.170.The top performers on the SBF 120 were Aeroports de Paris SA (PA:ADP) which rose 1.96% to 156.00, CGG SA (PA:GEPH) which was up 1.67% to settle at 1.550 and  Ipsen  SA (PA:IPN) which gained 1.41% to close at 100.90.The worst performers were Television Francaise 1 SA (PA:TFFP) which was down 5.77% to 9.230 in late trade,  Faurecia  (PA:EPED) which lost 5.65% to settle at 37.25 and Covivio SA (PA:FDR) which was down 5.59% to 92.05 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 455 to 123 and 68 ended unchanged.Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; falling 5.17% or 0.840 to 15.400. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 9.51% to 18.66.Gold Futures for June delivery was up 1.10% or 14.10 to $1301.50 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June fell 1.61% or 0.99 to hit $60.67 a barrel, while the July Brent oil contract fell 1.25% or 0.88 to trade at $69.74 a barrel.EUR/USD was up 0.02% to 1.1236, while EUR/GBP rose 0.39% to 0.8678.The US Dollar Index Futures was down 0.03% at 97.097."
5,"May 08, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.40%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Utilities, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 added 0.40%, while the SBF 120 index climbed 0.36%.The best performers of the session on the CAC 40 were Atos SE (PA:ATOS), which rose 2.93% or 1.94 points to trade at 68.24 at the close. Meanwhile,  Kering  SA (PA:PRTP) added 1.68% or 8.50 points to end at 515.70 and TechnipFMC PLC (PA:FTI) was up 1.58% or 0.32 points to 20.58 in late trade.The worst performers of the session were Veolia Environnement VE SA (PA:VIE), which fell 2.45% or 0.530 points to trade at 21.070 at the close. Sodexo SA (PA:EXHO) declined 1.72% or 1.75 points to end at 100.25 and WFD Unibail Rodamco NV (AS:URW) was down 0.94% or 1.40 points to 148.15.The top performers on the SBF 120 were  Iliad  (PA:ILD) which rose 4.69% to 103.45, Atos SE (PA:ATOS) which was up 2.93% to settle at 68.24 and  Ubisoft  Entertainment (PA:UBIP) which gained 2.59% to close at 83.200.The worst performers were Air France KLM SA (PA:AIRF) which was down 2.77% to 8.974 in late trade, Veolia Environnement VE SA (PA:VIE) which lost 2.45% to settle at 21.070 and  Solvay  SA (BR:SOLB) which was down 2.34% to 94.46 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 302 to 250 and 96 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 6.76% to 16.74.Gold Futures for June delivery was down 0.35% or 4.55 to $1281.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June rose 0.94% or 0.58 to hit $61.98 a barrel, while the July Brent oil contract rose 0.64% or 0.45 to trade at $70.33 a barrel.EUR/USD was down 0.02% to 1.1188, while EUR/GBP rose 0.54% to 0.8603.The US Dollar Index Futures was up 0.00% at 97.403."
6,"May 07, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 1.60%,nan,"Investing.com – France stocks were lower after the close on Tuesday, as losses in the Oil & Gas, Consumer Goods and Consumer Services sectors led shares lower.At the close in Paris, the CAC 40 lost 1.60% to hit a new 1-month low, while the SBF 120 index fell 1.49%.The best performers of the session on the CAC 40 were  Carrefour  SA (PA:CARR), which rose 2.72% or 0.47 points to trade at 17.58 at the close. Meanwhile, Veolia Environnement VE SA (PA:VIE) added 1.84% or 0.390 points to end at 21.600 and  Publicis Groupe  SA (PA:PUBP) was up 0.42% or 0.22 points to 52.76 in late trade.The worst performers of the session were  Worldline SA  (PA:WLN), which fell 4.93% or 2.700 points to trade at 52.050 at the close.  Societe Generale  SA (PA:SOGN) declined 3.89% or 1.09 points to end at 27.09 and Atos SE (PA:ATOS) was down 3.75% or 2.58 points to 66.30.The top performers on the SBF 120 were  Iliad  (PA:ILD) which rose 4.75% to 98.82, Carrefour SA (PA:CARR) which was up 2.72% to settle at 17.58 and  Nexity  (PA:NEXI) which gained 2.02% to close at 41.48.The worst performers were  Imerys  SA (PA:IMTP) which was down 14.48% to 40.40 in late trade,  Solvay  SA (BR:SOLB) which lost 6.69% to settle at 96.72 and Worldline SA (PA:WLN) which was down 4.93% to 52.050 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 343 to 217 and 93 ended unchanged.Shares in Veolia Environnement VE SA (PA:VIE) rose to 52-week highs; rising 1.84% or 0.390 to 21.600. Shares in Imerys SA (PA:IMTP) fell to 5-year lows; losing 14.48% or 6.84 to 40.40. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 18.14% to 17.96 a new 3-months high.Gold Futures for June delivery was up 0.12% or 1.55 to $1285.35 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June fell 1.12% or 0.70 to hit $61.55 a barrel, while the July Brent oil contract fell 1.26% or 0.90 to trade at $70.34 a barrel.EUR/USD was down 0.20% to 1.1175, while EUR/GBP rose 0.12% to 0.8558.The US Dollar Index Futures was up 0.19% at 97.453."
7,"May 02, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.85%,nan,"Investing.com – France stocks were lower after the close on Thursday, as losses in the Industrials, Financials and Technology sectors led shares lower.At the close in Paris, the CAC 40 fell 0.85%, while the SBF 120 index declined 0.79%.The best performers of the session on the CAC 40 were Atos SE (PA:ATOS), which rose 1.50% or 1.38 points to trade at 93.16 at the close. Meanwhile,  BNP Paribas  SA (PA:BNPP) added 1.16% or 0.55 points to end at 48.00 and Veolia Environnement VE SA (PA:VIE) was up 1.00% or 0.210 points to 21.270 in late trade.The worst performers of the session were TechnipFMC PLC (PA:FTI), which fell 5.34% or 1.18 points to trade at 20.93 at the close.  Legrand  SA (PA:LEGD) declined 5.13% or 3.36 points to end at 62.16 and AXA SA (PA:AXAF) was down 4.70% or 1.11 points to 22.63.The top performers on the SBF 120 were  Nexans  SA (PA:NEXS) which rose 3.52% to 32.33, Television Francaise 1 SA (PA:TFFP) which was up 3.49% to settle at 10.080 and Metropole Television SA (PA:MMTP) which gained 2.60% to close at 18.15.The worst performers were TechnipFMC PLC (PA:FTI) which was down 5.34% to 20.93 in late trade, Legrand SA (PA:LEGD) which lost 5.13% to settle at 62.16 and AXA SA (PA:AXAF) which was down 4.70% to 22.63 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 354 to 230 and 90 ended unchanged.Shares in Veolia Environnement VE SA (PA:VIE) rose to 52-week highs; gaining 1.00% or 0.210 to 21.270. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 4.55% to 14.12.Gold Futures for June delivery was down 0.99% or 12.75 to $1271.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June fell 3.52% or 2.24 to hit $61.36 a barrel, while the July Brent oil contract fell 2.80% or 2.02 to trade at $70.16 a barrel.EUR/USD was down 0.13% to 1.1179, while EUR/GBP rose 0.06% to 0.8583.The US Dollar Index Futures was up 0.15% at 97.553."
8,"Feb 27, 2019 01:35PM ET",France stocks lower at close of trade; CAC 40 down 0.26%,nan,"Investing.com – France stocks were lower after the close on Wednesday, as losses in the Technology, Consumer Goods and Healthcare sectors led shares lower.At the close in Paris, the CAC 40 declined 0.26%, while the SBF 120 index lost 0.26%.The best performers of the session on the CAC 40 were  Societe Generale  SA (PA:SOGN), which rose 3.09% or 0.80 points to trade at 26.56 at the close. Meanwhile,  Credit Agricole  SA (PA:CAGR) added 2.68% or 0.290 points to end at 11.100 and  BNP Paribas  SA (PA:BNPP) was up 2.42% or 1.04 points to 44.20 in late trade.The worst performers of the session were TechnipFMC PLC (PA:FTI), which fell 2.65% or 0.54 points to trade at 19.82 at the close. Veolia Environnement VE SA (PA:VIE) declined 2.61% or 0.520 points to end at 19.390 and STMicroelectronics NV (PA:STM) was down 2.26% or 0.340 points to 14.680.The top performers on the SBF 120 were  Biomerieux  SA (PA:BIOX) which rose 6.51% to 73.60,  Europcar Groupe SA  (PA:EUCAR) which was up 5.22% to settle at 7.75 and  Vallourec  (PA:VLLP) which gained 4.24% to close at 2.362.The worst performers were Air France KLM SA (PA:AIRF) which was down 11.74% to 11.235 in late trade,  Solvay  SA (BR:SOLB) which lost 5.44% to settle at 96.64 and Technicolor (PA:TCH) which was down 3.35% to 0.995 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 304 to 240 and 120 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 5.04% to 14.27.Gold Futures for April delivery was down 0.57% or 7.55 to $1320.95 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in April rose 3.19% or 1.77 to hit $57.27 a barrel, while the May Brent oil contract rose 2.17% or 1.42 to trade at $66.78 a barrel.EUR/USD was down 0.10% to 1.1374, while EUR/GBP fell 0.63% to 0.8545.The US Dollar Index Futures was up 0.15% at 96.007."
9,"Feb 21, 2019 01:35PM ET",France stocks higher at close of trade; CAC 40 up 0.00%,nan,"Investing.com – France stocks were higher after the close on Thursday, as gains in the Basic Materials, Industrials and Consumer Services sectors led shares higher.At the close in Paris, the CAC 40 added 0.00% to hit a new 3-months high, while the SBF 120 index added 0.01%.The best performers of the session on the CAC 40 were  Bouygues  SA (PA:BOUY), which rose 3.61% or 1.14 points to trade at 32.71 at the close. Meanwhile, Veolia Environnement VE SA (PA:VIE) added 1.73% or 0.335 points to end at 19.755 and  Danone  SA (PA:DANO) was up 1.38% or 0.92 points to 67.80 in late trade.The worst performers of the session were TechnipFMC PLC (PA:FTI), which fell 6.85% or 1.48 points to trade at 20.14 at the close.  Accor  SA (PA:ACCP) declined 3.69% or 1.48 points to end at 38.58 and  BNP Paribas  SA (PA:BNPP) was down 2.28% or 0.97 points to 41.59.The top performers on the SBF 120 were  Vallourec  (PA:VLLP) which rose 24.18% to 2.152,  Groupe FNAC  (PA:FNAC) which was up 7.01% to settle at 70.250 and  Wendel  (PA:MWDP) which gained 6.54% to close at 110.80.The worst performers were  Eramet  SA (PA:ERMT) which was down 16.32% to 51.80 in late trade, TechnipFMC PLC (PA:FTI) which lost 6.85% to settle at 20.14 and  Iliad  (PA:ILD) which was down 5.78% to 87.70 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 296 to 285 and 81 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 0.75% to 14.34.Gold Futures for April delivery was down 1.42% or 19.15 to $1328.75 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in April fell 0.61% or 0.35 to hit $56.81 a barrel, while the April Brent oil contract fell 0.37% or 0.25 to trade at $66.83 a barrel.EUR/USD was down 0.04% to 1.1330, while EUR/GBP rose 0.06% to 0.8690.The US Dollar Index Futures was up 0.21% at 96.498."
