,date,titre,texte,article
0,"Jun 21, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.13%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Foods & Drugs, Gas & Water and General Financial sectors led shares lower.At the close in Paris, the CAC 40 fell 0.13%, while the SBF 120 index declined 0.26%.The best performers of the session on the CAC 40 were  Renault  SA (PA:RENA), which rose 2.37% or 1.30 points to trade at 56.15 at the close. Meanwhile,  Societe Generale  SA (PA:SOGN) added 1.50% or 0.33 points to end at 22.05 and  Air Liquide  SA (PA:AIRP) was up 1.33% or 1.60 points to 122.35 in late trade.The worst performers of the session were  Publicis Groupe  SA (PA:PUBP), which fell 3.03% or 1.50 points to trade at 47.96 at the close. Dassault Systemes SE (PA:DAST) declined 2.46% or 3.50 points to end at 138.60 and  Vinci  SA (PA:SGEF) was down 1.77% or 1.64 points to 91.04.The top performers on the SBF 120 were  Elior  Group (PA:ELIOR) which rose 6.39% to 12.16,  Vallourec  (PA:VLLP) which was up 3.52% to settle at 2.528 and  Euronext  (PA:ENX) which gained 2.83% to close at 67.30.The worst performers were  Casino  Guichard Perrachon SA (PA:CASP) which was down 5.36% to 30.00 in late trade,  Neopost  SA (PA:NPOS) which lost 5.17% to settle at 18.71 and SES (PA:SESFd) which was down 4.86% to 13.22 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 349 to 220 and 90 ended unchanged.Shares in Air Liquide SA (PA:AIRP) rose to all time highs; gaining 1.33% or 1.60 to 122.35. Shares in Euronext (PA:ENX) rose to all time highs; up 2.83% or 1.85 to 67.30. Shares in SES (PA:SESFd) fell to 52-week lows; falling 4.86% or 0.68 to 13.22. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.26% to 13.24 a new 1-month low.Gold Futures for August delivery was up 0.08% or 1.05 to $1397.95 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in August rose 0.79% or 0.45 to hit $57.52 a barrel, while the August Brent oil contract rose 1.19% or 0.77 to trade at $65.22 a barrel.EUR/USD was up 0.44% to 1.1341, while EUR/GBP rose 0.43% to 0.8926.The US Dollar Index Futures was down 0.23% at 95.917."
1,"Apr 10, 2019 04:35PM ET",France stocks higher at close of trade; CAC 40 up 0.25%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Gas & Water, General Financial and Foods & Drugs sectors led shares higher.At the close in Paris, the CAC 40 added 0.25%, while the SBF 120 index added 0.27%.The best performers of the session on the CAC 40 were WFD Unibail Rodamco NV (AS:URW), which rose 3.62% or 5.35 points to trade at 153.25 at the close. Meanwhile,  Bouygues  SA (PA:BOUY) added 1.84% or 0.61 points to end at 33.71 and  Vinci  SA (PA:SGEF) was up 1.64% or 1.44 points to 89.44 in late trade.The worst performers of the session were Airbus Group SE (PA:AIR), which fell 1.69% or 2.00 points to trade at 116.50 at the close.  Valeo  SA (PA:VLOF) declined 1.67% or 0.48 points to end at 28.34 and  Societe Generale  SA (PA:SOGN) was down 1.26% or 0.34 points to 26.26.The top performers on the SBF 120 were Television Francaise 1 SA (PA:TFFP) which rose 3.70% to 8.550, Electricite de France SA (PA:EDF) which was up 3.69% to settle at 12.36 and WFD Unibail Rodamco NV (AS:URW) which gained 3.62% to close at 153.25.The worst performers were Dassault Aviation SA (PA:AVMD) which was down 3.49% to 1300.00 in late trade,  Vicat  (PA:VCTP) which lost 3.16% to settle at 44.40 and Eutelsat Communications SA (PA:ETL) which was down 3.06% to 15.07 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 325 to 233 and 104 ended unchanged.Shares in Vinci SA (PA:SGEF) rose to all time highs; up 1.64% or 1.44 to 89.44. Shares in Eutelsat Communications SA (PA:ETL) fell to 5-year lows; falling 3.06% or 0.47 to 15.07. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 4.11% to 14.53.Gold Futures for June delivery was up 0.29% or 3.75 to $1312.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May rose 0.75% or 0.48 to hit $64.46 a barrel, while the June Brent oil contract rose 1.42% or 1.00 to trade at $71.61 a barrel.EUR/USD was up 0.09% to 1.1272, while EUR/GBP fell 0.12% to 0.8609.The US Dollar Index Futures was down 0.08% at 96.537."
2,"Mar 19, 2019 02:35PM ET",France stocks higher at close of trade; CAC 40 up 0.24%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Oil & Gas, Financials and Industrials sectors led shares higher.At the close in Paris, the CAC 40 rose 0.24% to hit a new 3-months high, while the SBF 120 index gained 0.30%.The best performers of the session on the CAC 40 were  Valeo  SA (PA:VLOF), which rose 3.02% or 0.82 points to trade at 28.00 at the close. Meanwhile,  Peugeot  SA (PA:PEUP) added 2.74% or 0.61 points to end at 22.89 and  Kering  SA (PA:PRTP) was up 2.70% or 13.40 points to 509.40 in late trade.The worst performers of the session were  Total  SA (PA:TOTF), which fell 1.40% or 0.73 points to trade at 51.54 at the close.  Bouygues  SA (PA:BOUY) declined 1.37% or 0.45 points to end at 32.33 and  Vinci  SA (PA:SGEF) was down 1.01% or 0.88 points to 85.88.The top performers on the SBF 120 were  Faurecia  (PA:EPED) which rose 5.01% to 41.92, Compagnie  Plastic Omnium  SA (PA:PLOF) which was up 3.57% to settle at 25.51 and JC Decaux SA (PA:JCDX) which gained 3.07% to close at 27.50.The worst performers were Technicolor (PA:TCH) which was down 3.02% to 1.187 in late trade, ICADE (PA:ICAD) which lost 2.79% to settle at 74.90 and Korian Medica SA (PA:KORI) which was down 1.86% to 35.840 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 318 to 240 and 104 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 1.94% to 13.03.Gold Futures for April delivery was up 0.40% or 5.15 to $1306.65 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in May fell 0.03% or 0.02 to hit $59.36 a barrel, while the May Brent oil contract rose 0.28% or 0.19 to trade at $67.73 a barrel.EUR/USD was up 0.15% to 1.1354, while EUR/GBP rose 0.05% to 0.8553.The US Dollar Index Futures was down 0.16% at 95.828."
3,"Mar 14, 2019 02:35PM ET",France stocks higher at close of trade; CAC 40 up 0.82%,nan,"Investing.com – France stocks were higher after the close on Thursday, as gains in the Oil & Gas, Financials and Industrials sectors led shares higher.At the close in Paris, the CAC 40 gained 0.82% to hit a new 3-months high, while the SBF 120 index added 0.83%.The best performers of the session on the CAC 40 were TechnipFMC PLC (PA:FTI), which rose 5.06% or 0.98 points to trade at 20.45 at the close. Meanwhile, EssilorLuxottica SA (PA:ESLX) added 3.32% or 3.40 points to end at 105.85 and  Vinci  SA (PA:SGEF) was up 2.17% or 1.82 points to 85.82 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 2.42% or 0.468 points to trade at 18.848 at the close. Dassault Systemes SE (PA:DAST) declined 0.72% or 0.95 points to end at 130.80 and Capgemini SE (PA:CAPP) was down 0.61% or 0.65 points to 106.25.The top performers on the SBF 120 were Lagardere SCA (PA:LAGA) which rose 8.00% to 24.70, TechnipFMC PLC (PA:FTI) which was up 5.06% to settle at 20.45 and Electricite de France SA (PA:EDF) which gained 4.47% to close at 12.96.The worst performers were  Maisons du Monde SAS  (PA:MDM) which was down 4.37% to 19.490 in late trade,  Casino  Guichard Perrachon SA (PA:CASP) which lost 2.99% to settle at 43.86 and ArcelorMittal SA (AS:MT) which was down 2.42% to 18.848 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 336 to 231 and 96 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 1.99% to 13.62.Gold Futures for April delivery was down 0.97% or 12.65 to $1296.65 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in April rose 0.50% or 0.29 to hit $58.55 a barrel, while the May Brent oil contract fell 0.53% or 0.36 to trade at $67.19 a barrel.EUR/USD was down 0.19% to 1.1303, while EUR/GBP rose 0.50% to 0.8531.The US Dollar Index Futures was up 0.25% at 96.757."
4,"Mar 12, 2019 02:35PM ET",France stocks higher at close of trade; CAC 40 up 0.08%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Basic Materials, Oil & Gas and Healthcare sectors led shares higher.At the close in Paris, the CAC 40 gained 0.08%, while the SBF 120 index added 0.13%.The best performers of the session on the CAC 40 were Compagnie de Saint Gobain SA (PA:SGOB), which rose 1.72% or 0.54 points to trade at 31.92 at the close. Meanwhile, ArcelorMittal SA (AS:MT) added 1.48% or 0.280 points to end at 19.250 and Airbus Group SE (PA:AIR) was up 1.43% or 1.62 points to 114.58 in late trade.The worst performers of the session were WFD Unibail Rodamco NV (AS:URW), which fell 0.93% or 1.36 points to trade at 144.64 at the close.  Vinci  SA (PA:SGEF) declined 0.92% or 0.78 points to end at 84.04 and Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP) was down 0.84% or 0.85 points to 100.70.The top performers on the SBF 120 were Spie SA (PA:SPIE) which rose 8.60% to 15.280,  Tarkett  (PA:TKTT) which was up 5.82% to settle at 18.54 and CGG SA (PA:GEPH) which gained 4.76% to close at 1.627.The worst performers were Sopra Steria Group SA (PA:SOPR) which was down 2.62% to 104.00 in late trade, Rothschild & Co SCA (PA:ROTH) which lost 2.11% to settle at 30.150 and Eutelsat Communications SA (PA:ETL) which was down 1.77% to 16.66 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 293 to 265 and 106 ended unchanged.Shares in Airbus Group SE (PA:AIR) rose to all time highs; gaining 1.43% or 1.62 to 114.58. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 0.26% to 13.19.Gold Futures for April delivery was up 0.71% or 9.15 to $1300.25 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in April rose 0.23% or 0.13 to hit $56.92 a barrel, while the May Brent oil contract rose 0.17% or 0.11 to trade at $66.69 a barrel.EUR/USD was up 0.47% to 1.1300, while EUR/GBP rose 1.05% to 0.8640.The US Dollar Index Futures was down 0.30% at 96.887."
5,"Mar 11, 2019 06:50PM ET",At least 10 groups interested in Brazilian airports auction: official,nan,"By Rodrigo Viga GaierRIO DE JANEIRO (Reuters) - At least 10 groups may participate in the auction of licenses to operate airports in Brazil later this week, a Brazilian official said on Monday.Adalberto Vasconcelos, secretary for the federal privatization program, told journalists the government expects demand for all the three blocks of airport licenses that will be auctioned on Friday.Brazil's government will auction 12 licenses to operate regional airports. The first block involves six airports in the northeastern region. The second one has two airports in the southeastern region and the third four licenses to operate airports in the center-west region. ""We expect competition for all the three blocks,"" Vasconcelos said. The most attractive block is in the northeastern region, for the airports in tourist destinations Recife, Maceio, Joao Pessoa, Aracaju, Campina Grande and Juazeiro do Norte, which receive around 12 million passengers a year. Vasconcelos cited investors such as France's  Vinci  SA (PA:SGEF), Germany's Fraport AG and Zurich Airport. Next week Brazil's government is expected to announce a second auction of licenses to operate airports in the southern region. The auction is expected to include airports of the cities of Curitiba, Foz do Iguacu, Uruguaiana, Bagé, Londrina, Pelotas, Navegantes and Joinville, in the southern states of Parana, Rio Grande do Sul and Santa Catarina.Vasconcelos said this auction could happen next year.  /6938/FP_EN_site/FP_EN_TextNote 
"
6,"Mar 01, 2019 01:35PM ET",France stocks higher at close of trade; CAC 40 up 0.47%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Consumer Services, Financials and Industrials sectors led shares higher.At the close in Paris, the CAC 40 added 0.47% to hit a new 3-months high, while the SBF 120 index climbed 0.60%.The best performers of the session on the CAC 40 were  Valeo  SA (PA:VLOF), which rose 4.18% or 1.16 points to trade at 28.91 at the close. Meanwhile,  Kering  SA (PA:PRTP) added 3.21% or 15.40 points to end at 495.50 and STMicroelectronics NV (PA:STM) was up 2.26% or 0.325 points to 14.695 in late trade.The worst performers of the session were  Carrefour  SA (PA:CARR), which fell 1.61% or 0.29 points to trade at 17.71 at the close. Compagnie de Saint Gobain SA (PA:SGOB) declined 1.03% or 0.33 points to end at 31.34 and  Vinci  SA (PA:SGEF) was down 0.91% or 0.76 points to 83.16.The top performers on the SBF 120 were Air France KLM SA (PA:AIRF) which rose 5.44% to 11.445,  Faurecia  (PA:EPED) which was up 5.10% to settle at 44.08 and  Teleperformance  SE (PA:ROCH) which gained 5.10% to close at 165.00.The worst performers were Dassault Aviation SA (PA:AVMD) which was down 3.45% to 1429.00 in late trade,  Ipsos  (PA:ISOS) which lost 1.64% to settle at 22.82 and Carrefour SA (PA:CARR) which was down 1.61% to 17.71 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 365 to 216 and 77 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 7.25% to 12.66 a new 3-months low.Gold Futures for April delivery was down 1.34% or 17.65 to $1298.45 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in April fell 2.20% or 1.26 to hit $55.96 a barrel, while the May Brent oil contract fell 1.99% or 1.32 to trade at $64.99 a barrel.EUR/USD was down 0.03% to 1.1366, while EUR/GBP rose 0.43% to 0.8608.The US Dollar Index Futures was up 0.34% at 96.368."
7,"Feb 26, 2019 01:35PM ET",France stocks higher at close of trade; CAC 40 up 0.13%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Financials, Basic Materials and Consumer Goods sectors led shares higher.At the close in Paris, the CAC 40 gained 0.13% to hit a new 3-months high, while the SBF 120 index gained 0.10%.The best performers of the session on the CAC 40 were  Air Liquide  SA (PA:AIRP), which rose 1.10% or 1.20 points to trade at 110.60 at the close. Meanwhile,  Vinci  SA (PA:SGEF) added 0.97% or 0.80 points to end at 82.96 and Dassault Systemes SE (PA:DAST) was up 0.70% or 0.90 points to 128.90 in late trade.The worst performers of the session were  Peugeot  SA (PA:PEUP), which fell 2.94% or 0.67 points to trade at 22.09 at the close. STMicroelectronics NV (PA:STM) declined 1.51% or 0.230 points to end at 15.020 and ArcelorMittal SA (AS:MT) was down 1.18% or 0.245 points to 20.605.The top performers on the SBF 120 were Air France KLM SA (PA:AIRF) which rose 5.38% to 12.730,  Eramet  SA (PA:ERMT) which was up 3.91% to settle at 54.50 and  Vallourec  (PA:VLLP) which gained 3.42% to close at 2.266.The worst performers were Technicolor (PA:TCH) which was down 4.55% to 1.029 in late trade,  Ipsos  (PA:ISOS) which lost 3.64% to settle at 21.68 and  Ubisoft  Entertainment (PA:UBIP) which was down 3.03% to 63.900 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 291 to 257 and 104 ended unchanged.Shares in Air France KLM SA (PA:AIRF) rose to 52-week highs; gaining 5.38% or 0.650 to 12.730. Shares in Ubisoft Entertainment (PA:UBIP) fell to 52-week lows; down 3.03% or 2.000 to 63.900. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 0.24% to 13.59.Gold Futures for April delivery was down 0.09% or 1.25 to $1328.25 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in April fell 0.11% or 0.06 to hit $55.42 a barrel, while the May Brent oil contract rose 0.52% or 0.34 to trade at $65.25 a barrel.EUR/USD was up 0.15% to 1.1376, while EUR/GBP fell 0.99% to 0.8585.The US Dollar Index Futures was down 0.23% at 96.045."
8,"Jan 08, 2019 01:28PM ET",French motorway operator Sanef tries to cushion toll hike,nan,"By Dominique Vidalon and Gilles GuillaumePARIS (Reuters) - French motorway operator Sanef said on Tuesday it was working on proposals to cushion the impact on drivers of a planned hike in toll charges, following a government request as nationwide protests over high living costs continue. From Feb. 1, French highway toll prices are expected to rise by 1.8 percent on average, after increasing by 1.55 percent in 2018. But with anti-government “yellow vests” protests showing no signs of abating in France, Transport Minister Elisabeth Borne urged motorway operators last week to avoid sending a negative signal to drivers.Companies such as Sanef, owned by Spain's Abertis,  Vinci  (PA:SGEF) and  Eiffage  (PA:FOUG) that run the French highways pay for road upgrades with tariff hikes, which are reviewed once a year and agreed with the government.""Tariff hikes in February should not be challenged but the government is asking for solutions to cushion the impact on frequent users,"" a Sanef spokeswoman said during a press lunch.""In order to participate in the global effort on purchasing power... We will for instance offer new home-to-work subscription formulas,"" she said.Motorway operators were given 10 days to come up with proposals and are expected to meet with the Transport Minister next week.The ""yellow vests"" - named after the fluorescent jackets French motorists must have in their cars - have blocked roads and roundabouts across France since mid-November, sometimes occupying highway tolls and setting a number on fire.The demonstrations began as a protest against fuel tax increases, but have morphed into a wider backlash against the liberal economic policies of French President Emmanuel Macron.Sanef has yet to estimate the damages it had incurred but larger operator Vinci has said destruction since the start of the protests will cost it ""several tens of millions"" of euros, not including lost revenue, as the protesters have allowed thousands of motorists onto the highways for free.Vinci, however, dropped a plan to send invoices to motorists who drove through toll booths without paying and whose license plates were captured on cameras, following government criticism.  /6938/FP_EN_site/FP_EN_TextNote 
"
9,"Dec 27, 2018 09:35AM ET",France's Vinci in $3.7 billion swoop on UK's Gatwick airport,nan,"By Gilles Guillaume and Zuzanna SzymanskaPARIS (Reuters) - France's  Vinci  (PA:SGEF) is taking advantage of a Brexit hit to UK asset prices to buy a majority stake in Britain's second-busiest airport, London's Gatwick, for 2.9 billion pounds ($3.7 billion), the construction company said on Thursday. The deal to buy a 50.01 percent stake gives Vinci, which already runs 45 airports in 12 countries, access to the world's largest metropolitan aviation market and is part of the company's drive to expand its most promising businesses.Vinci Airports President Nicolas Notebaert signalled uncertainty over Britain's departure from the European Union next March had cut the price of buying into Gatwick, and forecast any hit to UK economic growth after Brexit was likely to be offset by a rise in tourism due to a weaker pound. ""Just a few months ago we would not even have dreamed of being able to acquire an unlimited licence in the London airports system for less than 20 times core earnings,"" he said on a conference call, referring to the price of the deal. The acquisition is expected to close by June 2019. It comes just days after drone sightings caused 36 hours of chaos for more than 100,000 travellers at Gatwick. CEO Stewart Wingate, who will remain in his role, said the airport was working to avoid a repeat of the disruption. Thirty miles (48 km) south of London, Gatwick serves 228 destinations in 74 countries and is a major base for airlines including EasyJet (L:EZJ) and British Airways (L:ICAG). It handles over 46 million passengers per year, more than a quarter of the 170 million passenger journeys the London airports system - led by Heathrow - handled in 2017.Vinci says Gatwick is the most efficient airport in the world and operates the busiest single runway, which in 2017 achieved a record 950 flights in one day. Gatwick plans to serve growing demand by optimising its existing runway and boosting use of its standby one. FRENCH AIRPORTS GIANTVinci is buying Gatwick shares from existing shareholders.Investment group Global Infrastructure Partners will halve its stake to 21 percent, while Abu Dhabi Investment Authority will own 7.9 percent, California Public Employees' Retirement System 6.4 percent, National Pension Service of Korea 6 percent and Australia's Future Fund Board of Guardians 8.6 percent.The deal follows Vinci's purchase this year of the airport management portfolio of Airports Worldwide, which allowed it to enter the United States and expand in Europe.Notebaert said the deal would ""not in the least"" affect Vinci's interest in Paris airports operator ADP (PA:ADP), which the government plans to privatise.""For ADP, all depends on the terms the government will set in coming months. We have the financial and operational capacity,"" he said. Vinci operates airports in countries including France, Portugal, Britain, Sweden, Serbia, Cambodia, Japan, United States, Dominican Republic, Costa Rica, Chile and Brazil. In 2017, its network handled over 180 million passengers. To counter signs of weakness in its construction business, the company has been expanding into faster growing and more profitable concessions such as airports and motorways.In 2017, Vinci Airports' managed activities revenue was 3.2 billion euros, with consolidated revenue at 1.4 billion euros. Between 2014 and 2017, Vinci Airports' revenue grew 196 percent, driving the concessions business up 19.3 percent. Vinci Construction's revenue fell 9.5 percent over the same period.At 1403 GMT, Vinci shares were little changed at 70.5 euros.($1 = 0.7903 pounds)(Reporting Gilles Guillaume in Paris and by Zuzanna Szymanska in Gdynia Writing by Geert De Clercq; Editing by Keith Weir and Mark Potter)          /6938/FP_EN_site/FP_EN_TextNote 
"
