,date,titre,texte,article
0,"Jun 21, 2019 06:40AM ET",Italy pushing telecoms merger to break broadband logjam: sources,nan,"By Elvira Pollina, Stefano Bernabei and Stephen JewkesMILAN/ROME (Reuters) - Italy's sovereign wealth fund is maneuvering to pull off a multibillion-euro telecoms merger and end a prolonged corporate stalemate that has held up Rome's plans to create a national broadband network, sources say.Cassa Depositi e Prestiti (CDP), which has 425 billion euros ($480 billion) in assets, is a major shareholder in two crucial building blocks of any national network, former phone monopoly  Telecom Italia  (MI:TLIT) (TIM) and its newer rival, Open Fiber.TIM and Open Fiber, which is owned by CDP and utility  Enel  (MI:ENEI), are rolling out rival fiber-optic networks across Italy, raising concerns of duplication and wasted investment at a time when Italy, a digital laggard, needs to catch up fast.However, squabbling among TIM's major foreign shareholders over broadband strategy has so far thwarted any merger of the two networks, prompting CDP to try and break the impasse, said the sources familiar with CDP's thinking on the matter.""CDP's plan is to ... call the shots on creating the single network,"" one source said.CDP, which is 82.8% state-owned and overseen by the treasury, aims to orchestrate a network merger in a way that would enable it become TIM's biggest shareholder. That would give it the clout to push through change after months of feuding between TIM's current top shareholder, French media group  Vivendi  (PA:VIV), and No. 3 investor, U.S fund Elliott.CDP already owns just under 10% of TIM and has put itself at ""the center of the game"" in recent weeks, initiating contacts with TIM executives and Vivendi, the sources said.That influence is yielding results. On Thursday, TIM said it had signed an agreement with CDP and Enel to start talks on ways of integrating its fiber network with its rival's, including a possible merger.No final solution has been found, but all options under scrutiny involve merging TIM and Open Fiber network assets in a share-based transaction that would lift CDP's stake in TIM close to or more than Vivendi's 23.9%, the sources said.That could give CDP a decisive vote over TIM strategy and put it in the strongest position to advance a government plan to rapidly develop a national broadband network.Enel, CDP, Vivendi and TIM all declined to comment.WANTED: BROADBAND INVESTORSUnder CDP's main option, TIM would buy the sovereign wealth fund's 50% stake in Open Fiber, using its shares as payment, said the sources familiar with CDP's thinking and a banker with knowledge of the matter.Enel, also controlled by the state through a 23.6% stake held by the treasury, would sell out of Open Fiber in a separate sale to institutional investors under this scenario, they added.""The idea is Enel cashes out and its stake offered to long-term investors. It's not Enel's (core) business but of course it all depends on the price,"" the banker said.At this point, however, Italian fixed-line broadband would be dominated by TIM and would likely fall foul of competition regulators, so CDP's plan envisages a further, large infusion of private investment to dilute TIM's position, the sources said.The details have yet to be hammered out, but in the end the assets of both networks could be put under one roof outside TIM, perhaps under Open Fiber itself, with TIM emerging with only a minority stake in it, the sources and banker said.They said it was too early to speculate on how much private investment would be required to achieve this outcome, but it could run into billions of euros based on network valuations. Telecoms analysts have made widely varying valuations of the two networks, reflecting different assumptions on future growth.They value TIM's fixed-line assets, both optic fiber and old copper wire, at 10-15 billion euros ($11-$17 billion) and Open Fiber's exclusively optic fiber network at 2-8 billion euros.A unified and regulated broadband network could be an attractive proposition for private investors, offering steady and predictable returns. HIGH DIGITAL STAKESEnel has right of first refusal over CDP's stake in Open Fiber and can in theory derail CDP's plans by exercising it. In practice, though, Enel will go along with Rome's plan, said another source familiar with the matter.""(Enel CEO Francesco) Starace has regular meetings with CDP but it's clear he's waiting for TIM first to put its house in order before making any decision,"" this source said.The government has the option anyway of replacing Starace early next year when he comes up for reappointment.Elliott and Vivendi, locked in a year-old battle for board control at TIM, recently met to try to settle their governance differences, one person close to the matter said.Analysts say that only a neutral network, where TIM would not have an incentive to limit competition from rival services, has the best chance of delivering the content and pricing needed to spur more Italians to go digital.In 2017, Italy had the lowest internet usage in western Europe alongside Greece, a problem that is holding back the development of a big digital economy deserving of a G7 economy with a population of around 60 million people. ""The number of people in Italy interested in fast broadband services is not that high so a lot depends on pricing. A single network could nudge prices up so the regulator's role is important,"" says Michele Polo, an expert in antitrust and regulation issues at Milan's Bocconi university.""The risk of TIM using its dominant position is there,"" Polo said, but he added strong regulation could deal with this.Italy's telecoms and broadcaster incumbents have never faced the competition from cable TV that have driven connection speeds up and prices down elsewhere.Separating fixed-line networks is seen as one of the few ways that legacy telecoms providers can create new value for shareholders.  Morgan Stanley  (NYSE:MS) analysts described infrastructure as ""the most dynamic subsector in telcos"" in a note on Friday.Altice is considering a sale of its Portuguese fiber network, while Denmark's TDC, and O2 in the Czech Republic, have already spun off their networks.Another Bocconi expert, Carlo Alberto Cardinale Maffè of the SDA Bocconi School of Management, said if the plan was just to re-nationalize TIM and leave it with de facto control of a national broadband network, it would not work.""I don't think it's in CDP's interest. It would take TIM back 20 years and it would be a failure. Italian and European regulators would never allow that,"" Maffè said.  /6938/FP_EN_site/FP_EN_TextNote 
"
1,"Jun 19, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.16%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Foods & Drugs, Gas & Water and General Financial sectors led shares higher.At the close in Paris, the CAC 40 added 0.16% to hit a new 1-month high, while the SBF 120 index climbed 0.17%.The best performers of the session on the CAC 40 were  Valeo  SA (PA:VLOF), which rose 3.37% or 0.85 points to trade at 26.09 at the close. Meanwhile,  Credit Agricole  SA (PA:CAGR) added 2.28% or 0.240 points to end at 10.750 and  Societe Generale  SA (PA:SOGN) was up 2.23% or 0.48 points to 22.05 in late trade.The worst performers of the session were Airbus Group SE (PA:AIR), which fell 1.96% or 2.46 points to trade at 123.00 at the close.  Kering  SA (PA:PRTP) declined 1.17% or 6.00 points to end at 508.20 and  Vivendi  SA (PA:VIV) was down 0.89% or 0.22 points to 24.55.The top performers on the SBF 120 were  Tarkett  (PA:TKTT) which rose 4.75% to 21.60, Compagnie  Plastic Omnium  SA (PA:PLOF) which was up 3.92% to settle at 22.29 and  Faurecia  (PA:EPED) which gained 3.64% to close at 38.40.The worst performers were Air France KLM SA (PA:AIRF) which was down 3.57% to 7.896 in late trade,  Casino  Guichard Perrachon SA (PA:CASP) which lost 2.69% to settle at 32.90 and CGG SA (PA:GEPH) which was down 2.17% to 1.625 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 293 to 275 and 87 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 0.78% to 13.65 a new 1-month low.Gold Futures for August delivery was down 0.05% or 0.65 to $1350.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in August fell 0.43% or 0.23 to hit $53.88 a barrel, while the August Brent oil contract fell 0.21% or 0.13 to trade at $62.01 a barrel.EUR/USD was up 0.22% to 1.1216, while EUR/GBP fell 0.38% to 0.8878.The US Dollar Index Futures was down 0.24% at 96.915."
2,"Jun 18, 2019 05:20PM ET",Vivendi could be excluded from voting at Mediaset's new Dutch TV group: document,nan,"MILAN (Reuters) - Mediaset hostile shareholder  Vivendi  (PA:VIV) could be excluded from voting at shareholder meetings of a new Amsterdam-based TV company the Italian broadcaster is setting up, according to a bylaw of the new holding.Mediaset earlier this month unveiled a corporate overhaul that includes putting the group and its separately-listed Spanish unit under a new Dutch holding company as part of a pan-European growth strategy.The broadcaster, controlled by the family of former Prime Minister Silvio Berlusconi, will have around 35% of the holding MediaforEurope (MFE) and just above 50% of voting rights.Vivendi, Mediaset's second-biggest shareholder, is set to have around 23 percent of MFE once the deal is signed off. However, most of that stake will be held in a trust reflecting the current set-up at Mediaset.Vivendi could potentially scupper the corporate overhaul if it exercises its right of withdrawal for its whole stake as Mediaset has set a ceiling of 180 million euros on the cash outlay for the option, well below the Vivendi stake. The French media giant is currently embroiled in a legal dispute with Mediaset stemming from a failed 2016 pay-TV deal.After Mediaset's pay-TV sale to the French group fell through, Vivendi built a stake of 29 percent in Mediaset but was later forced by Italian regulators to transfer most of its voting rights into a trust because of antitrust concerns.Vivendi is also the top shareholder in  Telecom Italia  (MI:TLIT).On top of that Vivendi and the trust have both been excluded from voting at Mediaset's shareholder meetings, because the broadcaster considers the stake illegitimate. A legal case is ongoing in court. A document posted on Mediaset's website late on Tuesday said that state of affairs would also be applicable to the Dutch holding until the legal dispute is resolved. The bylaws, which will be voted on at an MFE shareholder meeting called early in September to approve the deal, will need signing off by the new MFE board.  /6938/FP_EN_site/FP_EN_TextNote 
"
3,"Jun 17, 2019 03:32PM ET",Sotheby's snapped up by French tycoon Drahi for $3.7 billion,nan,"By Sudip Kar-Gupta, Svea Herbst-Bayliss and Mathieu RosemainPARIS/BOSTON (Reuters) - Franco-Israeli cable magnate Patrick Drahi made a surprise move into the art world by snapping up Sotheby's in a deal worth $3.7 billion, marking the art auction house's return to private ownership after 31 years.The acquisition allows Drahi to join French billionaire Francois Pinault - who owns Sotheby's main rival Christie's - at the top of the art world and New York society.Drahi joins an exclusive club of French billionaires active in the global art market, which also includes LVMH's boss Bernard Arnault through his Louis Vuitton foundation.Drahi's expansion in the United States also has echoes of former  Vivendi  (PA:VIV) boss Jean-Marie Messier, who turned a struggling French water company into a global media giant with stakes in established U.S. institutions.The deal also marks a new chapter for the 275-year-old auction house that became a destination for a new generation of wealth created on Wall Street, in Silicon Valley and around the world. In many ways, being public put Sotheby's at a competitive disadvantage to its main U.S. rival Christie's, which was already private, art experts said. ""Now the company can become more flexible and nimble as a privately-held enterprise and it will be interesting to see the changes that will be made,"" said Abigail Asher, a partner at international art consultants Guggenheim, Asher.Founded in London in 1744 before expanding overseas in the 20th century, Sotheby's had the distinction of being the oldest company listed on the New York Stock Exchange.Famous items sold by Sotheby's include the collections of the late Duchess of Windsor, the personal collection of artist Andy Warhol and Edvard Munch's painting ""The Scream"".Sotheby's said BidFair USA, an acquisition vehicle set up by Drahi, had offered $57 in cash per share to buy it out. The offer represented a premium of 61% to Sotheby's closing price on Friday, and gives it a market capitalization of $2.6 billion. LOEB WELCOMES DEALThe art world has been a favorite in recent times for investors looking to make extra returns in a world of ultra-low interest rates, with the prices of many expensive works of art having steadily increased.A report published by Swiss bank UBS and Art Basel in March said that the global art market had enjoyed another uptick in 2018.Drahi - who is better known for engineering debt-fueled acquisitions in the cable and telecom business through the Altice group he controls - said he would be funding the takeover through financing arranged by French bank  BNP Paribas  (PA:BNPP) and by equity provided by his own funds. Drahi has also been selling non-core assets in recent years to ease concerns over the debt levels of his businesses.The businessman said he would not be selling shares in his Altice Europe business, but would be cashing in a small stake in his Altice USA division. Shares in Altice USA fell around 2% on Monday.Born in Morocco, Drahi, 55, was trained at the selective Polytechnique school in Paris, and holds dual French and Israeli citizenship. Despite controlling influential French media outlets such as leftist bible Liberation and the country's most-watched news channel BFM TV, Drahi has shied away from elite gatherings of France’s establishment and spends much of his time between Switzerland, the United States and Israel.""This investment will further demonstrate the anchoring of my family in the United States, a country where we have been very welcomed since the successful acquisitions of Suddenlink in 2015, Cablevision (NYSE:CVC) in 2016 and just recently Cheddar,"" Drahi said in a statement, referring to the two U.S. cable companies and an online news network respectively.He said he had full confidence in Sotheby's management and did not expect any change to the company's strategy.About five years ago, Sotheby's ended a long-running fight with activist investor Daniel Loeb's hedge fund Third Point, by asking Loeb and two associates to join Sotheby's board, and Loeb was instrumental in hiring Smith as CEO.Loeb, a prominent art collector, on Monday praised the sale.The price ""affirms the value we saw when we first invested in Sotheby’s, and rewards long-term investors like Third Point who believed in its potential,"" Loeb told Reuters.BNP Paribas and  Morgan Stanley  (NYSE:MS) advised Drahi, while LionTree Advisors worked on behalf of Sotheby's.  /6938/FP_EN_site/FP_EN_TextNote 
"
4,"Jun 17, 2019 10:35AM ET","France's women smash TV viewing records, advertising costs spike",nan,"By Rachel JoynerPARIS (Reuters) - France is once again gripped by football fever -- a year after the men's national team triumphed on the world stage, the women's team is cruising through the group stages and smashing TV audience records in their own World Cup.Stadiums are selling out, and TV broadcasters are bumping up the price of advertising slots as millions tune in. Les Bleues' star players are fast becoming household names.TF1, France's main broadcaster for the tournament, had expected the team's opening match to draw up to 5 million viewers. Instead, numbers peaked at 10.9 million, while almost 1 million followed the game on Canal+, a pay-TV unit of  Vivendi  (PA:VIV). TF1, owned by family-controlled conglomerate  Bouygues  (PA:BOUY), described the numbers as a French record for a women's soccer match.But the records did not stop there -- in France's second group game against Norway, domestic viewer numbers spiked to 11 million on TF1 - on par with the number of people who watched the men's opening matches in 2018. The French women play Nigeria on Monday in their last group game before the knock-out stages. The surprising level of interest prompted TF1 to drive up the cost of advertising slots by 50-60 percent the day after France's first match, Le Parisien newspaper reported.Thirty-second slots during the half-time break of France's group stage matches, initially slated at 73,000 euros, now cost 116,000 euros, it said.The surge in viewer numbers extends beyond the French games. England's match against arch rival Argentina drew nearly 1.5 million viewers on TF1, while up to 1.1 million people have tuned in to watch the United States. Women's soccer is steadily growing in popularity in many parts of the world.Soccer's governing body FIFA has said it has received a record number of expressions of interest for hosting the next women's tournament, in 2023, including a joint bid by South Korea and North Korea football associations.  /6938/FP_EN_site/FP_EN_TextNote 
"
5,"Jun 12, 2019 08:30PM ET",Musicians lament reported loss of recordings in decade-old Universal fire,nan,"By Lisa Richwine and Steve GormanLOS ANGELES (Reuters) - Several big-name musicians voiced dismay on Wednesday that some of their recordings may have been among thousands of original masters that The New York Times Magazine reported were lost in the Universal Studios Hollywood backlot fire of 2008.The blaze, which gutted a popular ""King Kong"" attraction and a swath of the studio's fabled outdoor lot, also destroyed nearly all the master recordings stored there in a Universal Music Group archive, a loss that has long gone undisclosed, the magazine reported on Tuesday.Universal Music estimated in a confidential 2009 report that the loss encompassed about 500,000 song titles, the article said.In a statement on Wednesday, the company called the incident ""deeply unfortunate,"" but said the Times story contained ""numerous inaccuracies, misleading statements, contradictions and fundamental misunderstandings of the scope of the incident."" The extent of the loss, documented in litigation and company records the article cited, was largely kept from the public eye through a concerted effort on the part of the music label, the magazine said. Many of the artists whose own material was reported to have been destroyed expressed shock.""Oh my Lord ... this makes me sick to my stomach,"" singer-songwriter Sheryl Crow wrote on Twitter, posted with a link to the article. ""And shame on those involved in the coverup.""The rock band R.E.M said in a Twitter statement that concerned fans were making inquiries. ""We are trying to get good information to find out what happened, and the effect on the band's music, if any,"" the group tweeted.Original sound recordings of many of the greatest names in popular music since the 1940s - from Louis Armstrong and Judy Garland to Tom Petty and 50 Cent - are believed to have gone up in smoke in what the article described as ""the biggest disaster in the history of the music business.""Master recordings are typically owned and controlled by the music labels for the artists in their catalog. But they are seen as vital to musicians' legacy as they are original, one-of-a-kind recordings considered the truest representation of sounds captured in the studio. Masters are the source material for all reproductions, including re-releases and remixes, made for distribution, whether on digital medium or vinyl.Universal Music Group, now owned by French media conglomerate  Vivendi  (PA:VIV), said the fire ""never affected the availability of the commercially released music nor impacted artists' compensation."" The New York Times article ""ignores the tens of thousands of back catalog recordings that we have already issued in recent years, including master-quality, high-resolution, audiophile versions of many records that the story claims were 'destroyed,'"" Universal Music said.Irving Azoff, manager for the group Steely Dan, said in a statement that the musicians had ""been aware of 'missing' original Steely Dan tapes for a long time now.""""We've never been given a plausible explanation,"" Azoff said. ""Maybe they burned up in the big fire. In any case, it's certainly a lost treasure.""Krist Novoselic, a founding member of the 1990s grunge band Nirvana, responded to a fan on Twitter asking whether the Times article meant that the masters for the group's landmark ""Nevermind"" album were gone. He wrote: ""I think they are gone forever.""   /6938/FP_EN_site/FP_EN_TextNote 
"
6,"Jun 12, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.62%,nan,"Investing.com – France stocks were lower after the close on Wednesday, as losses in the Foods & Drugs, Gas & Water and General Financial sectors led shares lower.At the close in Paris, the CAC 40 fell 0.62%, while the SBF 120 index fell 0.60%.The best performers of the session on the CAC 40 were  Worldline SA  (PA:WLN), which rose 2.10% or 1.250 points to trade at 60.750 at the close. Meanwhile,  Vivendi  SA (PA:VIV) added 1.28% or 0.31 points to end at 24.51 and  Air Liquide  SA (PA:AIRP) was up 0.94% or 1.10 points to 118.30 in late trade.The worst performers of the session were TechnipFMC PLC (PA:FTI), which fell 3.58% or 0.73 points to trade at 19.64 at the close. ArcelorMittal SA (AS:MT) declined 2.81% or 0.422 points to end at 14.592 and  Total  SA (PA:TOTF) was down 2.73% or 1.32 points to 46.95.The top performers on the SBF 120 were Genfit (PA:GNFT) which rose 5.50% to 18.800,  Imerys  SA (PA:IMTP) which was up 4.42% to settle at 43.90 and Worldline SA (PA:WLN) which gained 2.10% to close at 60.750.The worst performers were DBV Technologies (PA:DBV) which was down 4.72% to 15.130 in late trade, TechnipFMC PLC (PA:FTI) which lost 3.58% to settle at 19.64 and  Maisons du Monde SAS  (PA:MDM) which was down 3.18% to 17.350 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 327 to 235 and 98 ended unchanged.Shares in Worldline SA (PA:WLN) rose to all time highs; rising 2.10% or 1.250 to 60.750. Shares in Worldline SA (PA:WLN) rose to all time highs; up 2.10% or 1.250 to 60.750. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 1.20% to 14.55.Gold Futures for August delivery was up 0.36% or 4.85 to $1336.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 2.48% or 1.32 to hit $51.95 a barrel, while the August Brent oil contract fell 2.04% or 1.27 to trade at $61.02 a barrel.EUR/USD was down 0.29% to 1.1297, while EUR/GBP rose 0.01% to 0.8903.The US Dollar Index Futures was up 0.27% at 96.907."
7,"Jun 11, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.48%,nan,"Investing.com – France stocks were higher after the close on Tuesday, as gains in the Utilities, Technology and Consumer Services sectors led shares higher.At the close in Paris, the CAC 40 gained 0.48%, while the SBF 120 index gained 0.48%.The best performers of the session on the CAC 40 were ArcelorMittal SA (AS:MT), which rose 6.59% or 0.928 points to trade at 15.014 at the close. Meanwhile, Compagnie de Saint Gobain SA (PA:SGOB) added 2.68% or 0.88 points to end at 33.48 and Compagnie Generale des Etablissements  Michelin  SCA (PA:MICP) was up 2.57% or 2.70 points to 107.85 in late trade.The worst performers of the session were Sanofi SA (PA:SASY), which fell 1.55% or 1.20 points to trade at 76.10 at the close.  Vivendi  SA (PA:VIV) declined 1.43% or 0.35 points to end at 24.20 and Veolia Environnement VE SA (PA:VIE) was down 0.85% or 0.180 points to 21.110.The top performers on the SBF 120 were ArcelorMittal SA (AS:MT) which rose 6.59% to 15.014, CGG SA (PA:GEPH) which was up 5.84% to settle at 1.558 and  Imerys  SA (PA:IMTP) which gained 4.47% to close at 42.04.The worst performers were Genfit (PA:GNFT) which was down 16.49% to 17.820 in late trade, Korian Medica SA (PA:KORI) which lost 4.07% to settle at 35.360 and DBV Technologies (PA:DBV) which was down 4.05% to 15.880 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 304 to 277 and 79 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 1.61% to 14.38.Gold Futures for August delivery was up 0.25% or 3.35 to $1332.65 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 0.04% or 0.02 to hit $53.24 a barrel, while the August Brent oil contract fell 0.27% or 0.17 to trade at $62.12 a barrel.EUR/USD was up 0.16% to 1.1330, while EUR/GBP fell 0.16% to 0.8902.The US Dollar Index Futures was down 0.06% at 96.650."
8,"May 30, 2019 01:03PM ET",France stocks mixed at close of trade; CAC 40 up 0.51%,nan,"Investing.com – France stocks were mixed after the close on Thursday, as gains in the Utilities, Gas & Water and General Financial sectors led shares higher while losses in the Financials, Consumer Services and Basic Materials sectors led shares lower.At the close in Paris, the CAC 40 rose 0.51%, while the SBF 120 index fell 1.66%.The best performers of the session on the CAC 40 were  Kering  SA (PA:PRTP), which rose 2.92% or 13.45 points to trade at 474.55 at the close. Meanwhile,  Vivendi  SA (PA:VIV) added 1.90% or 0.45 points to end at 24.10 and  Worldline SA  (PA:WLN) was up 1.33% or 0.700 points to 53.150 in late trade.The worst performers of the session were  Valeo  SA (PA:VLOF), which fell 5.36% or 1.37 points to trade at 24.19 at the close.  Peugeot  SA (PA:PEUP) declined 1.13% or 0.23 points to end at 20.10 and WFD Unibail Rodamco NV (AS:URW) was down 1.03% or 1.40 points to 134.95.The top performers on the SBF 120 were  Casino  Guichard Perrachon SA (PA:CASP) which rose 6.23% to 33.07,  Eramet  SA (PA:ERMT) which was up 5.23% to settle at 53.12 and  Remy Cointreau  (PA:RCOP) which gained 3.86% to close at 123.70.The worst performers were Valeo SA (PA:VLOF) which was down 5.36% to 24.19 in late trade,  Trigano  SA (PA:TRIA) which lost 3.24% to settle at 68.60 and CGG SA (PA:GEPH) which was down 1.76% to 1.369 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 314 to 213 and 97 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 4.68% to 16.20.Gold Futures for June delivery was up 0.42% or 5.40 to $1286.40 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 1.84% or 1.08 to hit $57.73 a barrel, while the August Brent oil contract fell 2.48% or 1.68 to trade at $66.19 a barrel.EUR/USD was up 0.08% to 1.1138, while EUR/GBP rose 0.20% to 0.8830.The US Dollar Index Futures was up 0.01% at 98.047."
9,"May 29, 2019 01:36PM ET",Fraught Franco-Italian relations a roadblock risk for Renault-FCA,nan,"By Richard Lough and Giuseppe FontePARIS/ROME (Reuters) - Fiat Chrysler's proposed $35 billion merger with  Renault  (PA:RENA) has cheered investors, won conditional support from Paris and Rome and even earned cautious backing from trade unions.Beneath this veneer, however, the bold attempt to create the world's third largest carmaker risks becoming rapidly embroiled in the fraught relationship between France's europhile President Emmanuel Macron and Italy's euroskeptic leaders.For while Deputy Prime Minister Matteo Salvini hailed the proposal as a ""brilliant operation"", Italy's creaking, state-subsidized Fiat factories are likely to bear the brunt of any production-related cost savings.FCA and Renault said this week that more than 5 billion euros ($5.6 billion) of annual savings would come mainly from combining platforms, consolidating powertrain and electrification investments and the benefits of increased scale.Salvini and France's Finance Minister Bruno Le Maire, who called the deal a ""good opportunity"" to build a European industrial champion able to compete with China and the United States, have both said they want guarantees on local jobs.""It's not every day that I agree with Salvini,"" said Le Maire, whose government appears to hold the trump cards.When it comes to where any job cuts fall, France will be helped by its existing 15 percent holding in Renault, whose superior efficiency at its five French plants makes it better placed to handle a supply glut, the demise of the petrol engine and the investments needed for electric and autonomous vehicles.""It will take many, many years to find real savings and ugly political and operational realities can often swamp the potential of such new entities,"" Bernstein analyst Max Warburton said of the FCA-Renault plan to rival Japan's Toyota and Germany's Volkswagen (DE:VOWG_p).ADVANTAGE FRANCE?As well as Italy's government having to cope with the aftermath of European elections which coincided with news of the FCA-Renault plans, political leaders in Rome were only informed shortly before the deal was made public, an FCA source said.This contrasted with the way the French government was treated, with Fiat Chrysler Chairman John Elkann, a fluent French speaker, letting it know of his merger proposal to Renault weeks ago, a French government official said. It is not clear how advanced the secret talks between the automakers were at this stage or what opportunity Le Maire had to lay down any red lines, but it reflects FCA's need to have President Emmanuel Macron on side.And it gave France time to prepare its position, with Le Maire on Tuesday laying out four conditions for state approval, including protection of French blue-collar jobs.Meanwhile, Italy's Salvini said Rome might buy a stake the new entity to defend domestic interests.Corporate France has been the biggest overseas investor in Italian companies over the past decade with deals totaling $43.3 billion, Refinitiv data shows.Some are closely scrutinized by Rome, which is fretting over the vulnerability of corporate champions such as  Telecom Italia  (MI:TLIT), in which Italian state lender CDP took a direct holding after  Vivendi  (PA:VIV) took a controlling stake.Under the FCA proposal, Elkann, scion of the Agnelli family, would chair the merged group while Renault chairman Jean-Dominique Senard would likely become CEO, sources say.'ECONOMIC FANTASY'? While Le Maire has appeared well briefed, Italy's leaders seemed blindsided and Salvini's suggestion that Italy could mirror France's stake signaled concerns over Rome's influence. With cash-strapped Italy locked in a renewed row with Brussels over euro zone budget rules, some French officials dismissed talk of an Italian stake as a bluff, with one describing it as ""economic fantasy"".There are signs the effort to save jobs will focus on the factory floor. Le Maire is demanding that no ""industrial jobs or industrial plants"" are axed in France, leaving scope for white-collar and engineering layoffs as well as downsizing plants.Indeed, the merger plan dovetails with Macron's push for cross-border industrial champions that have the muscle to compete with Chinese and U.S. rivals of today and the future. Le Maire urged trade unions to look at job creation potential in a company with the financial clout to be a global player in electric battery and self-driving car technology.Macron has stared down unions before, including over the proposed Franco-German merger of  Alstom  (PA:ALSO) and Siemens rail businesses, which was derailed by antitrust concerns. Even so, it is unclear how realistic the demands for blue-collar job protection are, with ""substantial product and platform overlap in Europe"", UBS analyst David Lense said.Renault has improved the competitiveness of its French plants, shedding 8,000 jobs via voluntary departures since 2013 and paring back production lines to curb excess capacity. It employs 48,000 people in France, with its plants operating at about 70 percent capacity, while Fiat's six plants in Italy struggle. Turin's historic Mirafiori plant, which makes the Maserati Levante SUV, is expected to operate at just 5 percent capacity this year. Only two plants producing between them the Fiat Panda, Fiat 500 X and the popular Jeep Renegade top 50 percent capacity, research group LMC Automotive said. Higher carbon dioxide emissions may also focus attention on FCA's plants as the combined company looks to tackle tightening emissions regulations and far-reaching technological changes.""These challenges are potentially big push backs and are bigger issues for FCA than for Renault, which doesn't need to restructure in France and which has much lower CO2 emissions,""  Deutsche Bank  (DE:DBKGn) analysts said in a note.  /6938/FP_EN_site/FP_EN_TextNote 
"
