,date,titre,texte,article
0,"Jun 12, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.62%,nan,"Investing.com – France stocks were lower after the close on Wednesday, as losses in the Foods & Drugs, Gas & Water and General Financial sectors led shares lower.At the close in Paris, the CAC 40 fell 0.62%, while the SBF 120 index fell 0.60%.The best performers of the session on the CAC 40 were  Worldline SA  (PA:WLN), which rose 2.10% or 1.250 points to trade at 60.750 at the close. Meanwhile,  Vivendi  SA (PA:VIV) added 1.28% or 0.31 points to end at 24.51 and  Air Liquide  SA (PA:AIRP) was up 0.94% or 1.10 points to 118.30 in late trade.The worst performers of the session were TechnipFMC PLC (PA:FTI), which fell 3.58% or 0.73 points to trade at 19.64 at the close. ArcelorMittal SA (AS:MT) declined 2.81% or 0.422 points to end at 14.592 and  Total  SA (PA:TOTF) was down 2.73% or 1.32 points to 46.95.The top performers on the SBF 120 were Genfit (PA:GNFT) which rose 5.50% to 18.800,  Imerys  SA (PA:IMTP) which was up 4.42% to settle at 43.90 and Worldline SA (PA:WLN) which gained 2.10% to close at 60.750.The worst performers were DBV Technologies (PA:DBV) which was down 4.72% to 15.130 in late trade, TechnipFMC PLC (PA:FTI) which lost 3.58% to settle at 19.64 and  Maisons du Monde SAS  (PA:MDM) which was down 3.18% to 17.350 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 327 to 235 and 98 ended unchanged.Shares in Worldline SA (PA:WLN) rose to all time highs; rising 2.10% or 1.250 to 60.750. Shares in Worldline SA (PA:WLN) rose to all time highs; up 2.10% or 1.250 to 60.750. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 1.20% to 14.55.Gold Futures for August delivery was up 0.36% or 4.85 to $1336.05 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 2.48% or 1.32 to hit $51.95 a barrel, while the August Brent oil contract fell 2.04% or 1.27 to trade at $61.02 a barrel.EUR/USD was down 0.29% to 1.1297, while EUR/GBP rose 0.01% to 0.8903.The US Dollar Index Futures was up 0.27% at 96.907."
1,"Jun 07, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 1.62%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Oil & Gas, Healthcare and Gas & Water sectors led shares higher.At the close in Paris, the CAC 40 added 1.62%, while the SBF 120 index gained 1.61%.The best performers of the session on the CAC 40 were Sanofi SA (PA:SASY), which rose 4.40% or 3.30 points to trade at 78.32 at the close. Meanwhile,  Worldline SA  (PA:WLN) added 3.43% or 1.950 points to end at 58.850 and Dassault Systemes SE (PA:DAST) was up 2.65% or 3.50 points to 135.35 in late trade.The worst performers of the session were  Societe Generale  SA (PA:SOGN), which fell 0.90% or 0.20 points to trade at 22.11 at the close.  BNP Paribas  SA (PA:BNPP) declined 0.46% or 0.19 points to end at 40.81 and  Peugeot  SA (PA:PEUP) was down 0.29% or 0.06 points to 20.54.The top performers on the SBF 120 were  Soitec  SA (PA:SOIT) which rose 8.48% to 83.800,  Vallourec  (PA:VLLP) which was up 5.51% to settle at 2.220 and  Mercialys  SA (PA:MERY) which gained 4.48% to close at 11.65.The worst performers were DBV Technologies (PA:DBV) which was down 2.05% to 16.280 in late trade, Genfit (PA:GNFT) which lost 2.00% to settle at 21.520 and Air France KLM SA (PA:AIRF) which was down 1.08% to 8.064 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 385 to 173 and 96 ended unchanged.Shares in Societe Generale SA (PA:SOGN) fell to 5-year lows; down 0.90% or 0.20 to 22.11. Shares in Worldline SA (PA:WLN) rose to all time highs; gaining 3.43% or 1.950 to 58.850. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 4.76% to 14.56.Gold Futures for August delivery was up 0.38% or 5.15 to $1347.85 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 2.22% or 1.17 to hit $53.76 a barrel, while the August Brent oil contract rose 2.19% or 1.35 to trade at $63.02 a barrel.EUR/USD was up 0.60% to 1.1341, while EUR/GBP rose 0.24% to 0.8896.The US Dollar Index Futures was down 0.56% at 96.458."
2,"Jun 05, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.45%,nan,"Investing.com – France stocks were higher after the close on Wednesday, as gains in the Basic Materials, Financials and Oil & Gas sectors led shares higher.At the close in Paris, the CAC 40 rose 0.45%, while the SBF 120 index added 0.55%.The best performers of the session on the CAC 40 were  Worldline SA  (PA:WLN), which rose 7.20% or 3.900 points to trade at 58.050 at the close. Meanwhile, Engie SA (PA:ENGIE) added 2.29% or 0.29 points to end at 12.95 and EssilorLuxottica SA (PA:ESLX) was up 2.27% or 2.35 points to 105.90 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 2.51% or 0.348 points to trade at 13.510 at the close. TechnipFMC PLC (PA:FTI) declined 1.77% or 0.34 points to end at 18.82 and  Societe Generale  SA (PA:SOGN) was down 1.32% or 0.30 points to 22.42.The top performers on the SBF 120 were Worldline SA (PA:WLN) which rose 7.20% to 58.050, Dassault Aviation SA (PA:AVMD) which was up 5.01% to settle at 1195.00 and  Tarkett  (PA:TKTT) which gained 4.11% to close at 19.75.The worst performers were ArcelorMittal SA (AS:MT) which was down 2.51% to 13.510 in late trade,  Casino  Guichard Perrachon SA (PA:CASP) which lost 2.31% to settle at 32.10 and CGG SA (PA:GEPH) which was down 2.28% to 1.434 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 370 to 195 and 91 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 0.20% to 15.75.Gold Futures for August delivery was up 0.32% or 4.25 to $1332.95 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 3.87% or 2.07 to hit $51.41 a barrel, while the August Brent oil contract fell 2.63% or 1.63 to trade at $60.34 a barrel.EUR/USD was down 0.14% to 1.1235, while EUR/GBP fell 0.07% to 0.8852.The US Dollar Index Futures was up 0.20% at 97.195."
3,"May 31, 2019 01:06PM ET",France stocks lower at close of trade; CAC 40 down 0.79%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Utilities, Gas & Water and General Financial sectors led shares lower.At the close in Paris, the CAC 40 lost 0.79% to hit a new 3-months low, while the SBF 120 index lost 0.72%.The best performers of the session on the CAC 40 were  Worldline SA  (PA:WLN), which rose 1.41% or 0.750 points to trade at 53.900 at the close. Meanwhile, Veolia Environnement VE SA (PA:VIE) added 0.93% or 0.190 points to end at 20.710 and STMicroelectronics NV (PA:STM) was up 0.81% or 0.110 points to 13.695 in late trade.The worst performers of the session were  Renault  SA (PA:RENA), which fell 4.55% or 2.57 points to trade at 53.92 at the close. TechnipFMC PLC (PA:FTI) declined 2.54% or 0.49 points to end at 18.80 and  Pernod Ricard  SA (PA:PERP) was down 2.47% or 4.00 points to 157.80.The top performers on the SBF 120 were  Casino  Guichard Perrachon SA (PA:CASP) which rose 3.02% to 34.07, Electricite de France SA (PA:EDF) which was up 2.24% to settle at 12.56 and  Groupe FNAC  (PA:FNAC) which gained 1.79% to close at 68.200.The worst performers were  Natixis  (PA:CNAT) which was down 15.94% to 4.109 in late trade,  Faurecia  (PA:EPED) which lost 6.98% to settle at 33.07 and  Eramet  SA (PA:ERMT) which was down 4.71% to 50.62 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 344 to 213 and 84 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 4.62% to 16.95.Gold Futures for June delivery was up 1.31% or 16.80 to $1303.90 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 3.34% or 1.89 to hit $54.70 a barrel, while the August Brent oil contract fell 3.40% or 2.22 to trade at $63.11 a barrel.EUR/USD was up 0.27% to 1.1159, while EUR/GBP rose 0.13% to 0.8838.The US Dollar Index Futures was down 0.30% at 97.762."
4,"May 31, 2019 01:06PM ET",France stocks lower at close of trade; CAC 40 down 0.79%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Utilities, Gas & Water and General Financial sectors led shares lower.At the close in Paris, the CAC 40 fell 0.79% to hit a new 3-months low, while the SBF 120 index declined 0.72%.The best performers of the session on the CAC 40 were  Worldline SA  (PA:WLN), which rose 1.41% or 0.750 points to trade at 53.900 at the close. Meanwhile, Veolia Environnement VE SA (PA:VIE) added 0.93% or 0.190 points to end at 20.710 and STMicroelectronics NV (PA:STM) was up 0.81% or 0.110 points to 13.695 in late trade.The worst performers of the session were  Renault  SA (PA:RENA), which fell 4.55% or 2.57 points to trade at 53.92 at the close. TechnipFMC PLC (PA:FTI) declined 2.54% or 0.49 points to end at 18.80 and  Pernod Ricard  SA (PA:PERP) was down 2.47% or 4.00 points to 157.80.The top performers on the SBF 120 were  Casino  Guichard Perrachon SA (PA:CASP) which rose 3.02% to 34.07, Electricite de France SA (PA:EDF) which was up 2.24% to settle at 12.56 and  Groupe FNAC  (PA:FNAC) which gained 1.79% to close at 68.200.The worst performers were  Natixis  (PA:CNAT) which was down 15.94% to 4.109 in late trade,  Faurecia  (PA:EPED) which lost 6.98% to settle at 33.07 and  Eramet  SA (PA:ERMT) which was down 4.71% to 50.62 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 344 to 213 and 84 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 4.62% to 16.95.Gold Futures for June delivery was up 1.31% or 16.80 to $1303.90 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 3.34% or 1.89 to hit $54.70 a barrel, while the August Brent oil contract fell 3.40% or 2.22 to trade at $63.11 a barrel.EUR/USD was up 0.27% to 1.1159, while EUR/GBP rose 0.13% to 0.8838.The US Dollar Index Futures was down 0.30% at 97.762."
5,"May 30, 2019 01:03PM ET",France stocks mixed at close of trade; CAC 40 up 0.51%,nan,"Investing.com – France stocks were mixed after the close on Thursday, as gains in the Utilities, Gas & Water and General Financial sectors led shares higher while losses in the Financials, Consumer Services and Basic Materials sectors led shares lower.At the close in Paris, the CAC 40 rose 0.51%, while the SBF 120 index fell 1.66%.The best performers of the session on the CAC 40 were  Kering  SA (PA:PRTP), which rose 2.92% or 13.45 points to trade at 474.55 at the close. Meanwhile,  Vivendi  SA (PA:VIV) added 1.90% or 0.45 points to end at 24.10 and  Worldline SA  (PA:WLN) was up 1.33% or 0.700 points to 53.150 in late trade.The worst performers of the session were  Valeo  SA (PA:VLOF), which fell 5.36% or 1.37 points to trade at 24.19 at the close.  Peugeot  SA (PA:PEUP) declined 1.13% or 0.23 points to end at 20.10 and WFD Unibail Rodamco NV (AS:URW) was down 1.03% or 1.40 points to 134.95.The top performers on the SBF 120 were  Casino  Guichard Perrachon SA (PA:CASP) which rose 6.23% to 33.07,  Eramet  SA (PA:ERMT) which was up 5.23% to settle at 53.12 and  Remy Cointreau  (PA:RCOP) which gained 3.86% to close at 123.70.The worst performers were Valeo SA (PA:VLOF) which was down 5.36% to 24.19 in late trade,  Trigano  SA (PA:TRIA) which lost 3.24% to settle at 68.60 and CGG SA (PA:GEPH) which was down 1.76% to 1.369 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 314 to 213 and 97 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 4.68% to 16.20.Gold Futures for June delivery was up 0.42% or 5.40 to $1286.40 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 1.84% or 1.08 to hit $57.73 a barrel, while the August Brent oil contract fell 2.48% or 1.68 to trade at $66.19 a barrel.EUR/USD was up 0.08% to 1.1138, while EUR/GBP rose 0.20% to 0.8830.The US Dollar Index Futures was up 0.01% at 98.047."
6,"May 28, 2019 01:02PM ET",France stocks lower at close of trade; CAC 40 down 0.44%,nan,"Investing.com – France stocks were lower after the close on Tuesday, as losses in the Gas & Water, General Financial and Foods & Drugs sectors led shares lower.At the close in Paris, the CAC 40 declined 0.44%, while the SBF 120 index fell 0.37%.The best performers of the session on the CAC 40 were  Peugeot  SA (PA:PEUP), which rose 4.62% or 0.92 points to trade at 20.84 at the close. Meanwhile,  Worldline SA  (PA:WLN) added 2.52% or 1.300 points to end at 52.800 and LVMH Moet Hennessy Louis Vuitton SE (PA:LVMH) was up 1.17% or 3.95 points to 342.60 in late trade.The worst performers of the session were  Safran  SA (PA:SAF), which fell 2.09% or 2.55 points to trade at 119.25 at the close. EssilorLuxottica SA (PA:ESLX) declined 2.07% or 2.20 points to end at 104.00 and  Societe Generale  SA (PA:SOGN) was down 1.95% or 0.45 points to 22.59.The top performers on the SBF 120 were  Neopost  SA (PA:NPOS) which rose 9.26% to 20.30, Peugeot SA (PA:PEUP) which was up 4.62% to settle at 20.84 and  Casino  Guichard Perrachon SA (PA:CASP) which gained 3.58% to close at 32.43.The worst performers were Rothschild & Co SCA (PA:ROTH) which was down 3.04% to 27.150 in late trade, SES (PA:SESFd) which lost 2.39% to settle at 13.70 and Metropole Television SA (PA:MMTP) which was down 2.16% to 15.84 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 285 to 256 and 96 ended unchanged.Shares in Societe Generale SA (PA:SOGN) fell to 5-year lows; losing 1.95% or 0.45 to 22.59. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 1.04% to 15.75.Gold Futures for June delivery was down 0.50% or 6.45 to $1277.15 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.96% or 0.56 to hit $59.19 a barrel, while the August Brent oil contract fell 0.10% or 0.07 to trade at $68.70 a barrel.EUR/USD was down 0.28% to 1.1164, while EUR/GBP fell 0.14% to 0.8817.The US Dollar Index Futures was up 0.38% at 97.843."
7,"May 24, 2019 01:00PM ET",France stocks higher at close of trade; CAC 40 up 0.67%,nan,"Investing.com – France stocks were higher after the close on Friday, as gains in the Gas & Water, General Financial and Foods & Drugs sectors led shares higher.At the close in Paris, the CAC 40 added 0.67%, while the SBF 120 index gained 0.66%.The best performers of the session on the CAC 40 were  Worldline SA  (PA:WLN), which rose 2.79% or 1.400 points to trade at 51.500 at the close. Meanwhile, Schneider Electric SE (PA:SCHN) added 2.78% or 2.00 points to end at 73.90 and  Safran  SA (PA:SAF) was up 2.14% or 2.55 points to 121.90 in late trade.The worst performers of the session were  Credit Agricole  SA (PA:CAGR), which fell 4.59% or 0.490 points to trade at 10.185 at the close.  Kering  SA (PA:PRTP) declined 1.73% or 8.50 points to end at 482.70 and  Carrefour  SA (PA:CARR) was down 1.07% or 0.18 points to 16.68.The top performers on the SBF 120 were  Casino  Guichard Perrachon SA (PA:CASP) which rose 7.48% to 30.03,  Eramet  SA (PA:ERMT) which was up 3.97% to settle at 51.88 and Genfit (PA:GNFT) which gained 3.43% to close at 21.720.The worst performers were Credit Agricole SA (PA:CAGR) which was down 4.59% to 10.185 in late trade,  Amundi SA  (PA:AMUN) which lost 3.85% to settle at 57.45 and  Rexel  (PA:RXL) which was down 3.84% to 10.01 at the close.Rising stocks outnumbered declining ones on the Paris Stock Exchange by 353 to 205 and 79 ended unchanged.The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 6.76% to 16.20.Gold Futures for June delivery was down 0.11% or 1.45 to $1283.95 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July rose 0.62% or 0.36 to hit $58.27 a barrel, while the July Brent oil contract rose 0.72% or 0.49 to trade at $68.25 a barrel.EUR/USD was up 0.22% to 1.1205, while EUR/GBP fell 0.22% to 0.8813.The US Dollar Index Futures was down 0.26% at 97.472."
8,"May 22, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.12%,nan,"Investing.com – France stocks were lower after the close on Wednesday, as losses in the Utilities, Healthcare and Gas & Water sectors led shares lower.At the close in Paris, the CAC 40 fell 0.12%, while the SBF 120 index fell 0.12%.The best performers of the session on the CAC 40 were Atos SE (PA:ATOS), which rose 2.68% or 1.90 points to trade at 72.82 at the close. Meanwhile,  Worldline SA  (PA:WLN) added 2.05% or 1.050 points to end at 52.300 and Capgemini SE (PA:CAPP) was up 1.76% or 1.85 points to 106.70 in late trade.The worst performers of the session were TechnipFMC PLC (PA:FTI), which fell 2.70% or 0.57 points to trade at 20.57 at the close.  Credit Agricole  SA (PA:CAGR) declined 2.01% or 0.225 points to end at 10.980 and  Peugeot  SA (PA:PEUP) was down 1.97% or 0.42 points to 20.87.The top performers on the SBF 120 were  Neopost  SA (PA:NPOS) which rose 3.30% to 18.18,  Teleperformance  SE (PA:ROCH) which was up 3.20% to settle at 174.40 and Sopra Steria Group SA (PA:SOPR) which gained 3.11% to close at 109.40.The worst performers were  Vallourec  (PA:VLLP) which was down 5.94% to 2.312 in late trade, CGG SA (PA:GEPH) which lost 3.81% to settle at 1.567 and  Casino  Guichard Perrachon SA (PA:CASP) which was down 3.40% to 29.85 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 315 to 227 and 88 ended unchanged.Shares in Teleperformance SE (PA:ROCH) rose to all time highs; gaining 3.20% or 5.40 to 174.40. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was down 3.44% to 14.62.Gold Futures for June delivery was up 0.11% or 1.45 to $1274.65 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in July fell 3.10% or 1.96 to hit $61.17 a barrel, while the July Brent oil contract fell 2.13% or 1.54 to trade at $70.64 a barrel.EUR/USD was down 0.01% to 1.1157, while EUR/GBP rose 0.27% to 0.8803.The US Dollar Index Futures was up 0.01% at 97.903."
9,"May 17, 2019 01:00PM ET",France stocks lower at close of trade; CAC 40 down 0.18%,nan,"Investing.com – France stocks were lower after the close on Friday, as losses in the Gas & Water, General Financial and Foods & Drugs sectors led shares lower.At the close in Paris, the CAC 40 fell 0.18%, while the SBF 120 index lost 0.23%.The best performers of the session on the CAC 40 were Dassault Systemes SE (PA:DAST), which rose 1.91% or 2.65 points to trade at 141.30 at the close. Meanwhile, Sodexo SA (PA:EXHO) added 1.24% or 1.25 points to end at 101.95 and  Total  SA (PA:TOTF) was up 1.16% or 0.56 points to 49.17 in late trade.The worst performers of the session were ArcelorMittal SA (AS:MT), which fell 3.84% or 0.584 points to trade at 14.622 at the close.  Worldline SA  (PA:WLN) declined 1.90% or 1.000 points to end at 51.500 and Engie SA (PA:ENGIE) was down 1.74% or 0.24 points to 13.58.The top performers on the SBF 120 were  Vallourec  (PA:VLLP) which rose 8.44% to 2.440, Korian Medica SA (PA:KORI) which was up 3.44% to settle at 36.080 and Dassault Systemes SE (PA:DAST) which gained 1.91% to close at 141.30.The worst performers were  Nexans  SA (PA:NEXS) which was down 3.99% to 28.38 in late trade, ArcelorMittal SA (AS:MT) which lost 3.84% to settle at 14.622 and  Iliad  (PA:ILD) which was down 3.12% to 104.10 at the close.Falling stocks outnumbered advancing ones on the Paris Stock Exchange by 318 to 242 and 76 ended unchanged.Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; losing 3.84% or 0.584 to 14.622. Shares in ArcelorMittal SA (AS:MT) fell to 52-week lows; losing 3.84% or 0.584 to 14.622. The CAC 40 VIX, which measures the implied volatility of CAC 40 options, was up 0.78% to 14.03.Gold Futures for June delivery was down 0.83% or 10.65 to $1275.55 a troy ounce. Elsewhere in commodities trading, Crude oil for delivery in June fell 0.06% or 0.04 to hit $62.83 a barrel, while the July Brent oil contract fell 0.77% or 0.56 to trade at $72.06 a barrel.EUR/USD was down 0.07% to 1.1164, while EUR/GBP rose 0.46% to 0.8769.The US Dollar Index Futures was up 0.11% at 97.782."
